bulan,tahun,kota_kabupaten,kecamatan,kelurahan,jenis_kelamin,jumlah
Januari,2021,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU PANGGANG,Laki-Laki,7
Januari,2021,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU KELAPA,Laki-Laki,0
Januari,2021,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU UTARA,PULAU HARAPAN,Laki-Laki,0
Januari,2021,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU UNTUNG JAWA,Laki-Laki,1
Januari,2021,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU TIDUNG,Laki-Laki,3
Januari,2021,ADM. KEPULAUAN SERIBU,KEPULAUAN SERIBU SELATAN,PULAU PARI,Laki-Laki,4
Januari,2021,JAKARTA PUSAT,GAMBIR,GAMBIR,Laki-Laki,2
Januari,2021,JAKARTA PUSAT,GAMBIR,CIDENG,Laki-Laki,3
Januari,2021,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,Laki-Laki,12
Januari,2021,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,Laki-Laki,7
Januari,2021,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,Laki-Laki,4
Januari,2021,JAKARTA PUSAT,GAMBIR,DURI PULO,Laki-Laki,8
Januari,2021,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,Laki-Laki,3
Januari,2021,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,Laki-Laki,9
Januari,2021,JAKARTA PUSAT,SAWAH BESAR,KARTINI,Laki-Laki,6
Januari,2021,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,Laki-Laki,1
Januari,2021,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,Laki-Laki,9
Januari,2021,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,Laki-Laki,14
Januari,2021,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,Laki-Laki,29
Januari,2021,JAKARTA PUSAT,KEMAYORAN,HARAPAN MULIA,Laki-Laki,16
Januari,2021,JAKARTA PUSAT,KEMAYORAN,SERDANG,Laki-Laki,13
Januari,2021,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,Laki-Laki,4
Januari,2021,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,Laki-Laki,12
Januari,2021,JAKARTA PUSAT,KEMAYORAN,SUMUR BATU,Laki-Laki,9
Januari,2021,JAKARTA PUSAT,KEMAYORAN,UTAN PANJANG,Laki-Laki,12
Januari,2021,JAKARTA PUSAT,S E N E N,SENEN,Laki-Laki,1
Januari,2021,JAKARTA PUSAT,S E N E N,KENARI,Laki-Laki,6
Januari,2021,JAKARTA PUSAT,S E N E N,PASEBAN,Laki-Laki,7
Januari,2021,JAKARTA PUSAT,S E N E N,KRAMAT,Laki-Laki,15
Januari,2021,JAKARTA PUSAT,S E N E N,KWITANG,Laki-Laki,5
Januari,2021,JAKARTA PUSAT,S E N E N,BUNGUR,Laki-Laki,15
Januari,2021,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,Laki-Laki,15
Januari,2021,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,Laki-Laki,11
Januari,2021,JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,Laki-Laki,23
Januari,2021,JAKARTA PUSAT,MENTENG,MENTENG,Laki-Laki,12
Januari,2021,JAKARTA PUSAT,MENTENG,PEGANGSAAN,Laki-Laki,10
Januari,2021,JAKARTA PUSAT,MENTENG,CIKINI,Laki-Laki,6
Januari,2021,JAKARTA PUSAT,MENTENG,GONDANGDIA,Laki-Laki,1
Januari,2021,JAKARTA PUSAT,MENTENG,KEBON SIRIH,Laki-Laki,5
Januari,2021,JAKARTA PUSAT,TANAH ABANG,GELORA,Laki-Laki,1
Januari,2021,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,Laki-Laki,9
Januari,2021,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,Laki-Laki,16
Januari,2021,JAKARTA PUSAT,TANAH ABANG,PETAMBURAN,Laki-Laki,22
Januari,2021,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,Laki-Laki,27
Januari,2021,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,Laki-Laki,11
Januari,2021,JAKARTA PUSAT,TANAH ABANG,KAMPUNG BALI,Laki-Laki,3
Januari,2021,JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,Laki-Laki,17
Januari,2021,JAKARTA PUSAT,JOHAR BARU,KAMPUNG RAWA,Laki-Laki,9
