,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
0,Afghanistan,AFG,2021-05-11,504502.0,448878.0,55624.0,12.0,40295077.0,1.1139772732038704
1,Afghanistan,AFG,2021-05-20,547901.0,470341.0,77560.0,10.0,40295077.0,1.1672418444565822
2,Afghanistan,AFG,2021-05-24,573277.0,476367.0,96910.0,10.0,40295077.0,1.182196524900548
3,Afghanistan,AFG,2021-05-26,590454.0,479372.0,111082.0,19.0,40295077.0,1.1896540115806205
4,Afghanistan,AFG,2021-05-27,593313.0,479574.0,113739.0,14.0,40295077.0,1.1901553135138567
5,Afghanistan,AFG,2021-05-30,600152.0,480226.0,119926.0,20.0,40295077.0,1.1917733771795498
6,Afghanistan,AFG,2021-06-02,626290.0,481690.0,144600.0,34.0,40295077.0,1.1954065753491423
7,Afghanistan,AFG,2021-06-03,630305.0,481800.0,148505.0,27.0,40295077.0,1.1956795615504097
8,Afghanistan,AFG,2021-06-08,641295.0,482952.0,158343.0,64.0,40295077.0,1.1985384715854992
9,Afghanistan,AFG,2021-06-14,662003.0,484737.0,177266.0,85.0,40295077.0,1.2029682931242445
10,Afghanistan,AFG,2021-06-22,765890.0,582128.0,183762.0,78.0,40295077.0,1.444662830648022
11,Afghanistan,AFG,2021-06-27,835694.0,649434.0,186260.0,56.0,40295077.0,1.611695642125215
12,Afghanistan,AFG,2021-06-30,886854.0,699200.0,187654.0,77.0,40295077.0,1.7351995629639818
13,Afghanistan,AFG,2021-07-05,915671.0,726349.0,189322.0,84.0,40295077.0,1.80257503912947
14,Afghanistan,AFG,2021-07-07,934463.0,735213.0,199250.0,55.0,40295077.0,1.8245727635661295
15,Afghanistan,AFG,2021-07-11,962093.0,742934.0,219159.0,86.0,40295077.0,1.8437339132023496
16,Afghanistan,AFG,2021-08-20,1201286.0,770542.0,430744.0,7.0,40295077.0,1.912248486334944
17,Afghanistan,AFG,2021-11-14,4018197.0,3530173.0,3188609.0,0.0,40295077.0,8.760804700782678
18,Afghanistan,AFG,2021-11-20,5116767.0,4285440.0,3454113.0,0.0,40295077.0,10.635145330532561
19,Afghanistan,AFG,2021-11-27,5228706.0,4397449.0,3566192.0,0.0,40295077.0,10.913117252512011
