,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
182,Algeria,DZA,2021-08-20,4146091.0,3421279.0,724812.0,31.0,44996174.0,7.6034886877270935
183,Algeria,DZA,2021-09-04,8000000.0,5000000.0,3000000.0,34.0,44996174.0,11.112055882795724
184,Algeria,DZA,2021-09-25,10049978.0,6017036.0,4032942.0,10.0,44996174.0,13.37232805615873
185,Algeria,DZA,2021-10-24,11080739.0,6328806.0,4751933.0,3.0,44996174.0,14.065209188674574
186,Algeria,DZA,2021-10-27,11148720.0,6351998.0,4796722.0,5.0,44996174.0,14.116751348681333
187,Algeria,DZA,2021-10-30,11179354.0,6364327.0,4815027.0,6.0,44996174.0,14.14415145607713
188,Algeria,DZA,2021-11-02,11271319.0,6399209.0,4872110.0,4.0,44996174.0,14.22167360273787
189,Algeria,DZA,2021-11-08,11316115.0,6418827.0,4897288.0,4.0,44996174.0,14.265272865199606
190,Algeria,DZA,2021-11-13,11376816.0,6446373.0,4930443.0,5.0,44996174.0,14.326491403469104
191,Algeria,DZA,2021-11-21,12008974.0,6697263.0,5298544.0,0.0,44996174.0,14.884072143556025
192,Algeria,DZA,2021-11-22,12032500.0,6703364.0,5314016.0,6.0,44996174.0,14.897631074144215
193,Algeria,DZA,2021-11-25,12076870.0,6716299.0,5340231.0,5.0,44996174.0,14.926377962713008
194,Algeria,DZA,2021-11-29,12145830.0,6740064.0,5380385.0,6.0,44996174.0,14.979193564323936
195,Algeria,DZA,2021-11-30,12293060.0,6875003.0,5391232.0,6.0,44996174.0,15.279083506077649
196,Algeria,DZA,2021-12-14,12437324.0,7019879.0,5554702.0,6.0,44996174.0,15.601057547692832
