,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
221,Angola,AGO,2021-05-12,626572.0,586377.0,40195.0,3.0,34472807.0,1.7009841989368606
222,Angola,AGO,2021-05-18,681502.0,606287.0,75215.0,18.0,34472807.0,1.7587398670494108
223,Angola,AGO,2021-05-21,757535.0,630984.0,126551.0,8.0,34472807.0,1.83038184270866
224,Angola,AGO,2021-05-26,859979.0,663049.0,196930.0,4.0,34472807.0,1.923397186657878
225,Angola,AGO,2021-05-31,909215.0,679034.0,230181.0,7.0,34472807.0,1.9697670688667737
226,Angola,AGO,2021-06-08,1115919.0,740289.0,375630.0,3.0,34472807.0,2.147457849893106
227,Angola,AGO,2021-06-10,1222630.0,774926.0,447704.0,8.0,34472807.0,2.247934147051036
228,Angola,AGO,2021-06-15,1314375.0,822109.0,492266.0,5.0,34472807.0,2.384804347380241
229,Angola,AGO,2021-06-20,1380174.0,866381.0,513793.0,3.0,34472807.0,2.5132302106991173
230,Angola,AGO,2021-06-24,1432699.0,909119.0,523580.0,3.0,34472807.0,2.6372061897947563
231,Angola,AGO,2021-06-28,1488292.0,943301.0,544991.0,2.0,34472807.0,2.736362606039015
232,Angola,AGO,2021-07-05,1513460.0,951772.0,561688.0,3.0,34472807.0,2.760935597730698
233,Angola,AGO,2021-07-12,1558201.0,958373.0,599828.0,6.0,34472807.0,2.7800840239090485
234,Angola,AGO,2021-07-19,1592537.0,958373.0,634164.0,3.0,34472807.0,2.7800840239090485
235,Angola,AGO,2021-08-03,1680059.0,969946.0,710113.0,2.0,34472807.0,2.813655412511084
236,Angola,AGO,2021-08-09,1695588.0,972978.0,722610.0,5.0,34472807.0,2.8224507508193337
237,Angola,AGO,2021-08-16,1727488.0,1000191.0,727297.0,14.0,34472807.0,2.9013912328056137
238,Angola,AGO,2021-08-20,1754073.0,1025762.0,728311.0,8.0,34472807.0,2.9755685401539824
239,Angola,AGO,2021-08-25,1841568.0,1110558.0,731010.0,3.0,34472807.0,3.2215479290676847
240,Angola,AGO,2021-09-01,2086325.0,1165755.0,920570.0,7.0,34472807.0,3.3816654385005553
241,Angola,AGO,2021-09-11,2469333.0,1510880.0,958453.0,9.0,34472807.0,4.382816867799597
242,Angola,AGO,2021-09-19,2820134.0,1836547.0,983587.0,10.0,34472807.0,5.327523807388241
243,Angola,AGO,2021-09-26,3134137.0,2127405.0,1006732.0,16.0,34472807.0,6.171255505825214
244,Angola,AGO,2021-10-08,4074677.0,2863708.0,1210969.0,5.0,34472807.0,8.307150618747118
245,Angola,AGO,2021-10-14,4448653.0,3158501.0,1290152.0,8.0,34472807.0,9.162297111459477
246,Angola,AGO,2021-10-18,5224697.0,3787300.0,1437397.0,2.0,34472807.0,10.986340624945335
247,Angola,AGO,2021-10-20,5661085.0,4126328.0,1534757.0,8.0,34472807.0,11.969805650001176
248,Angola,AGO,2021-10-26,6164219.0,4498272.0,1665947.0,4.0,34472807.0,13.04875463144037
249,Angola,AGO,2021-11-02,6647925.0,4846094.0,1801831.0,3.0,34472807.0,14.05772961859474
250,Angola,AGO,2021-11-07,7246966.0,5269623.0,1977343.0,0.0,34472807.0,15.286318285598268
251,Angola,AGO,2021-11-11,7806481.0,5802574.0,2003907.0,0.0,34472807.0,16.832322357735475
252,Angola,AGO,2021-11-18,8231981.0,5950213.0,2281768.0,0.0,34472807.0,17.26059905710608
253,Angola,AGO,2021-11-21,8798259.0,6145451.0,2652808.0,1.0,34472807.0,17.82695270506982
254,Angola,AGO,2021-11-24,9026310.0,6266044.0,2760266.0,0.0,34472807.0,18.176773362262033
255,Angola,AGO,2021-12-06,10018061.0,6737721.0,3280340.0,0.0,34472807.0,19.545031537466613
256,Angola,AGO,2021-12-09,10319552.0,7003795.0,3315757.0,0.0,34472807.0,20.3168688874103
257,Angola,AGO,2021-12-15,10805281.0,7246240.0,3559041.0,0.0,34472807.0,21.0201623557954
258,Angola,AGO,2021-12-23,11164918.0,7423668.0,3741250.0,0.0,34472807.0,21.534852093709688
