,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
281,Antigua and Barbuda,ATG,2021-05-17,34441.0,31860.0,2581.0,0.0,99098.0,32.149992936285294
282,Antigua and Barbuda,ATG,2021-05-21,39519.0,32469.0,7050.0,0.0,99098.0,32.764536115764194
283,Antigua and Barbuda,ATG,2021-05-25,42009.0,32759.0,9250.0,0.0,99098.0,33.05717572503986
284,Antigua and Barbuda,ATG,2021-05-26,44230.0,32876.0,11354.0,0.0,99098.0,33.175240670851075
285,Antigua and Barbuda,ATG,2021-05-27,45939.0,33024.0,12915.0,0.0,99098.0,33.32458778179176
286,Antigua and Barbuda,ATG,2021-05-29,48347.0,33214.0,15133.0,0.0,99098.0,33.51631718097237
287,Antigua and Barbuda,ATG,2021-05-31,50329.0,33463.0,16866.0,0.0,99098.0,33.767583604109056
288,Antigua and Barbuda,ATG,2021-06-03,51811.0,33632.0,18179.0,0.0,99098.0,33.93812185916971
289,Antigua and Barbuda,ATG,2021-06-06,55578.0,34084.0,21494.0,0.0,99098.0,34.394236008799375
290,Antigua and Barbuda,ATG,2021-06-07,57264.0,34368.0,22896.0,0.0,99098.0,34.680821005469326
291,Antigua and Barbuda,ATG,2021-06-09,58074.0,34644.0,23430.0,0.0,99098.0,34.959333185331694
292,Antigua and Barbuda,ATG,2021-06-12,58727.0,34883.0,23844.0,0.0,99098.0,35.200508587458884
293,Antigua and Barbuda,ATG,2021-06-15,59582.0,35257.0,24325.0,0.0,99098.0,35.57791277321439
294,Antigua and Barbuda,ATG,2021-06-17,62204.0,35611.0,26593.0,0.0,99098.0,35.93513491695089
295,Antigua and Barbuda,ATG,2021-06-20,62809.0,35768.0,27041.0,0.0,99098.0,36.09356394680014
296,Antigua and Barbuda,ATG,2021-06-29,63995.0,36432.0,27563.0,0.0,99098.0,36.76360774183132
297,Antigua and Barbuda,ATG,2021-07-01,64455.0,36583.0,27872.0,0.0,99098.0,36.91598215907486
298,Antigua and Barbuda,ATG,2021-07-04,64696.0,36692.0,28004.0,0.0,99098.0,37.02597428807847
299,Antigua and Barbuda,ATG,2021-07-06,64823.0,36749.0,28074.0,0.0,99098.0,37.083493107832645
300,Antigua and Barbuda,ATG,2021-07-08,65077.0,36826.0,28251.0,0.0,99098.0,37.161193969605854
301,Antigua and Barbuda,ATG,2021-07-09,65337.0,36908.0,28429.0,0.0,99098.0,37.243940341883786
302,Antigua and Barbuda,ATG,2021-07-13,65656.0,37045.0,28611.0,0.0,99098.0,37.38218732971402
303,Antigua and Barbuda,ATG,2021-07-15,65757.0,37092.0,28665.0,0.0,99098.0,37.42961512845871
304,Antigua and Barbuda,ATG,2021-07-18,66124.0,37316.0,28808.0,0.0,99098.0,37.655653999071625
305,Antigua and Barbuda,ATG,2021-07-20,66408.0,37448.0,28960.0,0.0,99098.0,37.7888554763971
306,Antigua and Barbuda,ATG,2021-07-21,66522.0,37498.0,29024.0,0.0,99098.0,37.83931058144463
307,Antigua and Barbuda,ATG,2021-07-22,67847.0,37555.0,30292.0,0.0,99098.0,37.896829401198815
308,Antigua and Barbuda,ATG,2021-07-25,68271.0,37841.0,30430.0,0.0,99098.0,38.18543260207068
309,Antigua and Barbuda,ATG,2021-07-28,68715.0,38067.0,30648.0,0.0,99098.0,38.41348967688551
310,Antigua and Barbuda,ATG,2021-07-29,68850.0,38146.0,30704.0,0.0,99098.0,38.4932087428606
311,Antigua and Barbuda,ATG,2021-08-02,69290.0,38362.0,30928.0,0.0,99098.0,38.71117479666593
312,Antigua and Barbuda,ATG,2021-08-04,69518.0,38462.0,31056.0,0.0,99098.0,38.81208500676098
313,Antigua and Barbuda,ATG,2021-08-07,69903.0,38605.0,31298.0,0.0,99098.0,38.956386607196926
314,Antigua and Barbuda,ATG,2021-08-10,70019.0,38605.0,31414.0,0.0,99098.0,38.956386607196926
315,Antigua and Barbuda,ATG,2021-08-14,71065.0,39039.0,32026.0,0.0,99098.0,39.39433691900946
316,Antigua and Barbuda,ATG,2021-08-16,71434.0,39186.0,32248.0,0.0,99098.0,39.542674927849205
317,Antigua and Barbuda,ATG,2021-08-19,71600.0,39230.0,32370.0,0.0,99098.0,39.58707542029102
318,Antigua and Barbuda,ATG,2021-08-22,72282.0,39466.0,32816.0,0.0,99098.0,39.82522351611536
319,Antigua and Barbuda,ATG,2021-08-24,72902.0,39808.0,33094.0,0.0,99098.0,40.17033643464046
320,Antigua and Barbuda,ATG,2021-08-28,73700.0,40309.0,33391.0,0.0,99098.0,40.675896587216684
321,Antigua and Barbuda,ATG,2021-08-30,74637.0,40795.0,33842.0,1.0,99098.0,41.16632020827867
322,Antigua and Barbuda,ATG,2021-08-31,75069.0,41061.0,34008.0,0.0,99098.0,41.43474136713154
323,Antigua and Barbuda,ATG,2021-09-07,77997.0,42938.0,35059.0,0.0,99098.0,43.32882601061576
324,Antigua and Barbuda,ATG,2021-09-10,79390.0,43681.0,35709.0,0.0,99098.0,44.07858887162203
325,Antigua and Barbuda,ATG,2021-09-13,79922.0,43949.0,35973.0,0.0,99098.0,44.34902823467679
326,Antigua and Barbuda,ATG,2021-09-17,81915.0,45099.0,36816.0,0.0,99098.0,45.50949565076994
327,Antigua and Barbuda,ATG,2021-09-24,89252.0,48580.0,40672.0,2.0,99098.0,49.0221800641789
328,Antigua and Barbuda,ATG,2021-09-28,93318.0,51148.0,42170.0,1.0,99098.0,51.61355425941996
329,Antigua and Barbuda,ATG,2021-10-02,96160.0,53171.0,42989.0,2.0,99098.0,53.654967809642976
330,Antigua and Barbuda,ATG,2021-10-04,97384.0,53736.0,43648.0,1.0,99098.0,54.22511049668005
331,Antigua and Barbuda,ATG,2021-10-06,97831.0,53958.0,43873.0,0.0,99098.0,54.449131163091074
332,Antigua and Barbuda,ATG,2021-10-09,98840.0,54435.0,44405.0,1.0,99098.0,54.930472865244504
333,Antigua and Barbuda,ATG,2021-10-13,99846.0,54758.0,45088.0,0.0,99098.0,55.256412843851535
334,Antigua and Barbuda,ATG,2021-10-16,101390.0,55103.0,46287.0,0.0,99098.0,55.60455306867949
335,Antigua and Barbuda,ATG,2021-10-19,102834.0,55536.0,47298.0,0.0,99098.0,56.04149427839109
336,Antigua and Barbuda,ATG,2021-10-23,104500.0,55703.0,48797.0,0.0,99098.0,56.21001432924984
337,Antigua and Barbuda,ATG,2021-10-26,105502.0,55942.0,49560.0,0.0,99098.0,56.45118973137701
338,Antigua and Barbuda,ATG,2021-10-30,106387.0,56269.0,50118.0,0.0,99098.0,56.78116611838786
339,Antigua and Barbuda,ATG,2021-11-05,108001.0,57058.0,50943.0,2.0,99098.0,57.57734767603785
340,Antigua and Barbuda,ATG,2021-11-08,111186.0,58497.0,52689.0,1.0,99098.0,59.029445599305745
341,Antigua and Barbuda,ATG,2021-11-16,115487.0,60789.0,54698.0,0.0,99098.0,61.34230761468446
342,Antigua and Barbuda,ATG,2021-11-21,116527.0,61097.0,55430.0,0.0,99098.0,61.65311106177723
343,Antigua and Barbuda,ATG,2021-11-23,117072.0,61271.0,55801.0,0.0,99098.0,61.82869482734264
344,Antigua and Barbuda,ATG,2021-11-26,117637.0,61418.0,56219.0,0.0,99098.0,61.97703283618237
345,Antigua and Barbuda,ATG,2021-12-05,118765.0,61420.0,57345.0,0.0,99098.0,61.97905104038427
346,Antigua and Barbuda,ATG,2021-12-10,119809.0,61921.0,57888.0,0.0,99098.0,62.48461119296051
347,Antigua and Barbuda,ATG,2021-12-19,120657.0,62154.0,58503.0,0.0,99098.0,62.719731982481996
