,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
348,Argentina,ARG,2021-01-20,247933.0,243539.0,4394.0,425.0,45811768.0,0.5316079484205892
349,Argentina,ARG,2021-01-21,265724.0,249372.0,16352.0,234.0,45811768.0,0.5443404847418244
350,Argentina,ARG,2021-01-22,279602.0,254456.0,25146.0,150.0,45811768.0,0.5554380699736364
351,Argentina,ARG,2021-01-23,288064.0,258876.0,29188.0,139.0,45811768.0,0.5650862459619546
352,Argentina,ARG,2021-01-24,292023.0,260036.0,31987.0,220.0,45811768.0,0.5676183464475766
353,Argentina,ARG,2021-01-25,292386.0,260122.0,32264.0,162.0,45811768.0,0.5678060711387519
354,Argentina,ARG,2021-01-26,305880.0,266969.0,38911.0,90.0,45811768.0,0.5827520125396601
355,Argentina,ARG,2021-01-27,318033.0,272323.0,45710.0,207.0,45811768.0,0.5944389659879532
356,Argentina,ARG,2021-01-28,327999.0,276548.0,51451.0,219.0,45811768.0,0.6036614871532572
357,Argentina,ARG,2021-01-29,344034.0,278451.0,65583.0,182.0,45811768.0,0.6078154416568249
358,Argentina,ARG,2021-01-30,366384.0,281023.0,85361.0,166.0,45811768.0,0.6134297196301177
359,Argentina,ARG,2021-02-01,375851.0,281577.0,94274.0,156.0,45811768.0,0.6146390158965269
360,Argentina,ARG,2021-02-03,396562.0,284196.0,112366.0,275.0,45811768.0,0.6203558875963923
361,Argentina,ARG,2021-02-04,444018.0,297717.0,146301.0,177.0,45811768.0,0.6498701381706116
362,Argentina,ARG,2021-02-06,471383.0,307501.0,163882.0,161.0,45811768.0,0.671227096059685
363,Argentina,ARG,2021-02-07,501152.0,319316.0,181836.0,285.0,45811768.0,0.6970174126438429
364,Argentina,ARG,2021-02-08,511582.0,322318.0,189264.0,125.0,45811768.0,0.7035703140730128
365,Argentina,ARG,2021-02-09,513178.0,322975.0,190203.0,61.0,45811768.0,0.7050044433997833
366,Argentina,ARG,2021-02-10,535303.0,337772.0,197531.0,227.0,45811768.0,0.7373040045081867
367,Argentina,ARG,2021-02-11,572928.0,362649.0,210279.0,158.0,45811768.0,0.7916066456985462
368,Argentina,ARG,2021-02-12,591632.0,368023.0,223609.0,118.0,45811768.0,0.8033372560517638
369,Argentina,ARG,2021-02-13,606245.0,371629.0,234616.0,200.0,45811768.0,0.8112085960096542
370,Argentina,ARG,2021-02-14,609605.0,372122.0,237483.0,314.0,45811768.0,0.8122847387160435
371,Argentina,ARG,2021-02-15,609791.0,372181.0,237610.0,48.0,45811768.0,0.8124135265855709
