,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
907,Australia,AUS,2021-02-23,6914.0,6911.0,3.0,0.0,25934634.0,0.026647763758686552
908,Australia,AUS,2021-02-24,16629.0,16626.0,3.0,0.0,25934634.0,0.06410732459150956
909,Australia,AUS,2021-02-25,23510.0,23501.0,9.0,0.0,25934634.0,0.09061627783141264
910,Australia,AUS,2021-02-26,30000.0,29989.0,11.0,0.0,25934634.0,0.11563301799439316
911,Australia,AUS,2021-02-27,31894.0,31882.0,12.0,0.0,25934634.0,0.12293213777375844
912,Australia,AUS,2021-02-28,34630.0,34618.0,12.0,0.0,25934634.0,0.13348173720130388
913,Australia,AUS,2021-03-01,41907.0,41895.0,12.0,0.0,25934634.0,0.16154074123428927
914,Australia,AUS,2021-03-02,51070.0,51058.0,12.0,0.0,25934634.0,0.19687187411243204
915,Australia,AUS,2021-03-03,61009.0,60994.0,15.0,0.0,25934634.0,0.235183577296676
916,Australia,AUS,2021-03-04,71867.0,71848.0,19.0,0.0,25934634.0,0.2770349487098989
917,Australia,AUS,2021-03-05,76940.0,76916.0,24.0,0.0,25934634.0,0.2965763850764194
918,Australia,AUS,2021-03-06,81345.0,81321.0,24.0,0.0,25934634.0,0.3135613943886773
919,Australia,AUS,2021-03-07,86369.0,86345.0,24.0,0.0,25934634.0,0.3329331734544625
920,Australia,AUS,2021-03-08,94908.0,94884.0,24.0,0.0,25934634.0,0.3658582573403581
921,Australia,AUS,2021-03-09,108328.0,108301.0,27.0,0.0,25934634.0,0.4175921665214168
922,Australia,AUS,2021-03-10,125000.0,124972.0,28.0,0.0,25934634.0,0.4818730042614058
923,Australia,AUS,2021-03-11,135109.0,135077.0,32.0,0.0,25934634.0,0.5208363457143833
924,Australia,AUS,2021-03-12,159294.0,159260.0,34.0,0.0,25934634.0,0.6140823117071943
925,Australia,AUS,2021-03-13,162551.0,162517.0,34.0,0.0,25934634.0,0.6266408078093564
926,Australia,AUS,2021-03-14,164781.0,164746.0,35.0,0.0,25934634.0,0.635235492430701
927,Australia,AUS,2021-03-15,182437.0,182214.0,223.0,0.0,25934634.0,0.7025894408226467
928,Australia,AUS,2021-03-16,203557.0,203032.0,525.0,0.0,25934634.0,0.7828604791569451
929,Australia,AUS,2021-03-17,226057.0,224711.0,1346.0,0.0,25934634.0,0.8664514023988154
930,Australia,AUS,2021-03-18,240754.0,238673.0,2081.0,0.0,25934634.0,0.9202867486003464
931,Australia,AUS,2021-03-19,253831.0,251060.0,2771.0,0.0,25934634.0,0.9680491346050998
932,Australia,AUS,2021-03-20,256782.0,253858.0,2924.0,0.0,25934634.0,0.9788377965927724
933,Australia,AUS,2021-03-21,281960.0,262283.0,19677.0,0.0,25934634.0,1.0113233138358535
934,Australia,AUS,2021-03-22,312502.0,289317.0,23185.0,0.0,25934634.0,1.1155623017467684
935,Australia,AUS,2021-03-23,358502.0,334123.0,24379.0,0.0,25934634.0,1.2883274157638007
936,Australia,AUS,2021-03-24,408410.0,379837.0,28573.0,0.0,25934634.0,1.4645936395323718
937,Australia,AUS,2021-03-25,460155.0,427294.0,32861.0,0.0,25934634.0,1.6475806059187108
