,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
1209,Austria,AUT,2021-01-14,85603.0,85602.0,1.0,56.0,9062176.0,0.9446075644525112
1210,Austria,AUT,2021-01-15,104234.0,104233.0,1.0,58.0,9062176.0,1.1501983629538866
1211,Austria,AUT,2021-01-16,111150.0,111137.0,13.0,48.0,9062176.0,1.2263831556570959
1212,Austria,AUT,2021-01-17,116893.0,116492.0,401.0,52.0,9062176.0,1.2854749234620912
1213,Austria,AUT,2021-01-18,128439.0,127116.0,1322.0,51.0,9062176.0,1.4027094596264738
1214,Austria,AUT,2021-01-19,154782.0,151953.0,2827.0,42.0,9062176.0,1.6767827064934515
1215,Austria,AUT,2021-01-20,178559.0,174394.0,4162.0,51.0,9062176.0,1.9244163874107056
1216,Austria,AUT,2021-01-21,198603.0,194263.0,4337.0,39.0,9062176.0,2.1436683639779237
1217,Austria,AUT,2021-01-22,210266.0,205313.0,4950.0,35.0,9062176.0,2.2656037578612467
1218,Austria,AUT,2021-01-23,213452.0,208486.0,4963.0,52.0,9062176.0,2.3006174234532635
1219,Austria,AUT,2021-01-24,214738.0,209759.0,4976.0,36.0,9062176.0,2.3146648222237127
1220,Austria,AUT,2021-01-25,216286.0,211186.0,5096.0,54.0,9062176.0,2.3304115920944373
1221,Austria,AUT,2021-01-26,225097.0,219069.0,6024.0,34.0,9062176.0,2.417399529649391
1222,Austria,AUT,2021-01-27,233238.0,226668.0,6566.0,42.0,9062176.0,2.5012535620583844
1223,Austria,AUT,2021-01-28,243305.0,234032.0,9269.0,49.0,9062176.0,2.582514398307868
1224,Austria,AUT,2021-01-29,258566.0,239469.0,19093.0,40.0,9062176.0,2.6425110260493727
1225,Austria,AUT,2021-01-30,262335.0,240833.0,21498.0,40.0,9062176.0,2.6575625986518028
1226,Austria,AUT,2021-01-31,263779.0,241256.0,22519.0,44.0,9062176.0,2.66223035173892
1227,Austria,AUT,2021-02-01,268618.0,242888.0,25726.0,35.0,9062176.0,2.6802392714509184
1228,Austria,AUT,2021-02-02,286393.0,246047.0,40337.0,39.0,9062176.0,2.7150984487610925
1229,Austria,AUT,2021-02-03,304896.0,249277.0,55610.0,38.0,9062176.0,2.750741102357756
1230,Austria,AUT,2021-02-04,325939.0,252176.0,73754.0,41.0,9062176.0,2.782731211576557
1231,Austria,AUT,2021-02-05,347477.0,256375.0,91093.0,30.0,9062176.0,2.82906666125222
1232,Austria,AUT,2021-02-06,356735.0,259158.0,97567.0,30.0,9062176.0,2.8597767247071784
1233,Austria,AUT,2021-02-07,361797.0,259789.0,101998.0,25.0,9062176.0,2.8667397322673938
1234,Austria,AUT,2021-02-08,371705.0,261868.0,109827.0,27.0,9062176.0,2.8896812421210982
1235,Austria,AUT,2021-02-09,391574.0,264789.0,126775.0,27.0,9062176.0,2.9219141186399384
1236,Austria,AUT,2021-02-10,413867.0,268446.0,145411.0,28.0,9062176.0,2.9622686648328167
1237,Austria,AUT,2021-02-11,438999.0,273914.0,165075.0,29.0,9062176.0,3.0226073737698322
1238,Austria,AUT,2021-02-12,466151.0,282559.0,183582.0,32.0,9062176.0,3.118003887807961
1239,Austria,AUT,2021-02-13,476701.0,287939.0,188752.0,23.0,9062176.0,3.1773715275448198
1240,Austria,AUT,2021-02-14,478798.0,288430.0,190358.0,24.0,9062176.0,3.182789652286603
1241,Austria,AUT,2021-02-15,486026.0,292388.0,193628.0,24.0,9062176.0,3.2264656965391096
1242,Austria,AUT,2021-02-16,500909.0,299503.0,201382.0,20.0,9062176.0,3.3049788483472406
1243,Austria,AUT,2021-02-17,520824.0,309689.0,211111.0,24.0,9062176.0,3.417380108265388
1244,Austria,AUT,2021-02-18,540970.0,321652.0,219294.0,20.0,9062176.0,3.549390345100338
1245,Austria,AUT,2021-02-19,562635.0,334744.0,227867.0,29.0,9062176.0,3.693858958378208
1246,Austria,AUT,2021-02-20,575780.0,346166.0,229589.0,21.0,9062176.0,3.819899326607649
1247,Austria,AUT,2021-02-21,581850.0,351844.0,229981.0,16.0,9062176.0,3.882555359772311
1248,Austria,AUT,2021-02-22,588929.0,357033.0,231871.0,20.0,9062176.0,3.9398153379497387
1249,Austria,AUT,2021-02-23,604091.0,367657.0,236409.0,22.0,9062176.0,4.05704987411412
1250,Austria,AUT,2021-02-24,624189.0,384215.0,239949.0,24.0,9062176.0,4.239765372025438
1251,Austria,AUT,2021-02-25,644476.0,400747.0,243704.0,21.0,9062176.0,4.42219396312762
1252,Austria,AUT,2021-02-26,674208.0,425421.0,248762.0,18.0,9062176.0,4.694468524998851
1253,Austria,AUT,2021-02-27,699493.0,448719.0,250749.0,19.0,9062176.0,4.951559095740361
1254,Austria,AUT,2021-02-28,709744.0,458448.0,251271.0,19.0,9062176.0,5.058917416744056
1255,Austria,AUT,2021-03-01,718812.0,466610.0,252177.0,23.0,9062176.0,5.1489840850586
1256,Austria,AUT,2021-03-02,744733.0,490069.0,254638.0,22.0,9062176.0,5.407851271041304
1257,Austria,AUT,2021-03-03,773173.0,516066.0,257082.0,15.0,9062176.0,5.694724975546713
1258,Austria,AUT,2021-03-04,801078.0,541125.0,259928.0,18.0,9062176.0,5.971247965168631
1259,Austria,AUT,2021-03-05,838734.0,575599.0,263110.0,21.0,9062176.0,6.3516643243300495
1260,Austria,AUT,2021-03-06,867063.0,601367.0,265673.0,16.0,9062176.0,6.6360110419395975
1261,Austria,AUT,2021-03-07,879120.0,612754.0,266343.0,18.0,9062176.0,6.761665189464429
1262,Austria,AUT,2021-03-08,890966.0,623175.0,267767.0,26.0,9062176.0,6.876659645542087
1263,Austria,AUT,2021-03-09,919757.0,648344.0,271390.0,18.0,9062176.0,7.154396471664201
1264,Austria,AUT,2021-03-10,949064.0,673074.0,275967.0,18.0,9062176.0,7.4272889866628065
1265,Austria,AUT,2021-03-11,994309.0,712791.0,281496.0,21.0,9062176.0,7.865561207374476
1266,Austria,AUT,2021-03-12,1053536.0,766542.0,286972.0,19.0,9062176.0,8.458696895756606
1267,Austria,AUT,2021-03-13,1106328.0,813473.0,292833.0,25.0,9062176.0,8.976574721126582
1268,Austria,AUT,2021-03-14,1137680.0,840551.0,297107.0,25.0,9062176.0,9.275377127965733
1269,Austria,AUT,2021-03-15,1159064.0,859573.0,299472.0,27.0,9062176.0,9.485282563481443
1270,Austria,AUT,2021-03-16,1187987.0,881985.0,305996.0,25.0,9062176.0,9.732596232957736
1271,Austria,AUT,2021-03-17,1222999.0,908713.0,314286.0,25.0,9062176.0,10.027536432750807
1272,Austria,AUT,2021-03-18,1258271.0,935729.0,322544.0,23.0,9062176.0,10.325654677198942
1273,Austria,AUT,2021-03-19,1312867.0,981599.0,331271.0,32.0,9062176.0,10.831824497780666
1274,Austria,AUT,2021-03-20,1360693.0,1019671.0,341026.0,25.0,9062176.0,11.251944345375767
1275,Austria,AUT,2021-03-21,1376383.0,1031440.0,344947.0,30.0,9062176.0,11.381813816019466
1276,Austria,AUT,2021-03-22,1392690.0,1045117.0,347581.0,20.0,9062176.0,11.532737832502926
1277,Austria,AUT,2021-03-23,1429208.0,1064643.0,364575.0,27.0,9062176.0,11.748204846164985
1278,Austria,AUT,2021-03-24,1469612.0,1086715.0,382908.0,30.0,9062176.0,11.991766657367945
1279,Austria,AUT,2021-03-25,1516447.0,1116799.0,399665.0,18.0,9062176.0,12.323739905294271
1280,Austria,AUT,2021-03-26,1568271.0,1149575.0,418716.0,23.0,9062176.0,12.685419042843574
1281,Austria,AUT,2021-03-27,1610206.0,1176675.0,433555.0,30.0,9062176.0,12.984464216982765
1282,Austria,AUT,2021-03-28,1625016.0,1186750.0,438290.0,25.0,9062176.0,13.095640605523442
1283,Austria,AUT,2021-03-29,1652079.0,1208103.0,444001.0,23.0,9062176.0,13.33126833996603
1284,Austria,AUT,2021-03-30,1694048.0,1238067.0,456006.0,28.0,9062176.0,13.661917402619414
1285,Austria,AUT,2021-03-31,1729824.0,1260513.0,469346.0,31.0,9062176.0,13.909606257923038
1286,Austria,AUT,2021-04-01,1772456.0,1283709.0,488792.0,28.0,9062176.0,14.165571271182552
1287,Austria,AUT,2021-04-02,1817089.0,1308741.0,508398.0,28.0,9062176.0,14.441796319118057
1288,Austria,AUT,2021-04-03,1839168.0,1321655.0,517568.0,30.0,9062176.0,14.584300724241064
1289,Austria,AUT,2021-04-04,1849369.0,1330051.0,519375.0,34.0,9062176.0,14.676949553837844
1290,Austria,AUT,2021-04-05,1862138.0,1337972.0,524230.0,26.0,9062176.0,14.764356816729224
1291,Austria,AUT,2021-04-06,1900860.0,1364500.0,536429.0,39.0,9062176.0,15.0570900410674
1292,Austria,AUT,2021-04-07,1957407.0,1404608.0,552872.0,28.0,9062176.0,15.4996768987934
1293,Austria,AUT,2021-04-08,2031286.0,1452382.0,578991.0,22.0,9062176.0,16.02685712570579
1294,Austria,AUT,2021-04-09,2110882.0,1498228.0,612740.0,36.0,9062176.0,16.53276210923293
1295,Austria,AUT,2021-04-10,2176992.0,1535228.0,641860.0,32.0,9062176.0,16.941052568389757
1296,Austria,AUT,2021-04-11,2203265.0,1545720.0,657653.0,35.0,9062176.0,17.056830500753904
1297,Austria,AUT,2021-04-12,2238879.0,1574136.0,664857.0,27.0,9062176.0,17.37039757338635
1298,Austria,AUT,2021-04-13,2284665.0,1608147.0,676633.0,26.0,9062176.0,17.74570478436967
1299,Austria,AUT,2021-04-14,2353357.0,1662741.0,690730.0,28.0,9062176.0,18.34814287429421
1300,Austria,AUT,2021-04-15,2428715.0,1718739.0,710087.0,30.0,9062176.0,18.96607393191216
1301,Austria,AUT,2021-04-16,2500012.0,1771169.0,728956.0,34.0,9062176.0,19.54463254741466
1302,Austria,AUT,2021-04-17,2558648.0,1807590.0,751174.0,27.0,9062176.0,19.946533812629553
1303,Austria,AUT,2021-04-18,2578111.0,1822677.0,755550.0,28.0,9062176.0,20.113017006070066
1304,Austria,AUT,2021-04-19,2610380.0,1849073.0,761422.0,31.0,9062176.0,20.404293626608
1305,Austria,AUT,2021-04-20,2656480.0,1882251.0,774344.0,23.0,9062176.0,20.770408784821655
1306,Austria,AUT,2021-04-21,2720638.0,1935435.0,785320.0,22.0,9062176.0,21.35728769778914
1307,Austria,AUT,2021-04-22,2792441.0,1996422.0,796135.0,43.0,9062176.0,22.03027175812961
