,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
1818,Bahrain,BHR,2021-03-06,506519.0,307145.0,199374.0,6.0,1771444.0,17.338679630854827
1819,Bahrain,BHR,2021-03-07,509907.0,308465.0,201442.0,1.0,1771444.0,17.413195110881286
1820,Bahrain,BHR,2021-03-08,512420.0,309741.0,202679.0,3.0,1771444.0,17.485226741573538
1821,Bahrain,BHR,2021-03-09,514559.0,310644.0,203915.0,1.0,1771444.0,17.536202104046193
1822,Bahrain,BHR,2021-03-10,517901.0,311829.0,206072.0,1.0,1771444.0,17.603096682706312
1823,Bahrain,BHR,2021-03-11,520429.0,312104.0,208325.0,2.0,1771444.0,17.618620741045156
1824,Bahrain,BHR,2021-03-12,522344.0,312119.0,210225.0,2.0,1771444.0,17.619467507863646
1825,Bahrain,BHR,2021-03-13,534625.0,322508.0,212117.0,2.0,1771444.0,18.20593820634465
1826,Bahrain,BHR,2021-03-14,551197.0,337016.0,214181.0,1.0,1771444.0,19.024931073180976
1827,Bahrain,BHR,2021-03-15,566796.0,349970.0,216826.0,3.0,1771444.0,19.756198897622504
1828,Bahrain,BHR,2021-03-16,580539.0,361241.0,219298.0,1.0,1771444.0,20.392459485030294
1829,Bahrain,BHR,2021-03-17,597446.0,374873.0,222573.0,2.0,1771444.0,21.162001169667228
1830,Bahrain,BHR,2021-03-18,613946.0,386426.0,227520.0,2.0,1771444.0,21.814180973262488
1831,Bahrain,BHR,2021-03-19,626751.0,396356.0,230395.0,2.0,1771444.0,22.374740607097937
1832,Bahrain,BHR,2021-03-20,640104.0,407322.0,232782.0,2.0,1771444.0,22.993783602529913
1833,Bahrain,BHR,2021-03-21,653236.0,417364.0,235872.0,5.0,1771444.0,23.560665761943365
1834,Bahrain,BHR,2021-03-22,667155.0,428240.0,238915.0,2.0,1771444.0,24.174628156464443
1835,Bahrain,BHR,2021-03-23,680081.0,439433.0,240648.0,2.0,1771444.0,24.80648555641612
1836,Bahrain,BHR,2021-03-24,694679.0,452551.0,242128.0,1.0,1771444.0,25.547011364739728
1837,Bahrain,BHR,2021-03-25,707980.0,464040.0,243940.0,4.0,1771444.0,26.195578296576127
1838,Bahrain,BHR,2021-03-26,717408.0,471927.0,245481.0,1.0,1771444.0,26.64080828973425
1839,Bahrain,BHR,2021-03-27,724001.0,478094.0,245907.0,4.0,1771444.0,26.98894235437304
1840,Bahrain,BHR,2021-03-28,735717.0,487640.0,248077.0,1.0,1771444.0,27.52782475765534
1841,Bahrain,BHR,2021-03-29,747008.0,496492.0,250516.0,0.0,1771444.0,28.027530082802507
1842,Bahrain,BHR,2021-03-30,755549.0,502541.0,253008.0,2.0,1771444.0,28.369002915135894
1843,Bahrain,BHR,2021-03-31,766317.0,510877.0,255440.0,2.0,1771444.0,28.839579461727265
1844,Bahrain,BHR,2021-04-01,775196.0,517603.0,257593.0,4.0,1771444.0,29.21926970313484
1845,Bahrain,BHR,2021-04-02,782530.0,522955.0,259575.0,2.0,1771444.0,29.521396103969412
1846,Bahrain,BHR,2021-04-03,797924.0,527339.0,270585.0,4.0,1771444.0,29.76887781945125
1847,Bahrain,BHR,2021-04-04,817379.0,530415.0,286964.0,4.0,1771444.0,29.94252146836141
1848,Bahrain,BHR,2021-04-05,836788.0,534356.0,302432.0,5.0,1771444.0,30.164995337137384
1849,Bahrain,BHR,2021-04-06,856326.0,539956.0,316370.0,5.0,1771444.0,30.481121616037537
1850,Bahrain,BHR,2021-04-07,879825.0,546540.0,333285.0,4.0,1771444.0,30.852795798230144
1851,Bahrain,BHR,2021-04-08,900875.0,552084.0,348791.0,2.0,1771444.0,31.165760814341287
1852,Bahrain,BHR,2021-04-09,919222.0,557298.0,361924.0,1.0,1771444.0,31.460096960445828
1853,Bahrain,BHR,2021-04-10,939068.0,562253.0,376815.0,2.0,1771444.0,31.739812266151233
1854,Bahrain,BHR,2021-04-11,956471.0,565171.0,391300.0,4.0,1771444.0,31.9045366379067
1855,Bahrain,BHR,2021-04-12,973982.0,568892.0,405090.0,3.0,1771444.0,32.11459126001161
1856,Bahrain,BHR,2021-04-13,989363.0,573564.0,415799.0,5.0,1771444.0,32.3783308984083
1857,Bahrain,BHR,2021-04-14,1008746.0,578085.0,430661.0,4.0,1771444.0,32.63354641749894
1858,Bahrain,BHR,2021-04-15,1028323.0,582461.0,445862.0,3.0,1771444.0,32.88057652401092
