,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
2114,Bangladesh,BGD,2021-04-08,5664830.0,5583507.0,81323.0,74.0,167108159.0,3.341253373511224
2115,Bangladesh,BGD,2021-04-10,5821476.0,5603450.0,218026.0,77.0,167108159.0,3.3531875603991304
2116,Bangladesh,BGD,2021-04-11,6010824.0,5627107.0,383717.0,78.0,167108159.0,3.3673442599532204
2117,Bangladesh,BGD,2021-04-12,6172159.0,5649563.0,522596.0,83.0,167108159.0,3.380782263300502
2118,Bangladesh,BGD,2021-04-15,6617036.0,5686885.0,930151.0,94.0,167108159.0,3.4031163014607806
2119,Bangladesh,BGD,2021-04-18,7080699.0,5714090.0,1366609.0,102.0,167108159.0,3.4193961768198284
2120,Bangladesh,BGD,2021-04-20,7423274.0,5745085.0,1678189.0,91.0,167108159.0,3.437944044371885
2121,Bangladesh,BGD,2021-04-22,7746661.0,5778686.0,1967975.0,98.0,167108159.0,3.4580513809621944
2122,Bangladesh,BGD,2021-04-24,7954176.0,5798880.0,2155296.0,83.0,167108159.0,3.4701357699715905
2123,Bangladesh,BGD,2021-04-25,8145266.0,5818400.0,2326866.0,101.0,167108159.0,3.4818168273878234
2124,Bangladesh,BGD,2021-04-26,8277514.0,5819291.0,2458223.0,97.0,167108159.0,3.4823500149983704
2125,Bangladesh,BGD,2021-04-27,8398700.0,5819616.0,2579084.0,78.0,167108159.0,3.482544499817032
2126,Bangladesh,BGD,2021-04-28,8517801.0,5819646.0,2698155.0,77.0,167108159.0,3.4825624522618313
2127,Bangladesh,BGD,2021-04-29,8625350.0,5819656.0,2805694.0,88.0,167108159.0,3.482568436410097
2128,Bangladesh,BGD,2021-05-02,8755950.0,5819709.0,2936241.0,69.0,167108159.0,3.4826001523959103
2129,Bangladesh,BGD,2021-05-03,8842888.0,5819719.0,3023169.0,65.0,167108159.0,3.4826061365441765
2130,Bangladesh,BGD,2021-05-04,8926466.0,5819757.0,3106709.0,61.0,167108159.0,3.4826288763075897
2131,Bangladesh,BGD,2021-05-05,9030320.0,5819811.0,3210509.0,50.0,167108159.0,3.4826611907082285
2132,Bangladesh,BGD,2021-05-06,9133278.0,5819854.0,3313424.0,41.0,167108159.0,3.4826869225457746
2133,Bangladesh,BGD,2021-05-08,9221387.0,5819856.0,3401531.0,45.0,167108159.0,3.4826881193754278
2134,Bangladesh,BGD,2021-05-09,9316086.0,5819900.0,3496186.0,56.0,167108159.0,3.4827144496278013
2135,Bangladesh,BGD,2021-05-11,9413433.0,5819910.0,3593523.0,33.0,167108159.0,3.4827204337760675
2136,Bangladesh,BGD,2021-05-12,9471065.0,5819912.0,3651153.0,40.0,167108159.0,3.4827216306057203
2137,Bangladesh,BGD,2021-05-16,9519995.0,5819912.0,3700083.0,25.0,167108159.0,3.4827216306057203
