,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
2513,Belarus,BLR,2021-03-12,30944.0,20944.0,10000.0,7.0,9439371.0,0.2218791908910032
2514,Belarus,BLR,2021-03-26,66618.0,40518.0,26100.0,9.0,9439371.0,0.42924470285149297
2515,Belarus,BLR,2021-04-09,118100.0,92000.0,26100.0,10.0,9439371.0,0.9746412128520004
2516,Belarus,BLR,2021-04-23,328500.0,244000.0,84500.0,10.0,9439371.0,2.584917999303132
2517,Belarus,BLR,2021-05-07,450000.0,300000.0,150000.0,10.0,9439371.0,3.1781778679956534
2518,Belarus,BLR,2021-05-23,710922.0,438620.0,272302.0,9.0,9439371.0,4.646707921534179
2519,Belarus,BLR,2021-05-30,796834.0,517151.0,279683.0,0.0,9439371.0,5.4786595420394
2520,Belarus,BLR,2021-06-06,924926.0,610988.0,313938.0,8.0,9439371.0,6.4727617973697615
2521,Belarus,BLR,2021-06-13,1073282.0,701183.0,372099.0,11.0,9439371.0,7.4282809733826545
2522,Belarus,BLR,2021-07-18,1993857.0,1240581.0,753276.0,10.0,9439371.0,13.142623592186384
2523,Belarus,BLR,2021-07-25,2194993.0,1334540.0,860453.0,9.0,9439371.0,14.138018306516395
2524,Belarus,BLR,2021-08-01,2380101.0,1399234.0,980867.0,9.0,9439371.0,14.823381769823436
2525,Belarus,BLR,2021-08-10,2541745.0,1445967.0,1095778.0,9.0,9439371.0,15.318467724173573
2526,Belarus,BLR,2021-08-15,2684863.0,1496227.0,1188636.0,11.0,9439371.0,15.850918456325106
2527,Belarus,BLR,2021-08-22,2833242.0,1561907.0,1271335.0,11.0,9439371.0,16.546727530891626
2528,Belarus,BLR,2021-08-29,2963378.0,1626825.0,1336553.0,10.0,9439371.0,17.23446403367343
2529,Belarus,BLR,2021-09-05,3085256.0,1692439.0,1392817.0,12.0,9439371.0,17.92957390910899
2530,Belarus,BLR,2021-09-12,3206505.0,1751254.0,1455251.0,12.0,9439371.0,18.55265568012953
2531,Belarus,BLR,2021-09-19,3389520.0,1877399.0,1512121.0,13.0,9439371.0,19.88902650399057
2532,Belarus,BLR,2021-09-26,3628321.0,2059838.0,1568483.0,15.0,9439371.0,21.82177181085477
2533,Belarus,BLR,2021-10-03,3862369.0,2234696.0,1627673.0,14.0,9439371.0,23.674204562994717
2534,Belarus,BLR,2021-10-10,4218130.0,2468546.0,1749584.0,16.0,9439371.0,26.151594211097326
2535,Belarus,BLR,2021-10-17,4472001.0,2608819.0,1863182.0,17.0,9439371.0,27.63763602468851
2536,Belarus,BLR,2021-10-24,4766181.0,2759758.0,2006423.0,17.0,9439371.0,29.23667265541317
2537,Belarus,BLR,2021-11-07,5409635.0,3111709.0,2297926.0,18.0,9439371.0,32.96521558480962
2538,Belarus,BLR,2021-11-14,5685092.0,3259591.0,2425501.0,14.0,9439371.0,34.5318665830594
2539,Belarus,BLR,2021-11-21,5975709.0,3415261.0,2560448.0,16.0,9439371.0,36.18102307876235
2540,Belarus,BLR,2021-11-28,6331049.0,3618830.0,2712219.0,15.0,9439371.0,38.3376180467957
2541,Belarus,BLR,2021-12-05,6677937.0,3812391.0,2865546.0,17.0,9439371.0,40.388189001152725
2542,Belarus,BLR,2021-12-12,7217727.0,4064247.0,3039334.0,16.0,9439371.0,43.05633288489243
2543,Belarus,BLR,2021-12-19,7708200.0,4356041.0,3228165.0,16.0,9439371.0,46.147576994272185
