,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
3880,Bulgaria,BGR,2021-01-18,19638.0,18524.0,1114.0,9.0,6870760.0,0.2696062735417916
3881,Bulgaria,BGR,2021-01-19,22226.0,19058.0,3168.0,82.0,6870760.0,0.2773783395141149
3882,Bulgaria,BGR,2021-01-20,24127.0,19834.0,4293.0,49.0,6870760.0,0.2886725777061053
3883,Bulgaria,BGR,2021-01-21,25251.0,20719.0,4532.0,37.0,6870760.0,0.3015532488400119
3884,Bulgaria,BGR,2021-01-22,26101.0,21496.0,4605.0,90.0,6870760.0,0.31286204146266205
3885,Bulgaria,BGR,2021-01-23,26119.0,21509.0,4610.0,58.0,6870760.0,0.3130512490612392
3886,Bulgaria,BGR,2021-01-24,26143.0,21533.0,4610.0,12.0,6870760.0,0.31340055539707395
3887,Bulgaria,BGR,2021-01-25,26798.0,22129.0,4669.0,9.0,6870760.0,0.3220749960703037
3888,Bulgaria,BGR,2021-01-26,29122.0,23667.0,5455.0,60.0,6870760.0,0.3444597104250476
3889,Bulgaria,BGR,2021-01-27,32917.0,25245.0,7672.0,36.0,6870760.0,0.3674266020061827
3890,Bulgaria,BGR,2021-01-28,37636.0,26753.0,10883.0,28.0,6870760.0,0.3893746834411332
3891,Bulgaria,BGR,2021-01-29,40805.0,27856.0,12949.0,29.0,6870760.0,0.4054282204588721
3892,Bulgaria,BGR,2021-01-30,41020.0,27957.0,13063.0,35.0,6870760.0,0.4068982179555101
3893,Bulgaria,BGR,2021-01-31,41125.0,28041.0,13084.0,20.0,6870760.0,0.4081207901309317
3894,Bulgaria,BGR,2021-02-01,42634.0,28978.0,13656.0,17.0,6870760.0,0.4217582916591469
3895,Bulgaria,BGR,2021-02-02,45917.0,30817.0,15100.0,97.0,6870760.0,0.448523889642485
3896,Bulgaria,BGR,2021-02-03,50124.0,33691.0,16433.0,36.0,6870760.0,0.4903533233586968
3897,Bulgaria,BGR,2021-02-04,54025.0,36929.0,17096.0,40.0,6870760.0,0.5374805698350692
3898,Bulgaria,BGR,2021-02-05,56860.0,39468.0,17392.0,54.0,6870760.0,0.5744342692802543
3899,Bulgaria,BGR,2021-02-06,57016.0,39624.0,17392.0,30.0,6870760.0,0.5767047604631802
3900,Bulgaria,BGR,2021-02-07,57038.0,39646.0,17392.0,9.0,6870760.0,0.5770249579376954
3901,Bulgaria,BGR,2021-02-08,58888.0,41407.0,17481.0,20.0,6870760.0,0.6026553103295705
3902,Bulgaria,BGR,2021-02-09,62428.0,44482.0,17946.0,89.0,6870760.0,0.6474101846083985
3903,Bulgaria,BGR,2021-02-10,66163.0,47551.0,18612.0,62.0,6870760.0,0.6920777323032677
3904,Bulgaria,BGR,2021-02-11,71123.0,51435.0,19688.0,45.0,6870760.0,0.7486071409858589
3905,Bulgaria,BGR,2021-02-12,74694.0,54123.0,20571.0,34.0,6870760.0,0.7877294505993514
3906,Bulgaria,BGR,2021-02-13,75320.0,54646.0,20674.0,33.0,6870760.0,0.7953414178344171
3907,Bulgaria,BGR,2021-02-14,75388.0,54690.0,20698.0,14.0,6870760.0,0.7959818127834476
3908,Bulgaria,BGR,2021-02-15,77436.0,56113.0,21323.0,16.0,6870760.0,0.8166927676123166
3909,Bulgaria,BGR,2021-02-16,81338.0,58562.0,22776.0,47.0,6870760.0,0.8523365682981213
3910,Bulgaria,BGR,2021-02-17,85920.0,61813.0,24107.0,32.0,6870760.0,0.8996530223730709
3911,Bulgaria,BGR,2021-02-18,90514.0,65073.0,25441.0,41.0,6870760.0,0.9471004663239584
3912,Bulgaria,BGR,2021-02-19,104268.0,77518.0,26750.0,42.0,6870760.0,1.1282303558849385
3913,Bulgaria,BGR,2021-02-20,108356.0,81433.0,26923.0,35.0,6870760.0,1.1852109519179828
3914,Bulgaria,BGR,2021-02-21,119354.0,92381.0,26973.0,18.0,6870760.0,1.34455285878127
3915,Bulgaria,BGR,2021-02-22,131063.0,103111.0,27952.0,15.0,6870760.0,1.5007218997607252
3916,Bulgaria,BGR,2021-02-23,148226.0,118549.0,29677.0,79.0,6870760.0,1.725413200286431
3917,Bulgaria,BGR,2021-02-24,168462.0,136454.0,32008.0,45.0,6870760.0,1.9860102812498184
3918,Bulgaria,BGR,2021-02-25,188512.0,153793.0,34719.0,48.0,6870760.0,2.2383695544597684
3919,Bulgaria,BGR,2021-02-26,204439.0,167258.0,37181.0,53.0,6870760.0,2.434344963293726
3920,Bulgaria,BGR,2021-02-27,209760.0,172393.0,37367.0,49.0,6870760.0,2.5090819647317035
3921,Bulgaria,BGR,2021-02-28,212445.0,175066.0,37379.0,39.0,6870760.0,2.5479859578852992
3922,Bulgaria,BGR,2021-03-01,223539.0,184764.0,38775.0,24.0,6870760.0,2.68913482642386
3923,Bulgaria,BGR,2021-03-02,243772.0,202247.0,41525.0,117.0,6870760.0,2.9435899376488193
3924,Bulgaria,BGR,2021-03-03,248169.0,206296.0,41873.0,83.0,6870760.0,3.0025208273902737
3925,Bulgaria,BGR,2021-03-04,268544.0,221832.0,46712.0,22.0,6870760.0,3.2286384621206388
3926,Bulgaria,BGR,2021-03-05,284464.0,234526.0,49938.0,93.0,6870760.0,3.413392404915905
3927,Bulgaria,BGR,2021-03-06,287118.0,237067.0,50051.0,65.0,6870760.0,3.4503752132224093
3928,Bulgaria,BGR,2021-03-07,288631.0,238575.0,50056.0,22.0,6870760.0,3.47232329465736
3929,Bulgaria,BGR,2021-03-08,294132.0,243479.0,50653.0,21.0,6870760.0,3.543698222612928
3930,Bulgaria,BGR,2021-03-09,302151.0,250507.0,51644.0,150.0,6870760.0,3.645986761289872
3931,Bulgaria,BGR,2021-03-10,309145.0,256410.0,52735.0,138.0,6870760.0,3.7319015654745615
3932,Bulgaria,BGR,2021-03-11,324446.0,270587.0,53859.0,97.0,6870760.0,3.938239728938284
3933,Bulgaria,BGR,2021-03-12,336660.0,279324.0,57336.0,95.0,6870760.0,4.0654017896127925
3934,Bulgaria,BGR,2021-03-13,337904.0,280137.0,57767.0,102.0,6870760.0,4.077234541739196
3935,Bulgaria,BGR,2021-03-14,338879.0,280462.0,58417.0,38.0,6870760.0,4.081964731703625
3936,Bulgaria,BGR,2021-03-15,341707.0,281713.0,59994.0,51.0,6870760.0,4.100172324459011
3937,Bulgaria,BGR,2021-03-16,345994.0,284266.0,61728.0,187.0,6870760.0,4.137329785933433
3938,Bulgaria,BGR,2021-03-17,350702.0,286950.0,63752.0,107.0,6870760.0,4.176393877824287
