,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
4805,Cabo Verde,CPV,2021-05-12,21318.0,18650.0,2668.0,1.0,564837.0,3.3018375212671973
4806,Cabo Verde,CPV,2021-05-18,22531.0,19858.0,2670.0,2.0,564837.0,3.5157045306876142
4807,Cabo Verde,CPV,2021-05-21,24027.0,21357.0,2670.0,0.0,564837.0,3.78109082797338
4808,Cabo Verde,CPV,2021-06-08,34449.0,31748.0,2701.0,0.0,564837.0,5.620736601886915
4809,Cabo Verde,CPV,2021-06-10,39211.0,36440.0,2771.0,1.0,564837.0,6.451418727880787
4810,Cabo Verde,CPV,2021-06-14,44942.0,42164.0,2778.0,2.0,564837.0,7.464808431458987
4811,Cabo Verde,CPV,2021-06-20,63606.0,60771.0,2835.0,0.0,564837.0,10.759033136993503
4812,Cabo Verde,CPV,2021-06-24,74321.0,70333.0,3988.0,0.0,564837.0,12.451910905270017
4813,Cabo Verde,CPV,2021-06-28,82451.0,76390.0,6061.0,0.0,564837.0,13.524255670219905
4814,Cabo Verde,CPV,2021-07-05,99686.0,89680.0,10006.0,1.0,564837.0,15.877146858297172
4815,Cabo Verde,CPV,2021-07-12,120497.0,106909.0,13588.0,0.0,564837.0,18.927407375933228
4816,Cabo Verde,CPV,2021-07-13,124958.0,110678.0,14280.0,1.0,564837.0,19.594679527013987
4817,Cabo Verde,CPV,2021-07-19,132978.0,117692.0,15286.0,0.0,564837.0,20.8364537025726
4818,Cabo Verde,CPV,2021-07-24,152937.0,135281.0,17656.0,0.0,564837.0,23.95044942169157
4819,Cabo Verde,CPV,2021-07-26,159446.0,141276.0,18170.0,1.0,564837.0,25.01181756860829
4820,Cabo Verde,CPV,2021-08-03,183620.0,161941.0,21679.0,0.0,564837.0,28.670395175953413
4821,Cabo Verde,CPV,2021-08-09,204780.0,178956.0,25824.0,0.0,564837.0,31.68276865715241
4822,Cabo Verde,CPV,2021-08-16,236976.0,198982.0,37994.0,1.0,564837.0,35.22821628186538
4823,Cabo Verde,CPV,2021-08-20,262164.0,212766.0,49398.0,0.0,564837.0,37.66856632975531
4824,Cabo Verde,CPV,2021-08-25,296476.0,229578.0,66421.0,1.0,564837.0,40.645000239007004
4825,Cabo Verde,CPV,2021-08-31,309001.0,236158.0,72843.0,2.0,564837.0,41.80993808833345
4826,Cabo Verde,CPV,2021-09-11,368789.0,272501.0,94997.0,2.0,564837.0,48.244183720259116
4827,Cabo Verde,CPV,2021-09-16,385717.0,277322.0,108529.0,1.0,564837.0,49.09770429345103
4828,Cabo Verde,CPV,2021-09-22,402075.0,282236.0,119839.0,1.0,564837.0,49.967689793692685
4829,Cabo Verde,CPV,2021-09-26,414300.0,284115.0,130185.0,0.0,564837.0,50.30035213698819
4830,Cabo Verde,CPV,2021-10-17,472436.0,286160.0,186276.0,0.0,564837.0,50.662403489856366
4831,Cabo Verde,CPV,2021-10-21,482946.0,292722.0,196347.0,0.0,564837.0,51.82415457910866
4832,Cabo Verde,CPV,2021-10-24,494079.0,292866.0,201213.0,1.0,564837.0,51.84964865970183
4833,Cabo Verde,CPV,2021-10-28,504434.0,293331.0,211103.0,0.0,564837.0,51.93197329495058
4834,Cabo Verde,CPV,2021-10-31,511628.0,293634.0,217093.0,0.0,564837.0,51.98561708953202
4835,Cabo Verde,CPV,2021-11-10,526891.0,295571.0,231320.0,0.0,564837.0,52.328547881955316
4836,Cabo Verde,CPV,2021-11-26,544075.0,296998.0,246960.0,0.0,564837.0,52.581187138944514
4837,Cabo Verde,CPV,2021-12-03,550192.0,299770.0,250238.0,0.0,564837.0,53.07194819036288
4838,Cabo Verde,CPV,2021-12-13,557243.0,301215.0,254463.0,0.0,564837.0,53.327774207426216
4839,Cabo Verde,CPV,2021-12-17,571130.0,302802.0,255954.0,0.0,564837.0,53.608740220630025
