,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
5587,Croatia,HRV,2021-01-25,69984.0,58077.0,11907.0,28.0,4069710.0,1.4270549990048431
5588,Croatia,HRV,2021-02-01,83928.0,58829.0,25099.0,29.0,4069710.0,1.4455329740939773
5589,Croatia,HRV,2021-02-03,87929.0,59064.0,28865.0,17.0,4069710.0,1.4513073413093316
5590,Croatia,HRV,2021-02-04,95505.0,59593.0,35912.0,17.0,4069710.0,1.4643058104877251
5591,Croatia,HRV,2021-02-09,102207.0,61241.0,41966.0,29.0,4069710.0,1.5048000963213597
5592,Croatia,HRV,2021-02-11,112774.0,64775.0,47969.0,14.0,4069710.0,1.5916367505301359
5593,Croatia,HRV,2021-02-15,120603.0,67825.0,52778.0,19.0,4069710.0,1.666580665452821
5594,Croatia,HRV,2021-02-18,142222.0,87169.0,55053.0,18.0,4069710.0,2.1418970884903348
5595,Croatia,HRV,2021-02-22,166146.0,108311.0,57835.0,9.0,4069710.0,2.661393563669156
5596,Croatia,HRV,2021-02-24,184076.0,125771.0,58305.0,13.0,4069710.0,3.090416761882296
5597,Croatia,HRV,2021-02-25,194267.0,135756.0,58511.0,15.0,4069710.0,3.3357659390963974
5598,Croatia,HRV,2021-03-01,213068.0,153085.0,59983.0,15.0,4069710.0,3.76157023473417
5599,Croatia,HRV,2021-03-04,242000.0,182000.0,60000.0,7.0,4069710.0,4.4720631199766085
5600,Croatia,HRV,2021-03-08,265223.0,202167.0,63056.0,5.0,4069710.0,4.967602114155554
5601,Croatia,HRV,2021-03-12,300956.0,233423.0,67533.0,10.0,4069710.0,5.735617525573075
5602,Croatia,HRV,2021-03-19,365082.0,288622.0,76460.0,17.0,4069710.0,7.0919549550213645
5603,Croatia,HRV,2021-03-22,390657.0,311448.0,79209.0,20.0,4069710.0,7.652830299947662
5604,Croatia,HRV,2021-03-26,416745.0,335916.0,80829.0,10.0,4069710.0,8.254052500055288
5605,Croatia,HRV,2021-03-28,430396.0,348648.0,81748.0,18.0,4069710.0,8.566900344250572
5606,Croatia,HRV,2021-03-31,476499.0,385724.0,89313.0,17.0,4069710.0,9.477923488405807
5607,Croatia,HRV,2021-04-01,498417.0,404518.0,92380.0,19.0,4069710.0,9.939725434981854
5608,Croatia,HRV,2021-04-02,517112.0,419431.0,96047.0,20.0,4069710.0,10.306164321290707
5609,Croatia,HRV,2021-04-04,524371.0,426037.0,98334.0,29.0,4069710.0,10.468485469480626
5610,Croatia,HRV,2021-04-06,526414.0,427387.0,99027.0,25.0,4069710.0,10.501657366249685
5611,Croatia,HRV,2021-04-07,533409.0,432601.0,100808.0,30.0,4069710.0,10.629774603104398
5612,Croatia,HRV,2021-04-08,543436.0,440890.0,102546.0,36.0,4069710.0,10.833450049266407
5613,Croatia,HRV,2021-04-09,565785.0,458762.0,107023.0,36.0,4069710.0,11.272596818937963
5614,Croatia,HRV,2021-04-10,583931.0,473522.0,110409.0,50.0,4069710.0,11.635276223612983
5615,Croatia,HRV,2021-04-11,588183.0,477617.0,110566.0,34.0,4069710.0,11.73589764381246
5616,Croatia,HRV,2021-04-12,595369.0,483825.0,111544.0,39.0,4069710.0,11.88843922539935
5617,Croatia,HRV,2021-04-13,605423.0,491601.0,113822.0,25.0,4069710.0,12.079509350789122
5618,Croatia,HRV,2021-04-14,617516.0,500233.0,117283.0,25.0,4069710.0,12.291612915908013
5619,Croatia,HRV,2021-04-15,643834.0,519375.0,124459.0,41.0,4069710.0,12.76196584031786
5620,Croatia,HRV,2021-04-16,671839.0,539487.0,132352.0,43.0,4069710.0,13.25615338685066
5621,Croatia,HRV,2021-04-17,691265.0,552559.0,138706.0,44.0,4069710.0,13.577355634676671
5622,Croatia,HRV,2021-04-18,693530.0,553883.0,139647.0,37.0,4069710.0,13.609888665285732
5623,Croatia,HRV,2021-04-19,698032.0,556969.0,141063.0,39.0,4069710.0,13.68571716412226
5624,Croatia,HRV,2021-04-20,708960.0,565164.0,143796.0,39.0,4069710.0,13.88708286339813
5625,Croatia,HRV,2021-04-21,726315.0,578273.0,148042.0,42.0,4069710.0,14.209194266913366
5626,Croatia,HRV,2021-04-22,746878.0,593972.0,152906.0,49.0,4069710.0,14.594946568674429
5627,Croatia,HRV,2021-04-23,770221.0,611792.0,158429.0,46.0,4069710.0,15.032815606025979
5628,Croatia,HRV,2021-04-24,785869.0,621077.0,164792.0,46.0,4069710.0,15.260964540470944
5629,Croatia,HRV,2021-04-25,795597.0,627216.0,168381.0,31.0,4069710.0,15.411810669556308
5630,Croatia,HRV,2021-04-26,798717.0,629108.0,169609.0,39.0,4069710.0,15.458300468583758
5631,Croatia,HRV,2021-04-27,812984.0,639564.0,173420.0,51.0,4069710.0,15.715222952003954
5632,Croatia,HRV,2021-04-28,825839.0,648709.0,177130.0,52.0,4069710.0,15.939931837895086
5633,Croatia,HRV,2021-04-29,872726.0,682757.0,189969.0,44.0,4069710.0,16.776551646186093
5634,Croatia,HRV,2021-04-30,901120.0,702470.0,198650.0,39.0,4069710.0,17.260935054340482
5635,Croatia,HRV,2021-05-01,907575.0,707057.0,200518.0,41.0,4069710.0,17.373645788029126
5636,Croatia,HRV,2021-05-02,908839.0,708137.0,200702.0,49.0,4069710.0,17.40018330544437
5637,Croatia,HRV,2021-05-03,921527.0,716861.0,204666.0,52.0,4069710.0,17.614547473898632
5638,Croatia,HRV,2021-05-04,944398.0,734556.0,209842.0,36.0,4069710.0,18.04934503932713
5639,Croatia,HRV,2021-05-05,979181.0,760805.0,218376.0,46.0,4069710.0,18.694329571394526
