,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
197,Andorra,AND,2021-03-08,3611.0,2439.0,1172.0,0.0,77355.0,3.152995927865038
198,Andorra,AND,2021-03-10,4914.0,3650.0,1264.0,0.0,77355.0,4.71850559110594
199,Andorra,AND,2021-03-15,8363.0,7098.0,1265.0,1.0,77355.0,9.175877448128755
200,Andorra,AND,2021-04-05,15269.0,9781.0,4484.0,0.0,77355.0,12.644302242906084
201,Andorra,AND,2021-04-19,26414.0,21733.0,4681.0,0.0,77355.0,28.095145756576823
202,Andorra,AND,2021-04-26,28503.0,23822.0,4681.0,0.0,77355.0,30.795682244198822
203,Andorra,AND,2021-05-03,28881.0,24182.0,4699.0,2.0,77355.0,31.261069097020236
204,Andorra,AND,2021-05-10,31633.0,26931.0,4702.0,0.0,77355.0,34.81481481481482
205,Andorra,AND,2021-05-17,32317.0,27613.0,4704.0,0.0,77355.0,35.69646435265981
206,Andorra,AND,2021-05-31,35916.0,27613.0,8303.0,0.0,77355.0,35.69646435265981
207,Andorra,AND,2021-06-07,41473.0,30535.0,10938.0,0.0,77355.0,39.47385430806024
208,Andorra,AND,2021-06-14,51107.0,34646.0,16416.0,0.0,77355.0,44.788313619029154
209,Andorra,AND,2021-06-21,63265.0,38667.0,24598.0,0.0,77355.0,49.98642621679271
210,Andorra,AND,2021-06-28,68329.0,41716.0,26613.0,0.0,77355.0,53.92799431193846
211,Andorra,AND,2021-07-12,70018.0,43008.0,27010.0,0.0,77355.0,55.59821601706418
212,Andorra,AND,2021-07-19,82349.0,48445.0,33904.0,0.0,77355.0,62.62685023592528
213,Andorra,AND,2021-08-01,86320.0,50747.0,35573.0,0.0,77355.0,65.60274061146661
214,Andorra,AND,2021-08-15,91660.0,51044.0,40616.0,0.0,77355.0,65.98668476504427
215,Andorra,AND,2021-08-29,95918.0,52910.0,43008.0,0.0,77355.0,68.39893995216858
216,Andorra,AND,2021-09-26,102032.0,54312.0,47720.0,0.0,77355.0,70.21136319565639
217,Andorra,AND,2021-10-03,102692.0,54383.0,48309.0,0.0,77355.0,70.30314782496283
218,Andorra,AND,2021-10-31,104534.0,54999.0,49535.0,0.0,77355.0,71.09947643979058
219,Andorra,AND,2021-12-05,106428.0,56095.0,50333.0,0.0,77355.0,72.51632085838018
220,Andorra,AND,2021-12-12,115709.0,56628.0,50551.0,0.0,77355.0,73.20535194880745
