,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
672,Armenia,ARM,2021-06-20,64293.0,52509.0,11784.0,2.0,2970515.0,1.767673282242305
673,Armenia,ARM,2021-06-27,74714.0,58518.0,16196.0,2.0,2970515.0,1.969961437663166
674,Armenia,ARM,2021-07-11,108107.0,77449.0,30658.0,2.0,2970515.0,2.60725833735901
675,Armenia,ARM,2021-07-18,131080.0,94560.0,36520.0,7.0,2970515.0,3.1832863998330256
676,Armenia,ARM,2021-07-25,152529.0,108674.0,43855.0,3.0,2970515.0,3.658422866068679
677,Armenia,ARM,2021-08-01,171890.0,120285.0,51605.0,5.0,2970515.0,4.049297849026178
678,Armenia,ARM,2021-08-08,194902.0,132529.0,62373.0,9.0,2970515.0,4.4614822682262165
679,Armenia,ARM,2021-08-15,220236.0,144573.0,75663.0,10.0,2970515.0,4.866933848171109
680,Armenia,ARM,2021-08-22,239342.0,153888.0,85454.0,15.0,2970515.0,5.180515836479533
681,Armenia,ARM,2021-08-29,275138.0,176552.0,98586.0,11.0,2970515.0,5.943481180872677
682,Armenia,ARM,2021-09-05,303325.0,195290.0,108035.0,7.0,2970515.0,6.574280890687305
683,Armenia,ARM,2021-09-12,335721.0,215278.0,120443.0,7.0,2970515.0,7.2471608458465955
684,Armenia,ARM,2021-09-19,366779.0,237454.0,129325.0,14.0,2970515.0,7.993698062457183
685,Armenia,ARM,2021-09-26,408535.0,264695.0,143840.0,12.0,2970515.0,8.910744433204343
686,Armenia,ARM,2021-10-11,514241.0,344029.0,170212.0,26.0,2970515.0,11.581459780543105
687,Armenia,ARM,2021-10-17,620698.0,434617.0,186081.0,24.0,2970515.0,14.63103199276893
688,Armenia,ARM,2021-10-24,709345.0,497971.0,211374.0,38.0,2970515.0,16.763793483621527
689,Armenia,ARM,2021-10-31,831856.0,579360.0,252496.0,44.0,2970515.0,19.503688754306918
690,Armenia,ARM,2021-11-07,890797.0,613849.0,276948.0,42.0,2970515.0,20.664733219660565
691,Armenia,ARM,2021-11-14,1004493.0,682188.0,322305.0,40.0,2970515.0,22.965310728947674
692,Armenia,ARM,2021-11-21,1110891.0,738887.0,372004.0,25.0,2970515.0,24.87403699358529
693,Armenia,ARM,2021-11-28,1236264.0,799403.0,436861.0,29.0,2970515.0,26.911259495407364
694,Armenia,ARM,2021-12-06,1352805.0,835816.0,516989.0,8.0,2970515.0,28.13707387439552
695,Armenia,ARM,2021-12-12,1452374.0,869750.0,582624.0,14.0,2970515.0,29.279434710816137
696,Armenia,ARM,2021-12-19,1546632.0,903661.0,642971.0,6.0,2970515.0,30.421021270722413
