,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
697,Aruba,ABW,2021-03-29,25766.0,15600.0,10166.0,0.0,107204.0,14.551695832245064
698,Aruba,ABW,2021-04-10,41096.0,29197.0,11899.0,0.0,107204.0,27.234991231670456
699,Aruba,ABW,2021-04-12,43073.0,31139.0,11934.0,0.0,107204.0,29.046490802581992
700,Aruba,ABW,2021-04-13,45588.0,33563.0,12025.0,0.0,107204.0,31.307600462669303
701,Aruba,ABW,2021-04-14,48200.0,36058.0,12142.0,0.0,107204.0,33.63493899481363
702,Aruba,ABW,2021-04-15,50546.0,37981.0,12565.0,0.0,107204.0,35.428715346442296
703,Aruba,ABW,2021-04-16,52955.0,39961.0,12994.0,0.0,107204.0,37.27566135591955
704,Aruba,ABW,2021-04-17,55582.0,41770.0,13812.0,0.0,107204.0,38.96309839185105
705,Aruba,ABW,2021-04-18,55651.0,41837.0,13814.0,0.0,107204.0,39.02559605984851
706,Aruba,ABW,2021-04-19,58178.0,43266.0,14912.0,0.0,107204.0,40.35856871012275
707,Aruba,ABW,2021-04-20,60379.0,43945.0,16434.0,0.0,107204.0,40.99194059923138
708,Aruba,ABW,2021-04-21,62342.0,44421.0,17921.0,0.0,107204.0,41.43595388231782
709,Aruba,ABW,2021-04-22,64288.0,45097.0,19191.0,2.0,107204.0,42.06652736838178
710,Aruba,ABW,2021-04-23,67950.0,48061.0,19889.0,0.0,107204.0,44.83134957650834
711,Aruba,ABW,2021-04-24,69279.0,49351.0,19928.0,1.0,107204.0,46.03466288571322
712,Aruba,ABW,2021-04-25,73103.0,53161.0,19942.0,0.0,107204.0,49.588634752434615
713,Aruba,ABW,2021-04-26,73360.0,53244.0,20116.0,0.0,107204.0,49.66605723667028
714,Aruba,ABW,2021-04-28,74668.0,53813.0,20855.0,0.0,107204.0,50.19682101414127
715,Aruba,ABW,2021-04-29,75846.0,54095.0,21751.0,0.0,107204.0,50.459870900339546
716,Aruba,ABW,2021-04-30,76865.0,54306.0,22559.0,0.0,107204.0,50.6566919144808
717,Aruba,ABW,2021-05-03,77728.0,54614.0,23114.0,0.0,107204.0,50.94399462706616
718,Aruba,ABW,2021-05-04,78956.0,55152.0,23804.0,2.0,107204.0,51.44584157307563
719,Aruba,ABW,2021-05-05,79502.0,55359.0,24143.0,0.0,107204.0,51.63893138315735
720,Aruba,ABW,2021-05-06,79553.0,55371.0,24182.0,0.0,107204.0,51.650124995336
721,Aruba,ABW,2021-05-07,80258.0,55625.0,24633.0,0.0,107204.0,51.88705645311742
722,Aruba,ABW,2021-05-08,80699.0,55744.0,24955.0,0.0,107204.0,51.99805977388904
723,Aruba,ABW,2021-05-10,81616.0,56009.0,25607.0,0.0,107204.0,52.245252042834224
724,Aruba,ABW,2021-05-11,82877.0,56288.0,26589.0,1.0,107204.0,52.50550352598784
725,Aruba,ABW,2021-05-12,84239.0,56594.0,27645.0,1.0,107204.0,52.79094063654342
726,Aruba,ABW,2021-05-13,85441.0,56932.0,28509.0,2.0,107204.0,53.10622737957539
727,Aruba,ABW,2021-05-14,87536.0,57314.0,30222.0,0.0,107204.0,53.46255736726242
728,Aruba,ABW,2021-05-15,88602.0,57481.0,31121.0,0.0,107204.0,53.61833513674863
729,Aruba,ABW,2021-05-17,91006.0,57936.0,33070.0,0.0,107204.0,54.04275959852244
730,Aruba,ABW,2021-05-18,93734.0,58344.0,35390.0,0.0,107204.0,54.42334241259654
731,Aruba,ABW,2021-05-19,96007.0,58683.0,37324.0,1.0,107204.0,54.73956195664341
732,Aruba,ABW,2021-05-20,97921.0,58953.0,38968.0,0.0,107204.0,54.99141823066304
733,Aruba,ABW,2021-05-21,100003.0,59341.0,40662.0,0.0,107204.0,55.353345024439385
734,Aruba,ABW,2021-05-22,103395.0,60005.0,43390.0,1.0,107204.0,55.972724898324685
735,Aruba,ABW,2021-05-23,108471.0,61242.0,47229.0,0.0,107204.0,57.126599753740535
736,Aruba,ABW,2021-05-24,109756.0,61548.0,48208.0,0.0,107204.0,57.41203686429611
737,Aruba,ABW,2021-05-25,111377.0,62143.0,49234.0,1.0,107204.0,57.96705346815417
738,Aruba,ABW,2021-05-26,111665.0,62244.0,49421.0,0.0,107204.0,58.06126637065782
739,Aruba,ABW,2021-05-27,112316.0,62498.0,49818.0,0.0,107204.0,58.29819782843924
740,Aruba,ABW,2021-05-28,113098.0,62698.0,50400.0,0.0,107204.0,58.48475803141674
741,Aruba,ABW,2021-05-29,113662.0,62914.0,50748.0,0.0,107204.0,58.686243050632434
742,Aruba,ABW,2021-05-31,114154.0,63113.0,51041.0,0.0,107204.0,58.871870452595054
743,Aruba,ABW,2021-06-01,114632.0,63277.0,51355.0,0.0,107204.0,59.0248498190366
744,Aruba,ABW,2021-06-02,115144.0,63456.0,51688.0,0.0,107204.0,59.19182120070147
745,Aruba,ABW,2021-06-03,116563.0,64004.0,52559.0,0.0,107204.0,59.70299615685983
746,Aruba,ABW,2021-06-04,116577.0,64010.0,52567.0,0.0,107204.0,59.70859296294915
747,Aruba,ABW,2021-06-06,116579.0,64011.0,52568.0,0.0,107204.0,59.70952576396403
748,Aruba,ABW,2021-06-07,117036.0,64184.0,52852.0,0.0,107204.0,59.87090033953957
749,Aruba,ABW,2021-06-08,117696.0,64473.0,53223.0,0.0,107204.0,60.14047983284205
750,Aruba,ABW,2021-06-09,118316.0,64765.0,53551.0,0.0,107204.0,60.412857729189206
751,Aruba,ABW,2021-06-10,118873.0,65022.0,53851.0,0.0,107204.0,60.652587590015294
752,Aruba,ABW,2021-06-11,119395.0,65239.0,54156.0,0.0,107204.0,60.85500541024589
753,Aruba,ABW,2021-06-12,121471.0,66046.0,55425.0,0.0,107204.0,61.607775829260106
754,Aruba,ABW,2021-06-14,121874.0,66185.0,55689.0,0.0,107204.0,61.73743517032947
755,Aruba,ABW,2021-06-15,122269.0,66336.0,55933.0,0.0,107204.0,61.87828812357748
756,Aruba,ABW,2021-06-16,122680.0,66466.0,56214.0,0.0,107204.0,61.99955225551286
757,Aruba,ABW,2021-06-17,123115.0,66614.0,56501.0,0.0,107204.0,62.1376068057162
758,Aruba,ABW,2021-06-18,123571.0,66774.0,56797.0,0.0,107204.0,62.28685496809821
759,Aruba,ABW,2021-06-20,123890.0,66865.0,57025.0,0.0,107204.0,62.37173986045297
760,Aruba,ABW,2021-06-21,124313.0,66991.0,57322.0,0.0,107204.0,62.4892727883288
761,Aruba,ABW,2021-06-22,124332.0,67004.0,57328.0,0.0,107204.0,62.50139920152233
762,Aruba,ABW,2021-06-23,124856.0,67126.0,57730.0,0.0,107204.0,62.61520092533861
763,Aruba,ABW,2021-06-24,125289.0,67278.0,58011.0,0.0,107204.0,62.75698667960151
764,Aruba,ABW,2021-06-27,125290.0,67278.0,58012.0,0.0,107204.0,62.75698667960151
765,Aruba,ABW,2021-06-28,125875.0,67457.0,58418.0,0.0,107204.0,62.92395806126637
766,Aruba,ABW,2021-06-29,126387.0,67610.0,58777.0,0.0,107204.0,63.06667661654416
767,Aruba,ABW,2021-06-30,127256.0,67827.0,59429.0,0.0,107204.0,63.26909443677474
768,Aruba,ABW,2021-07-01,127416.0,67890.0,59526.0,0.0,107204.0,63.327860900712665
769,Aruba,ABW,2021-07-02,127984.0,68087.0,59897.0,0.0,107204.0,63.511622700645496
770,Aruba,ABW,2021-07-05,128575.0,68241.0,60334.0,0.0,107204.0,63.65527405693817
771,Aruba,ABW,2021-07-06,129162.0,68478.0,60684.0,0.0,107204.0,63.87634789746651
772,Aruba,ABW,2021-07-07,129646.0,68664.0,60982.0,0.0,107204.0,64.04984888623558
773,Aruba,ABW,2021-07-08,130121.0,68855.0,61266.0,0.0,107204.0,64.2280138800791
774,Aruba,ABW,2021-07-09,130670.0,69031.0,61639.0,0.0,107204.0,64.3921868586993
775,Aruba,ABW,2021-07-10,131930.0,70174.0,61756.0,0.0,107204.0,65.45837841871572
776,Aruba,ABW,2021-07-12,132344.0,70353.0,61991.0,0.0,107204.0,65.62534980038059
777,Aruba,ABW,2021-07-13,132715.0,70539.0,62176.0,0.0,107204.0,65.79885078914965
778,Aruba,ABW,2021-07-14,133180.0,70755.0,62425.0,0.0,107204.0,66.00033580836536
779,Aruba,ABW,2021-07-15,133727.0,71025.0,62702.0,0.0,107204.0,66.25219208238498
780,Aruba,ABW,2021-07-16,133750.0,71035.0,62715.0,1.0,107204.0,66.26152009253387
781,Aruba,ABW,2021-07-19,134510.0,71409.0,63101.0,0.0,107204.0,66.6103876721018
782,Aruba,ABW,2021-07-20,134521.0,71415.0,63106.0,0.0,107204.0,66.61598447819111
783,Aruba,ABW,2021-07-21,134983.0,71650.0,63333.0,0.0,107204.0,66.83519271668968
784,Aruba,ABW,2021-07-22,135450.0,71894.0,63556.0,1.0,107204.0,67.06279616432222
785,Aruba,ABW,2021-07-23,135509.0,71913.0,63596.0,0.0,107204.0,67.0805193836051
786,Aruba,ABW,2021-07-26,135988.0,72151.0,63837.0,0.0,107204.0,67.30252602514831
787,Aruba,ABW,2021-07-27,136496.0,72440.0,64056.0,0.0,107204.0,67.57210551845081
788,Aruba,ABW,2021-07-28,136907.0,72598.0,64309.0,0.0,107204.0,67.71948807880302
789,Aruba,ABW,2021-07-29,137305.0,72758.0,64547.0,0.0,107204.0,67.86873624118503
790,Aruba,ABW,2021-07-30,137598.0,72787.0,64811.0,0.0,107204.0,67.89578747061677
791,Aruba,ABW,2021-07-31,138509.0,72793.0,65716.0,0.0,107204.0,67.9013842767061
792,Aruba,ABW,2021-08-01,138513.0,72795.0,65718.0,0.0,107204.0,67.90324987873588
793,Aruba,ABW,2021-08-02,138688.0,72813.0,65875.0,0.0,107204.0,67.92004029700385
794,Aruba,ABW,2021-08-03,139043.0,72843.0,66200.0,1.0,107204.0,67.94802432745047
795,Aruba,ABW,2021-08-04,139122.0,72858.0,66264.0,1.0,107204.0,67.96201634267378
796,Aruba,ABW,2021-08-05,139303.0,72908.0,66395.0,0.0,107204.0,68.00865639341815
797,Aruba,ABW,2021-08-06,139566.0,72991.0,66575.0,0.0,107204.0,68.08607887765382
798,Aruba,ABW,2021-08-09,139887.0,73125.0,66762.0,0.0,107204.0,68.21107421364874
799,Aruba,ABW,2021-08-10,140304.0,73394.0,66910.0,0.0,107204.0,68.46199768665349
800,Aruba,ABW,2021-08-11,140901.0,73738.0,67163.0,0.0,107204.0,68.78288123577478
801,Aruba,ABW,2021-08-12,141116.0,73843.0,67273.0,0.0,107204.0,68.88082534233797
802,Aruba,ABW,2021-08-13,141611.0,74089.0,67522.0,2.0,107204.0,69.1102943920003
