,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
1791,Bahamas,BHS,2021-05-21,50242.0,44226.0,6016.0,1.0,398750.0,11.09115987460815
1792,Bahamas,BHS,2021-05-29,55037.0,46378.0,8659.0,0.0,398750.0,11.630846394984326
1793,Bahamas,BHS,2021-06-05,62183.0,48434.0,13749.0,0.0,398750.0,12.146457680250784
1794,Bahamas,BHS,2021-06-11,68119.0,50292.0,17827.0,2.0,398750.0,12.612413793103446
1795,Bahamas,BHS,2021-06-19,79246.0,54199.0,25047.0,0.0,398750.0,13.592225705329152
1796,Bahamas,BHS,2021-06-26,91067.0,58122.0,32945.0,0.0,398750.0,14.57605015673981
1797,Bahamas,BHS,2021-07-02,95992.0,59731.0,36261.0,0.0,398750.0,14.979561128526644
1798,Bahamas,BHS,2021-07-10,97992.0,60303.0,37689.0,2.0,398750.0,15.123009404388716
1799,Bahamas,BHS,2021-07-17,99755.0,60389.0,39366.0,12.0,398750.0,15.144576802507837
1800,Bahamas,BHS,2021-07-24,103164.0,60578.0,43943.0,6.0,398750.0,15.191974921630097
1801,Bahamas,BHS,2021-07-30,104521.0,60578.0,43943.0,0.0,398750.0,15.191974921630097
1802,Bahamas,BHS,2021-07-31,106898.0,61803.0,46793.0,0.0,398750.0,15.499184952978055
1803,Bahamas,BHS,2021-08-06,108596.0,61803.0,46793.0,3.0,398750.0,15.499184952978055
1804,Bahamas,BHS,2021-08-09,110443.0,62863.0,47580.0,9.0,398750.0,15.765015673981193
1805,Bahamas,BHS,2021-08-20,119473.0,68323.0,51150.0,14.0,398750.0,17.134294670846394
1806,Bahamas,BHS,2021-08-22,129017.0,73726.0,55291.0,0.0,398750.0,18.48927899686521
1807,Bahamas,BHS,2021-08-28,146738.0,91967.0,57593.0,0.0,398750.0,23.063824451410657
1808,Bahamas,BHS,2021-09-04,161613.0,105753.0,59002.0,0.0,398750.0,26.521128526645764
1809,Bahamas,BHS,2021-09-24,184461.0,114333.0,70128.0,10.0,398750.0,28.672852664576805
1810,Bahamas,BHS,2021-10-01,207784.0,124207.0,88265.0,2.0,398750.0,31.14909090909091
1811,Bahamas,BHS,2021-10-08,224531.0,129121.0,100098.0,4.0,398750.0,32.381442006269594
1812,Bahamas,BHS,2021-10-29,255085.0,132240.0,122845.0,0.0,398750.0,33.163636363636364
1813,Bahamas,BHS,2021-11-05,263795.0,143726.0,128242.0,14.0,398750.0,36.04413793103448
1814,Bahamas,BHS,2021-11-19,274502.0,149231.0,134481.0,0.0,398750.0,37.424702194357366
1815,Bahamas,BHS,2021-11-29,280176.0,151709.0,138266.0,0.0,398750.0,38.04614420062696
1816,Bahamas,BHS,2021-12-10,288008.0,154135.0,143672.0,3.0,398750.0,38.654545454545456
1817,Bahamas,BHS,2021-12-22,293443.0,155709.0,147533.0,0.0,398750.0,39.049278996865205
