,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
2544,Belgium,BEL,2020-12-29,375.0,374.0,11.0,63.0,11654555.0,0.0032090457336208
2545,Belgium,BEL,2020-12-30,893.0,891.0,21.0,77.0,11654555.0,0.0076450795418615
2546,Belgium,BEL,2020-12-31,933.0,931.0,21.0,74.0,11654555.0,0.0079882929893076
2547,Belgium,BEL,2021-01-01,947.0,945.0,21.0,87.0,11654555.0,0.0081084176959137
2548,Belgium,BEL,2021-01-02,967.0,965.0,34.0,50.0,11654555.0,0.0082800244196367
2549,Belgium,BEL,2021-01-03,994.0,992.0,34.0,64.0,11654555.0,0.0085116934966628
2550,Belgium,BEL,2021-01-04,1049.0,1046.0,46.0,42.0,11654555.0,0.0089750316507151
2551,Belgium,BEL,2021-01-05,2828.0,2822.0,72.0,59.0,11654555.0,0.0242137087173212
2552,Belgium,BEL,2021-01-06,6839.0,6832.0,100.0,63.0,11654555.0,0.0586208568237912
2553,Belgium,BEL,2021-01-07,15341.0,15328.0,119.0,56.0,11654555.0,0.1315193930613395
2554,Belgium,BEL,2021-01-08,24767.0,24747.0,166.0,53.0,11654555.0,0.2123375795987062
2555,Belgium,BEL,2021-01-09,28053.0,28030.0,181.0,50.0,11654555.0,0.2405068232978436
2556,Belgium,BEL,2021-01-10,28490.0,28465.0,183.0,52.0,11654555.0,0.2442392695388197
2557,Belgium,BEL,2021-01-11,34222.0,34187.0,202.0,56.0,11654555.0,0.2933359531959821
2558,Belgium,BEL,2021-01-12,50299.0,50256.0,231.0,53.0,11654555.0,0.4312133753712605
2559,Belgium,BEL,2021-01-13,72225.0,72060.0,370.0,51.0,11654555.0,0.6182990255741211
2560,Belgium,BEL,2021-01-14,95775.0,95594.0,397.0,41.0,11654555.0,0.8202286573790247
2561,Belgium,BEL,2021-01-15,119479.0,119290.0,425.0,62.0,11654555.0,1.023548303646085
2562,Belgium,BEL,2021-01-16,124725.0,124532.0,439.0,48.0,11654555.0,1.068526425933895
2563,Belgium,BEL,2021-01-17,128015.0,127797.0,464.0,46.0,11654555.0,1.0965412235816812
2564,Belgium,BEL,2021-01-18,139300.0,138935.0,624.0,44.0,11654555.0,1.1921090080230434
2565,Belgium,BEL,2021-01-19,158775.0,158201.0,866.0,58.0,11654555.0,1.3574177649854495
2566,Belgium,BEL,2021-01-20,180507.0,179470.0,1356.0,61.0,11654555.0,1.539912935328719
2567,Belgium,BEL,2021-01-21,210906.0,209835.0,1414.0,49.0,11654555.0,1.800454843621228
2568,Belgium,BEL,2021-01-22,241134.0,240016.0,1497.0,53.0,11654555.0,2.0594179700554847
2569,Belgium,BEL,2021-01-23,249654.0,248527.0,1518.0,49.0,11654555.0,2.132445211335825
2570,Belgium,BEL,2021-01-24,251599.0,250443.0,1547.0,67.0,11654555.0,2.148885135468493
2571,Belgium,BEL,2021-01-25,263067.0,261887.0,1594.0,39.0,11654555.0,2.2470785027828173
2572,Belgium,BEL,2021-01-26,276044.0,273083.0,3396.0,44.0,11654555.0,2.343143946722977
2573,Belgium,BEL,2021-01-27,292896.0,286476.0,6894.0,52.0,11654555.0,2.458060389264112
2574,Belgium,BEL,2021-01-28,316935.0,302571.0,14869.0,41.0,11654555.0,2.5961609001802297
2575,Belgium,BEL,2021-01-29,338734.0,315159.0,24114.0,55.0,11654555.0,2.704170172091513
2576,Belgium,BEL,2021-01-30,343307.0,316806.0,27052.0,44.0,11654555.0,2.718301985790105
2577,Belgium,BEL,2021-01-31,344304.0,317450.0,27405.0,29.0,11654555.0,2.7238277222939877
2578,Belgium,BEL,2021-02-01,352305.0,321470.0,31403.0,32.0,11654555.0,2.7583206737623187
2579,Belgium,BEL,2021-02-02,377103.0,331769.0,45931.0,38.0,11654555.0,2.8466895561434997
2580,Belgium,BEL,2021-02-03,408253.0,342069.0,66804.0,52.0,11654555.0,2.935067018860866
2581,Belgium,BEL,2021-02-04,442848.0,352153.0,91338.0,41.0,11654555.0,3.021591128962024
2582,Belgium,BEL,2021-02-05,474123.0,360324.0,114480.0,34.0,11654555.0,3.0917010559390725
2583,Belgium,BEL,2021-02-06,480721.0,361572.0,119844.0,56.0,11654555.0,3.1024093154993904
2584,Belgium,BEL,2021-02-07,484165.0,361910.0,122951.0,41.0,11654555.0,3.1053094691303103
2585,Belgium,BEL,2021-02-08,494492.0,364309.0,130898.0,40.0,11654555.0,3.125893695640889
2586,Belgium,BEL,2021-02-09,522676.0,372562.0,150852.0,37.0,11654555.0,3.1967072101852025
2587,Belgium,BEL,2021-02-10,548564.0,379168.0,170163.0,41.0,11654555.0,3.253388911030923
2588,Belgium,BEL,2021-02-11,585463.0,387542.0,198704.0,42.0,11654555.0,3.325240646253761
2589,Belgium,BEL,2021-02-12,620684.0,394378.0,227128.0,35.0,11654555.0,3.3838958244222965
2590,Belgium,BEL,2021-02-13,629494.0,394999.0,235332.0,43.0,11654555.0,3.3892242131938968
2591,Belgium,BEL,2021-02-14,631519.0,395130.0,237226.0,31.0,11654555.0,3.390348237234283
2592,Belgium,BEL,2021-02-15,645457.0,397248.0,249061.0,52.0,11654555.0,3.408521389276553
2593,Belgium,BEL,2021-02-16,660584.0,401694.0,259759.0,37.0,11654555.0,3.4466695639601856
2594,Belgium,BEL,2021-02-17,680848.0,409007.0,272730.0,39.0,11654555.0,3.5094175624895163
2595,Belgium,BEL,2021-02-18,708994.0,419702.0,290188.0,28.0,11654555.0,3.601184258000413
2596,Belgium,BEL,2021-02-19,740511.0,437817.0,303613.0,33.0,11654555.0,3.7566170480125582
2597,Belgium,BEL,2021-02-20,746614.0,442300.0,305247.0,29.0,11654555.0,3.7950826951350782
2598,Belgium,BEL,2021-02-21,748866.0,444252.0,305548.0,21.0,11654555.0,3.811831511370447
2599,Belgium,BEL,2021-02-22,761778.0,454161.0,308555.0,26.0,11654555.0,3.896854062639029
2600,Belgium,BEL,2021-02-23,782159.0,466225.0,316888.0,20.0,11654555.0,4.000367238388767
2601,Belgium,BEL,2021-02-24,805629.0,481215.0,325386.0,25.0,11654555.0,4.128986477819187
2602,Belgium,BEL,2021-02-25,837863.0,504107.0,334737.0,22.0,11654555.0,4.325407533792582
2603,Belgium,BEL,2021-02-26,870301.0,529496.0,341817.0,28.0,11654555.0,4.543253689222797
2604,Belgium,BEL,2021-02-27,874817.0,533161.0,342683.0,22.0,11654555.0,4.574700621345045
