,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
2904,Belize,BLZ,2021-05-18,64413.0,54909.0,9504.0,0.0,408588.0,13.438720667273635
2905,Belize,BLZ,2021-05-19,66387.0,56719.0,9668.0,0.0,408588.0,13.881709692893576
2906,Belize,BLZ,2021-05-21,70548.0,60119.0,10429.0,0.0,408588.0,14.7138437741686
2907,Belize,BLZ,2021-05-25,71916.0,61282.0,10634.0,0.0,408588.0,14.998482579028265
2908,Belize,BLZ,2021-05-27,74016.0,63064.0,10952.0,0.0,408588.0,15.434618735743586
2909,Belize,BLZ,2021-05-28,75243.0,64070.0,11173.0,0.0,408588.0,15.680832525673786
2910,Belize,BLZ,2021-06-01,76787.0,65271.0,11516.0,0.0,408588.0,15.974771652618283
2911,Belize,BLZ,2021-06-02,77607.0,65829.0,11778.0,0.0,408588.0,16.1113395400746
2912,Belize,BLZ,2021-06-03,78530.0,66596.0,11934.0,1.0,408588.0,16.299059198997522
2913,Belize,BLZ,2021-06-04,80121.0,67851.0,12270.0,0.0,408588.0,16.606214573115217
2914,Belize,BLZ,2021-06-11,88569.0,72453.0,16116.0,0.0,408588.0,17.732532526652765
2915,Belize,BLZ,2021-06-15,93451.0,74278.0,19173.0,0.0,408588.0,18.17919273204304
2916,Belize,BLZ,2021-06-16,95452.0,75123.0,20329.0,1.0,408588.0,18.386002525771683
2917,Belize,BLZ,2021-06-17,97404.0,76148.0,21256.0,0.0,408588.0,18.6368664767443
2918,Belize,BLZ,2021-06-23,106010.0,79993.0,26017.0,1.0,408588.0,19.577912224539144
2919,Belize,BLZ,2021-07-01,118989.0,87522.0,31467.0,0.0,408588.0,21.42059972392728
2920,Belize,BLZ,2021-07-02,123902.0,90878.0,33024.0,0.0,408588.0,22.24196501120933
2921,Belize,BLZ,2021-07-05,127969.0,93775.0,34194.0,0.0,408588.0,22.950992197519263
2922,Belize,BLZ,2021-07-06,131938.0,96569.0,35369.0,0.0,408588.0,23.634810616072915
2923,Belize,BLZ,2021-07-07,136169.0,99591.0,36578.0,0.0,408588.0,24.3744309671356
2924,Belize,BLZ,2021-07-08,139525.0,102052.0,37473.0,0.0,408588.0,24.976749194787903
2925,Belize,BLZ,2021-07-13,147080.0,107617.0,39463.0,0.0,408588.0,26.3387568895807
2926,Belize,BLZ,2021-07-15,152857.0,111501.0,41356.0,0.0,408588.0,27.289347704778404
2927,Belize,BLZ,2021-07-16,155896.0,113596.0,42300.0,0.0,408588.0,27.80208914603464
2928,Belize,BLZ,2021-07-19,158365.0,115212.0,43153.0,0.0,408588.0,28.19759757995829
2929,Belize,BLZ,2021-07-20,160283.0,116426.0,43857.0,0.0,408588.0,28.494718396037083
2930,Belize,BLZ,2021-07-22,165306.0,119677.0,45629.0,0.0,408588.0,29.290385424926825
2931,Belize,BLZ,2021-07-23,168083.0,121487.0,46596.0,0.0,408588.0,29.73337445054676
2932,Belize,BLZ,2021-07-26,173073.0,124932.0,48141.0,0.0,408588.0,30.57652207113278
2933,Belize,BLZ,2021-07-27,175735.0,126693.0,49042.0,0.0,408588.0,31.00751857616964
2934,Belize,BLZ,2021-07-28,175735.0,126693.0,49042.0,1.0,408588.0,31.00751857616964
2935,Belize,BLZ,2021-07-29,178449.0,128768.0,49681.0,0.0,408588.0,31.515365111065424
2936,Belize,BLZ,2021-07-30,183581.0,132361.0,51220.0,4.0,408588.0,32.39473503871871
2937,Belize,BLZ,2021-08-03,186813.0,134583.0,52230.0,0.0,408588.0,32.93855913536375
2938,Belize,BLZ,2021-08-04,189396.0,136163.0,53233.0,0.0,408588.0,33.32525673783861
2939,Belize,BLZ,2021-08-05,192222.0,137873.0,54349.0,1.0,408588.0,33.74377123165634
2940,Belize,BLZ,2021-08-06,194556.0,139413.0,55143.0,0.0,408588.0,34.120679021410325
2941,Belize,BLZ,2021-08-09,198030.0,141700.0,56330.0,0.0,408588.0,34.680411563726786
2942,Belize,BLZ,2021-08-10,200520.0,143022.0,57498.0,0.0,408588.0,35.003964874151954
2943,Belize,BLZ,2021-08-11,202797.0,144321.0,58476.0,1.0,408588.0,35.32188904226262
2944,Belize,BLZ,2021-08-12,205129.0,145750.0,59379.0,1.0,408588.0,35.671630101716154
2945,Belize,BLZ,2021-08-13,208490.0,147830.0,60660.0,3.0,408588.0,36.18070036320205
2946,Belize,BLZ,2021-08-16,210995.0,149428.0,61567.0,0.0,408588.0,36.57180338140131
2947,Belize,BLZ,2021-08-17,212380.0,150181.0,62199.0,0.0,408588.0,36.75609660587193
2948,Belize,BLZ,2021-08-18,213929.0,150881.0,63048.0,0.0,408588.0,36.92741832848738
2949,Belize,BLZ,2021-08-20,217385.0,152484.0,64901.0,0.0,408588.0,37.31974507327675
2950,Belize,BLZ,2021-08-30,237507.0,167596.0,69911.0,0.0,408588.0,41.018336319226215
