,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
2988,Bermuda,BMU,2021-02-06,9095.0,7504.0,1591.0,0.0,62090.0,12.085682074408115
2989,Bermuda,BMU,2021-02-09,10000.0,8400.0,1600.0,0.0,62090.0,13.528748590755354
2990,Bermuda,BMU,2021-02-22,17073.0,12304.0,4769.0,0.0,62090.0,19.81639555483975
2991,Bermuda,BMU,2021-02-27,20705.0,13659.0,7046.0,0.0,62090.0,21.99871154775326
2992,Bermuda,BMU,2021-03-03,23939.0,15294.0,8645.0,0.0,62090.0,24.63198582702529
2993,Bermuda,BMU,2021-03-10,27727.0,17395.0,10332.0,0.0,62090.0,28.01578354002255
2994,Bermuda,BMU,2021-03-15,30481.0,18807.0,11674.0,0.0,62090.0,30.289901755516187
2995,Bermuda,BMU,2021-03-22,34204.0,21049.0,13155.0,0.0,62090.0,33.90078917700113
2996,Bermuda,BMU,2021-03-27,37788.0,22417.0,15371.0,0.0,62090.0,36.10404251892414
2997,Bermuda,BMU,2021-04-04,41152.0,23791.0,17361.0,0.0,62090.0,38.3169592526977
2998,Bermuda,BMU,2021-04-10,45761.0,25781.0,19980.0,0.0,62090.0,41.52198421645998
2999,Bermuda,BMU,2021-04-19,52337.0,30094.0,22243.0,1.0,62090.0,48.468352391689486
3000,Bermuda,BMU,2021-04-26,55904.0,32129.0,23775.0,0.0,62090.0,51.745852794330816
3001,Bermuda,BMU,2021-05-02,58193.0,32877.0,25216.0,1.0,62090.0,52.95055564503141
3002,Bermuda,BMU,2021-05-12,63994.0,34966.0,29028.0,0.0,62090.0,56.31502657432759
3003,Bermuda,BMU,2021-05-17,66564.0,35313.0,31251.0,0.0,62090.0,56.87389273635046
3004,Bermuda,BMU,2021-05-24,68822.0,36096.0,32726.0,0.0,62090.0,58.13496537284587
3005,Bermuda,BMU,2021-05-31,71114.0,37554.0,33560.0,0.0,62090.0,60.48316959252698
3006,Bermuda,BMU,2021-06-05,73702.0,39252.0,34450.0,0.0,62090.0,63.21790948622967
3007,Bermuda,BMU,2021-06-07,74852.0,39865.0,34987.0,0.0,62090.0,64.20518602029313
3008,Bermuda,BMU,2021-06-14,76860.0,41198.0,35662.0,0.0,62090.0,66.35206957642133
3009,Bermuda,BMU,2021-07-16,82050.0,41505.0,40545.0,0.0,62090.0,66.84651312610727
3010,Bermuda,BMU,2021-07-23,82468.0,41651.0,40817.0,0.0,62090.0,67.08165566113706
3011,Bermuda,BMU,2021-07-30,82870.0,41873.0,40997.0,0.0,62090.0,67.43920115960702
3012,Bermuda,BMU,2021-08-06,82976.0,41917.0,41059.0,0.0,62090.0,67.51006603317764
3013,Bermuda,BMU,2021-08-13,83297.0,42074.0,41223.0,0.0,62090.0,67.7629247866001
3014,Bermuda,BMU,2021-08-20,84022.0,42430.0,41592.0,0.0,62090.0,68.33628603639877
3015,Bermuda,BMU,2021-08-27,84748.0,42826.0,41922.0,0.0,62090.0,68.97406989853438
3016,Bermuda,BMU,2021-09-03,85415.0,43128.0,42287.0,0.0,62090.0,69.46046062167821
3017,Bermuda,BMU,2021-09-10,85914.0,43377.0,42537.0,0.0,62090.0,69.86149138347561
3018,Bermuda,BMU,2021-09-17,86194.0,43549.0,42645.0,1.0,62090.0,70.1385086165244
3019,Bermuda,BMU,2021-09-24,86676.0,43855.0,42821.0,2.0,62090.0,70.63134160090192
3020,Bermuda,BMU,2021-10-01,87215.0,44190.0,43025.0,10.0,62090.0,71.17088097922371
3021,Bermuda,BMU,2021-10-08,87723.0,44573.0,43150.0,5.0,62090.0,71.78772749234982
3022,Bermuda,BMU,2021-10-15,88417.0,45017.0,43400.0,2.0,62090.0,72.50281848928975
3023,Bermuda,BMU,2021-10-22,89029.0,45291.0,43738.0,0.0,62090.0,72.94411338379771
3024,Bermuda,BMU,2021-12-10,106520.0,46054.0,45029.0,0.0,62090.0,74.17297471412466
3025,Bermuda,BMU,2021-12-17,110329.0,46194.0,45213.0,0.0,62090.0,74.39845385730392
