,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
3057,Bolivia (Plurinational State of),BOL,2021-02-20,10313.0,10301.0,12.0,50.0,11913222.0,0.0864669524331872
3058,Bolivia (Plurinational State of),BOL,2021-02-21,10313.0,10301.0,12.0,37.0,11913222.0,0.0864669524331872
3059,Bolivia (Plurinational State of),BOL,2021-02-22,10511.0,10301.0,210.0,27.0,11913222.0,0.0864669524331872
3060,Bolivia (Plurinational State of),BOL,2021-02-23,11331.0,10301.0,1030.0,24.0,11913222.0,0.0864669524331872
3061,Bolivia (Plurinational State of),BOL,2021-02-24,12935.0,10301.0,2634.0,29.0,11913222.0,0.0864669524331872
3062,Bolivia (Plurinational State of),BOL,2021-02-25,18609.0,11979.0,6630.0,38.0,11913222.0,0.1005521428208086
3063,Bolivia (Plurinational State of),BOL,2021-02-26,18609.0,11979.0,6630.0,39.0,11913222.0,0.1005521428208086
3064,Bolivia (Plurinational State of),BOL,2021-02-27,29813.0,22212.0,7601.0,30.0,11913222.0,0.1864483008878706
3065,Bolivia (Plurinational State of),BOL,2021-02-28,29813.0,22212.0,7601.0,32.0,11913222.0,0.1864483008878706
3066,Bolivia (Plurinational State of),BOL,2021-03-01,29813.0,22212.0,7601.0,19.0,11913222.0,0.1864483008878706
3067,Bolivia (Plurinational State of),BOL,2021-03-02,55617.0,46455.0,9162.0,21.0,11913222.0,0.3899448864463367
3068,Bolivia (Plurinational State of),BOL,2021-03-03,55617.0,46455.0,9162.0,17.0,11913222.0,0.3899448864463367
3069,Bolivia (Plurinational State of),BOL,2021-03-04,55617.0,46455.0,9162.0,37.0,11913222.0,0.3899448864463367
3070,Bolivia (Plurinational State of),BOL,2021-03-05,55617.0,46455.0,9162.0,31.0,11913222.0,0.3899448864463367
3071,Bolivia (Plurinational State of),BOL,2021-03-06,106182.0,96397.0,9785.0,27.0,11913222.0,0.8091597722261871
3072,Bolivia (Plurinational State of),BOL,2021-03-07,106905.0,97120.0,9785.0,28.0,11913222.0,0.8152286593836664
3073,Bolivia (Plurinational State of),BOL,2021-03-08,112066.0,102236.0,9830.0,18.0,11913222.0,0.8581725413997994
3074,Bolivia (Plurinational State of),BOL,2021-03-09,119080.0,109210.0,9870.0,16.0,11913222.0,0.9167125400668266
3075,Bolivia (Plurinational State of),BOL,2021-03-10,126889.0,117011.0,9878.0,22.0,11913222.0,0.9821944055101132
3076,Bolivia (Plurinational State of),BOL,2021-03-11,132286.0,122348.0,9938.0,13.0,11913222.0,1.0269933692161533
3077,Bolivia (Plurinational State of),BOL,2021-03-12,137150.0,127199.0,9951.0,26.0,11913222.0,1.067712832011357
3078,Bolivia (Plurinational State of),BOL,2021-03-13,137787.0,127836.0,9951.0,19.0,11913222.0,1.0730598321763836
3079,Bolivia (Plurinational State of),BOL,2021-03-14,138218.0,128267.0,9951.0,0.0,11913222.0,1.0766776611734423
3080,Bolivia (Plurinational State of),BOL,2021-03-15,141810.0,131814.0,9996.0,41.0,11913222.0,1.1064513025947136
3081,Bolivia (Plurinational State of),BOL,2021-03-16,146039.0,136032.0,10007.0,14.0,11913222.0,1.1418573413640742
3082,Bolivia (Plurinational State of),BOL,2021-03-17,150593.0,140532.0,10061.0,16.0,11913222.0,1.1796304979458958
3083,Bolivia (Plurinational State of),BOL,2021-03-18,155945.0,144816.0,11129.0,23.0,11913222.0,1.2155905430117897
3084,Bolivia (Plurinational State of),BOL,2021-03-19,166984.0,150045.0,16939.0,18.0,11913222.0,1.2594829509598662
3085,Bolivia (Plurinational State of),BOL,2021-03-20,169058.0,150486.0,18572.0,13.0,11913222.0,1.263184720304885
3086,Bolivia (Plurinational State of),BOL,2021-03-21,170320.0,150818.0,19502.0,13.0,11913222.0,1.2659715398571436
3087,Bolivia (Plurinational State of),BOL,2021-03-22,182030.0,153795.0,28235.0,10.0,11913222.0,1.2909605814447174
