,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
3364,Bosnia and Herzegovina,BIH,2021-04-14,35612.0,25612.0,10000.0,79.0,3253362.0,0.7872471615516503
3365,Bosnia and Herzegovina,BIH,2021-04-24,80988.0,68988.0,12000.0,39.0,3253362.0,2.12051410202738
3366,Bosnia and Herzegovina,BIH,2021-05-01,109609.0,85057.0,24552.0,39.0,3253362.0,2.6144339301928285
3367,Bosnia and Herzegovina,BIH,2021-05-19,151549.0,116085.0,35464.0,19.0,3253362.0,3.568155034699489
3368,Bosnia and Herzegovina,BIH,2021-05-25,236472.0,191659.0,44813.0,19.0,3253362.0,5.891105877550669
3369,Bosnia and Herzegovina,BIH,2021-06-10,323252.0,257898.0,65354.0,7.0,3253362.0,7.927122773303432
3370,Bosnia and Herzegovina,BIH,2021-06-24,430513.0,293737.0,136776.0,3.0,3253362.0,9.02872167314919
3371,Bosnia and Herzegovina,BIH,2021-06-25,457491.0,302020.0,155471.0,2.0,3253362.0,9.283319839599772
3372,Bosnia and Herzegovina,BIH,2021-07-05,470218.0,306429.0,163789.0,1.0,3253362.0,9.418841186440366
3373,Bosnia and Herzegovina,BIH,2021-07-21,623838.0,388445.0,235393.0,0.0,3253362.0,11.939802579608418
3374,Bosnia and Herzegovina,BIH,2021-08-04,777900.0,491843.0,286057.0,0.0,3253362.0,15.117991788187112
3375,Bosnia and Herzegovina,BIH,2021-08-10,798422.0,499813.0,298609.0,3.0,3253362.0,15.362969137771945
3376,Bosnia and Herzegovina,BIH,2021-08-11,865306.0,537608.0,327698.0,0.0,3253362.0,16.52469045867014
3377,Bosnia and Herzegovina,BIH,2021-08-18,928126.0,567198.0,360928.0,5.0,3253362.0,17.434211132975673
3378,Bosnia and Herzegovina,BIH,2021-09-07,1060145.0,634063.0,426082.0,21.0,3253362.0,19.48946966245994
3379,Bosnia and Herzegovina,BIH,2021-09-29,1242203.0,734195.0,508008.0,34.0,3253362.0,22.567270411346783
3380,Bosnia and Herzegovina,BIH,2021-10-31,1479596.0,797531.0,682065.0,33.0,3253362.0,24.514056535977243
3381,Bosnia and Herzegovina,BIH,2021-11-04,1553874.0,833233.0,720631.0,31.0,3253362.0,25.611444407354604
