,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
3382,Botswana,BWA,2021-06-14,174333.0,151315.0,23018.0,0.0,2419654.0,6.253580057313981
3383,Botswana,BWA,2021-06-18,200893.0,152383.0,48510.0,14.0,2419654.0,6.297718599436118
3384,Botswana,BWA,2021-06-21,219488.0,153403.0,66085.0,0.0,2419654.0,6.339873386856137
3385,Botswana,BWA,2021-06-25,241568.0,157288.0,84280.0,26.0,2419654.0,6.500433533058859
3386,Botswana,BWA,2021-06-28,250345.0,158863.0,91482.0,0.0,2419654.0,6.565525484222125
3387,Botswana,BWA,2021-07-02,260321.0,160196.0,100125.0,33.0,2419654.0,6.620616005428875
3388,Botswana,BWA,2021-07-05,267763.0,161426.0,106337.0,0.0,2419654.0,6.671449719670664
3389,Botswana,BWA,2021-07-09,274241.0,165652.0,108589.0,14.0,2419654.0,6.84610278990302
3390,Botswana,BWA,2021-07-10,284676.0,173512.0,111164.0,0.0,2419654.0,7.170942622374935
3391,Botswana,BWA,2021-07-16,310823.0,194676.0,116147.0,21.0,2419654.0,8.04561313311738
3392,Botswana,BWA,2021-07-19,318107.0,200054.0,118053.0,0.0,2419654.0,8.267876316200581
3393,Botswana,BWA,2021-07-23,331408.0,209890.0,121518.0,47.0,2419654.0,8.674380717243043
3394,Botswana,BWA,2021-07-26,352407.0,227982.0,124425.0,0.0,2419654.0,9.4220909270499
3395,Botswana,BWA,2021-07-30,365137.0,237775.0,127362.0,84.0,2419654.0,9.82681821450505
3396,Botswana,BWA,2021-08-02,370626.0,241888.0,128738.0,0.0,2419654.0,9.996801195542837
3397,Botswana,BWA,2021-08-06,376360.0,243894.0,132466.0,51.0,2419654.0,10.079705610802206
3398,Botswana,BWA,2021-08-10,391360.0,245061.0,146299.0,128.0,2419654.0,10.127935646997464
3399,Botswana,BWA,2021-08-13,408023.0,246501.0,161522.0,0.0,2419654.0,10.18744828806102
3400,Botswana,BWA,2021-08-25,434644.0,252722.0,181922.0,0.0,2419654.0,10.444551163100178
3401,Botswana,BWA,2021-09-01,528003.0,320308.0,207695.0,0.0,2419654.0,13.237760440129042
3402,Botswana,BWA,2021-09-09,573691.0,355273.0,218418.0,0.0,2419654.0,14.682801755953538
3403,Botswana,BWA,2021-09-15,587595.0,365655.0,221940.0,0.0,2419654.0,15.1118713667326
3404,Botswana,BWA,2021-09-22,606699.0,380093.0,226606.0,0.0,2419654.0,15.70856824984068
3405,Botswana,BWA,2021-09-30,629604.0,394827.0,234777.0,0.0,2419654.0,16.31749828694516
3406,Botswana,BWA,2021-10-07,690001.0,444442.0,245559.0,0.0,2419654.0,18.367998069145425
3407,Botswana,BWA,2021-10-14,783999.0,525739.0,258260.0,0.0,2419654.0,21.727858611189863
3408,Botswana,BWA,2021-10-21,882831.0,618979.0,263852.0,0.0,2419654.0,25.581302120055184
3409,Botswana,BWA,2021-10-28,943915.0,676342.0,267573.0,0.0,2419654.0,27.952012973755757
3410,Botswana,BWA,2021-11-04,1028674.0,722374.0,306300.0,0.0,2419654.0,29.85443373308746
3411,Botswana,BWA,2021-11-10,1128095.0,770879.0,357216.0,0.0,2419654.0,31.85905918780123
3412,Botswana,BWA,2021-11-18,1254239.0,836794.0,417445.0,0.0,2419654.0,34.58320900426259
3413,Botswana,BWA,2021-11-24,1352557.0,883188.0,469369.0,0.0,2419654.0,36.50059058030611
3414,Botswana,BWA,2021-12-02,1430084.0,921104.0,508980.0,0.0,2419654.0,38.067591482087934
3415,Botswana,BWA,2021-12-09,1483181.0,955135.0,528046.0,0.0,2419654.0,39.47403223766704
3416,Botswana,BWA,2021-12-15,2128351.0,1125993.0,1002358.0,3.0,2419654.0,46.535289756304
3417,Botswana,BWA,2021-12-23,2137289.0,1131709.0,1005580.0,0.0,2419654.0,46.771521878747954
