,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
4093,Cambodia,KHM,2021-02-24,54350.0,54286.0,64.0,0.0,17060340.0,0.31819998898029
4094,Cambodia,KHM,2021-02-25,60270.0,59928.0,342.0,0.0,17060340.0,0.3512708421989245
4095,Cambodia,KHM,2021-02-26,63825.0,63217.0,608.0,0.0,17060340.0,0.3705494732226908
4096,Cambodia,KHM,2021-02-28,69777.0,68299.0,1478.0,0.0,17060340.0,0.4003378596206171
4097,Cambodia,KHM,2021-03-01,87069.0,84736.0,2333.0,0.0,17060340.0,0.4966841223562953
4098,Cambodia,KHM,2021-03-02,114283.0,108409.0,5874.0,0.0,17060340.0,0.6354445456538381
4099,Cambodia,KHM,2021-03-03,135543.0,125668.0,9875.0,0.0,17060340.0,0.7366090007584843
4100,Cambodia,KHM,2021-03-04,151231.0,140096.0,11135.0,0.0,17060340.0,0.821179413774872
4101,Cambodia,KHM,2021-03-05,167773.0,153718.0,14055.0,0.0,17060340.0,0.9010254191885976
4102,Cambodia,KHM,2021-03-06,178910.0,162927.0,15983.0,0.0,17060340.0,0.9550044137455644
4103,Cambodia,KHM,2021-03-07,185052.0,167487.0,17565.0,0.0,17060340.0,0.9817330721427592
4104,Cambodia,KHM,2021-03-08,198636.0,175675.0,22961.0,0.0,17060340.0,1.0297274262998275
4105,Cambodia,KHM,2021-03-09,221672.0,188026.0,33646.0,0.0,17060340.0,1.102123404340125
4106,Cambodia,KHM,2021-03-10,254090.0,214209.0,39881.0,0.0,17060340.0,1.2555963128519128
4107,Cambodia,KHM,2021-03-11,284894.0,237379.0,47515.0,0.0,17060340.0,1.391408377558712
4108,Cambodia,KHM,2021-03-12,308173.0,255641.0,52532.0,1.0,17060340.0,1.4984519652011623
4109,Cambodia,KHM,2021-03-13,327250.0,270466.0,56784.0,0.0,17060340.0,1.5853494127315164
4110,Cambodia,KHM,2021-03-14,336900.0,279307.0,57593.0,0.0,17060340.0,1.637171357663446
4111,Cambodia,KHM,2021-03-15,346135.0,286020.0,60115.0,0.0,17060340.0,1.6765199286766852
4112,Cambodia,KHM,2021-03-16,372685.0,297585.0,75100.0,0.0,17060340.0,1.7443087300722029
