,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
4391,Cameroon,CMR,2021-05-12,44391.0,43488.0,903.0,78.0,27565419.0,0.1577628839960676
4392,Cameroon,CMR,2021-05-18,47488.0,45706.0,1782.0,0.0,27565419.0,0.1658091973860437
4393,Cameroon,CMR,2021-05-21,50106.0,46658.0,3448.0,0.0,27565419.0,0.1692627998870614
4394,Cameroon,CMR,2021-05-24,57008.0,51925.0,5083.0,0.0,27565419.0,0.1883700733879648
4395,Cameroon,CMR,2021-05-26,64829.0,56583.0,8246.0,40.0,27565419.0,0.2052680570536584
4396,Cameroon,CMR,2021-05-31,75215.0,63404.0,11811.0,0.0,27565419.0,0.2300128287547524
4397,Cameroon,CMR,2021-06-08,80445.0,66216.0,14229.0,27.0,27565419.0,0.240214015974145
4398,Cameroon,CMR,2021-06-10,86451.0,70257.0,16194.0,0.0,27565419.0,0.2548736879348723
4399,Cameroon,CMR,2021-06-14,89180.0,72111.0,17069.0,0.0,27565419.0,0.2615995062509298
4400,Cameroon,CMR,2021-06-20,97245.0,78476.0,18769.0,0.0,27565419.0,0.2846900313759061
4401,Cameroon,CMR,2021-06-24,102400.0,82228.0,20172.0,0.0,27565419.0,0.2983012882916817
4402,Cameroon,CMR,2021-06-28,110324.0,88333.0,21991.0,0.0,27565419.0,0.3204486026495733
4403,Cameroon,CMR,2021-07-12,163921.0,134108.0,29813.0,0.0,27565419.0,0.4865081136622665
4404,Cameroon,CMR,2021-07-19,313881.0,265223.0,48658.0,0.0,27565419.0,0.9621584203019008
4405,Cameroon,CMR,2021-07-24,318485.0,269339.0,49146.0,2.0,27565419.0,0.9770901722915948
4406,Cameroon,CMR,2021-07-26,331875.0,279987.0,51888.0,0.0,27565419.0,1.0157182809374312
4407,Cameroon,CMR,2021-08-03,349845.0,293991.0,55854.0,0.0,27565419.0,1.0665210639460985
4408,Cameroon,CMR,2021-08-09,368280.0,306462.0,61818.0,0.0,27565419.0,1.111762531162686
4409,Cameroon,CMR,2021-08-16,395212.0,327127.0,68085.0,0.0,27565419.0,1.1867296484773189
4410,Cameroon,CMR,2021-08-20,412524.0,340412.0,72112.0,0.0,27565419.0,1.2349240909416253
4411,Cameroon,CMR,2021-08-23,418130.0,343672.0,74476.0,0.0,27565419.0,1.2467505028673789
4412,Cameroon,CMR,2021-08-27,426590.0,348238.0,78352.0,0.0,27565419.0,1.263314735030873
4413,Cameroon,CMR,2021-08-30,428255.0,349385.0,78870.0,0.0,27565419.0,1.2674757456072046
4414,Cameroon,CMR,2021-09-06,435676.0,355561.0,80115.0,0.0,27565419.0,1.2898806290591849
4415,Cameroon,CMR,2021-09-12,444521.0,363773.0,80748.0,0.0,27565419.0,1.3196715783641817
4416,Cameroon,CMR,2021-09-17,452336.0,370319.0,82017.0,0.0,27565419.0,1.3434187232923975
4417,Cameroon,CMR,2021-09-22,459397.0,376195.0,83202.0,0.0,27565419.0,1.364735286628511
4418,Cameroon,CMR,2021-09-27,461201.0,377791.0,83410.0,0.0,27565419.0,1.370525149644923
4419,Cameroon,CMR,2021-09-29,469341.0,385057.0,84284.0,91.0,27565419.0,1.3968842628512197
4420,Cameroon,CMR,2021-10-06,476512.0,391795.0,84717.0,58.0,27565419.0,1.4213279326535904
4421,Cameroon,CMR,2021-10-11,479521.0,395570.0,140494.0,0.0,27565419.0,1.4350226274449156
4422,Cameroon,CMR,2021-10-14,481985.0,397608.0,142770.0,0.0,27565419.0,1.4424159487653716
4423,Cameroon,CMR,2021-10-18,490604.0,405846.0,150894.0,0.0,27565419.0,1.472301219147077
4424,Cameroon,CMR,2021-10-23,497689.0,411601.0,155738.0,0.0,27565419.0,1.493178826703124
4425,Cameroon,CMR,2021-10-27,503363.0,416855.0,160803.0,0.0,27565419.0,1.5122389396656732
4426,Cameroon,CMR,2021-11-01,503850.0,418185.0,163268.0,0.0,27565419.0,1.5170638255126832
4427,Cameroon,CMR,2021-11-04,507363.0,421472.0,166517.0,0.0,27565419.0,1.528988186248865
4428,Cameroon,CMR,2021-11-11,510324.0,424269.0,169300.0,0.0,27565419.0,1.5391349574624642
4429,Cameroon,CMR,2021-11-12,520214.0,432625.0,175829.0,0.0,27565419.0,1.569448300423077
4430,Cameroon,CMR,2021-11-18,607270.0,502131.0,259968.0,0.0,27565419.0,1.8215975603345629
4431,Cameroon,CMR,2021-11-22,859760.0,704917.0,504892.0,0.0,27565419.0,2.557251170388522
4432,Cameroon,CMR,2021-11-24,923643.0,754013.0,565876.0,21.0,27565419.0,2.735358385083862
4433,Cameroon,CMR,2021-11-29,953375.0,777338.0,595316.0,0.0,27565419.0,2.8199752740925144
4434,Cameroon,CMR,2021-12-06,972360.0,793725.0,613607.0,0.0,27565419.0,2.8794229465548846
4435,Cameroon,CMR,2021-12-14,986281.0,806176.0,627046.0,0.0,27565419.0,2.924591859097081
