,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
4436,Canada,CAN,2020-12-22,26862.0,26861.0,1.0,74.0,38232693.0,0.0702566256580461
4437,Canada,CAN,2020-12-23,35547.0,35546.0,1.0,104.0,38232693.0,0.0929727864056031
4438,Canada,CAN,2020-12-24,45745.0,45744.0,1.0,93.0,38232693.0,0.1196462932914508
4439,Canada,CAN,2020-12-25,48792.0,48791.0,1.0,172.0,38232693.0,0.1276159123815839
4440,Canada,CAN,2020-12-26,48808.0,48807.0,1.0,123.0,38232693.0,0.1276577613823855
4441,Canada,CAN,2020-12-27,52419.0,52418.0,1.0,0.0,38232693.0,0.137102557750771
4442,Canada,CAN,2020-12-28,59041.0,59040.0,1.0,179.0,38232693.0,0.1544228129574864
4443,Canada,CAN,2020-12-29,72057.0,72055.0,2.0,209.0,38232693.0,0.1884643595469458
4444,Canada,CAN,2020-12-30,85497.0,85495.0,2.0,114.0,38232693.0,0.2236175202201948
4445,Canada,CAN,2020-12-31,98442.0,98440.0,2.0,156.0,38232693.0,0.2574759774311477
4446,Canada,CAN,2021-01-01,105404.0,105401.0,3.0,94.0,38232693.0,0.2756829083423446
4447,Canada,CAN,2021-01-02,110048.0,110045.0,3.0,133.0,38232693.0,0.2878295808249762
4448,Canada,CAN,2021-01-03,115256.0,115253.0,3.0,136.0,38232693.0,0.3014514305858601
4449,Canada,CAN,2021-01-04,138858.0,138855.0,3.0,83.0,38232693.0,0.3631839378931534
4450,Canada,CAN,2021-01-05,156683.0,156677.0,6.0,41.0,38232693.0,0.4097984936609096
4451,Canada,CAN,2021-01-06,184772.0,184324.0,448.0,209.0,38232693.0,0.4821109514833286
4452,Canada,CAN,2021-01-07,221912.0,220488.0,1424.0,159.0,38232693.0,0.5767001555448893
4453,Canada,CAN,2021-01-08,263780.0,261086.0,2694.0,136.0,38232693.0,0.682886763953562
4454,Canada,CAN,2021-01-09,299989.0,296053.0,3936.0,210.0,38232693.0,0.7743451396426613
4455,Canada,CAN,2021-01-10,323497.0,319545.0,3952.0,128.0,38232693.0,0.8357899350694444
4456,Canada,CAN,2021-01-11,361841.0,357878.0,3963.0,126.0,38232693.0,0.9360522943021564
4457,Canada,CAN,2021-01-12,393052.0,387536.0,5516.0,117.0,38232693.0,1.0136246484128126
4458,Canada,CAN,2021-01-13,423365.0,410079.0,13286.0,136.0,38232693.0,1.0725872749795573
4459,Canada,CAN,2021-01-14,466005.0,449649.0,16356.0,147.0,38232693.0,1.1760850850867346
4460,Canada,CAN,2021-01-15,515478.0,496065.0,19413.0,150.0,38232693.0,1.297489036411848
4461,Canada,CAN,2021-01-16,553360.0,532763.0,20597.0,155.0,38232693.0,1.393474950875158
4462,Canada,CAN,2021-01-17,581955.0,560100.0,21855.0,191.0,38232693.0,1.4649765843070484
4463,Canada,CAN,2021-01-18,623250.0,600660.0,22590.0,136.0,38232693.0,1.5710638013388174
4464,Canada,CAN,2021-01-19,662635.0,637795.0,24840.0,149.0,38232693.0,1.6681927166365185
4465,Canada,CAN,2021-01-20,705977.0,667985.0,37992.0,106.0,38232693.0,1.7471565500238238
4466,Canada,CAN,2021-01-21,749071.0,705279.0,43792.0,146.0,38232693.0,1.8447013397669896
4467,Canada,CAN,2021-01-22,787098.0,736970.0,50128.0,196.0,38232693.0,1.9275911325419843
4468,Canada,CAN,2021-01-23,814582.0,760072.0,54510.0,160.0,38232693.0,1.9880158585742311
4469,Canada,CAN,2021-01-24,829258.0,772089.0,57169.0,206.0,38232693.0,2.0194470737386983
4470,Canada,CAN,2021-01-25,852707.0,787301.0,65406.0,146.0,38232693.0,2.059235011250711
4471,Canada,CAN,2021-01-26,882364.0,808739.0,73625.0,120.0,38232693.0,2.115307441199604
4472,Canada,CAN,2021-01-27,905482.0,822307.0,83175.0,144.0,38232693.0,2.1507953938792643
4473,Canada,CAN,2021-01-28,930500.0,837386.0,93114.0,165.0,38232693.0,2.190235461572116
4474,Canada,CAN,2021-01-29,952276.0,849720.0,102556.0,130.0,38232693.0,2.222495810064962
4475,Canada,CAN,2021-01-30,967430.0,856362.0,111068.0,131.0,38232693.0,2.2398683765226792
4476,Canada,CAN,2021-01-31,972603.0,858979.0,113624.0,137.0,38232693.0,2.2467133037162723
4477,Canada,CAN,2021-02-01,990915.0,872708.0,118207.0,141.0,38232693.0,2.282622361966498
4478,Canada,CAN,2021-02-02,1002530.0,879389.0,123141.0,90.0,38232693.0,2.300096935363669
4479,Canada,CAN,2021-02-03,1016197.0,883703.0,132494.0,104.0,38232693.0,2.3113804722047697
4480,Canada,CAN,2021-02-04,1035774.0,890725.0,145049.0,77.0,38232693.0,2.329746952431522
4481,Canada,CAN,2021-02-05,1059347.0,900973.0,158374.0,142.0,38232693.0,2.3565512374448745
4482,Canada,CAN,2021-02-06,1080961.0,908824.0,172137.0,158.0,38232693.0,2.377086019025654
4483,Canada,CAN,2021-02-07,1094816.0,914887.0,179929.0,96.0,38232693.0,2.392944174766868
4484,Canada,CAN,2021-02-08,1116233.0,925353.0,190880.0,93.0,38232693.0,2.42031865241614
4485,Canada,CAN,2021-02-09,1143038.0,934799.0,208239.0,65.0,38232693.0,2.445025256264318
4486,Canada,CAN,2021-02-10,1172962.0,944486.0,228476.0,68.0,38232693.0,2.4703622106870684
4487,Canada,CAN,2021-02-11,1206692.0,957134.0,249555.0,74.0,38232693.0,2.503443845820644
4488,Canada,CAN,2021-02-12,1244168.0,971187.0,272976.0,95.0,38232693.0,2.5402003463370995
4489,Canada,CAN,2021-02-13,1278201.0,983857.0,294339.0,84.0,38232693.0,2.573339523846777
4490,Canada,CAN,2021-02-14,1294437.0,986212.0,308220.0,74.0,38232693.0,2.5794991736522457
4491,Canada,CAN,2021-02-15,1305088.0,987931.0,317152.0,66.0,38232693.0,2.5839953256758554
4492,Canada,CAN,2021-02-16,1331046.0,996479.0,334562.0,65.0,38232693.0,2.60635315435405
4493,Canada,CAN,2021-02-17,1352501.0,1001415.0,351081.0,18.0,38232693.0,2.6192635711013086
4494,Canada,CAN,2021-02-18,1380041.0,1009196.0,370840.0,86.0,38232693.0,2.6396152633035816
4495,Canada,CAN,2021-02-19,1430536.0,1034975.0,395554.0,38.0,38232693.0,2.707041850282427
4496,Canada,CAN,2021-02-20,1482365.0,1069018.0,413336.0,63.0,38232693.0,2.7960834461752406
4497,Canada,CAN,2021-02-21,1523672.0,1097797.0,425863.0,78.0,38232693.0,2.871356720804365
4498,Canada,CAN,2021-02-22,1585896.0,1127804.0,458079.0,54.0,38232693.0,2.949841906245004
4499,Canada,CAN,2021-02-23,1635545.0,1158560.0,476972.0,44.0,38232693.0,3.0302861480356618
4500,Canada,CAN,2021-02-24,1682122.0,1190373.0,491736.0,49.0,38232693.0,3.1134950394417675
4501,Canada,CAN,2021-02-25,1740987.0,1232120.0,508854.0,39.0,38232693.0,3.2226869292204974
4502,Canada,CAN,2021-02-26,1809401.0,1287658.0,521730.0,45.0,38232693.0,3.3679500421275583
4503,Canada,CAN,2021-02-27,1871736.0,1341894.0,529829.0,58.0,38232693.0,3.509807692594398
4504,Canada,CAN,2021-02-28,1917698.0,1382137.0,535548.0,50.0,38232693.0,3.615065776297788
4505,Canada,CAN,2021-03-01,1977483.0,1428486.0,548984.0,45.0,38232693.0,3.7362944849320447
4506,Canada,CAN,2021-03-02,2053042.0,1493357.0,559672.0,34.0,38232693.0,3.905968643119123
4507,Canada,CAN,2021-03-03,2128257.0,1561481.0,566763.0,23.0,38232693.0,4.084151226281653
4508,Canada,CAN,2021-03-04,2207974.0,1635941.0,572020.0,28.0,38232693.0,4.278906013761572
4509,Canada,CAN,2021-03-05,2294574.0,1718976.0,575585.0,60.0,38232693.0,4.496089250108539
4510,Canada,CAN,2021-03-06,2368415.0,1790357.0,578045.0,46.0,38232693.0,4.6827907204967225
4511,Canada,CAN,2021-03-07,2425632.0,1845928.0,579691.0,41.0,38232693.0,4.828140146967937
4512,Canada,CAN,2021-03-08,2512301.0,1922552.0,589736.0,21.0,38232693.0,5.028555011806257
4513,Canada,CAN,2021-03-09,2583178.0,1989318.0,593845.0,26.0,38232693.0,5.203185661025762
4514,Canada,CAN,2021-03-10,2662673.0,2063397.0,599261.0,37.0,38232693.0,5.396943919174095
4515,Canada,CAN,2021-03-11,2761545.0,2157191.0,604339.0,28.0,38232693.0,5.642267992997511
4516,Canada,CAN,2021-03-12,2873952.0,2266105.0,607832.0,31.0,38232693.0,5.927139372578332
4517,Canada,CAN,2021-03-13,2980307.0,2369462.0,610828.0,36.0,38232693.0,6.197476071068287
4518,Canada,CAN,2021-03-14,3073337.0,2460538.0,612782.0,33.0,38232693.0,6.435691045880551
4519,Canada,CAN,2021-03-15,3198156.0,2579970.0,618169.0,30.0,38232693.0,6.748072912363249
4520,Canada,CAN,2021-03-16,3320083.0,2697381.0,622683.0,29.0,38232693.0,7.05516872693221
4521,Canada,CAN,2021-03-17,3461496.0,2833311.0,628165.0,32.0,38232693.0,7.410702144366341
4522,Canada,CAN,2021-03-18,3619114.0,2985249.0,633845.0,24.0,38232693.0,7.80810548710236
4523,Canada,CAN,2021-03-19,3784586.0,3144176.0,640390.0,35.0,38232693.0,8.223788996500978
4524,Canada,CAN,2021-03-20,3918531.0,3272970.0,645540.0,36.0,38232693.0,8.560657759577648
4525,Canada,CAN,2021-03-21,4009123.0,3360361.0,648741.0,27.0,38232693.0,8.789234386392817
4526,Canada,CAN,2021-03-22,4155488.0,3503285.0,652182.0,26.0,38232693.0,9.1630610483023
4527,Canada,CAN,2021-03-23,4282355.0,3625510.0,656822.0,33.0,38232693.0,9.482748180987407
