,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
4971,Chile,CHL,2021-01-13,11742.0,10710.0,1032.0,20.0,19266005.0,0.0555901444020179
4972,Chile,CHL,2021-01-14,18659.0,12830.0,5829.0,22.0,19266005.0,0.0665939825096069
4973,Chile,CHL,2021-01-15,22091.0,13787.0,8304.0,90.0,19266005.0,0.0715612811270421
4974,Chile,CHL,2021-01-16,22181.0,13810.0,8371.0,75.0,19266005.0,0.0716806623895301
4975,Chile,CHL,2021-01-17,22181.0,13810.0,8371.0,66.0,19266005.0,0.0716806623895301
4976,Chile,CHL,2021-01-18,33232.0,24861.0,8371.0,42.0,19266005.0,0.1290407637701744
4977,Chile,CHL,2021-01-19,52600.0,44228.0,8372.0,70.0,19266005.0,0.2295649772747386
4978,Chile,CHL,2021-01-20,61910.0,53538.0,8372.0,26.0,19266005.0,0.2778884361340091
4979,Chile,CHL,2021-01-21,64967.0,56595.0,8372.0,21.0,19266005.0,0.2937557630655655
4980,Chile,CHL,2021-01-22,65382.0,57006.0,8376.0,108.0,19266005.0,0.2958890543213292
4981,Chile,CHL,2021-01-23,65382.0,57006.0,8376.0,84.0,19266005.0,0.2958890543213292
4982,Chile,CHL,2021-01-24,65382.0,57006.0,8376.0,68.0,19266005.0,0.2958890543213292
4983,Chile,CHL,2021-01-25,66802.0,57023.0,9779.0,79.0,19266005.0,0.2959772926457768
4984,Chile,CHL,2021-01-26,67416.0,57042.0,10374.0,66.0,19266005.0,0.2960759119495713
4985,Chile,CHL,2021-01-27,67451.0,57043.0,10408.0,24.0,19266005.0,0.2960811024392447
4986,Chile,CHL,2021-01-28,67451.0,57043.0,10408.0,17.0,19266005.0,0.2960811024392447
4987,Chile,CHL,2021-01-29,67456.0,57043.0,10413.0,134.0,19266005.0,0.2960811024392447
4988,Chile,CHL,2021-01-30,67457.0,57044.0,10413.0,83.0,19266005.0,0.2960862929289181
4989,Chile,CHL,2021-01-31,67458.0,57044.0,10414.0,82.0,19266005.0,0.2960862929289181
4990,Chile,CHL,2021-02-01,67458.0,57044.0,10414.0,113.0,19266005.0,0.2960862929289181
4991,Chile,CHL,2021-02-02,80651.0,70231.0,10420.0,85.0,19266005.0,0.3645332802519256
4992,Chile,CHL,2021-02-03,251039.0,240619.0,10420.0,22.0,19266005.0,1.248930434721677
4993,Chile,CHL,2021-02-04,427199.0,414671.0,12528.0,17.0,19266005.0,2.1523455433547327
4994,Chile,CHL,2021-02-05,596713.0,583515.0,13198.0,155.0,19266005.0,3.0287285817687684
4995,Chile,CHL,2021-02-06,624572.0,611369.0,13203.0,77.0,19266005.0,3.1733044811314026
4996,Chile,CHL,2021-02-07,633213.0,620008.0,13205.0,87.0,19266005.0,3.218145121419827
4997,Chile,CHL,2021-02-08,866513.0,841525.0,24988.0,79.0,19266005.0,4.367926822400388
4998,Chile,CHL,2021-02-09,1128426.0,1084048.0,44378.0,82.0,19266005.0,5.626739949460202
4999,Chile,CHL,2021-02-10,1409227.0,1356501.0,52726.0,28.0,19266005.0,7.040904432444608
5000,Chile,CHL,2021-02-11,1663529.0,1607914.0,55615.0,21.0,19266005.0,8.345861012700869
5001,Chile,CHL,2021-02-12,1893026.0,1837201.0,55825.0,157.0,19266005.0,9.535972818443678
5002,Chile,CHL,2021-02-13,1922589.0,1866731.0,55858.0,83.0,19266005.0,9.689247978498916
5003,Chile,CHL,2021-02-14,1927057.0,1871199.0,55858.0,98.0,19266005.0,9.712439086359629
5004,Chile,CHL,2021-02-15,2192942.0,2137084.0,55858.0,98.0,19266005.0,11.0925124331692
5005,Chile,CHL,2021-02-16,2413041.0,2357171.0,55870.0,83.0,19266005.0,12.234871733916814
5006,Chile,CHL,2021-02-17,2601101.0,2545231.0,55870.0,20.0,19266005.0,13.21099522189473
5007,Chile,CHL,2021-02-18,2756390.0,2700519.0,55871.0,15.0,19266005.0,14.017015982296275
5008,Chile,CHL,2021-02-19,2898538.0,2842666.0,55872.0,139.0,19266005.0,14.754828517899792
5009,Chile,CHL,2021-02-20,2908179.0,2852307.0,55872.0,99.0,19266005.0,14.804870028840956
5010,Chile,CHL,2021-02-21,2909341.0,2853469.0,55872.0,77.0,19266005.0,14.810901377841438
5011,Chile,CHL,2021-02-22,3017483.0,2961589.0,55894.0,68.0,19266005.0,15.372097121328473
5012,Chile,CHL,2021-02-23,3111739.0,3055805.0,55934.0,84.0,19266005.0,15.861124296396683
5013,Chile,CHL,2021-02-24,3198023.0,3141915.0,56108.0,25.0,19266005.0,16.308077362172384
5014,Chile,CHL,2021-02-25,3284114.0,3227861.0,56253.0,22.0,19266005.0,16.75417918764165
5015,Chile,CHL,2021-02-26,3362516.0,3306145.0,56371.0,137.0,19266005.0,17.160511481233396
5016,Chile,CHL,2021-02-27,3372564.0,3316189.0,56375.0,90.0,19266005.0,17.212644759512933
5017,Chile,CHL,2021-02-28,3372919.0,3316544.0,56375.0,76.0,19266005.0,17.214487383346988
5018,Chile,CHL,2021-03-01,3510500.0,3453716.0,56784.0,96.0,19266005.0,17.926477232825384
5019,Chile,CHL,2021-03-02,3681884.0,3612680.0,69204.0,88.0,19266005.0,18.751578233266315
5020,Chile,CHL,2021-03-03,3993887.0,3770546.0,223341.0,24.0,19266005.0,19.570980076045863
5021,Chile,CHL,2021-03-04,4304530.0,3915301.0,389229.0,20.0,19266005.0,20.322329408717582
5022,Chile,CHL,2021-03-05,4602529.0,4051536.0,550993.0,134.0,19266005.0,21.02945576937201
5023,Chile,CHL,2021-03-06,4636321.0,4061182.0,575139.0,90.0,19266005.0,21.07952323276154
5024,Chile,CHL,2021-03-07,4644289.0,4062249.0,582040.0,80.0,19266005.0,21.08506148524305
5025,Chile,CHL,2021-03-08,4995066.0,4198878.0,796188.0,69.0,19266005.0,21.794232898828792
5026,Chile,CHL,2021-03-09,5371723.0,4337927.0,1033796.0,86.0,19266005.0,22.51596529742414
5027,Chile,CHL,2021-03-10,5773194.0,4473758.0,1299436.0,19.0,19266005.0,23.22099470025052
5028,Chile,CHL,2021-03-11,6190382.0,4645204.0,1545178.0,24.0,19266005.0,24.11088339279472
5029,Chile,CHL,2021-03-12,6564885.0,4796462.0,1768423.0,156.0,19266005.0,24.8959864798125
5030,Chile,CHL,2021-03-13,6615367.0,4820751.0,1794616.0,89.0,19266005.0,25.022058283489496
5031,Chile,CHL,2021-03-14,6621956.0,4823501.0,1798455.0,123.0,19266005.0,25.03633213009132
5032,Chile,CHL,2021-03-15,7052403.0,4981404.0,2070999.0,100.0,19266005.0,25.855926020988782
5033,Chile,CHL,2021-03-16,7462786.0,5148076.0,2314710.0,98.0,19266005.0,26.72103531583221
5034,Chile,CHL,2021-03-17,7830210.0,5299395.0,2530815.0,17.0,19266005.0,27.506455022720072
5035,Chile,CHL,2021-03-18,8165317.0,5448284.0,2717033.0,27.0,19266005.0,28.279261839701583
5036,Chile,CHL,2021-03-19,8460047.0,5588188.0,2871859.0,172.0,19266005.0,29.00543210696769
5037,Chile,CHL,2021-03-20,8494257.0,5611379.0,2882878.0,99.0,19266005.0,29.1258047529833
5038,Chile,CHL,2021-03-21,8498282.0,5614232.0,2884050.0,93.0,19266005.0,29.14061322002148
5039,Chile,CHL,2021-03-22,8767121.0,5761028.0,3006093.0,99.0,19266005.0,29.902556342116597
5040,Chile,CHL,2021-03-23,9008118.0,5911353.0,3096765.0,80.0,19266005.0,30.6828167022691
5041,Chile,CHL,2021-03-24,9227276.0,6065666.0,3161610.0,25.0,19266005.0,31.48377673523909
5042,Chile,CHL,2021-03-25,9440047.0,6223172.0,3216875.0,18.0,19266005.0,32.30131000173622
5043,Chile,CHL,2021-03-26,9657824.0,6389794.0,3268030.0,122.0,19266005.0,33.16615977209597
5044,Chile,CHL,2021-03-27,9673522.0,6402741.0,3270781.0,63.0,19266005.0,33.233361041897375
5045,Chile,CHL,2021-03-28,9674915.0,6403710.0,3271205.0,66.0,19266005.0,33.23839062639089
5046,Chile,CHL,2021-03-29,9941792.0,6555017.0,3386775.0,101.0,19266005.0,34.02374804740266
