,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
5319,Colombia,COL,2021-03-13,782301.0,749059.0,33242.0,85.0,51469030.0,1.455358688516181
5320,Colombia,COL,2021-03-14,843204.0,803656.0,39548.0,92.0,51469030.0,1.561436071361749
5321,Colombia,COL,2021-03-15,913961.0,868994.0,44967.0,96.0,51469030.0,1.688382314568586
5322,Colombia,COL,2021-03-16,976137.0,928927.0,47210.0,97.0,51469030.0,1.8048270969940563
5323,Colombia,COL,2021-03-17,1024358.0,971240.0,53118.0,100.0,51469030.0,1.887037700147059
5324,Colombia,COL,2021-03-18,1076496.0,1022604.0,53892.0,125.0,51469030.0,1.9868336356834395
5325,Colombia,COL,2021-03-19,1131999.0,1077837.0,54162.0,130.0,51469030.0,2.094146713081634
5326,Colombia,COL,2021-03-20,1182098.0,1127570.0,54528.0,138.0,51469030.0,2.1907737526819524
5327,Colombia,COL,2021-03-21,1215008.0,1157159.0,57849.0,135.0,51469030.0,2.2482626931185608
5328,Colombia,COL,2021-03-22,1238259.0,1177935.0,60324.0,136.0,51469030.0,2.2886287151710456
5329,Colombia,COL,2021-03-23,1299809.0,1236980.0,62829.0,121.0,51469030.0,2.4033481882211496
5330,Colombia,COL,2021-03-24,1385503.0,1311229.0,74274.0,120.0,51469030.0,2.547607755576509
5331,Colombia,COL,2021-03-25,1476364.0,1359247.0,117117.0,126.0,51469030.0,2.6409026942998537
5332,Colombia,COL,2021-03-26,1596288.0,1448180.0,148108.0,120.0,51469030.0,2.813692039659578
5333,Colombia,COL,2021-03-27,1726924.0,1550856.0,176068.0,125.0,51469030.0,3.013182879102249
5334,Colombia,COL,2021-03-28,1818861.0,1624565.0,194296.0,126.0,51469030.0,3.156393271837452
5335,Colombia,COL,2021-03-29,1965054.0,1736568.0,228486.0,145.0,51469030.0,3.374005688469357
5336,Colombia,COL,2021-03-30,2121530.0,1858823.0,262707.0,165.0,51469030.0,3.6115368795565024
5337,Colombia,COL,2021-03-31,2243392.0,1957325.0,286067.0,124.0,51469030.0,3.8029179877685673
5338,Colombia,COL,2021-04-01,2300890.0,1965935.0,334955.0,176.0,51469030.0,3.8196464942121504
5339,Colombia,COL,2021-04-02,2336144.0,1971891.0,364253.0,167.0,51469030.0,3.831218501689268
5340,Colombia,COL,2021-04-03,2381049.0,1989856.0,391193.0,192.0,51469030.0,3.866122986969057
5341,Colombia,COL,2021-04-04,2408085.0,2005885.0,402200.0,163.0,51469030.0,3.8972659869439936
5342,Colombia,COL,2021-04-05,2479671.0,2056135.0,423536.0,155.0,51469030.0,3.9948975140973126
5343,Colombia,COL,2021-04-07,2691513.0,2148976.0,542537.0,199.0,51469030.0,4.175279775041418
5344,Colombia,COL,2021-04-08,2812828.0,2172751.0,640077.0,231.0,51469030.0,4.22147260206769
