,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
5526,Cook Islands,COK,2021-06-08,9564.0,9535.0,29.0,0.0,17565.0,54.28408767435241
5527,Cook Islands,COK,2021-06-15,12254.0,9589.0,2665.0,0.0,17565.0,54.5915172217478
5528,Cook Islands,COK,2021-06-21,17556.0,9613.0,7943.0,0.0,17565.0,54.72815257614575
5529,Cook Islands,COK,2021-06-29,18942.0,9755.0,9187.0,0.0,17565.0,55.53657842300028
5530,Cook Islands,COK,2021-07-20,20509.0,10931.0,9578.0,0.0,17565.0,62.23171078849986
5531,Cook Islands,COK,2021-08-31,22444.0,11404.0,11040.0,0.0,17565.0,64.9245658980928
5532,Cook Islands,COK,2021-10-05,22536.0,11404.0,11132.0,0.0,17565.0,64.9245658980928
5533,Cook Islands,COK,2021-10-18,23489.0,12297.0,11192.0,0.0,17565.0,70.00853970964988
5534,Cook Islands,COK,2021-11-08,24326.0,12600.0,11726.0,0.0,17565.0,71.733561058924
5535,Cook Islands,COK,2021-12-20,25339.0,12841.0,12498.0,0.0,17565.0,73.10560774267009
