,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
5536,Costa Rica,CRI,2021-01-15,24859.0,24804.0,55.0,17.0,5161465.0,0.4805612360056689
5537,Costa Rica,CRI,2021-01-18,29389.0,29257.0,132.0,17.0,5161465.0,0.5668351911714987
5538,Costa Rica,CRI,2021-01-25,48128.0,45707.0,2421.0,14.0,5161465.0,0.8855431548988515
5539,Costa Rica,CRI,2021-02-01,57701.0,45863.0,11838.0,8.0,5161465.0,0.8885655526095789
5540,Costa Rica,CRI,2021-02-08,75113.0,46750.0,28363.0,8.0,5161465.0,0.9057505960032664
5541,Costa Rica,CRI,2021-02-15,96948.0,54395.0,42553.0,5.0,5161465.0,1.0538674581732124
5542,Costa Rica,CRI,2021-02-22,101183.0,57162.0,44021.0,8.0,5161465.0,1.107476268850026
5543,Costa Rica,CRI,2021-03-01,149812.0,103695.0,46117.0,3.0,5161465.0,2.0090226321402933
5544,Costa Rica,CRI,2021-03-05,193273.0,142049.0,51224.0,4.0,5161465.0,2.752106233404663
5545,Costa Rica,CRI,2021-03-08,204586.0,151841.0,52745.0,2.0,5161465.0,2.941819812785711
5546,Costa Rica,CRI,2021-03-12,241724.0,187826.0,53898.0,4.0,5161465.0,3.639005592404482
5547,Costa Rica,CRI,2021-03-15,248082.0,190088.0,57994.0,5.0,5161465.0,3.682830359210031
5548,Costa Rica,CRI,2021-03-22,312425.0,206198.0,106227.0,1.0,5161465.0,3.994951045875541
5549,Costa Rica,CRI,2021-03-24,348037.0,213404.0,134633.0,4.0,5161465.0,4.134562570897991
5550,Costa Rica,CRI,2021-03-29,384355.0,224092.0,160263.0,5.0,5161465.0,4.341635562771423
5551,Costa Rica,CRI,2021-04-06,504930.0,291368.0,213562.0,2.0,5161465.0,5.645063949866946
5552,Costa Rica,CRI,2021-04-12,586799.0,354291.0,232508.0,6.0,5161465.0,6.864155816226594
5553,Costa Rica,CRI,2021-04-19,698327.0,450593.0,247734.0,13.0,5161465.0,8.729943920960425
5554,Costa Rica,CRI,2021-04-26,818884.0,538682.0,280202.0,7.0,5161465.0,10.436610535962174
5555,Costa Rica,CRI,2021-05-03,950252.0,605099.0,345153.0,23.0,5161465.0,11.723396361304395
5556,Costa Rica,CRI,2021-05-10,1093931.0,657301.0,436630.0,21.0,5161465.0,12.734775882428728
5557,Costa Rica,CRI,2021-05-17,1251900.0,721882.0,530018.0,24.0,5161465.0,13.985990411637006
5558,Costa Rica,CRI,2021-05-24,1457802.0,867517.0,590285.0,32.0,5161465.0,16.807573043699804
5559,Costa Rica,CRI,2021-06-01,1658685.0,1012339.0,646346.0,29.0,5161465.0,19.613404333847075
5560,Costa Rica,CRI,2021-06-07,1906177.0,1219551.0,686626.0,22.0,5161465.0,23.628000964842347
5561,Costa Rica,CRI,2021-06-14,2150520.0,1409778.0,740742.0,24.0,5161465.0,27.31352435791001
5562,Costa Rica,CRI,2021-06-22,2331030.0,1535967.0,795063.0,16.0,5161465.0,29.758353490724048
5563,Costa Rica,CRI,2021-06-28,2440385.0,1629222.0,811163.0,12.0,5161465.0,31.56510796837719
5564,Costa Rica,CRI,2021-07-05,2521795.0,1704864.0,816931.0,17.0,5161465.0,33.03062211988263
5565,Costa Rica,CRI,2021-07-13,2606791.0,1783949.0,822842.0,8.0,5161465.0,34.56284213881137
5566,Costa Rica,CRI,2021-07-19,2812795.0,1982452.0,830343.0,6.0,5161465.0,38.408707605301984
5567,Costa Rica,CRI,2021-07-26,3424278.0,2573189.0,851089.0,8.0,5161465.0,49.85384963377646
5568,Costa Rica,CRI,2021-08-09,3643509.0,2780658.0,862851.0,12.0,5161465.0,53.87342547125671
5569,Costa Rica,CRI,2021-08-16,3848155.0,2948584.0,899571.0,14.0,5161465.0,57.12688161210045
5570,Costa Rica,CRI,2021-08-23,4033022.0,3029514.0,1003508.0,18.0,5161465.0,58.69484729626182
5571,Costa Rica,CRI,2021-08-30,4278505.0,3059023.0,1219482.0,26.0,5161465.0,59.2665648221968
5572,Costa Rica,CRI,2021-09-08,4580610.0,3071596.0,1509014.0,24.0,5161465.0,59.51015845307486
5573,Costa Rica,CRI,2021-09-13,4872085.0,3144786.0,1727299.0,26.0,5161465.0,60.92816671235784
5574,Costa Rica,CRI,2021-09-20,5278407.0,3274461.0,2003946.0,42.0,5161465.0,63.44053480940004
5575,Costa Rica,CRI,2021-09-27,5596495.0,3407214.0,2189281.0,25.0,5161465.0,66.01253713819622
5576,Costa Rica,CRI,2021-10-04,5760293.0,3470013.0,2290280.0,28.0,5161465.0,67.22922658586273
5577,Costa Rica,CRI,2021-10-11,5921089.0,3525260.0,2395829.0,29.0,5161465.0,68.29960098537914
5578,Costa Rica,CRI,2021-10-18,6124445.0,3597302.0,2527143.0,22.0,5161465.0,69.69536749740625
5579,Costa Rica,CRI,2021-11-01,6567309.0,3751251.0,2798296.0,18.0,5161465.0,72.67802842797539
5580,Costa Rica,CRI,2021-11-08,6736978.0,3790500.0,2922621.0,10.0,5161465.0,73.43845206738784
5581,Costa Rica,CRI,2021-11-15,6878077.0,3821682.0,3030603.0,7.0,5161465.0,74.04258287133595
5582,Costa Rica,CRI,2021-11-22,7034279.0,3860379.0,3144053.0,3.0,5161465.0,74.79231187269507
5583,Costa Rica,CRI,2021-11-29,7137983.0,3887480.0,3215091.0,2.0,5161465.0,75.31737597755675
5584,Costa Rica,CRI,2021-12-06,7222020.0,3904671.0,3278289.0,3.0,5161465.0,75.65044033041006
5585,Costa Rica,CRI,2021-12-13,7348965.0,3922190.0,3364478.0,1.0,5161465.0,75.98985946819361
5586,Costa Rica,CRI,2021-12-21,7580046.0,3934813.0,3444299.0,0.0,5161465.0,76.23442181628666
