,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
5817,Cuba,CUB,2021-05-31,2037745.0,1185218.0,147135.0,7.0,11313280.0,10.476342846636872
5818,Cuba,CUB,2021-06-01,2223826.0,1304698.0,148738.0,8.0,11313280.0,11.532446823556034
5819,Cuba,CUB,2021-06-02,2408135.0,1431827.0,150897.0,7.0,11313280.0,12.656161608304576
5820,Cuba,CUB,2021-06-03,2592575.0,1558013.0,154116.0,12.0,11313280.0,13.77154105617469
5821,Cuba,CUB,2021-06-04,2734854.0,1668071.0,156579.0,8.0,11313280.0,14.744362377665892
5822,Cuba,CUB,2021-06-05,2844682.0,1745588.0,157625.0,7.0,11313280.0,15.429548283079708
5823,Cuba,CUB,2021-06-06,2882587.0,1772586.0,157637.0,11.0,11313280.0,15.668188182383888
5824,Cuba,CUB,2021-06-07,2946572.0,1810895.0,173704.0,9.0,11313280.0,16.006807928381512
5825,Cuba,CUB,2021-06-08,3016266.0,1833775.0,213372.0,13.0,11313280.0,16.209048127510325
5826,Cuba,CUB,2021-06-09,3128573.0,1845189.0,307667.0,8.0,11313280.0,16.30993840866663
5827,Cuba,CUB,2021-06-10,3272579.0,1884592.0,406973.0,12.0,11313280.0,16.658228206143576
5828,Cuba,CUB,2021-06-11,3419657.0,1930901.0,500472.0,12.0,11313280.0,17.067561308479945
5829,Cuba,CUB,2021-06-12,3583709.0,1970250.0,578385.0,0.0,11313280.0,17.415373790801606
5830,Cuba,CUB,2021-06-13,3632080.0,2005691.0,591072.0,0.0,11313280.0,17.728642798551792
5831,Cuba,CUB,2021-06-14,3848406.0,2050296.0,666617.0,0.0,11313280.0,18.122913955988007
5832,Cuba,CUB,2021-06-15,4084278.0,2094260.0,733460.0,41.0,11313280.0,18.511519205747582
5833,Cuba,CUB,2021-06-16,4328291.0,2145685.0,793126.0,8.0,11313280.0,18.96607349946258
5834,Cuba,CUB,2021-06-17,4536882.0,2187097.0,835812.0,12.0,11313280.0,19.332121188550094
5835,Cuba,CUB,2021-06-18,4721599.0,2223404.0,873690.0,6.0,11313280.0,19.653044917123943
5836,Cuba,CUB,2021-06-19,4855270.0,2244336.0,905692.0,8.0,11313280.0,19.838066413984272
5837,Cuba,CUB,2021-06-20,4892044.0,2244350.0,913057.0,16.0,11313280.0,19.838190162357865
5838,Cuba,CUB,2021-06-21,4979420.0,2277657.0,924789.0,11.0,11313280.0,20.13259638230469
5839,Cuba,CUB,2021-06-22,5113926.0,2372246.0,940185.0,11.0,11313280.0,20.968684590145383
5840,Cuba,CUB,2021-06-23,5229916.0,2467275.0,947660.0,10.0,11313280.0,21.808662032584717
5841,Cuba,CUB,2021-06-24,5328292.0,2553263.0,953778.0,13.0,11313280.0,22.56872454319172
5842,Cuba,CUB,2021-06-25,5492355.0,2634418.0,959998.0,16.0,11313280.0,23.28606734740058
5843,Cuba,CUB,2021-06-26,5591222.0,2689157.0,961917.0,10.0,11313280.0,23.769914648978897
5844,Cuba,CUB,2021-06-27,5676321.0,2696277.0,1006300.0,12.0,11313280.0,23.83284953612038
5845,Cuba,CUB,2021-06-28,5848491.0,2742615.0,1088898.0,10.0,11313280.0,24.24243897437348
5846,Cuba,CUB,2021-06-29,5988743.0,2758893.0,1169638.0,12.0,11313280.0,24.38632297618374
5847,Cuba,CUB,2021-06-30,6132569.0,2774473.0,1252751.0,17.0,11313280.0,24.52403723765345
5848,Cuba,CUB,2021-07-01,6394334.0,2797599.0,1450900.0,14.0,11313280.0,24.728451872489675
5849,Cuba,CUB,2021-07-02,6572661.0,2832316.0,1559993.0,18.0,11313280.0,25.035321321491207
5850,Cuba,CUB,2021-07-03,6675818.0,2869501.0,1609454.0,20.0,11313280.0,25.36400584092323
5851,Cuba,CUB,2021-07-04,6718887.0,2897404.0,1624481.0,15.0,11313280.0,25.610645188663234
5852,Cuba,CUB,2021-07-05,6759085.0,2926788.0,1634995.0,14.0,11313280.0,25.870375346495443
5853,Cuba,CUB,2021-07-06,6833720.0,2966587.0,1664980.0,21.0,11313280.0,26.222165455111163
5854,Cuba,CUB,2021-07-07,7005786.0,3002424.0,1700787.0,15.0,11313280.0,26.53893477400011
5855,Cuba,CUB,2021-07-08,7160316.0,3024565.0,1739327.0,18.0,11313280.0,26.73464282683713
5856,Cuba,CUB,2021-07-09,7275137.0,3039304.0,1752137.0,26.0,11313280.0,26.86492334672173
5857,Cuba,CUB,2021-07-10,7469503.0,3045823.0,1862930.0,28.0,11313280.0,26.922545892968262
5858,Cuba,CUB,2021-07-11,7507406.0,3047144.0,1894508.0,0.0,11313280.0,26.934222435933695
5859,Cuba,CUB,2021-07-12,7618028.0,3073310.0,1926776.0,78.0,11313280.0,27.16550814617865
5860,Cuba,CUB,2021-07-13,7767601.0,3152911.0,1968715.0,42.0,11313280.0,27.869114880918712
5861,Cuba,CUB,2021-07-14,7900105.0,3220481.0,2014001.0,29.0,11313280.0,28.466377566894835
5862,Cuba,CUB,2021-07-15,8029388.0,3282912.0,2055163.0,51.0,11313280.0,29.01821576059286
5863,Cuba,CUB,2021-07-16,8146748.0,3331526.0,2091439.0,67.0,11313280.0,29.44792314872433
5864,Cuba,CUB,2021-07-17,8225205.0,3358752.0,2108739.0,65.0,11313280.0,29.688578378684166
5865,Cuba,CUB,2021-07-18,8260167.0,3367337.0,2109050.0,52.0,11313280.0,29.764462649205186
5866,Cuba,CUB,2021-07-19,8316836.0,3386699.0,2113381.0,62.0,11313280.0,29.93560664988403
5867,Cuba,CUB,2021-07-20,8388988.0,3409164.0,2119974.0,61.0,11313280.0,30.13417859365277
5868,Cuba,CUB,2021-07-21,8546995.0,3433164.0,2214648.0,53.0,11313280.0,30.346318662669
5869,Cuba,CUB,2021-07-22,8681522.0,3452771.0,2303507.0,53.0,11313280.0,30.519628259885728
5870,Cuba,CUB,2021-07-23,8804553.0,3473316.0,2390225.0,65.0,11313280.0,30.701228998133168
5871,Cuba,CUB,2021-07-24,8900350.0,3484672.0,2460919.0,66.0,11313280.0,30.801606607456016
5872,Cuba,CUB,2021-07-25,8913141.0,3491529.0,2464430.0,68.0,11313280.0,30.862216793007864
5873,Cuba,CUB,2021-07-26,8945084.0,3496617.0,2469344.0,80.0,11313280.0,30.90719048763931
5874,Cuba,CUB,2021-07-27,9085122.0,3500505.0,2536149.0,66.0,11313280.0,30.94155717881993
5875,Cuba,CUB,2021-07-28,9169319.0,3504781.0,2560173.0,75.0,11313280.0,30.979353467782992
5876,Cuba,CUB,2021-07-30,9650235.0,3833448.0,2620050.0,68.0,11313280.0,33.88449680375629
5877,Cuba,CUB,2021-07-31,9894050.0,4020594.0,2655387.0,65.0,11313280.0,35.53871202692764
5878,Cuba,CUB,2021-08-01,10061236.0,4155261.0,2680468.0,65.0,11313280.0,36.72905647168637
5879,Cuba,CUB,2021-08-02,10267358.0,4329598.0,2682722.0,87.0,11313280.0,38.27005077218985
5880,Cuba,CUB,2021-08-03,10477630.0,4456437.0,2745421.0,68.0,11313280.0,39.39120219777112
5881,Cuba,CUB,2021-08-04,10616592.0,4539788.0,2777719.0,80.0,11313280.0,40.12795581829496
5882,Cuba,CUB,2021-08-05,10713247.0,4597637.0,2798129.0,98.0,11313280.0,40.63929293714997
5883,Cuba,CUB,2021-08-06,10786407.0,4641222.0,2813690.0,93.0,11313280.0,41.02454814165299
5884,Cuba,CUB,2021-08-07,10828013.0,4666161.0,2820354.0,75.0,11313280.0,41.24498819086949
5885,Cuba,CUB,2021-08-08,10848920.0,4675034.0,2821478.0,96.0,11313280.0,41.32341814221871
5886,Cuba,CUB,2021-08-09,10919750.0,4692604.0,2847661.0,83.0,11313280.0,41.47872235107767
5887,Cuba,CUB,2021-08-10,11001829.0,4714451.0,2898039.0,77.0,11313280.0,41.67183168806925
5888,Cuba,CUB,2021-08-11,11059697.0,4726170.0,2944163.0,93.0,11313280.0,41.77541791593596
5889,Cuba,CUB,2021-08-12,11233885.0,4752082.0,2990494.0,76.0,11313280.0,42.004458477117154
5890,Cuba,CUB,2021-08-13,11409451.0,4788750.0,3015945.0,73.0,11313280.0,42.3285731458958
5891,Cuba,CUB,2021-08-14,11632638.0,4819327.0,3037064.0,85.0,11313280.0,42.59884843299203
5892,Cuba,CUB,2021-08-15,12070621.0,4835460.0,3037069.0,83.0,11313280.0,42.74145075521864
5893,Cuba,CUB,2021-08-16,12225378.0,4854330.0,3047933.0,98.0,11313280.0,42.90824588448266
5894,Cuba,CUB,2021-08-17,12287005.0,4874336.0,3066844.0,65.0,11313280.0,43.08508231034678
5895,Cuba,CUB,2021-08-18,12320691.0,4889081.0,3085785.0,68.0,11313280.0,43.21541586524863
