,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
6921,Ecuador,ECU,2021-02-03,12358.0,12357.0,1.0,25.0,18012297.0,0.0686031326265606
6922,Ecuador,ECU,2021-02-04,12467.0,12425.0,42.0,34.0,18012297.0,0.068980652495348
6923,Ecuador,ECU,2021-02-05,12470.0,12428.0,42.0,19.0,18012297.0,0.0689973077836769
6924,Ecuador,ECU,2021-02-06,12471.0,12429.0,42.0,14.0,18012297.0,0.0690028595464531
6925,Ecuador,ECU,2021-02-07,12471.0,12429.0,42.0,22.0,18012297.0,0.0690028595464531
6926,Ecuador,ECU,2021-02-08,12473.0,12431.0,42.0,8.0,18012297.0,0.0690139630720057
6927,Ecuador,ECU,2021-02-09,12473.0,12431.0,42.0,1.0,18012297.0,0.0690139630720057
6928,Ecuador,ECU,2021-02-10,12478.0,12431.0,47.0,73.0,18012297.0,0.0690139630720057
6929,Ecuador,ECU,2021-02-11,14004.0,12466.0,1538.0,30.0,18012297.0,0.0692082747691757
6930,Ecuador,ECU,2021-02-12,14423.0,12483.0,1940.0,58.0,18012297.0,0.0693026547363726
6931,Ecuador,ECU,2021-02-13,14464.0,12487.0,1977.0,46.0,18012297.0,0.0693248617874777
6932,Ecuador,ECU,2021-02-14,14464.0,12487.0,1977.0,49.0,18012297.0,0.0693248617874777
6933,Ecuador,ECU,2021-02-15,14465.0,12488.0,1977.0,52.0,18012297.0,0.069330413550254
6934,Ecuador,ECU,2021-02-16,14465.0,12488.0,1977.0,34.0,18012297.0,0.069330413550254
6935,Ecuador,ECU,2021-02-17,14542.0,12491.0,2051.0,37.0,18012297.0,0.0693470688385828
6936,Ecuador,ECU,2021-02-18,38171.0,34661.0,3510.0,2.0,18012297.0,0.1924296495888336
6937,Ecuador,ECU,2021-02-19,43474.0,39607.0,3867.0,50.0,18012297.0,0.219888668280342
6938,Ecuador,ECU,2021-02-20,43475.0,39607.0,3868.0,30.0,18012297.0,0.219888668280342
6939,Ecuador,ECU,2021-02-21,45352.0,41483.0,3869.0,39.0,18012297.0,0.2303037752486537
6940,Ecuador,ECU,2021-02-22,47115.0,43101.0,4014.0,23.0,18012297.0,0.2392865274206838
6941,Ecuador,ECU,2021-02-23,47127.0,43112.0,4015.0,11.0,18012297.0,0.2393475968112229
6942,Ecuador,ECU,2021-02-24,47576.0,43136.0,4440.0,20.0,18012297.0,0.2394808391178537
6943,Ecuador,ECU,2021-02-25,65737.0,59989.0,5748.0,67.0,18012297.0,0.3330446971865942
6944,Ecuador,ECU,2021-02-26,76446.0,69907.0,6539.0,35.0,18012297.0,0.3881070804017944
6945,Ecuador,ECU,2021-02-27,76543.0,70000.0,6543.0,0.0,18012297.0,0.388623394339989
6946,Ecuador,ECU,2021-02-28,76547.0,70004.0,6543.0,44.0,18012297.0,0.3886456013910941
6947,Ecuador,ECU,2021-03-01,77022.0,70478.0,6544.0,98.0,18012297.0,0.3912771369470534
6948,Ecuador,ECU,2021-03-02,77044.0,70499.0,6545.0,21.0,18012297.0,0.3913937239653554
6949,Ecuador,ECU,2021-03-03,77070.0,70525.0,6545.0,18.0,18012297.0,0.3915380697975389
6950,Ecuador,ECU,2021-03-04,106482.0,99847.0,6635.0,71.0,18012297.0,0.554326857923784
6951,Ecuador,ECU,2021-03-05,126359.0,119709.0,6650.0,38.0,18012297.0,0.6645959701863676
6952,Ecuador,ECU,2021-03-06,130324.0,123672.0,6652.0,38.0,18012297.0,0.6865976060687873
6953,Ecuador,ECU,2021-03-07,130497.0,123845.0,6652.0,23.0,18012297.0,0.6875580610290848
6954,Ecuador,ECU,2021-03-08,135112.0,128460.0,6652.0,19.0,18012297.0,0.7131794462416425
6955,Ecuador,ECU,2021-03-09,136816.0,130164.0,6652.0,4.0,18012297.0,0.7226396500124332
6956,Ecuador,ECU,2021-03-10,137601.0,130773.0,6828.0,26.0,18012297.0,0.7260206735431911
6957,Ecuador,ECU,2021-03-11,172799.0,160339.0,12460.0,36.0,18012297.0,0.8901640917868499
6958,Ecuador,ECU,2021-03-12,223571.0,204385.0,19186.0,23.0,18012297.0,1.1346970350311234
6959,Ecuador,ECU,2021-03-13,240343.0,220452.0,19891.0,65.0,18012297.0,1.2238972075577037
6960,Ecuador,ECU,2021-03-14,241088.0,221190.0,19898.0,22.0,18012297.0,1.2279944084866024
6961,Ecuador,ECU,2021-03-15,252743.0,231703.0,21040.0,21.0,18012297.0,1.2863600905536925
6962,Ecuador,ECU,2021-03-16,260745.0,239702.0,21043.0,4.0,18012297.0,1.3307686410012003
6963,Ecuador,ECU,2021-03-17,266917.0,245860.0,21057.0,19.0,18012297.0,1.364956396177567
6964,Ecuador,ECU,2021-03-18,275562.0,249118.0,26444.0,41.0,18012297.0,1.3830440393027053
6965,Ecuador,ECU,2021-03-19,284270.0,252474.0,31796.0,33.0,18012297.0,1.4016757551799195
6966,Ecuador,ECU,2021-03-20,293239.0,257550.0,35689.0,79.0,18012297.0,1.4298565030323451
6967,Ecuador,ECU,2021-03-21,295201.0,259507.0,35694.0,23.0,18012297.0,1.440721302785536
6968,Ecuador,ECU,2021-03-22,337625.0,301190.0,36435.0,16.0,18012297.0,1.6721354305894467
6969,Ecuador,ECU,2021-03-23,361050.0,324321.0,36729.0,27.0,18012297.0,1.8005532553677082
6970,Ecuador,ECU,2021-03-24,370634.0,333815.0,36819.0,26.0,18012297.0,1.853261691165763
6971,Ecuador,ECU,2021-03-25,391970.0,344556.0,47414.0,36.0,18012297.0,1.9128931751458464
6972,Ecuador,ECU,2021-03-26,416617.0,356221.0,60396.0,42.0,18012297.0,1.9776544879312168
6973,Ecuador,ECU,2021-03-27,423066.0,360721.0,62345.0,50.0,18012297.0,2.0026374204245023
6974,Ecuador,ECU,2021-03-28,423400.0,361055.0,62345.0,47.0,18012297.0,2.004491709191781
6975,Ecuador,ECU,2021-03-29,444516.0,379843.0,64673.0,59.0,18012297.0,2.1087982282326347
6976,Ecuador,ECU,2021-03-30,456084.0,388223.0,67861.0,8.0,18012297.0,2.155322000297908
6977,Ecuador,ECU,2021-03-31,468665.0,400735.0,67930.0,34.0,18012297.0,2.2247856561547925
6978,Ecuador,ECU,2021-04-01,501924.0,424106.0,77818.0,67.0,18012297.0,2.3545359039993623
6979,Ecuador,ECU,2021-04-02,515673.0,430113.0,85560.0,30.0,18012297.0,2.3878853429965097
6980,Ecuador,ECU,2021-04-03,523160.0,435892.0,87268.0,33.0,18012297.0,2.419968980080664
6981,Ecuador,ECU,2021-04-04,526160.0,438701.0,87459.0,0.0,18012297.0,2.43556388171925
6982,Ecuador,ECU,2021-04-05,575435.0,471370.0,104065.0,46.0,18012297.0,2.616934419857723
6983,Ecuador,ECU,2021-04-06,614709.0,503590.0,111119.0,31.0,18012297.0,2.7958122165096437
6984,Ecuador,ECU,2021-04-07,659274.0,543878.0,115396.0,17.0,18012297.0,3.019481635240636
6985,Ecuador,ECU,2021-04-08,675855.0,553900.0,121955.0,53.0,18012297.0,3.0751214017845694
6986,Ecuador,ECU,2021-04-09,686073.0,560689.0,125384.0,58.0,18012297.0,3.112812319272772
6987,Ecuador,ECU,2021-04-10,689028.0,561873.0,127155.0,43.0,18012297.0,3.1193856063998946
6988,Ecuador,ECU,2021-04-11,689046.0,561882.0,127164.0,117.0,18012297.0,3.119435572264881
6989,Ecuador,ECU,2021-04-12,697927.0,562745.0,135182.0,18.0,18012297.0,3.1242267435408158
6990,Ecuador,ECU,2021-04-13,747359.0,603632.0,143727.0,5.0,18012297.0,3.3512216681748037
6991,Ecuador,ECU,2021-04-14,780395.0,632527.0,147868.0,53.0,18012297.0,3.5116398535955744
6992,Ecuador,ECU,2021-04-15,817655.0,661453.0,156202.0,49.0,18012297.0,3.6722301436624094
6993,Ecuador,ECU,2021-04-16,861457.0,690331.0,171126.0,89.0,18012297.0,3.832553949115985
6994,Ecuador,ECU,2021-04-17,907358.0,731470.0,175888.0,39.0,18012297.0,4.060947917969596
6995,Ecuador,ECU,2021-04-18,910226.0,734040.0,176186.0,113.0,18012297.0,4.07521594830465
6996,Ecuador,ECU,2021-04-19,951497.0,770219.0,181278.0,62.0,18012297.0,4.276073173787885
6997,Ecuador,ECU,2021-04-20,999929.0,814385.0,185544.0,0.0,18012297.0,4.521272328565313
6998,Ecuador,ECU,2021-04-21,1060366.0,868444.0,191922.0,41.0,18012297.0,4.821395072488534
6999,Ecuador,ECU,2021-04-22,1109869.0,914921.0,194948.0,60.0,18012297.0,5.079424351041958
7000,Ecuador,ECU,2021-04-23,1168656.0,964925.0,203731.0,161.0,18012297.0,5.35703469690734
7001,Ecuador,ECU,2021-04-24,1191264.0,982882.0,208382.0,97.0,18012297.0,5.456727701081101
7002,Ecuador,ECU,2021-04-25,1199225.0,990526.0,208699.0,96.0,18012297.0,5.499165375743027
7003,Ecuador,ECU,2021-04-26,1246077.0,1026736.0,219341.0,19.0,18012297.0,5.700194705872328
7004,Ecuador,ECU,2021-04-27,1308278.0,1078158.0,230120.0,123.0,18012297.0,5.985677451354484
