,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
7426,Equatorial Guinea,GNQ,2021-03-16,6565.0,5765.0,800.0,0.0,1473411.0,0.39126896704314
7427,Equatorial Guinea,GNQ,2021-03-29,12155.0,9748.0,2407.0,0.0,1473411.0,0.6615940833888169
7428,Equatorial Guinea,GNQ,2021-04-01,14080.0,11090.0,2990.0,0.0,1473411.0,0.7526752549017213
7429,Equatorial Guinea,GNQ,2021-04-16,32884.0,27579.0,5305.0,0.0,1473411.0,1.871779157343063
7430,Equatorial Guinea,GNQ,2021-04-20,45441.0,38024.0,7417.0,0.0,1473411.0,2.580678439349238
7431,Equatorial Guinea,GNQ,2021-04-22,55799.0,47410.0,8389.0,0.0,1473411.0,3.217703682136213
7432,Equatorial Guinea,GNQ,2021-04-28,75518.0,64646.0,10872.0,0.0,1473411.0,4.387506269465886
7433,Equatorial Guinea,GNQ,2021-05-18,175770.0,130641.0,45129.0,0.0,1473411.0,8.86656879852261
7434,Equatorial Guinea,GNQ,2021-05-22,192967.0,136124.0,56843.0,0.0,1473411.0,9.238698502997469
7435,Equatorial Guinea,GNQ,2021-05-25,206625.0,142475.0,64150.0,0.0,1473411.0,9.669739129136405
7436,Equatorial Guinea,GNQ,2021-05-28,219677.0,148079.0,71598.0,0.0,1473411.0,10.050081070387014
7437,Equatorial Guinea,GNQ,2021-05-31,224503.0,148085.0,76418.0,0.0,1473411.0,10.05048828873953
7438,Equatorial Guinea,GNQ,2021-06-03,236189.0,148579.0,87610.0,0.0,1473411.0,10.084015933096738
7439,Equatorial Guinea,GNQ,2021-06-10,247228.0,148579.0,98649.0,0.0,1473411.0,10.084015933096738
7440,Equatorial Guinea,GNQ,2021-06-12,248184.0,148579.0,99605.0,0.0,1473411.0,10.084015933096738
7441,Equatorial Guinea,GNQ,2021-06-15,255030.0,148579.0,106451.0,0.0,1473411.0,10.084015933096738
7442,Equatorial Guinea,GNQ,2021-06-17,257146.0,148579.0,108567.0,0.0,1473411.0,10.084015933096738
7443,Equatorial Guinea,GNQ,2021-06-23,259480.0,149185.0,110295.0,0.0,1473411.0,10.125144986700928
7444,Equatorial Guinea,GNQ,2021-06-25,260528.0,149185.0,111343.0,0.0,1473411.0,10.125144986700928
7445,Equatorial Guinea,GNQ,2021-06-28,264853.0,150363.0,114490.0,0.0,1473411.0,10.205095523245042
7446,Equatorial Guinea,GNQ,2021-06-30,265110.0,150609.0,114501.0,0.0,1473411.0,10.221791475698224
7447,Equatorial Guinea,GNQ,2021-07-05,270841.0,155073.0,115768.0,0.0,1473411.0,10.52476192997066
7448,Equatorial Guinea,GNQ,2021-07-07,277042.0,160525.0,116517.0,0.0,1473411.0,10.894787672957513
7449,Equatorial Guinea,GNQ,2021-07-10,278952.0,161870.0,117082.0,0.0,1473411.0,10.986072453646674
7450,Equatorial Guinea,GNQ,2021-07-13,279113.0,161988.0,117124.0,0.0,1473411.0,10.99408108124617
7451,Equatorial Guinea,GNQ,2021-07-17,288562.0,170583.0,117979.0,0.0,1473411.0,11.577421371226356
7452,Equatorial Guinea,GNQ,2021-07-21,293702.0,174001.0,119701.0,0.0,1473411.0,11.809400092710044
7453,Equatorial Guinea,GNQ,2021-07-24,301413.0,178913.0,122500.0,0.0,1473411.0,12.142776183970392
7454,Equatorial Guinea,GNQ,2021-07-29,306265.0,179210.0,127055.0,0.0,1473411.0,12.16293349241997
7455,Equatorial Guinea,GNQ,2021-08-02,308858.0,180420.0,128438.0,0.0,1473411.0,12.245055860177509
7456,Equatorial Guinea,GNQ,2021-08-04,311778.0,181290.0,130488.0,0.0,1473411.0,12.30410252129243
7457,Equatorial Guinea,GNQ,2021-08-07,314289.0,182152.0,132137.0,0.0,1473411.0,12.362606224603995
7458,Equatorial Guinea,GNQ,2021-08-12,322447.0,186356.0,136091.0,0.0,1473411.0,12.647930550267372
7459,Equatorial Guinea,GNQ,2021-08-16,325449.0,187837.0,137612.0,0.0,1473411.0,12.748445613613582
7460,Equatorial Guinea,GNQ,2021-08-18,329229.0,189524.0,139705.0,0.0,1473411.0,12.862941840396196
7461,Equatorial Guinea,GNQ,2021-08-21,331807.0,190481.0,141326.0,0.0,1473411.0,12.927893167622612
7462,Equatorial Guinea,GNQ,2021-08-24,336579.0,192792.0,143787.0,0.0,1473411.0,13.084740103066968
7463,Equatorial Guinea,GNQ,2021-08-27,345719.0,197657.0,148062.0,0.0,1473411.0,13.414926317232595
7464,Equatorial Guinea,GNQ,2021-09-02,353626.0,203304.0,150322.0,0.0,1473411.0,13.798186656676242
7465,Equatorial Guinea,GNQ,2021-09-04,360446.0,204222.0,156224.0,0.0,1473411.0,13.8604910646113
7466,Equatorial Guinea,GNQ,2021-09-08,364051.0,205925.0,158126.0,0.0,1473411.0,13.976073207000628
7467,Equatorial Guinea,GNQ,2021-09-10,366836.0,207723.0,159113.0,0.0,1473411.0,14.0981029733048
7468,Equatorial Guinea,GNQ,2021-09-13,370163.0,210358.0,159805.0,0.0,1473411.0,14.276939699785055
7469,Equatorial Guinea,GNQ,2021-09-20,381835.0,219233.0,162602.0,0.0,1473411.0,14.87928351288269
7470,Equatorial Guinea,GNQ,2021-09-30,397083.0,225011.0,167635.0,4.0,1473411.0,15.271434786356286
7471,Equatorial Guinea,GNQ,2021-10-06,403814.0,232116.0,171698.0,0.0,1473411.0,15.75364918546149
7472,Equatorial Guinea,GNQ,2021-10-09,410064.0,234307.0,175757.0,0.0,1473411.0,15.902351753855507
7473,Equatorial Guinea,GNQ,2021-10-12,414506.0,236045.0,178461.0,1.0,1473411.0,16.020309336634515
7474,Equatorial Guinea,GNQ,2021-10-16,419386.0,237751.0,181635.0,0.0,1473411.0,16.1360950882001
7475,Equatorial Guinea,GNQ,2021-10-19,422768.0,238787.0,183981.0,5.0,1473411.0,16.206408123734654
7476,Equatorial Guinea,GNQ,2021-10-21,424653.0,239425.0,185228.0,2.0,1473411.0,16.249709008552262
7477,Equatorial Guinea,GNQ,2021-10-27,428106.0,240376.0,187730.0,0.0,1473411.0,16.314253117426166
7478,Equatorial Guinea,GNQ,2021-10-29,431001.0,241430.0,189571.0,0.0,1473411.0,16.385787808018264
7479,Equatorial Guinea,GNQ,2021-10-30,431640.0,241589.0,190051.0,3.0,1473411.0,16.396579094359957
7480,Equatorial Guinea,GNQ,2021-11-03,433182.0,242220.0,190962.0,0.0,1473411.0,16.43940489109963
7481,Equatorial Guinea,GNQ,2021-11-06,436479.0,243885.0,192594.0,0.0,1473411.0,16.552407983923022
7482,Equatorial Guinea,GNQ,2021-11-10,438465.0,244586.0,193879.0,0.0,1473411.0,16.599984661442054
7483,Equatorial Guinea,GNQ,2021-11-15,440310.0,245628.0,194682.0,0.0,1473411.0,16.670704915329125
7484,Equatorial Guinea,GNQ,2021-11-17,441106.0,245832.0,195274.0,1.0,1473411.0,16.68455033931469
7485,Equatorial Guinea,GNQ,2021-11-19,442855.0,246407.0,196448.0,0.0,1473411.0,16.723575431430877
7486,Equatorial Guinea,GNQ,2021-11-22,443135.0,246519.0,196616.0,0.0,1473411.0,16.731176840677854
7487,Equatorial Guinea,GNQ,2021-11-25,444989.0,247251.0,197738.0,0.0,1473411.0,16.780857479684894
7488,Equatorial Guinea,GNQ,2021-11-29,445684.0,247515.0,198169.0,0.0,1473411.0,16.79877508719563
7489,Equatorial Guinea,GNQ,2021-12-01,446624.0,247933.0,198691.0,2.0,1473411.0,16.82714463242096
7490,Equatorial Guinea,GNQ,2021-12-14,448577.0,249067.0,199510.0,0.0,1473411.0,16.90410890104662
7491,Equatorial Guinea,GNQ,2021-12-16,452572.0,249215.0,203357.0,0.0,1473411.0,16.914153620408698
7492,Equatorial Guinea,GNQ,2021-12-22,452666.0,249276.0,203390.0,0.0,1473411.0,16.918293673659285
