,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
7856,Ethiopia,ETH,2021-09-13,2826786.0,2334572.0,492214.0,22.0,119337477.0,1.9562773226720724
7857,Ethiopia,ETH,2021-09-14,2846240.0,2339171.0,507069.0,38.0,119337477.0,1.9601310994701189
7858,Ethiopia,ETH,2021-09-15,2879482.0,2366290.0,513192.0,34.0,119337477.0,1.9828557293866704
7859,Ethiopia,ETH,2021-09-16,2917433.0,2398917.0,518516.0,34.0,119337477.0,2.0101958414957943
7860,Ethiopia,ETH,2021-09-17,2960109.0,2414898.0,545211.0,24.0,119337477.0,2.023587275940147
7861,Ethiopia,ETH,2021-09-18,2966309.0,2414934.0,551375.0,31.0,119337477.0,2.023617442490426
7862,Ethiopia,ETH,2021-09-19,3018870.0,2442551.0,576319.0,25.0,119337477.0,2.0467593763524934
7863,Ethiopia,ETH,2021-09-20,3184627.0,2555907.0,628720.0,15.0,119337477.0,2.1417471395008625
7864,Ethiopia,ETH,2021-09-21,3225168.0,2584644.0,640524.0,34.0,119337477.0,2.165827588260476
7865,Ethiopia,ETH,2021-09-22,3281470.0,2624638.0,656832.0,0.0,119337477.0,2.199340949700152
7866,Ethiopia,ETH,2021-09-23,3460250.0,2729775.0,730475.0,90.0,119337477.0,2.287441521828051
7867,Ethiopia,ETH,2021-09-24,3493470.0,2751057.0,742413.0,37.0,119337477.0,2.3052749808008763
7868,Ethiopia,ETH,2021-09-25,3506187.0,2760230.0,745957.0,40.0,119337477.0,2.31296158540372
7869,Ethiopia,ETH,2021-09-26,3535329.0,2776985.0,758344.0,38.0,119337477.0,2.327001600679056
7870,Ethiopia,ETH,2021-09-27,3559648.0,2785637.0,774011.0,32.0,119337477.0,2.334251628262595
7871,Ethiopia,ETH,2021-09-28,3611020.0,2797751.0,813269.0,0.0,119337477.0,2.3444026724312264
7872,Ethiopia,ETH,2021-09-29,3660632.0,2827455.0,833177.0,87.0,119337477.0,2.3692934282497022
7873,Ethiopia,ETH,2021-09-30,3704307.0,2853785.0,850522.0,46.0,119337477.0,2.3913569079393224
7874,Ethiopia,ETH,2021-10-01,3715801.0,2856031.0,859770.0,48.0,119337477.0,2.393238965492793
7875,Ethiopia,ETH,2021-10-03,3740160.0,2868247.0,871913.0,45.0,119337477.0,2.40347548155388
7876,Ethiopia,ETH,2021-10-04,3768872.0,2890113.0,878759.0,47.0,119337477.0,2.4217983090089965
7877,Ethiopia,ETH,2021-10-05,3785076.0,2900826.0,884250.0,43.0,119337477.0,2.4307753715959657
7878,Ethiopia,ETH,2021-10-06,3823185.0,2924511.0,898674.0,46.0,119337477.0,2.450622447799864
7879,Ethiopia,ETH,2021-10-07,3851109.0,2943541.0,907568.0,32.0,119337477.0,2.466568821460839
7880,Ethiopia,ETH,2021-10-08,3871516.0,2954776.0,916740.0,45.0,119337477.0,2.4759832990268427
7881,Ethiopia,ETH,2021-10-09,3873996.0,2956130.0,917866.0,33.0,119337477.0,2.477117896501197
7882,Ethiopia,ETH,2021-10-10,3879071.0,2958714.0,920357.0,29.0,119337477.0,2.479283184443392
7883,Ethiopia,ETH,2021-10-11,3899358.0,2973677.0,925681.0,40.0,119337477.0,2.491821575882654
7884,Ethiopia,ETH,2021-10-12,3918985.0,2993304.0,925681.0,36.0,119337477.0,2.50826821150241
7885,Ethiopia,ETH,2021-10-13,3931371.0,3005299.0,926072.0,40.0,119337477.0,2.518319538463177
7886,Ethiopia,ETH,2021-10-14,3955493.0,3018566.0,936927.0,37.0,119337477.0,2.5294367502004422
7887,Ethiopia,ETH,2021-10-15,3976651.0,3035218.0,941433.0,38.0,119337477.0,2.5433904556235927
7888,Ethiopia,ETH,2021-10-16,3985549.0,3040483.0,945066.0,28.0,119337477.0,2.5478023136017867
7889,Ethiopia,ETH,2021-10-17,4007643.0,3042671.0,964972.0,28.0,119337477.0,2.54963576949092
7890,Ethiopia,ETH,2021-10-18,4035770.0,3043537.0,992233.0,20.0,119337477.0,2.550361442617058
7891,Ethiopia,ETH,2021-10-19,4048361.0,3046441.0,1001920.0,21.0,119337477.0,2.552794877672837
7892,Ethiopia,ETH,2021-10-20,4102954.0,3077505.0,1025449.0,20.0,119337477.0,2.5788252587240468
7893,Ethiopia,ETH,2021-10-21,4166755.0,3114045.0,1052710.0,29.0,119337477.0,2.609444307256471
7894,Ethiopia,ETH,2021-10-22,4265144.0,3201732.0,1063412.0,29.0,119337477.0,2.682922482096718
7895,Ethiopia,ETH,2021-10-24,4293855.0,3217099.0,1076756.0,0.0,119337477.0,2.695799409266881
7896,Ethiopia,ETH,2021-10-25,4349193.0,3264531.0,1084662.0,25.0,119337477.0,2.7355455151779355
7897,Ethiopia,ETH,2021-10-26,4377946.0,3287420.0,1090526.0,19.0,119337477.0,2.7547255754367925
7898,Ethiopia,ETH,2021-10-27,4489586.0,3355370.0,1134216.0,16.0,119337477.0,2.811664939086989
7899,Ethiopia,ETH,2021-10-28,4584965.0,3418934.0,1166031.0,19.0,119337477.0,2.8649290113616197
7900,Ethiopia,ETH,2021-10-29,4673027.0,3464375.0,1208652.0,16.0,119337477.0,2.9030067394503405
7901,Ethiopia,ETH,2021-10-30,4749702.0,3500086.0,1249616.0,9.0,119337477.0,2.9329311193666343
7902,Ethiopia,ETH,2021-10-31,4774947.0,3515870.0,1259077.0,14.0,119337477.0,2.9461574757441875
7903,Ethiopia,ETH,2021-11-02,4907499.0,3579852.0,1327647.0,8.0,119337477.0,2.999771815185937
7904,Ethiopia,ETH,2021-11-03,4943631.0,3602736.0,1340895.0,19.0,119337477.0,3.018947685646145
7905,Ethiopia,ETH,2021-11-04,4984473.0,3634219.0,1350254.0,8.0,119337477.0,3.045329171824204
7906,Ethiopia,ETH,2021-11-05,5019017.0,3646808.0,1372209.0,15.0,119337477.0,3.055878246864562
7907,Ethiopia,ETH,2021-11-06,5024926.0,3652475.0,1372451.0,8.0,119337477.0,3.0606269646541966
7908,Ethiopia,ETH,2021-11-07,5037091.0,3664112.0,1372979.0,14.0,119337477.0,3.070378302031641
7909,Ethiopia,ETH,2021-11-08,5047106.0,3664324.0,1382782.0,11.0,119337477.0,3.0705559494943904
7910,Ethiopia,ETH,2021-11-09,5055958.0,3664374.0,1391584.0,9.0,119337477.0,3.0705978474808884
7911,Ethiopia,ETH,2021-11-11,5058809.0,3666196.0,1392613.0,0.0,119337477.0,3.0721246101088595
7912,Ethiopia,ETH,2021-11-12,5064051.0,3671041.0,1393010.0,22.0,119337477.0,3.0761845250004742
7913,Ethiopia,ETH,2021-11-13,5066269.0,3672765.0,1393504.0,18.0,119337477.0,3.0776291675749103
7914,Ethiopia,ETH,2021-11-15,5066481.0,3672900.0,1393581.0,10.0,119337477.0,3.0777422921384536
7915,Ethiopia,ETH,2021-11-16,5084917.0,3691159.0,1393758.0,7.0,119337477.0,3.093042598847636
7916,Ethiopia,ETH,2021-11-17,5132510.0,3734190.0,1398320.0,8.0,119337477.0,3.1291008439871746
7917,Ethiopia,ETH,2021-11-18,5151525.0,3752669.0,1398856.0,9.0,119337477.0,3.144585501836946
7918,Ethiopia,ETH,2021-11-19,5186328.0,3784061.0,1402267.0,8.0,119337477.0,3.17089073367958
7919,Ethiopia,ETH,2021-11-20,5314963.0,3912125.0,1402838.0,7.0,119337477.0,3.278203208536075
7920,Ethiopia,ETH,2021-11-21,5458357.0,4055329.0,1403028.0,10.0,119337477.0,3.3982023937040333
7921,Ethiopia,ETH,2021-11-22,5786422.0,4371241.0,1415181.0,10.0,119337477.0,3.662923927912437
7922,Ethiopia,ETH,2021-11-23,6272653.0,4850978.0,1421675.0,11.0,119337477.0,4.064924214880125
7923,Ethiopia,ETH,2021-11-24,6890413.0,5466920.0,1423493.0,11.0,119337477.0,4.581058806865843
7924,Ethiopia,ETH,2021-11-25,7479544.0,6051749.0,1427795.0,4.0,119337477.0,5.071121957773583
7925,Ethiopia,ETH,2021-11-26,8005606.0,6574164.0,1431442.0,6.0,119337477.0,5.508884690096138
7926,Ethiopia,ETH,2021-11-27,8478852.0,7044802.0,1434050.0,13.0,119337477.0,5.903260381480999
7927,Ethiopia,ETH,2021-11-28,8780714.0,7342877.0,1437837.0,9.0,119337477.0,6.153035227986259
7928,Ethiopia,ETH,2021-11-29,9015832.0,7573041.0,1442791.0,4.0,119337477.0,6.345903391270791
7929,Ethiopia,ETH,2021-11-30,9310295.0,7864977.0,1445318.0,10.0,119337477.0,6.59053400299388
7930,Ethiopia,ETH,2021-12-01,9555907.0,8106497.0,1449410.0,5.0,119337477.0,6.792918036971739
7931,Ethiopia,ETH,2021-12-02,9767645.0,8317492.0,1450153.0,16.0,119337477.0,6.969723350192831
7932,Ethiopia,ETH,2021-12-03,9891214.0,8440772.0,1450442.0,13.0,119337477.0,7.07302702570124
7933,Ethiopia,ETH,2021-12-04,9993402.0,8540831.0,1452571.0,3.0,119337477.0,7.156872438320446
7934,Ethiopia,ETH,2021-12-05,10058925.0,8606341.0,1452584.0,7.0,119337477.0,7.21176718022956
7935,Ethiopia,ETH,2021-12-11,10408039.0,8954983.0,1453056.0,3.0,119337477.0,7.503915136399272
7936,Ethiopia,ETH,2021-12-12,10429727.0,8976651.0,1453076.0,7.0,119337477.0,7.522072047827859
7937,Ethiopia,ETH,2021-12-13,10459699.0,9006413.0,1453286.0,0.0,119337477.0,7.547011405310672
7938,Ethiopia,ETH,2021-12-14,10496099.0,9042289.0,1453810.0,4.0,119337477.0,7.577074048582408
7939,Ethiopia,ETH,2021-12-15,10511813.0,9058001.0,1453812.0,9.0,119337477.0,7.590240071859404
7940,Ethiopia,ETH,2021-12-16,10543857.0,9089716.0,1454141.0,4.0,119337477.0,7.616815964694812
7941,Ethiopia,ETH,2021-12-17,10597204.0,9142809.0,1454395.0,9.0,119337477.0,7.661305760637122
7942,Ethiopia,ETH,2021-12-18,10618936.0,9164052.0,1454884.0,4.0,119337477.0,7.679106539180479
7943,Ethiopia,ETH,2021-12-19,10620502.0,9165615.0,1454887.0,2.0,119337477.0,7.680416270238393
7944,Ethiopia,ETH,2021-12-20,10650876.0,9195785.0,1455091.0,5.0,119337477.0,7.705697515291026
7945,Ethiopia,ETH,2021-12-21,10681740.0,9225960.0,1455780.0,6.0,119337477.0,7.73098295014231
7946,Ethiopia,ETH,2021-12-22,10693272.0,9236950.0,1456322.0,5.0,119337477.0,7.740192127574476
7947,Ethiopia,ETH,2021-12-23,10752705.0,9295910.0,1456795.0,3.0,119337477.0,7.789598233252409
