,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
7980,Finland,FIN,2021-01-17,62122.0,62117.0,5.0,1.0,5552402.0,1.118741042165175
7981,Finland,FIN,2021-01-24,120327.0,115365.0,4962.0,2.0,5552402.0,2.0777494136771795
7982,Finland,FIN,2021-01-31,176836.0,157155.0,19681.0,1.0,5552402.0,2.830396646352336
7983,Finland,FIN,2021-02-07,232507.0,179486.0,53021.0,0.0,5552402.0,3.2325829433819813
7984,Finland,FIN,2021-02-14,288776.0,218872.0,69904.0,4.0,5552402.0,3.941933599188243
7985,Finland,FIN,2021-02-21,373451.0,297027.0,76424.0,2.0,5552402.0,5.349522603010373
7986,Finland,FIN,2021-02-28,476479.0,391462.0,85017.0,1.0,5552402.0,7.050318042533664
7987,Finland,FIN,2021-03-07,590421.0,502136.0,88285.0,1.0,5552402.0,9.043581498601863
7988,Finland,FIN,2021-03-14,714668.0,625466.0,89202.0,4.0,5552402.0,11.264782341048072
7989,Finland,FIN,2021-03-21,842252.0,751838.0,90414.0,4.0,5552402.0,13.540770282843354
7990,Finland,FIN,2021-03-28,952777.0,861351.0,91426.0,4.0,5552402.0,15.513123869633358
7991,Finland,FIN,2021-04-04,1086457.0,993721.0,92736.0,3.0,5552402.0,17.897137130920996
7992,Finland,FIN,2021-04-11,1260283.0,1161012.0,99271.0,2.0,5552402.0,20.910085400876955
7993,Finland,FIN,2021-04-18,1495506.0,1365365.0,130141.0,2.0,5552402.0,24.59052856763613
7994,Finland,FIN,2021-04-25,1717301.0,1556841.0,160460.0,1.0,5552402.0,28.03905408866289
7995,Finland,FIN,2021-05-02,1931781.0,1753750.0,178031.0,0.0,5552402.0,31.58542915300441
7996,Finland,FIN,2021-05-09,2176626.0,1959629.0,216997.0,0.0,5552402.0,35.293355920554745
7997,Finland,FIN,2021-05-16,2413548.0,2124585.0,288963.0,6.0,5552402.0,38.26425031905111
7998,Finland,FIN,2021-05-23,2690452.0,2305686.0,384766.0,2.0,5552402.0,41.5259197731
7999,Finland,FIN,2021-05-30,2964331.0,2469560.0,494771.0,0.0,5552402.0,44.4773271099607
8000,Finland,FIN,2021-06-06,3264354.0,2647566.0,616788.0,0.0,5552402.0,47.68325492282439
8001,Finland,FIN,2021-06-13,3609576.0,2867648.0,741928.0,0.0,5552402.0,51.646980892233664
8002,Finland,FIN,2021-06-20,3954634.0,3093670.0,860964.0,0.0,5552402.0,55.71768758818255
8003,Finland,FIN,2021-06-27,4217126.0,3229102.0,988024.0,0.0,5552402.0,58.156848153285736
8004,Finland,FIN,2021-07-04,4543218.0,3380819.0,1162399.0,0.0,5552402.0,60.88930520520668
8005,Finland,FIN,2021-07-11,4857449.0,3489315.0,1368134.0,0.0,5552402.0,62.84334239487704
8006,Finland,FIN,2021-07-18,5127236.0,3573415.0,1553821.0,0.0,5552402.0,64.35800217635538
8007,Finland,FIN,2021-07-25,5399940.0,3639933.0,1760007.0,1.0,5552402.0,65.55600621136583
8008,Finland,FIN,2021-08-01,5674066.0,3705161.0,1968905.0,1.0,5552402.0,66.73077705828938
8009,Finland,FIN,2021-08-08,5938715.0,3770300.0,2168415.0,4.0,5552402.0,67.90394499533716
8010,Finland,FIN,2021-08-15,6244758.0,3860618.0,2384140.0,0.0,5552402.0,69.53059234543898
8011,Finland,FIN,2021-08-22,6547899.0,3957036.0,2590863.0,0.0,5552402.0,71.2671020578121
8012,Finland,FIN,2021-08-29,6802646.0,4021577.0,2781069.0,0.0,5552402.0,72.42949988131264
8013,Finland,FIN,2021-09-05,7038469.0,4058601.0,2979868.0,0.0,5552402.0,73.09631038962956
8014,Finland,FIN,2021-09-12,7241985.0,4084907.0,3157078.0,1.0,5552402.0,73.5700873243688
8015,Finland,FIN,2021-09-19,7389118.0,4107868.0,3280042.0,0.0,5552402.0,73.98362006209204
8016,Finland,FIN,2021-09-26,7549717.0,4128549.0,3405089.0,1.0,5552402.0,74.35608949063847
8017,Finland,FIN,2021-10-03,7708740.0,4146566.0,3525971.0,3.0,5552402.0,74.68057968425197
8018,Finland,FIN,2021-10-10,7847843.0,4164888.0,3629180.0,5.0,5552402.0,75.01056299597903
8019,Finland,FIN,2021-10-17,7983259.0,4188238.0,3726322.0,1.0,5552402.0,75.43110171057499
8020,Finland,FIN,2021-10-24,8095450.0,4211490.0,3805065.0,4.0,5552402.0,75.84987542328527
8021,Finland,FIN,2021-10-31,8212502.0,4232878.0,3886870.0,3.0,5552402.0,76.23507807972118
8022,Finland,FIN,2021-11-07,8300585.0,4248144.0,3941128.0,9.0,5552402.0,76.51002214897264
8023,Finland,FIN,2021-11-14,8387267.0,4261295.0,3979574.0,3.0,5552402.0,76.7468745958956
8024,Finland,FIN,2021-11-21,8484323.0,4275263.0,4007283.0,9.0,5552402.0,76.9984413952736
8025,Finland,FIN,2021-11-28,8602876.0,4290322.0,4033830.0,7.0,5552402.0,77.26965734829719
8026,Finland,FIN,2021-12-05,8758599.0,4308016.0,4061340.0,5.0,5552402.0,77.5883302397773
8027,Finland,FIN,2021-12-12,8944582.0,4322739.0,4085397.0,4.0,5552402.0,77.8534947577643
8028,Finland,FIN,2021-12-19,9228940.0,4337840.0,4110786.0,0.0,5552402.0,78.12546714016744
8029,Finland,FIN,2021-12-24,9432679.0,4345273.0,4123503.0,1.0,5552402.0,78.25933713012854
8030,Finland,FIN,2021-12-26,9434480.0,4345431.0,4123644.0,1.0,5552402.0,78.26218274541361
