,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
8031,France,FRA,2021-01-16,444122.0,444039.0,83.0,633.0,65506278.0,0.6778571666062297
8032,France,FRA,2021-01-17,455067.0,454943.0,124.0,192.0,65506278.0,0.6945028994014895
8033,France,FRA,2021-01-18,540875.0,540593.0,282.0,141.0,65506278.0,0.8252537260627142
8034,France,FRA,2021-01-19,671388.0,670983.0,405.0,401.0,65506278.0,1.0243033499781502
8035,France,FRA,2021-01-20,808890.0,808331.0,559.0,656.0,65506278.0,1.2339748565778688
8036,France,FRA,2021-01-21,967081.0,966393.0,688.0,310.0,65506278.0,1.4752677598321189
8037,France,FRA,2021-01-22,1088037.0,1087189.0,848.0,346.0,65506278.0,1.65967145927601
8038,France,FRA,2021-01-23,1126473.0,1125575.0,898.0,648.0,65506278.0,1.718270422874583
8039,France,FRA,2021-01-24,1136182.0,1135257.0,925.0,229.0,65506278.0,1.7330506856152017
8040,France,FRA,2021-01-25,1215426.0,1213293.0,2133.0,172.0,65506278.0,1.8521781988590469
8041,France,FRA,2021-01-26,1318723.0,1313489.0,5234.0,445.0,65506278.0,2.0051345307697077
8042,France,FRA,2021-01-27,1431381.0,1420568.0,10813.0,612.0,65506278.0,2.1685982525216896
8043,France,FRA,2021-01-28,1569866.0,1544728.0,25138.0,349.0,65506278.0,2.358137337615182
8044,France,FRA,2021-01-29,1679128.0,1636739.0,42389.0,343.0,65506278.0,2.4985986839307217
8045,France,FRA,2021-01-30,1712377.0,1665775.0,46602.0,819.0,65506278.0,2.542924206440183
8046,France,FRA,2021-01-31,1719220.0,1670943.0,48277.0,242.0,65506278.0,2.550813526605801
8047,France,FRA,2021-02-01,1793181.0,1723822.0,69359.0,195.0,65506278.0,2.6315370871781174
8048,France,FRA,2021-02-02,1899786.0,1795930.0,103856.0,453.0,65506278.0,2.741615086114342
8049,France,FRA,2021-02-03,2008811.0,1868051.0,140760.0,726.0,65506278.0,2.851712930476679
8050,France,FRA,2021-02-04,2140567.0,1949856.0,190711.0,353.0,65506278.0,2.976594090722114
8051,France,FRA,2021-02-05,2253900.0,2017946.0,235954.0,355.0,65506278.0,3.080538326418118
8052,France,FRA,2021-02-06,2287098.0,2040777.0,246321.0,650.0,65506278.0,3.115391474386623
8053,France,FRA,2021-02-07,2297241.0,2045889.0,251352.0,191.0,65506278.0,3.1231953065628306
8054,France,FRA,2021-02-08,2389739.0,2092487.0,297252.0,171.0,65506278.0,3.19433047317999
8055,France,FRA,2021-02-09,2527841.0,2158299.0,369542.0,456.0,65506278.0,3.2947971795924658
8056,France,FRA,2021-02-10,2675031.0,2228930.0,446101.0,721.0,65506278.0,3.4026204328079825
8057,France,FRA,2021-02-11,2860992.0,2315929.0,545063.0,295.0,65506278.0,3.5354306040712618
8058,France,FRA,2021-02-12,3014112.0,2394935.0,619177.0,357.0,65506278.0,3.6560388914174
8059,France,FRA,2021-02-13,3055792.0,2417151.0,638641.0,644.0,65506278.0,3.6899531980736255
8060,France,FRA,2021-02-14,3067939.0,2422118.0,645821.0,192.0,65506278.0,3.697535677420109
8061,France,FRA,2021-02-15,3182145.0,2459951.0,722194.0,167.0,65506278.0,3.755290447123252
8062,France,FRA,2021-02-16,3332800.0,2510082.0,822718.0,409.0,65506278.0,3.831818989929484
8063,France,FRA,2021-02-17,3485861.0,2560337.0,925523.0,582.0,65506278.0,3.908536827569412
