,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
8462,Gambia,GMB,2021-06-08,40810.0,30421.0,10389.0,0.0,2522218.0,1.206120961788394
8463,Gambia,GMB,2021-06-23,41077.0,30688.0,10389.0,0.0,2522218.0,1.2167068825930194
8464,Gambia,GMB,2021-06-30,42975.0,31150.0,11825.0,0.0,2522218.0,1.2350240938729324
8465,Gambia,GMB,2021-07-15,43557.0,31254.0,12303.0,3.0,2522218.0,1.239147448793086
8466,Gambia,GMB,2021-08-23,184553.0,170794.0,148842.0,5.0,2522218.0,6.771579617622267
8467,Gambia,GMB,2021-08-25,191496.0,173810.0,155785.0,0.0,2522218.0,6.891156910306723
8468,Gambia,GMB,2021-08-28,193532.0,175095.0,157804.0,0.0,2522218.0,6.942104132156697
8469,Gambia,GMB,2021-08-29,193961.0,175355.0,158224.0,3.0,2522218.0,6.952412519457081
8470,Gambia,GMB,2021-08-31,197277.0,177168.0,161451.0,5.0,2522218.0,7.024293697055528
8471,Gambia,GMB,2021-09-03,199881.0,178634.0,163926.0,1.0,2522218.0,7.082417142372309
8472,Gambia,GMB,2021-09-07,201835.0,179910.0,165785.0,5.0,2522218.0,7.133007535431117
8473,Gambia,GMB,2021-09-21,207195.0,183739.0,170920.0,0.0,2522218.0,7.284818362251003
8474,Gambia,GMB,2021-09-29,208379.0,184817.0,171987.0,3.0,2522218.0,7.327558521904133
8475,Gambia,GMB,2021-10-19,241290.0,214880.0,203746.0,0.0,2522218.0,8.519485627332768
8476,Gambia,GMB,2021-10-22,254945.0,226927.0,214527.0,0.0,2522218.0,8.997120788131715
8477,Gambia,GMB,2021-10-26,258505.0,230412.0,216356.0,1.0,2522218.0,9.135292825600324
8478,Gambia,GMB,2021-10-31,265620.0,234467.0,220502.0,0.0,2522218.0,9.296064019842852
8479,Gambia,GMB,2021-11-06,267263.0,236070.0,222118.0,0.0,2522218.0,9.359619192314067
8480,Gambia,GMB,2021-11-14,267644.0,236470.0,222526.0,0.0,2522218.0,9.375478249699272
8481,Gambia,GMB,2021-11-21,268008.0,236834.0,222890.0,1.0,2522218.0,9.389909991919811
8482,Gambia,GMB,2021-12-02,271166.0,239974.0,226037.0,0.0,2522218.0,9.51440359239368
8483,Gambia,GMB,2021-12-11,273365.0,242172.0,228236.0,0.0,2522218.0,9.601549112725388
8484,Gambia,GMB,2021-12-14,275191.0,243996.0,230044.0,0.0,2522218.0,9.673866414401926
