,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
8641,Germany,DEU,2020-12-27,24363.0,24352.0,11.0,356.0,83964589.0,0.0290027025559548
8642,Germany,DEU,2020-12-28,42451.0,42376.0,75.0,348.0,83964589.0,0.0504688946908321
8643,Germany,DEU,2020-12-29,93146.0,92418.0,727.0,852.0,83964589.0,0.1100678287128875
8644,Germany,DEU,2020-12-30,157256.0,156495.0,760.0,1129.0,83964589.0,0.1863821425958507
8645,Germany,DEU,2020-12-31,207261.0,206413.0,847.0,964.0,83964589.0,0.2458333953138269
8646,Germany,DEU,2021-01-01,232856.0,231996.0,859.0,553.0,83964589.0,0.2763021921062461
8647,Germany,DEU,2021-01-02,280934.0,279996.0,937.0,336.0,83964589.0,0.3334691485240284
8648,Germany,DEU,2021-01-03,303498.0,302555.0,942.0,312.0,83964589.0,0.3603364270621274
8649,Germany,DEU,2021-01-04,349678.0,348636.0,1058.0,302.0,83964589.0,0.415217896201457
8650,Germany,DEU,2021-01-05,402379.0,401251.0,1144.0,944.0,83964589.0,0.4778812172831573
8651,Germany,DEU,2021-01-06,465542.0,464328.0,1230.0,1019.0,83964589.0,0.5530045529074167
8652,Germany,DEU,2021-01-07,520342.0,519107.0,1252.0,1070.0,83964589.0,0.618245150940952
8653,Germany,DEU,2021-01-08,583166.0,581828.0,1355.0,1188.0,83964589.0,0.692944498305113
8654,Germany,DEU,2021-01-09,643904.0,642421.0,1500.0,1083.0,83964589.0,0.7651094439347521
8655,Germany,DEU,2021-01-10,679894.0,678299.0,1612.0,465.0,83964589.0,0.8078393619005269
8656,Germany,DEU,2021-01-11,748339.0,746689.0,1667.0,343.0,83964589.0,0.8892903650132795
8657,Germany,DEU,2021-01-12,827492.0,825781.0,1729.0,891.0,83964589.0,0.9834872174506802
8658,Germany,DEU,2021-01-13,939668.0,937757.0,1929.0,1060.0,83964589.0,1.1168481989472967
8659,Germany,DEU,2021-01-14,1023789.0,1021663.0,2144.0,1244.0,83964589.0,1.2167784207220975
8660,Germany,DEU,2021-01-15,1115593.0,1112548.0,3065.0,1113.0,83964589.0,1.325020479764392
8661,Germany,DEU,2021-01-16,1173675.0,1169409.0,4287.0,980.0,83964589.0,1.392740694532549
8662,Germany,DEU,2021-01-17,1221479.0,1200201.0,21300.0,445.0,83964589.0,1.429413297074556
8663,Germany,DEU,2021-01-18,1304485.0,1267609.0,36898.0,214.0,83964589.0,1.5096947595372616
8664,Germany,DEU,2021-01-19,1424285.0,1351414.0,72893.0,989.0,83964589.0,1.6095046925079337
8665,Germany,DEU,2021-01-20,1557049.0,1430434.0,126637.0,1148.0,83964589.0,1.703615794510707
8666,Germany,DEU,2021-01-21,1662589.0,1495064.0,167546.0,1013.0,83964589.0,1.7805887193707337
8667,Germany,DEU,2021-01-22,1764928.0,1563823.0,201126.0,859.0,83964589.0,1.862479193460948
8668,Germany,DEU,2021-01-23,1851982.0,1604355.0,247648.0,879.0,83964589.0,1.9107519242427304
8669,Germany,DEU,2021-01-24,1899800.0,1630047.0,269774.0,349.0,83964589.0,1.9413505376653484
8670,Germany,DEU,2021-01-25,1990822.0,1682340.0,308503.0,217.0,83964589.0,2.003630363747746
8671,Germany,DEU,2021-01-26,2089353.0,1733147.0,356224.0,903.0,83964589.0,2.06414039613771
8672,Germany,DEU,2021-01-27,2198806.0,1784128.0,414697.0,982.0,83964589.0,2.124857658744688
8673,Germany,DEU,2021-01-28,2291360.0,1830961.0,460418.0,941.0,83964589.0,2.180634743534563
8674,Germany,DEU,2021-01-29,2399102.0,1880813.0,518308.0,839.0,83964589.0,2.240007391687465
8675,Germany,DEU,2021-01-30,2487213.0,1915438.0,571796.0,794.0,83964589.0,2.281245013895084
8676,Germany,DEU,2021-01-31,2544444.0,1941210.0,603255.0,399.0,83964589.0,2.311938905578398
8677,Germany,DEU,2021-02-01,2664812.0,1999519.0,665314.0,175.0,83964589.0,2.381383656865158
8678,Germany,DEU,2021-02-02,2797666.0,2065078.0,732610.0,861.0,83964589.0,2.45946300052752
8679,Germany,DEU,2021-02-03,2960710.0,2129731.0,831001.0,975.0,83964589.0,2.536463317887496
8680,Germany,DEU,2021-02-04,3095322.0,2191845.0,903498.0,786.0,83964589.0,2.610439741448624
8681,Germany,DEU,2021-02-05,3242900.0,2261246.0,981675.0,855.0,83964589.0,2.6930948235809264
