,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
9210,Greece,GRC,2021-01-16,80391.0,80389.0,2.0,34.0,10345024.0,0.7770789125283808
9211,Greece,GRC,2021-01-18,85898.0,85475.0,423.0,28.0,10345024.0,0.8262426457396329
9212,Greece,GRC,2021-01-19,94454.0,93382.0,1072.0,19.0,10345024.0,0.902675527867311
9213,Greece,GRC,2021-01-20,109831.0,108167.0,1664.0,30.0,10345024.0,1.0455944809794544
9214,Greece,GRC,2021-01-21,125928.0,123667.0,2261.0,27.0,10345024.0,1.195424969531245
9215,Greece,GRC,2021-01-22,143877.0,141298.0,2579.0,25.0,10345024.0,1.3658547336381242
9216,Greece,GRC,2021-01-23,160101.0,156966.0,3135.0,28.0,10345024.0,1.5173091913561536
9217,Greece,GRC,2021-01-25,179951.0,171890.0,8061.0,24.0,10345024.0,1.661571785623697
9218,Greece,GRC,2021-01-26,197755.0,184610.0,13145.0,25.0,10345024.0,1.784529451067489
9219,Greece,GRC,2021-01-27,216040.0,198161.0,17879.0,21.0,10345024.0,1.915519963994284
9220,Greece,GRC,2021-01-28,234285.0,210488.0,23797.0,32.0,10345024.0,2.034678701567053
9221,Greece,GRC,2021-01-29,253363.0,220621.0,32742.0,18.0,10345024.0,2.1326291751473945
9222,Greece,GRC,2021-01-30,271287.0,232399.0,38888.0,22.0,10345024.0,2.2464810134804907
9223,Greece,GRC,2021-02-01,293817.0,247251.0,46566.0,17.0,10345024.0,2.3900476209625032
9224,Greece,GRC,2021-02-02,315628.0,261543.0,54085.0,33.0,10345024.0,2.5282009978903868
9225,Greece,GRC,2021-02-03,338122.0,276103.0,62019.0,22.0,10345024.0,2.6689449922977464
9226,Greece,GRC,2021-02-04,359723.0,291259.0,68464.0,27.0,10345024.0,2.815450210652
9227,Greece,GRC,2021-02-05,380136.0,306441.0,73695.0,25.0,10345024.0,2.962206757567696
9228,Greece,GRC,2021-02-06,397857.0,318097.0,79760.0,19.0,10345024.0,3.074879284958643
9229,Greece,GRC,2021-02-08,417565.0,332812.0,84753.0,21.0,10345024.0,3.2171215842515206
9230,Greece,GRC,2021-02-09,437872.0,345290.0,92582.0,25.0,10345024.0,3.3377399607772777
9231,Greece,GRC,2021-02-10,459535.0,353412.0,106123.0,20.0,10345024.0,3.4162511367784165
9232,Greece,GRC,2021-02-11,482416.0,360800.0,121616.0,17.0,10345024.0,3.4876671141603928
9233,Greece,GRC,2021-02-12,506038.0,366749.0,139289.0,22.0,10345024.0,3.5451730223148825
9234,Greece,GRC,2021-02-13,526369.0,371462.0,154907.0,21.0,10345024.0,3.59073115731776
9235,Greece,GRC,2021-02-15,554745.0,386049.0,168696.0,23.0,10345024.0,3.731736146769693
9236,Greece,GRC,2021-02-16,575766.0,397840.0,177926.0,26.0,10345024.0,3.84571364938351
9237,Greece,GRC,2021-02-17,603667.0,412970.0,190697.0,29.0,10345024.0,3.991967539176323
9238,Greece,GRC,2021-02-18,634037.0,430124.0,203913.0,13.0,10345024.0,4.15778639082906
9239,Greece,GRC,2021-02-19,664347.0,449073.0,215274.0,27.0,10345024.0,4.340956579704407
9240,Greece,GRC,2021-02-20,693436.0,465842.0,227594.0,28.0,10345024.0,4.50305383535118
9241,Greece,GRC,2021-02-21,697245.0,467656.0,229589.0,23.0,10345024.0,4.520588835753305
9242,Greece,GRC,2021-02-22,730410.0,486820.0,243590.0,25.0,10345024.0,4.7058373185021125
9243,Greece,GRC,2021-02-23,762624.0,505148.0,257476.0,24.0,10345024.0,4.883004621352256
9244,Greece,GRC,2021-02-24,794347.0,522510.0,271837.0,22.0,10345024.0,5.050834101496527
9245,Greece,GRC,2021-02-25,826370.0,540039.0,286331.0,28.0,10345024.0,5.220277884323903
