,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
10099,Guyana,GUY,2021-04-15,73600.0,73000.0,600.0,1.0,792163.0,9.215275139081225
10100,Guyana,GUY,2021-04-23,113596.0,111825.0,1771.0,1.0,792163.0,14.116412909969286
10101,Guyana,GUY,2021-04-26,126800.0,124000.0,2800.0,2.0,792163.0,15.653344071863998
10102,Guyana,GUY,2021-05-06,153494.0,150694.0,2800.0,3.0,792163.0,19.023105093269947
10103,Guyana,GUY,2021-05-25,245614.0,187234.0,58380.0,4.0,792163.0,23.635792128640198
10104,Guyana,GUY,2021-06-02,274625.0,203847.0,70778.0,4.0,792163.0,25.732961524332744
10105,Guyana,GUY,2021-06-05,285247.0,209835.0,75412.0,4.0,792163.0,26.488866559028885
10106,Guyana,GUY,2021-06-09,294053.0,214251.0,79802.0,2.0,792163.0,27.04632758662043
10107,Guyana,GUY,2021-06-11,300591.0,216862.0,83729.0,0.0,792163.0,27.37593146864976
10108,Guyana,GUY,2021-06-16,315816.0,223659.0,92157.0,4.0,792163.0,28.23396194975024
10109,Guyana,GUY,2021-06-21,326325.0,227690.0,98635.0,2.0,792163.0,28.74282186873156
10110,Guyana,GUY,2021-06-25,335091.0,230486.0,104605.0,2.0,792163.0,29.09577953022295
10111,Guyana,GUY,2021-06-29,340020.0,232599.0,107421.0,0.0,792163.0,29.36251756267334
10112,Guyana,GUY,2021-06-30,341886.0,233134.0,108752.0,4.0,792163.0,29.43005416814469
10113,Guyana,GUY,2021-07-01,344466.0,233756.0,110710.0,2.0,792163.0,29.508573361795488
10114,Guyana,GUY,2021-07-02,346626.0,234255.0,112371.0,1.0,792163.0,29.571565448020166
10115,Guyana,GUY,2021-07-06,350190.0,235796.0,114394.0,0.0,792163.0,29.7660961191068
10116,Guyana,GUY,2021-07-08,354014.0,237111.0,116903.0,4.0,792163.0,29.932097308256
10117,Guyana,GUY,2021-07-14,363442.0,240392.0,123050.0,5.0,792163.0,30.34627974293169
10118,Guyana,GUY,2021-07-19,371243.0,242991.0,128252.0,2.0,792163.0,30.67436878521213
10119,Guyana,GUY,2021-07-22,373726.0,244365.0,129361.0,1.0,792163.0,30.847817936460046
10120,Guyana,GUY,2021-07-23,374841.0,245092.0,129749.0,1.0,792163.0,30.93959197791364
10121,Guyana,GUY,2021-07-26,377145.0,246716.0,130429.0,5.0,792163.0,31.14460029059676
10122,Guyana,GUY,2021-07-28,382957.0,248970.0,133987.0,3.0,792163.0,31.42913769009661
10123,Guyana,GUY,2021-07-29,389336.0,250712.0,138624.0,0.0,792163.0,31.64904192697715
10124,Guyana,GUY,2021-07-30,389336.0,250712.0,138624.0,3.0,792163.0,31.64904192697715
10125,Guyana,GUY,2021-08-03,394606.0,252978.0,141628.0,5.0,792163.0,31.93509416622589
10126,Guyana,GUY,2021-08-04,396997.0,254883.0,142114.0,1.0,792163.0,32.175574976362185
10127,Guyana,GUY,2021-08-10,416087.0,271122.0,144965.0,3.0,792163.0,34.22553186654766
10128,Guyana,GUY,2021-08-12,425580.0,279489.0,146091.0,3.0,792163.0,35.28175388146126
10129,Guyana,GUY,2021-08-13,429086.0,282586.0,146500.0,3.0,792163.0,35.67270877332064
10130,Guyana,GUY,2021-08-16,434965.0,287837.0,147128.0,3.0,792163.0,36.33557740010578
10131,Guyana,GUY,2021-08-23,455209.0,301369.0,153840.0,0.0,792163.0,38.043811690270815
10132,Guyana,GUY,2021-08-25,460700.0,305012.0,155688.0,3.0,792163.0,38.50369179070469
10133,Guyana,GUY,2021-08-26,465463.0,306906.0,158557.0,4.0,792163.0,38.74278399773784
10134,Guyana,GUY,2021-08-27,468218.0,308758.0,159460.0,1.0,792163.0,38.97657426564987
10135,Guyana,GUY,2021-08-30,472188.0,311539.0,160649.0,1.0,792163.0,39.327638377455145
10136,Guyana,GUY,2021-08-31,474491.0,313469.0,161022.0,1.0,792163.0,39.57127510373496
10137,Guyana,GUY,2021-09-03,485332.0,318569.0,166763.0,2.0,792163.0,40.21508199701324
10138,Guyana,GUY,2021-09-07,491795.0,322586.0,169209.0,1.0,792163.0,40.72217460295419
10139,Guyana,GUY,2021-09-08,495220.0,325095.0,170125.0,6.0,792163.0,41.038902347117954
10140,Guyana,GUY,2021-09-09,502064.0,329909.0,172155.0,7.0,792163.0,41.64660555971435
10141,Guyana,GUY,2021-09-14,512067.0,337030.0,175037.0,9.0,792163.0,42.54553671403487
10142,Guyana,GUY,2021-09-16,518295.0,341600.0,176695.0,5.0,792163.0,43.12243818507049
10143,Guyana,GUY,2021-09-20,525644.0,346529.0,179115.0,7.0,792163.0,43.74465861192709
10144,Guyana,GUY,2021-09-23,533843.0,351981.0,181862.0,5.0,792163.0,44.43290080450614
10145,Guyana,GUY,2021-09-27,538748.0,354676.0,184072.0,5.0,792163.0,44.7731085647777
10146,Guyana,GUY,2021-09-29,543180.0,357208.0,185972.0,10.0,792163.0,45.09273975179351
10147,Guyana,GUY,2021-10-05,575396.0,362919.0,212477.0,3.0,792163.0,45.81367723561944
10148,Guyana,GUY,2021-10-06,579761.0,364208.0,215553.0,0.0,792163.0,45.97639627197938
10149,Guyana,GUY,2021-10-07,583394.0,365274.0,218120.0,8.0,792163.0,46.11096453633911
10150,Guyana,GUY,2021-10-08,586207.0,366190.0,220017.0,9.0,792163.0,46.22659730383772
10151,Guyana,GUY,2021-10-12,593900.0,368850.0,225050.0,5.0,792163.0,46.56238678150835
10152,Guyana,GUY,2021-10-13,596526.0,369877.0,226649.0,2.0,792163.0,46.69203181668419
10153,Guyana,GUY,2021-10-20,607930.0,374539.0,233391.0,5.0,792163.0,47.28054705912798
10154,Guyana,GUY,2021-10-21,610721.0,375640.0,235081.0,2.0,792163.0,47.41953360608865
10155,Guyana,GUY,2021-10-25,615611.0,377614.0,237997.0,1.0,792163.0,47.66872474478106
10156,Guyana,GUY,2021-10-28,621468.0,380257.0,241211.0,2.0,792163.0,48.0023681994741
10157,Guyana,GUY,2021-11-01,626499.0,382177.0,244322.0,3.0,792163.0,48.24474255929651
10158,Guyana,GUY,2021-11-02,628945.0,383013.0,245932.0,7.0,792163.0,48.35027639513585
10159,Guyana,GUY,2021-11-03,631765.0,383943.0,247822.0,5.0,792163.0,48.46767647567483
10160,Guyana,GUY,2021-11-05,634491.0,384934.0,249557.0,2.0,792163.0,48.592776991604005
10161,Guyana,GUY,2021-11-09,641443.0,387505.0,253938.0,1.0,792163.0,48.9173314078037
10162,Guyana,GUY,2021-11-10,644094.0,388444.0,255650.0,3.0,792163.0,49.03586761815434
10163,Guyana,GUY,2021-11-11,646545.0,389349.0,257196.0,6.0,792163.0,49.15011178254981
10164,Guyana,GUY,2021-11-12,648974.0,390110.0,258864.0,1.0,792163.0,49.24617786995858
10165,Guyana,GUY,2021-11-15,653332.0,391521.0,261811.0,2.0,792163.0,49.42429777709891
10166,Guyana,GUY,2021-11-16,655967.0,392512.0,263455.0,2.0,792163.0,49.54939829302808
10167,Guyana,GUY,2021-11-17,658206.0,393355.0,264851.0,0.0,792163.0,49.6558157853876
10168,Guyana,GUY,2021-11-18,660221.0,394094.0,266127.0,2.0,792163.0,49.749104666590085
10169,Guyana,GUY,2021-11-19,662180.0,394759.0,267421.0,4.0,792163.0,49.83305203600774
10170,Guyana,GUY,2021-11-24,668046.0,396840.0,271206.0,1.0,792163.0,50.09575049579442
10171,Guyana,GUY,2021-11-26,674075.0,398949.0,275126.0,1.0,792163.0,50.36198358166185
10172,Guyana,GUY,2021-11-29,676717.0,399829.0,276888.0,1.0,792163.0,50.4730718299138
10173,Guyana,GUY,2021-11-30,678619.0,400561.0,278058.0,1.0,792163.0,50.56547705459609
10174,Guyana,GUY,2021-12-01,681103.0,401445.0,279658.0,5.0,792163.0,50.67707024943099
10175,Guyana,GUY,2021-12-02,682779.0,402142.0,280637.0,2.0,792163.0,50.76505719151236
10176,Guyana,GUY,2021-12-06,686104.0,403537.0,282567.0,3.0,792163.0,50.941157312320826
10177,Guyana,GUY,2021-12-07,687627.0,404122.0,283505.0,2.0,792163.0,51.01500575007921
10178,Guyana,GUY,2021-12-14,698265.0,406072.0,286437.0,3.0,792163.0,51.26116720927385
10179,Guyana,GUY,2021-12-18,706442.0,408266.0,289726.0,1.0,792163.0,51.53813041002925
10180,Guyana,GUY,2021-12-23,764898.0,440072.0,314356.0,6.0,792163.0,55.55321316446237
