,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
10181,Haiti,HTI,2021-07-21,2041.0,2041.0,341.0,1.0,11611680.0,0.0175771292353905
10182,Haiti,HTI,2021-07-22,2198.0,2198.0,341.0,0.0,11611680.0,0.0189292160996513
10183,Haiti,HTI,2021-07-26,3369.0,3369.0,341.0,6.0,11611680.0,0.0290138894630234
10184,Haiti,HTI,2021-07-27,4078.0,4078.0,341.0,2.0,11611680.0,0.0351198103978063
10185,Haiti,HTI,2021-07-28,4526.0,4526.0,341.0,7.0,11611680.0,0.0389779945709837
10186,Haiti,HTI,2021-07-29,5425.0,5425.0,341.0,0.0,11611680.0,0.0467201989720695
10187,Haiti,HTI,2021-07-30,6576.0,6576.0,341.0,3.0,11611680.0,0.0566326319705675
10188,Haiti,HTI,2021-08-02,8448.0,8448.0,341.0,2.0,11611680.0,0.0727543301227729
10189,Haiti,HTI,2021-08-03,9630.0,9630.0,341.0,3.0,11611680.0,0.0829337356868256
10190,Haiti,HTI,2021-08-04,11209.0,11209.0,341.0,3.0,11611680.0,0.0965321124936271
10191,Haiti,HTI,2021-08-05,12641.0,12641.0,341.0,0.0,11611680.0,0.1088645226186047
10192,Haiti,HTI,2021-08-06,14074.0,14074.0,341.0,3.0,11611680.0,0.121205544761826
10193,Haiti,HTI,2021-08-09,15454.0,15454.0,341.0,1.0,11611680.0,0.1330901299381312
10194,Haiti,HTI,2021-08-10,16938.0,16938.0,341.0,0.0,11611680.0,0.1458703650117812
10195,Haiti,HTI,2021-08-11,19182.0,19157.0,366.0,0.0,11611680.0,0.1649804334945503
10196,Haiti,HTI,2021-08-13,20281.0,20251.0,371.0,0.0,11611680.0,0.1744019814531575
10197,Haiti,HTI,2021-08-16,21151.0,20948.0,544.0,2.0,11611680.0,0.180404558169016
10198,Haiti,HTI,2021-08-18,24102.0,23044.0,1399.0,0.0,11611680.0,0.19845534840781
10199,Haiti,HTI,2021-08-21,26109.0,24560.0,1890.0,1.0,11611680.0,0.2115111680652584
10200,Haiti,HTI,2021-08-23,27412.0,25307.0,2446.0,0.0,11611680.0,0.2179443456933019
10201,Haiti,HTI,2021-08-25,29077.0,26058.0,3360.0,0.0,11611680.0,0.2244119713943202
10202,Haiti,HTI,2021-08-26,29227.0,26208.0,3360.0,0.0,11611680.0,0.2257037741308751
10203,Haiti,HTI,2021-08-27,31698.0,27305.0,4734.0,2.0,11611680.0,0.2351511581442134
10204,Haiti,HTI,2021-08-31,35741.0,29332.0,6750.0,0.0,11611680.0,0.2526077191241921
10205,Haiti,HTI,2021-09-03,41629.0,32226.0,9744.0,2.0,11611680.0,0.2775308999214584
10206,Haiti,HTI,2021-09-07,46201.0,34317.0,12225.0,0.0,11611680.0,0.2955386300690339
10207,Haiti,HTI,2021-09-09,50624.0,36583.0,14382.0,3.0,11611680.0,0.3150534634092569
10208,Haiti,HTI,2021-09-10,52391.0,37389.0,15343.0,4.0,11611680.0,0.3219947501136787
10209,Haiti,HTI,2021-09-17,60688.0,42494.0,18535.0,1.0,11611680.0,0.3659591032477643
10210,Haiti,HTI,2021-09-21,61545.0,42899.0,18987.0,0.0,11611680.0,0.3694469706364626
10211,Haiti,HTI,2021-09-26,67023.0,47010.0,20354.0,0.0,11611680.0,0.404850977636311
10212,Haiti,HTI,2021-10-01,70003.0,49201.0,21143.0,14.0,11611680.0,0.4237199096082565
10213,Haiti,HTI,2021-10-02,75220.0,52788.0,22773.0,5.0,11611680.0,0.4546112190484064
10214,Haiti,HTI,2021-10-07,88133.0,62929.0,25545.0,0.0,11611680.0,0.5419456960577625
10215,Haiti,HTI,2021-10-10,96073.0,69379.0,27035.0,4.0,11611680.0,0.597493213729624
10216,Haiti,HTI,2021-10-15,102168.0,73568.0,28941.0,0.0,11611680.0,0.6335689581524809
10217,Haiti,HTI,2021-10-18,110603.0,79404.0,28941.0,0.0,11611680.0,0.683828696622711
10218,Haiti,HTI,2021-10-29,123843.0,88251.0,35933.0,0.0,11611680.0,0.7600192220247199
10219,Haiti,HTI,2021-10-31,135597.0,96262.0,39676.0,2.0,11611680.0,0.8290101001749962
10220,Haiti,HTI,2021-11-05,135748.0,96384.0,39705.0,0.0,11611680.0,0.8300607664007276
10221,Haiti,HTI,2021-11-11,138330.0,97950.0,40721.0,3.0,11611680.0,0.8435471869703609
10222,Haiti,HTI,2021-11-12,153182.0,104920.0,48603.0,0.0,11611680.0,0.903572954128946
10223,Haiti,HTI,2021-11-15,158479.0,106997.0,51823.0,3.0,11611680.0,0.9214601160211098
10224,Haiti,HTI,2021-11-19,184769.0,118222.0,66888.0,4.0,11611680.0,1.018130020806636
10225,Haiti,HTI,2021-12-16,190063.0,120569.0,69835.0,0.0,11611680.0,1.0383424276245987
10226,Haiti,HTI,2021-12-17,194341.0,122580.0,72102.0,0.0,11611680.0,1.0556611963126783
