,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
10523,India,IND,2021-02-13,8052454.0,8044786.0,7668.0,103.0,1400144310.0,0.574568345744304
10524,India,IND,2021-02-15,8516771.0,8418653.0,98118.0,90.0,1400144310.0,0.6012703790511422
10525,India,IND,2021-02-16,8857341.0,8641002.0,216339.0,81.0,1400144310.0,0.6171508135472121
10526,India,IND,2021-02-17,9186757.0,8844641.0,342116.0,100.0,1400144310.0,0.6316949572148031
10527,India,IND,2021-02-18,9846523.0,9381591.0,464932.0,101.0,1400144310.0,0.6700445756194945
10528,India,IND,2021-02-19,10449942.0,9693000.0,756942.0,97.0,1400144310.0,0.692285783027608
10529,India,IND,2021-02-20,10838323.0,9964383.0,873940.0,101.0,1400144310.0,0.711668285106983
10530,India,IND,2021-02-21,11085173.0,10124531.0,960642.0,90.0,1400144310.0,0.7231062489551523
10531,India,IND,2021-02-22,11424094.0,10308552.0,1115542.0,83.0,1400144310.0,0.7362492513360998
10532,India,IND,2021-02-23,11907392.0,10585757.0,1321635.0,78.0,1400144310.0,0.7560475676967898
10533,India,IND,2021-02-24,12366633.0,10884879.0,1481754.0,104.0,1400144310.0,0.7774112227046082
10534,India,IND,2021-02-25,13067047.0,11206188.0,1860859.0,138.0,1400144310.0,0.8003595000861018
10535,India,IND,2021-02-26,13756940.0,11552857.0,2204083.0,120.0,1400144310.0,0.8251190193387995
10536,India,IND,2021-02-27,14242547.0,11788669.0,2453878.0,113.0,1400144310.0,0.8419609975774569
10537,India,IND,2021-02-28,14301266.0,11845075.0,2456191.0,113.0,1400144310.0,0.8459895823166971
10538,India,IND,2021-03-01,14854136.0,12256337.0,2597799.0,106.0,1400144310.0,0.8753624117502573
10539,India,IND,2021-03-02,15620749.0,12906771.0,2713978.0,91.0,1400144310.0,0.9218171946861676
10540,India,IND,2021-03-03,16616048.0,13739121.0,2876927.0,98.0,1400144310.0,0.9812646383571704
10541,India,IND,2021-03-04,18005503.0,14796835.0,3208668.0,89.0,1400144310.0,1.0568078514706818
10542,India,IND,2021-03-05,19497704.0,15996683.0,3501021.0,113.0,1400144310.0,1.142502446765648
10543,India,IND,2021-03-06,20922344.0,17168303.0,3754041.0,108.0,1400144310.0,1.2261809641607586
10544,India,IND,2021-03-07,20989010.0,17227903.0,3761107.0,100.0,1400144310.0,1.2304376682429257
10545,India,IND,2021-03-08,23008733.0,18943283.0,4065450.0,97.0,1400144310.0,1.352952182478962
10546,India,IND,2021-03-09,24367906.0,20004227.0,4363679.0,77.0,1400144310.0,1.4287260860989397
10547,India,IND,2021-03-10,25685011.0,21034481.0,4650530.0,133.0,1400144310.0,1.5023080728014386
10548,India,IND,2021-03-11,26164920.0,21435841.0,4729079.0,126.0,1400144310.0,1.5309736894192
10549,India,IND,2021-03-12,28218457.0,23075504.0,5142953.0,117.0,1400144310.0,1.648080403940648
10550,India,IND,2021-03-13,29738409.0,24307635.0,5430774.0,140.0,1400144310.0,1.7360806901397186
10551,India,IND,2021-03-14,29908038.0,24452385.0,5455653.0,161.0,1400144310.0,1.7464189102050487
10552,India,IND,2021-03-15,32947432.0,27079484.0,5867948.0,118.0,1400144310.0,1.9340494980835223
10553,India,IND,2021-03-16,35064536.0,28862037.0,6202499.0,131.0,1400144310.0,2.061361589220757
10554,India,IND,2021-03-17,37143255.0,30600787.0,6542468.0,188.0,1400144310.0,2.185545217121226
10555,India,IND,2021-03-18,39339817.0,32426230.0,6913587.0,172.0,1400144310.0,2.3159205639310136
10556,India,IND,2021-03-19,42063392.0,34842030.0,7221362.0,154.0,1400144310.0,2.4884599216776446
10557,India,IND,2021-03-20,44603841.0,37125187.0,7478654.0,188.0,1400144310.0,2.6515257559415426
10558,India,IND,2021-03-21,45065998.0,37574302.0,7491696.0,197.0,1400144310.0,2.6836020924157453
10559,India,IND,2021-03-22,48494594.0,40631153.0,7863441.0,212.0,1400144310.0,2.901926087890183
10560,India,IND,2021-03-23,50841286.0,42731952.0,8109334.0,199.0,1400144310.0,3.05196769324442
10561,India,IND,2021-03-24,53145709.0,44846538.0,8299171.0,275.0,1400144310.0,3.2029939828131
10562,India,IND,2021-03-25,55504440.0,47001472.0,8502968.0,251.0,1400144310.0,3.3569019753399565
10563,India,IND,2021-03-26,58109773.0,49426618.0,8683155.0,257.0,1400144310.0,3.530108835709942
10564,India,IND,2021-03-27,60269782.0,51441436.0,8828346.0,291.0,1400144310.0,3.674009574055977
10565,India,IND,2021-03-28,60530435.0,51660234.0,8870201.0,312.0,1400144310.0,3.689636391837353
10566,India,IND,2021-03-29,61113354.0,52211398.0,8901956.0,291.0,1400144310.0,3.729001191312916
10567,India,IND,2021-03-30,63054353.0,53989035.0,9065318.0,271.0,1400144310.0,3.85596217578458
10568,India,IND,2021-03-31,65117896.0,55783201.0,9334695.0,354.0,1400144310.0,3.984103681426952
10569,India,IND,2021-04-01,68789138.0,59148798.0,9640340.0,459.0,1400144310.0,4.224478689628786
10570,India,IND,2021-04-02,73054295.0,63081589.0,9972706.0,469.0,1400144310.0,4.505363379293382
10571,India,IND,2021-04-03,75979651.0,65739470.0,10240181.0,714.0,1400144310.0,4.695192454840601
10572,India,IND,2021-04-04,79105163.0,68678838.0,10426325.0,513.0,1400144310.0,4.9051256723673005
10573,India,IND,2021-04-05,83110926.0,72277309.0,10833617.0,478.0,1400144310.0,5.162132823294479
10574,India,IND,2021-04-06,87077474.0,75937015.0,11140459.0,446.0,1400144310.0,5.423513451981246
10575,India,IND,2021-04-07,90198673.0,78763027.0,11435646.0,630.0,1400144310.0,5.625350646891534
10576,India,IND,2021-04-08,94334262.0,82456522.0,11877740.0,685.0,1400144310.0,5.88914452682381
10577,India,IND,2021-04-09,98075160.0,85763852.0,12311308.0,780.0,1400144310.0,6.125358035415649
10578,India,IND,2021-04-10,101595147.0,88885961.0,12709186.0,794.0,1400144310.0,6.348342836175222
10579,India,IND,2021-04-11,104528565.0,91587400.0,12941165.0,839.0,1400144310.0,6.541282876762895
10580,India,IND,2021-04-12,108533085.0,95043039.0,13490046.0,904.0,1400144310.0,6.788088793504435
10581,India,IND,2021-04-13,111179578.0,97301914.0,13877664.0,879.0,1400144310.0,6.949420377960898
10582,India,IND,2021-04-14,114493238.0,100179199.0,14314039.0,1027.0,1400144310.0,7.154919552542409
10583,India,IND,2021-04-15,117223509.0,102349255.0,14874254.0,1038.0,1400144310.0,7.309907576598301
10584,India,IND,2021-04-16,119937641.0,104408484.0,15529157.0,1185.0,1400144310.0,7.456980202276435
10585,India,IND,2021-04-17,122622590.0,106431076.0,16191514.0,1341.0,1400144310.0,7.601436169104597
10586,India,IND,2021-04-18,123852566.0,107371770.0,16480796.0,1501.0,1400144310.0,7.668621672290336
10587,India,IND,2021-04-19,127129113.0,109659181.0,17469932.0,1619.0,1400144310.0,7.831991332379161
10588,India,IND,2021-04-21,129646105.0,111673361.0,17972744.0,2023.0,1400144310.0,7.975846503993578
10589,India,IND,2021-04-22,132754608.0,113584269.0,19170339.0,2104.0,1400144310.0,8.1123258644675
10590,India,IND,2021-04-25,139185173.0,117795008.0,21390165.0,2767.0,1400144310.0,8.413061936451394
10591,India,IND,2021-04-26,142524947.0,119886252.0,22638695.0,2812.0,1400144310.0,8.562421112149504
10592,India,IND,2021-04-27,144879233.0,121263287.0,23615946.0,2771.0,1400144310.0,8.660770617280157
10593,India,IND,2021-04-28,147053392.0,122538179.0,24515213.0,3293.0,1400144310.0,8.751824945815764
10594,India,IND,2021-04-29,149268772.0,123811908.0,25456864.0,3645.0,1400144310.0,8.842796211484801
10595,India,IND,2021-04-30,151998107.0,125376952.0,26621155.0,3498.0,1400144310.0,8.954573546779617
10596,India,IND,2021-05-01,153626325.0,126328970.0,27297355.0,3523.0,1400144310.0,9.022567823740967
10597,India,IND,2021-05-02,154211511.0,126704151.0,27507360.0,3689.0,1400144310.0,9.049363704517
10598,India,IND,2021-05-03,156082136.0,127696675.0,28385461.0,3417.0,1400144310.0,9.120250968987618
10599,India,IND,2021-05-04,157750752.0,128627919.0,29122833.0,3449.0,1400144310.0,9.186761541744222
10600,India,IND,2021-05-05,159931238.0,129730641.0,30200597.0,3780.0,1400144310.0,9.265519280651864
10601,India,IND,2021-05-06,162603603.0,131058890.0,31544713.0,3980.0,1400144310.0,9.36038443065915
10602,India,IND,2021-05-07,165190000.0,132294827.0,32895173.0,3915.0,1400144310.0,9.44865654598132
10603,India,IND,2021-05-08,167493857.0,133366482.0,34127375.0,4187.0,1400144310.0,9.525195442175528
10604,India,IND,2021-05-09,168304868.0,133854676.0,34450192.0,4092.0,1400144310.0,9.560062848093136
10605,India,IND,2021-05-10,171098918.0,135192013.0,35906905.0,3754.0,1400144310.0,9.655577074051743
10606,India,IND,2021-05-11,173862643.0,136557345.0,37305298.0,3876.0,1400144310.0,9.753090736768412
10607,India,IND,2021-05-12,176045577.0,137805245.0,38240332.0,4205.0,1400144310.0,9.842217264019022
10608,India,IND,2021-05-13,178361846.0,139087590.0,39274256.0,4120.0,1400144310.0,9.933803894828529
10609,India,IND,2021-05-14,179646413.0,139861462.0,39784951.0,4000.0,1400144310.0,9.989074769014346
10610,India,IND,2021-05-15,181544536.0,141132112.0,40412424.0,3890.0,1400144310.0,10.07982612877954
10611,India,IND,2021-05-16,182251006.0,141764335.0,40486671.0,4077.0,1400144310.0,10.124980260070478
10612,India,IND,2021-05-17,183817204.0,143090218.0,40726986.0,4106.0,1400144310.0,10.21967642749625
10613,India,IND,2021-05-18,185191602.0,144270200.0,40921402.0,4329.0,1400144310.0,10.303952169044631
10614,India,IND,2021-05-19,186410600.0,145333606.0,41076994.0,4529.0,1400144310.0,10.379901911682232
10615,India,IND,2021-05-20,187886885.0,146624652.0,41262233.0,3874.0,1400144310.0,10.47210997843501
10616,India,IND,2021-05-22,190842497.0,149219616.0,41622881.0,4194.0,1400144310.0,10.657445445748374
10617,India,IND,2021-05-23,191719240.0,150033188.0,41686052.0,3741.0,1400144310.0,10.715551741948657
10618,India,IND,2021-05-24,194165711.0,152301505.0,41864206.0,4454.0,1400144310.0,10.87755768546458
10619,India,IND,2021-05-25,195506779.0,153511379.0,41995400.0,3511.0,1400144310.0,10.963968349805317
10620,India,IND,2021-05-26,198425615.0,156189641.0,42235974.0,4157.0,1400144310.0,11.155253061021975
10621,India,IND,2021-05-27,201203166.0,158783606.0,42419560.0,3847.0,1400144310.0,11.340517178547117
