,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
11191,Ireland,IRL,2020-12-28,145.0,136.0,15.0,4.0,5004769.0,0.0027174081361197
11192,Ireland,IRL,2020-12-29,215.0,205.0,16.0,1.0,5004769.0,0.004096093146357
11193,Ireland,IRL,2020-12-30,1263.0,1253.0,16.0,9.0,5004769.0,0.0250361205482211
11194,Ireland,IRL,2020-12-31,2287.0,2276.0,17.0,13.0,5004769.0,0.0454766243956514
11195,Ireland,IRL,2021-01-01,3087.0,3076.0,17.0,12.0,5004769.0,0.0614613781375324
11196,Ireland,IRL,2021-01-02,4097.0,4086.0,17.0,11.0,5004769.0,0.0816421297366571
11197,Ireland,IRL,2021-01-03,4113.0,4102.0,17.0,4.0,5004769.0,0.0819618248114948
11198,Ireland,IRL,2021-01-04,5289.0,5277.0,18.0,7.0,5004769.0,0.1054394318698825
11199,Ireland,IRL,2021-01-05,8791.0,8776.0,21.0,6.0,5004769.0,0.1753527485484345
11200,Ireland,IRL,2021-01-06,15541.0,15523.0,24.0,17.0,5004769.0,0.3101641654190233
11201,Ireland,IRL,2021-01-07,27248.0,27227.0,27.0,17.0,5004769.0,0.5440211126627422
11202,Ireland,IRL,2021-01-08,39904.0,39879.0,31.0,10.0,5004769.0,0.7968199930905902
11203,Ireland,IRL,2021-01-09,47968.0,47940.0,34.0,20.0,5004769.0,0.9578863679822186
11204,Ireland,IRL,2021-01-10,52725.0,52696.0,36.0,9.0,5004769.0,1.0529157289777011
11205,Ireland,IRL,2021-01-11,61048.0,61016.0,39.0,8.0,5004769.0,1.2191571678932631
11206,Ireland,IRL,2021-01-12,69896.0,69860.0,43.0,8.0,5004769.0,1.3958686205097577
11207,Ireland,IRL,2021-01-13,79748.0,79709.0,46.0,46.0,5004769.0,1.59266092001449
11208,Ireland,IRL,2021-01-14,87790.0,87749.0,48.0,63.0,5004769.0,1.753307695120394
11209,Ireland,IRL,2021-01-15,95435.0,95392.0,50.0,28.0,5004769.0,1.9060220361818896
11210,Ireland,IRL,2021-01-16,100640.0,100594.0,53.0,50.0,5004769.0,2.009962897388471
11211,Ireland,IRL,2021-01-17,101742.0,101692.0,57.0,60.0,5004769.0,2.0319019718992024
11212,Ireland,IRL,2021-01-18,110415.0,110361.0,61.0,13.0,5004769.0,2.2051167596346604
11213,Ireland,IRL,2021-01-19,118781.0,118712.0,76.0,8.0,5004769.0,2.371977607757721
11214,Ireland,IRL,2021-01-20,128156.0,127132.0,1031.0,93.0,5004769.0,2.540217140891018
