,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
11924,Italy,ITA,2021-01-04,196466.0,196466.0,10.0,347.0,60327428.0,0.3256661298406423
11925,Italy,ITA,2021-01-05,276674.0,276674.0,12.0,348.0,60327428.0,0.4586205796806056
11926,Italy,ITA,2021-01-06,341830.0,341830.0,14.0,649.0,60327428.0,0.5666245211050602
11927,Italy,ITA,2021-01-07,434419.0,434419.0,16.0,548.0,60327428.0,0.72010197417997
11928,Italy,ITA,2021-01-08,531330.0,531330.0,16.0,414.0,60327428.0,0.8807436643909301
11929,Italy,ITA,2021-01-09,619542.0,619542.0,16.0,620.0,60327428.0,1.0269657111853003
11930,Italy,ITA,2021-01-10,680434.0,680434.0,16.0,483.0,60327428.0,1.1279015574806206
11931,Italy,ITA,2021-01-11,762536.0,762536.0,19.0,361.0,60327428.0,1.2639955411326338
11932,Italy,ITA,2021-01-12,845994.0,845994.0,19.0,448.0,60327428.0,1.4023372586015104
11933,Italy,ITA,2021-01-13,941360.0,941360.0,19.0,616.0,60327428.0,1.5604179246627257
11934,Italy,ITA,2021-01-14,1035765.0,1035765.0,19.0,507.0,60327428.0,1.7169056171265913
11935,Italy,ITA,2021-01-15,1126705.0,1126705.0,19.0,522.0,60327428.0,1.8676496534876308
11936,Italy,ITA,2021-01-16,1192802.0,1192802.0,19.0,477.0,60327428.0,1.977213416093257
11937,Italy,ITA,2021-01-17,1230394.0,1227405.0,3008.0,475.0,60327428.0,2.0345720689435
11938,Italy,ITA,2021-01-18,1275016.0,1266935.0,8100.0,377.0,60327428.0,2.100097819519174
11939,Italy,ITA,2021-01-19,1308581.0,1298714.0,9886.0,377.0,60327428.0,2.1527753512050936
11940,Italy,ITA,2021-01-20,1340064.0,1325594.0,14489.0,603.0,60327428.0,2.197332198548229
11941,Italy,ITA,2021-01-21,1376572.0,1342156.0,34435.0,524.0,60327428.0,2.2247857143851717
11942,Italy,ITA,2021-01-22,1403954.0,1355379.0,48594.0,521.0,60327428.0,2.246704434341209
11943,Italy,ITA,2021-01-23,1443318.0,1361408.0,81929.0,472.0,60327428.0,2.2566982301980456
11944,Italy,ITA,2021-01-24,1477345.0,1364653.0,112711.0,488.0,60327428.0,2.2620772097229143
11945,Italy,ITA,2021-01-25,1546947.0,1369513.0,177453.0,299.0,60327428.0,2.2701332468541504
11946,Italy,ITA,2021-01-26,1627774.0,1373823.0,253970.0,420.0,60327428.0,2.2772775925404942
11947,Italy,ITA,2021-01-27,1698984.0,1380176.0,318827.0,541.0,60327428.0,2.287808457539413
11948,Italy,ITA,2021-01-28,1793174.0,1385081.0,408112.0,467.0,60327428.0,2.2959390876070502
11949,Italy,ITA,2021-01-29,1892256.0,1390124.0,502151.0,492.0,60327428.0,2.304298469346315
11950,Italy,ITA,2021-01-30,1983012.0,1394306.0,588725.0,477.0,60327428.0,2.31123063956912
11951,Italy,ITA,2021-01-31,2042982.0,1396947.0,646054.0,421.0,60327428.0,2.315608416125415
11952,Italy,ITA,2021-02-01,2129155.0,1401273.0,727901.0,237.0,60327428.0,2.3227792837447008
11953,Italy,ITA,2021-02-02,2217731.0,1407737.0,810014.0,329.0,60327428.0,2.333494144653407
11954,Italy,ITA,2021-02-03,2317979.0,1416833.0,901166.0,498.0,60327428.0,2.348571863531129
11955,Italy,ITA,2021-02-04,2426868.0,1430432.0,996460.0,476.0,60327428.0,2.3711138489113117
11956,Italy,ITA,2021-02-05,2535007.0,1448416.0,1086615.0,422.0,60327428.0,2.4009245015385043
11957,Italy,ITA,2021-02-06,2613353.0,1463131.0,1150247.0,377.0,60327428.0,2.425316391741415
11958,Italy,ITA,2021-02-07,2655750.0,1472676.0,1183099.0,385.0,60327428.0,2.441138382362331
11959,Italy,ITA,2021-02-08,2722945.0,1499614.0,1223358.0,270.0,60327428.0,2.485791371712383
11960,Italy,ITA,2021-02-09,2790185.0,1534191.0,1256021.0,307.0,60327428.0,2.543106926421594
11961,Italy,ITA,2021-02-10,2863471.0,1579331.0,1284167.0,422.0,60327428.0,2.6179319297351777
11962,Italy,ITA,2021-02-11,2938751.0,1634735.0,1304043.0,336.0,60327428.0,2.709770753031275
11963,Italy,ITA,2021-02-12,3013319.0,1693798.0,1319548.0,391.0,60327428.0,2.8076748108671232
11964,Italy,ITA,2021-02-13,3066244.0,1739948.0,1326323.0,316.0,60327428.0,2.8841740111976923
11965,Italy,ITA,2021-02-14,3096268.0,1767372.0,1328923.0,311.0,60327428.0,2.929632604260868
11966,Italy,ITA,2021-02-15,3159344.0,1824398.0,1334973.0,221.0,60327428.0,3.0241600885089945
