,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
12281,Jamaica,JAM,2021-05-14,153146.0,146147.0,6999.0,14.0,2979526.0,4.905041942913067
12282,Jamaica,JAM,2021-05-21,164703.0,150273.0,14430.0,10.0,2979526.0,5.043520345182421
12283,Jamaica,JAM,2021-05-28,177883.0,155683.0,22200.0,1.0,2979526.0,5.225092850339283
12284,Jamaica,JAM,2021-06-04,177889.0,155683.0,22206.0,0.0,2979526.0,5.225092850339283
12285,Jamaica,JAM,2021-06-11,194315.0,163209.0,31106.0,0.0,2979526.0,5.47768336305842
12286,Jamaica,JAM,2021-06-25,249983.0,172958.0,77025.0,7.0,2979526.0,5.804883058580459
12287,Jamaica,JAM,2021-07-09,288320.0,176879.0,111441.0,7.0,2979526.0,5.9364811718374
12288,Jamaica,JAM,2021-07-13,290382.0,177062.0,113320.0,1.0,2979526.0,5.942623088370432
12289,Jamaica,JAM,2021-07-16,296243.0,177939.0,118304.0,2.0,2979526.0,5.97205730038939
12290,Jamaica,JAM,2021-07-23,300902.0,178728.0,122174.0,4.0,2979526.0,5.998538022490826
12291,Jamaica,JAM,2021-08-06,369960.0,238475.0,132465.0,4.0,2979526.0,8.00378986456235
12292,Jamaica,JAM,2021-08-13,391076.0,256890.0,135115.0,14.0,2979526.0,8.621841192189631
12293,Jamaica,JAM,2021-08-20,420627.0,283552.0,138044.0,3.0,2979526.0,9.516681512428487
12294,Jamaica,JAM,2021-08-24,467658.0,329381.0,139375.0,14.0,2979526.0,11.054812074135285
12295,Jamaica,JAM,2021-08-25,496976.0,357938.0,140372.0,15.0,2979526.0,12.01325311475718
12296,Jamaica,JAM,2021-08-27,501676.0,362366.0,141139.0,22.0,2979526.0,12.161867357425308
12297,Jamaica,JAM,2021-08-28,507469.0,367943.0,142001.0,12.0,2979526.0,12.34904478094838
12298,Jamaica,JAM,2021-08-29,512469.0,372876.0,142260.0,18.0,2979526.0,12.514608028256845
12299,Jamaica,JAM,2021-08-31,542888.0,402601.0,144372.0,6.0,2979526.0,13.512249935056785
12300,Jamaica,JAM,2021-09-01,550010.0,409492.0,145171.0,8.0,2979526.0,13.743528333030152
12301,Jamaica,JAM,2021-09-03,560898.0,420150.0,146642.0,19.0,2979526.0,14.101236236904796
12302,Jamaica,JAM,2021-09-06,576590.0,435611.0,148138.0,26.0,2979526.0,14.620144277982472
12303,Jamaica,JAM,2021-09-08,600021.0,458696.0,151755.0,9.0,2979526.0,15.394931945551072
12304,Jamaica,JAM,2021-09-09,606286.0,464848.0,152743.0,20.0,2979526.0,15.601407740694324
12305,Jamaica,JAM,2021-09-10,613962.0,472444.0,153879.0,19.0,2979526.0,15.85634762039331
12306,Jamaica,JAM,2021-09-13,647687.0,485856.0,176615.0,27.0,2979526.0,16.306486333732277
12307,Jamaica,JAM,2021-09-15,693827.0,498580.0,213000.0,2.0,2979526.0,16.73353412589788
12308,Jamaica,JAM,2021-09-16,702693.0,506797.0,216103.0,21.0,2979526.0,17.009316246946664
12309,Jamaica,JAM,2021-09-21,711694.0,515281.0,219244.0,3.0,2979526.0,17.294059524904295
12310,Jamaica,JAM,2021-09-24,715860.0,518836.0,220722.0,6.0,2979526.0,17.413373805095173
12311,Jamaica,JAM,2021-09-27,743184.0,525788.0,243223.0,0.0,2979526.0,17.64669950857955
12312,Jamaica,JAM,2021-09-28,755782.0,528907.0,253566.0,20.0,2979526.0,17.751380588724516
12313,Jamaica,JAM,2021-10-02,788984.0,537510.0,280843.0,8.0,2979526.0,18.04011779054789
12314,Jamaica,JAM,2021-10-06,801649.0,541844.0,290807.0,14.0,2979526.0,18.18557716898594
12315,Jamaica,JAM,2021-10-07,809234.0,543977.0,296928.0,7.0,2979526.0,18.257165737100465
12316,Jamaica,JAM,2021-10-08,816569.0,546125.0,302839.0,21.0,2979526.0,18.32925774099639
12317,Jamaica,JAM,2021-10-10,836309.0,551804.0,319092.0,15.0,2979526.0,18.519858527832948
12318,Jamaica,JAM,2021-10-12,841024.0,553397.0,322796.0,25.0,2979526.0,18.573323407817217
12319,Jamaica,JAM,2021-10-13,846389.0,555399.0,326915.0,9.0,2979526.0,18.64051530344088
12320,Jamaica,JAM,2021-10-14,852062.0,557884.0,331097.0,19.0,2979526.0,18.723917831225503
12321,Jamaica,JAM,2021-10-15,860482.0,561160.0,337419.0,6.0,2979526.0,18.83386820588241
12322,Jamaica,JAM,2021-10-19,879843.0,571498.0,350483.0,7.0,2979526.0,19.180836146420603
12323,Jamaica,JAM,2021-10-21,883738.0,573247.0,353151.0,6.0,2979526.0,19.23953675853139
12324,Jamaica,JAM,2021-10-22,887675.0,575243.0,355843.0,4.0,2979526.0,19.3065272798425
12325,Jamaica,JAM,2021-10-23,891142.0,577283.0,358007.0,20.0,2979526.0,19.37499454611237
12326,Jamaica,JAM,2021-10-24,893629.0,578617.0,359717.0,22.0,2979526.0,19.419766768271195
12327,Jamaica,JAM,2021-10-25,896658.0,580421.0,361567.0,4.0,2979526.0,19.48031331158043
12328,Jamaica,JAM,2021-10-26,899344.0,581672.0,363483.0,4.0,2979526.0,19.522299855748862
12329,Jamaica,JAM,2021-10-27,903310.0,583415.0,366349.0,1.0,2979526.0,19.580799093547093
12330,Jamaica,JAM,2021-10-28,907371.0,585501.0,369218.0,8.0,2979526.0,19.65081022954658
12331,Jamaica,JAM,2021-10-29,911601.0,587405.0,372329.0,7.0,2979526.0,19.71471301139846
12332,Jamaica,JAM,2021-10-30,916541.0,589641.0,375902.0,18.0,2979526.0,19.789758505211903
