,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
12383,Japan,JPN,2021-03-10,148950.0,148915.0,35.0,54.0,125839167.0,0.1183375601969774
12384,Japan,JPN,2021-03-11,181184.0,180741.0,443.0,49.0,125839167.0,0.1436285731293819
12385,Japan,JPN,2021-03-12,230542.0,227194.0,3348.0,49.0,125839167.0,0.1805431531504019
12386,Japan,JPN,2021-03-15,290275.0,282398.0,7877.0,30.0,125839167.0,0.2244118478629153
12387,Japan,JPN,2021-03-16,359191.0,349844.0,9347.0,32.0,125839167.0,0.2780088332911485
12388,Japan,JPN,2021-03-17,437485.0,423196.0,14289.0,56.0,125839167.0,0.3362991110708798
12389,Japan,JPN,2021-03-18,508702.0,490413.0,18289.0,39.0,125839167.0,0.3897141181807091
12390,Japan,JPN,2021-03-19,578835.0,553454.0,25381.0,41.0,125839167.0,0.4398106036413925
12391,Japan,JPN,2021-03-22,652698.0,623569.0,29129.0,23.0,125839167.0,0.4955285503439481
12392,Japan,JPN,2021-03-23,699126.0,667370.0,31756.0,26.0,125839167.0,0.5303356783981255
12393,Japan,JPN,2021-03-24,741180.0,706101.0,35079.0,47.0,125839167.0,0.5611138541627505
12394,Japan,JPN,2021-03-25,775122.0,737672.0,37450.0,30.0,125839167.0,0.5862022274829585
12395,Japan,JPN,2021-03-26,822869.0,781665.0,41204.0,29.0,125839167.0,0.6211619312451425
12396,Japan,JPN,2021-03-29,890662.0,825704.0,64958.0,30.0,125839167.0,0.6561581896040364
12397,Japan,JPN,2021-03-30,949731.0,852946.0,96785.0,25.0,125839167.0,0.6778064575077805
12398,Japan,JPN,2021-03-31,1002739.0,877159.0,125580.0,27.0,125839167.0,0.6970476846846896
12399,Japan,JPN,2021-04-01,1050112.0,893315.0,156797.0,49.0,125839167.0,0.7098862947813378
12400,Japan,JPN,2021-04-02,1096698.0,913341.0,183357.0,23.0,125839167.0,0.7258002589924963
12401,Japan,JPN,2021-04-05,1196884.0,956638.0,240246.0,10.0,125839167.0,0.760206875813156
12402,Japan,JPN,2021-04-06,1288566.0,996058.0,292508.0,18.0,125839167.0,0.7915325758632843
12403,Japan,JPN,2021-04-07,1393108.0,1036429.0,356679.0,30.0,125839167.0,0.8236140024671333
12404,Japan,JPN,2021-04-08,1487606.0,1066385.0,421221.0,22.0,125839167.0,0.847418991576764
12405,Japan,JPN,2021-04-09,1592517.0,1101698.0,490819.0,33.0,125839167.0,0.8754810018728111
12406,Japan,JPN,2021-04-12,1694191.0,1133286.0,560905.0,18.0,125839167.0,0.9005828845004991
12407,Japan,JPN,2021-04-13,1752419.0,1151424.0,600995.0,25.0,125839167.0,0.914996520916258
12408,Japan,JPN,2021-04-14,1808495.0,1166073.0,642422.0,44.0,125839167.0,0.9266375706380828
12409,Japan,JPN,2021-04-15,1870352.0,1191947.0,678405.0,31.0,125839167.0,0.9471987366222792
12410,Japan,JPN,2021-04-16,1951691.0,1233295.0,718396.0,38.0,125839167.0,0.9800565510736416
12411,Japan,JPN,2021-04-17,1960253.0,1241857.0,718396.0,46.0,125839167.0,0.9868604740525656
12412,Japan,JPN,2021-04-18,1968952.0,1250556.0,718396.0,38.0,125839167.0,0.9937732661564742
12413,Japan,JPN,2021-04-19,2124028.0,1351325.0,772703.0,19.0,125839167.0,1.0738508782404768
12414,Japan,JPN,2021-04-20,2305110.0,1504610.0,800500.0,30.0,125839167.0,1.1956611251248983
12415,Japan,JPN,2021-04-21,2523714.0,1696518.0,827196.0,39.0,125839167.0,1.3481637239381916
12416,Japan,JPN,2021-04-22,2738010.0,1888959.0,849051.0,54.0,125839167.0,1.5010898792742329
12417,Japan,JPN,2021-04-23,2977156.0,2098422.0,878734.0,36.0,125839167.0,1.6675428247232438
12418,Japan,JPN,2021-04-24,3017983.0,2139249.0,878734.0,54.0,125839167.0,1.6999866186336088
12419,Japan,JPN,2021-04-25,3043542.0,2164808.0,878734.0,59.0,125839167.0,1.7202974650968563
12420,Japan,JPN,2021-04-26,3372956.0,2452571.0,920385.0,59.0,125839167.0,1.9489726914673555
12421,Japan,JPN,2021-04-27,3662687.0,2711197.0,951490.0,32.0,125839167.0,2.1544937594826896
12422,Japan,JPN,2021-04-28,3995987.0,3000229.0,995758.0,51.0,125839167.0,2.384177415923295
12423,Japan,JPN,2021-04-29,4017511.0,3021753.0,995758.0,52.0,125839167.0,2.4012817885229647
12424,Japan,JPN,2021-04-30,4365615.0,3322617.0,1042998.0,87.0,125839167.0,2.640367922969484
12425,Japan,JPN,2021-05-01,4409136.0,3366138.0,1042998.0,35.0,125839167.0,2.674952544782818
12426,Japan,JPN,2021-05-02,4434292.0,3391294.0,1042998.0,67.0,125839167.0,2.694943141192281
12427,Japan,JPN,2021-05-03,4442528.0,3398696.0,1043832.0,65.0,125839167.0,2.7008252526019976
12428,Japan,JPN,2021-05-04,4451668.0,3407079.0,1044589.0,59.0,125839167.0,2.707486930519812
12429,Japan,JPN,2021-05-05,4462316.0,3416795.0,1045521.0,50.0,125839167.0,2.715207897077068
12430,Japan,JPN,2021-05-06,4848177.0,3731881.0,1116296.0,47.0,125839167.0,2.9655957592281266
12431,Japan,JPN,2021-05-07,5044329.0,3875529.0,1168800.0,72.0,125839167.0,3.0797478181018154
12432,Japan,JPN,2021-05-08,5112955.0,3937048.0,1175907.0,113.0,125839167.0,3.128634823210488
12433,Japan,JPN,2021-05-09,5194727.0,4010898.0,1183829.0,121.0,125839167.0,3.187320844232861
12434,Japan,JPN,2021-05-10,5548009.0,4269361.0,1278648.0,53.0,125839167.0,3.3927123818294187
12435,Japan,JPN,2021-05-11,5885055.0,4486878.0,1398177.0,65.0,125839167.0,3.565565560363253
12436,Japan,JPN,2021-05-12,6273284.0,4727413.0,1545871.0,123.0,125839167.0,3.756710341224684
12437,Japan,JPN,2021-05-13,6695597.0,4975425.0,1720172.0,101.0,125839167.0,3.953796833381772
12438,Japan,JPN,2021-05-14,7116487.0,5208384.0,1908103.0,90.0,125839167.0,4.138921231098105
12439,Japan,JPN,2021-05-15,7287316.0,5345306.0,1942010.0,110.0,125839167.0,4.247728372200684
12440,Japan,JPN,2021-05-16,7495054.0,5531412.0,1963642.0,98.0,125839167.0,4.395620323837649
12441,Japan,JPN,2021-05-17,8102078.0,5872660.0,2229418.0,45.0,125839167.0,4.666798215534914
12442,Japan,JPN,2021-05-18,8664931.0,6215230.0,2449701.0,83.0,125839167.0,4.9390266545550165
12443,Japan,JPN,2021-05-19,9303184.0,6605930.0,2697254.0,260.0,125839167.0,5.24950232704576
12444,Japan,JPN,2021-05-20,9835661.0,7003421.0,2832240.0,89.0,125839167.0,5.565374570542096
12445,Japan,JPN,2021-05-21,10415253.0,7377583.0,3037670.0,106.0,125839167.0,5.862708070850469
12446,Japan,JPN,2021-05-22,10741001.0,7659583.0,3081418.0,106.0,125839167.0,6.086803641985329
12447,Japan,JPN,2021-05-23,11089889.0,7983945.0,3105944.0,84.0,125839167.0,6.344562818029462
12448,Japan,JPN,2021-05-24,11871450.0,8561635.0,3309815.0,76.0,125839167.0,6.8036329261461175
12449,Japan,JPN,2021-05-25,12531129.0,9158604.0,3372525.0,86.0,125839167.0,7.278023383609969
12450,Japan,JPN,2021-05-26,13251273.0,9817479.0,3433794.0,99.0,125839167.0,7.801608381593944
12451,Japan,JPN,2021-05-27,13985282.0,10447367.0,3537915.0,104.0,125839167.0,8.302158420994633
12452,Japan,JPN,2021-05-28,14714342.0,11056368.0,3657974.0,113.0,125839167.0,8.786110289493571
12453,Japan,JPN,2021-05-29,15242208.0,11525902.0,3716306.0,105.0,125839167.0,9.159232594093696
12454,Japan,JPN,2021-05-30,15766836.0,11985710.0,3781126.0,101.0,125839167.0,9.524625985485107
12455,Japan,JPN,2021-05-31,16659793.0,12644814.0,4014979.0,47.0,125839167.0,10.048392961787483
12456,Japan,JPN,2021-06-01,17562362.0,13345848.0,4216514.0,81.0,125839167.0,10.60548024765612
12457,Japan,JPN,2021-06-02,18512075.0,14071810.0,4440265.0,92.0,125839167.0,11.18237694628096
12458,Japan,JPN,2021-06-03,19447730.0,14789709.0,4658021.0,105.0,125839167.0,11.752866259834668
12459,Japan,JPN,2021-06-04,20362711.0,15494456.0,4868255.0,119.0,125839167.0,12.31290413738991
12460,Japan,JPN,2021-06-05,21096863.0,16104176.0,4992687.0,85.0,125839167.0,12.79742737012873
12461,Japan,JPN,2021-06-06,21832635.0,16661878.0,5170757.0,74.0,125839167.0,13.24061371130977
12462,Japan,JPN,2021-06-07,22907823.0,17420972.0,5486851.0,51.0,125839167.0,13.843839255547518
12463,Japan,JPN,2021-06-08,23999647.0,18200582.0,5799065.0,71.0,125839167.0,14.4633681499179
12464,Japan,JPN,2021-06-09,25132631.0,18959671.0,6172960.0,98.0,125839167.0,15.066589720829922
12465,Japan,JPN,2021-06-10,26235470.0,19689796.0,6545674.0,98.0,125839167.0,15.646794610457013
12466,Japan,JPN,2021-06-11,27321141.0,20427402.0,6893739.0,66.0,125839167.0,16.232944390040345
12467,Japan,JPN,2021-06-12,28237727.0,21074665.0,7163062.0,70.0,125839167.0,16.747301736350494
12468,Japan,JPN,2021-06-13,29141831.0,21664673.0,7477158.0,56.0,125839167.0,17.21616052973396
12469,Japan,JPN,2021-06-14,30348520.0,22343266.0,8005254.0,38.0,125839167.0,17.75541473506416
12470,Japan,JPN,2021-06-15,31564153.0,23019587.0,8544566.0,55.0,125839167.0,18.29286346118296
12471,Japan,JPN,2021-06-16,32818067.0,23680999.0,9137068.0,61.0,125839167.0,18.818464524642
12472,Japan,JPN,2021-06-17,34079950.0,24357621.0,9722329.0,82.0,125839167.0,19.35615244496969
12473,Japan,JPN,2021-06-18,35290486.0,25010653.0,10279833.0,51.0,125839167.0,19.87509421450636
12474,Japan,JPN,2021-06-19,36367150.0,25653272.0,10713878.0,45.0,125839167.0,20.3857611358791
12475,Japan,JPN,2021-06-20,37443027.0,26294725.0,11148302.0,35.0,125839167.0,20.89550147769176
12476,Japan,JPN,2021-06-21,38770832.0,27004653.0,11766179.0,23.0,125839167.0,21.459656515367747
12477,Japan,JPN,2021-06-22,40116564.0,27707562.0,12409002.0,31.0,125839167.0,22.018233798384887
12478,Japan,JPN,2021-06-23,41499789.0,28416848.0,13082941.0,42.0,125839167.0,22.581878661037223
12479,Japan,JPN,2021-06-24,42867414.0,29103397.0,13764017.0,57.0,125839167.0,23.12745522226796
12480,Japan,JPN,2021-06-25,44228530.0,29780323.0,14448207.0,45.0,125839167.0,23.6653847208
12481,Japan,JPN,2021-06-26,45486390.0,30457515.0,15028875.0,28.0,125839167.0,24.203525600260846
12482,Japan,JPN,2021-06-27,46733138.0,31168748.0,15564390.0,31.0,125839167.0,24.768717675952196
12483,Japan,JPN,2021-06-28,48120033.0,31847206.0,16272827.0,12.0,125839167.0,25.307864601487708
12484,Japan,JPN,2021-06-29,49541415.0,32528002.0,17013413.0,36.0,125839167.0,25.84886945413426
12485,Japan,JPN,2021-06-30,50966868.0,33225486.0,17741382.0,35.0,125839167.0,26.40313567873506
12486,Japan,JPN,2021-07-01,52163267.0,33724253.0,18439014.0,41.0,125839167.0,26.799488429544358
12487,Japan,JPN,2021-07-02,53299105.0,34154418.0,19144687.0,21.0,125839167.0,27.141325562016792
12488,Japan,JPN,2021-07-03,54635362.0,34882097.0,19753265.0,22.0,125839167.0,27.71958670069709
12489,Japan,JPN,2021-07-04,55904245.0,35601708.0,20302537.0,18.0,125839167.0,28.29143648098052
12490,Japan,JPN,2021-07-05,57346739.0,36387054.0,20959685.0,6.0,125839167.0,28.915523574627606
12491,Japan,JPN,2021-07-06,58818757.0,37191182.0,21627575.0,14.0,125839167.0,29.554536069044385
