,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
12609,Jordan,JOR,2021-02-22,80000.0,50000.0,30000.0,11.0,10314949.0,0.484733370955106
12610,Jordan,JOR,2021-03-15,204151.0,155772.0,48379.0,61.0,10314949.0,1.5101577332083755
12611,Jordan,JOR,2021-03-17,241868.0,189456.0,52412.0,69.0,10314949.0,1.8367129105534112
12612,Jordan,JOR,2021-03-21,272648.0,209278.0,63370.0,87.0,10314949.0,2.0288806081348536
12613,Jordan,JOR,2021-03-24,320140.0,251197.0,68943.0,92.0,10314949.0,2.435271371676196
12614,Jordan,JOR,2021-03-30,409203.0,304946.0,104257.0,97.0,10314949.0,2.9563500507855154
12615,Jordan,JOR,2021-04-07,524533.0,404912.0,119621.0,100.0,10314949.0,3.925487174003478
12616,Jordan,JOR,2021-04-14,665226.0,543095.0,122131.0,82.0,10314949.0,5.265125401977267
12617,Jordan,JOR,2021-04-19,732052.0,607381.0,124671.0,68.0,10314949.0,5.888356791681665
12618,Jordan,JOR,2021-04-29,919922.0,699328.0,220594.0,47.0,10314949.0,6.779752376865848
12619,Jordan,JOR,2021-05-04,1091048.0,805020.0,286028.0,28.0,10314949.0,7.804401165725588
12620,Jordan,JOR,2021-05-18,1419950.0,1034808.0,385142.0,17.0,10314949.0,10.032119402626227
12621,Jordan,JOR,2021-05-26,1750000.0,1300000.0,450000.0,11.0,10314949.0,12.603067644832755
12622,Jordan,JOR,2021-05-27,1879809.0,1389247.0,490562.0,12.0,10314949.0,13.468287627985363
12623,Jordan,JOR,2021-05-28,1904235.0,1412419.0,491816.0,16.0,10314949.0,13.692932461420796
12624,Jordan,JOR,2021-06-06,2307978.0,1748084.0,559894.0,7.0,10314949.0,16.947093000653712
12625,Jordan,JOR,2021-06-08,2487617.0,1892782.0,594835.0,11.0,10314949.0,18.34989198686295
12626,Jordan,JOR,2021-06-10,2515014.0,1898289.0,616725.0,12.0,10314949.0,18.403280520339944
12627,Jordan,JOR,2021-06-11,2515652.0,1898859.0,616793.0,9.0,10314949.0,18.40880648076883
12628,Jordan,JOR,2021-06-13,2601824.0,1922977.0,678847.0,5.0,10314949.0,18.64262246958274
12629,Jordan,JOR,2021-06-14,2681287.0,1940975.0,740312.0,10.0,10314949.0,18.817107093791737
12630,Jordan,JOR,2021-06-15,2751281.0,1969242.0,782039.0,10.0,10314949.0,19.091146257727495
12631,Jordan,JOR,2021-06-16,2818027.0,2007821.0,810206.0,12.0,10314949.0,19.46515683208904
12632,Jordan,JOR,2021-06-17,2891997.0,2040499.0,851498.0,8.0,10314949.0,19.781959174010456
12633,Jordan,JOR,2021-06-18,2893320.0,2041336.0,851984.0,13.0,10314949.0,19.79007361064025
12634,Jordan,JOR,2021-06-19,2914335.0,2043855.0,870480.0,12.0,10314949.0,19.81449447786897
12635,Jordan,JOR,2021-06-20,3099657.0,2100892.0,998765.0,9.0,10314949.0,20.36744922345229
12636,Jordan,JOR,2021-06-21,3197278.0,2125824.0,1071454.0,7.0,10314949.0,20.60915667154535
12637,Jordan,JOR,2021-06-24,3341638.0,2179720.0,1161918.0,10.0,10314949.0,21.131660466765272
12638,Jordan,JOR,2021-06-25,3378945.0,2215882.0,1163063.0,10.0,10314949.0,21.48223902997485
12639,Jordan,JOR,2021-06-26,3440724.0,2271230.0,1169494.0,7.0,10314949.0,22.01881948228731
12640,Jordan,JOR,2021-06-27,3522719.0,2316516.0,1206203.0,8.0,10314949.0,22.457852191028767
12641,Jordan,JOR,2021-06-28,3617998.0,2371379.0,1246619.0,9.0,10314949.0,22.989730729642968
12642,Jordan,JOR,2021-06-30,3907618.0,2488769.0,1418849.0,6.0,10314949.0,24.127787737971364
12643,Jordan,JOR,2021-07-02,3916223.0,2495153.0,1421070.0,6.0,10314949.0,24.189678494774917
12644,Jordan,JOR,2021-07-04,3995188.0,2539944.0,1455244.0,9.0,10314949.0,24.62391234314392
12645,Jordan,JOR,2021-07-05,4053724.0,2568752.0,1484972.0,12.0,10314949.0,24.90319632215341
12646,Jordan,JOR,2021-07-06,4116064.0,2571571.0,1544493.0,4.0,10314949.0,24.93052558960786
12647,Jordan,JOR,2021-07-07,4180380.0,2586787.0,1593593.0,10.0,10314949.0,25.078039649056915
12648,Jordan,JOR,2021-07-09,4244779.0,2610278.0,1634501.0,12.0,10314949.0,25.305777081399043
12649,Jordan,JOR,2021-07-11,4312212.0,2654733.0,1657479.0,8.0,10314949.0,25.736753521515237
12650,Jordan,JOR,2021-07-12,4366297.0,2658675.0,1707622.0,10.0,10314949.0,25.77496990048133
12651,Jordan,JOR,2021-07-13,4407580.0,2663304.0,1744276.0,7.0,10314949.0,25.81984651596436
12652,Jordan,JOR,2021-07-14,4453670.0,2687747.0,1765923.0,12.0,10314949.0,26.056813271689467
12653,Jordan,JOR,2021-07-15,4524542.0,2695410.0,1829132.0,9.0,10314949.0,26.131103508122045
12654,Jordan,JOR,2021-07-17,4574361.0,2699400.0,1874961.0,7.0,10314949.0,26.169785231124266
12655,Jordan,JOR,2021-07-18,4641453.0,2710398.0,1931055.0,8.0,10314949.0,26.27640718339955
12656,Jordan,JOR,2021-07-19,4644073.0,2711135.0,1932938.0,9.0,10314949.0,26.283552153287427
12657,Jordan,JOR,2021-07-21,4644140.0,2711172.0,1932968.0,6.0,10314949.0,26.283910855981933
12658,Jordan,JOR,2021-07-22,4668898.0,2731367.0,1937531.0,6.0,10314949.0,26.4796946645107
12659,Jordan,JOR,2021-07-24,4748953.0,2757973.0,1990980.0,4.0,10314949.0,26.73763098586333
12660,Jordan,JOR,2021-07-25,4848741.0,2788103.0,2060638.0,15.0,10314949.0,27.02973131520088
12661,Jordan,JOR,2021-07-26,4945351.0,2826690.0,2118661.0,15.0,10314949.0,27.40381944690177
12662,Jordan,JOR,2021-07-27,5028619.0,2878541.0,2150078.0,8.0,10314949.0,27.90649764724964
12663,Jordan,JOR,2021-07-29,5155730.0,2942904.0,2212826.0,21.0,10314949.0,28.530475526345302
12664,Jordan,JOR,2021-07-30,5173865.0,2954485.0,2219380.0,10.0,10314949.0,28.64274946972593
12665,Jordan,JOR,2021-07-31,5214727.0,2989511.0,2225216.0,10.0,10314949.0,28.9823148907474
12666,Jordan,JOR,2021-08-01,5265074.0,3004698.0,2260376.0,12.0,10314949.0,29.129547804841305
12667,Jordan,JOR,2021-08-09,5620347.0,3195060.0,2425287.0,11.0,10314949.0,30.97504408407642
12668,Jordan,JOR,2021-08-10,5621602.0,3195539.0,2426063.0,8.0,10314949.0,30.97968782977017
12669,Jordan,JOR,2021-08-11,5684478.0,3221151.0,2463327.0,13.0,10314949.0,31.22798765170821
12670,Jordan,JOR,2021-08-13,5692336.0,3225612.0,2466724.0,15.0,10314949.0,31.27123556306483
12671,Jordan,JOR,2021-08-14,5741689.0,3242791.0,2498898.0,14.0,10314949.0,31.437780254657586
12672,Jordan,JOR,2021-08-15,5791708.0,3252453.0,2539255.0,16.0,10314949.0,31.531450131260957
12673,Jordan,JOR,2021-08-16,5845629.0,3279754.0,2565875.0,10.0,10314949.0,31.79612424646986
12674,Jordan,JOR,2021-08-17,5897072.0,3293871.0,2603201.0,9.0,10314949.0,31.93298386642532
12675,Jordan,JOR,2021-08-18,5953209.0,3306810.0,2646399.0,17.0,10314949.0,32.058423168161085
