,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
13791,Lebanon,LBN,2021-03-10,87216.0,75341.0,11875.0,45.0,6755184.0,1.115306407641894
13792,Lebanon,LBN,2021-03-11,91967.0,76883.0,15084.0,46.0,6755184.0,1.1381333210168665
13793,Lebanon,LBN,2021-03-12,95888.0,78177.0,17711.0,50.0,6755184.0,1.1572889798412598
13794,Lebanon,LBN,2021-03-15,104725.0,81802.0,22923.0,46.0,6755184.0,1.210951470751944
13795,Lebanon,LBN,2021-03-16,115164.0,86098.0,29066.0,42.0,6755184.0,1.274547073773268
13796,Lebanon,LBN,2021-03-17,120890.0,88219.0,32671.0,52.0,6755184.0,1.3059451822481816
13797,Lebanon,LBN,2021-03-18,129487.0,90974.0,38513.0,62.0,6755184.0,1.3467286753403016
13798,Lebanon,LBN,2021-03-19,135277.0,92573.0,42704.0,73.0,6755184.0,1.3703993851240766
13799,Lebanon,LBN,2021-03-20,135349.0,92597.0,42752.0,55.0,6755184.0,1.3707546678225198
13800,Lebanon,LBN,2021-03-21,138420.0,93801.0,44619.0,51.0,6755184.0,1.388578016527751
13801,Lebanon,LBN,2021-03-22,148119.0,98022.0,50097.0,93.0,6755184.0,1.4510633611164403
13802,Lebanon,LBN,2021-03-23,158018.0,102363.0,55655.0,42.0,6755184.0,1.5153251191973454
13803,Lebanon,LBN,2021-03-24,166015.0,105534.0,60481.0,53.0,6755184.0,1.5622668457291466
13804,Lebanon,LBN,2021-03-25,174031.0,108630.0,65401.0,0.0,6755184.0,1.6080983138283131
13805,Lebanon,LBN,2021-03-26,180074.0,111019.0,69055.0,61.0,6755184.0,1.6434637457691752
13806,Lebanon,LBN,2021-03-27,181127.0,111517.0,69610.0,49.0,6755184.0,1.6508358617618706
13807,Lebanon,LBN,2021-03-28,186712.0,114730.0,71982.0,45.0,6755184.0,1.6983993330159477
13808,Lebanon,LBN,2021-03-29,193903.0,118998.0,74905.0,38.0,6755184.0,1.7615804395557544
13809,Lebanon,LBN,2021-03-30,207647.0,127913.0,79734.0,40.0,6755184.0,1.8935531585816168
13810,Lebanon,LBN,2021-03-31,216286.0,133294.0,82992.0,48.0,6755184.0,1.973210500261725
13811,Lebanon,LBN,2021-04-01,222332.0,136761.0,85571.0,50.0,6755184.0,2.024534046740992
13812,Lebanon,LBN,2021-04-02,225708.0,138558.0,87150.0,52.0,6755184.0,2.0511358387869225
13813,Lebanon,LBN,2021-04-03,225842.0,138610.0,87232.0,60.0,6755184.0,2.051905617966883
13814,Lebanon,LBN,2021-04-04,228050.0,139855.0,88195.0,33.0,6755184.0,2.070335907948621
13815,Lebanon,LBN,2021-04-05,235303.0,144264.0,91039.0,30.0,6755184.0,2.135604300341782
13816,Lebanon,LBN,2021-04-06,244772.0,150660.0,94112.0,34.0,6755184.0,2.2302871394768817
13817,Lebanon,LBN,2021-04-07,259153.0,161164.0,97989.0,36.0,6755184.0,2.3857825338288343
