,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
14442,Lithuania,LTU,2021-01-17,52360.0,51266.0,1094.0,31.0,2673512.0,1.917552642367044
14443,Lithuania,LTU,2021-01-18,56880.0,54102.0,2778.0,27.0,2673512.0,2.023630340914872
14444,Lithuania,LTU,2021-01-19,63152.0,56446.0,6706.0,23.0,2673512.0,2.111305279347914
14445,Lithuania,LTU,2021-01-20,66617.0,58065.0,8552.0,25.0,2673512.0,2.171862329400429
14446,Lithuania,LTU,2021-01-21,68250.0,59060.0,9190.0,39.0,2673512.0,2.2090792934537045
14447,Lithuania,LTU,2021-01-22,68645.0,59385.0,9260.0,36.0,2673512.0,2.221235588244975
14448,Lithuania,LTU,2021-01-23,68647.0,59387.0,9260.0,34.0,2673512.0,2.221310396212921
14449,Lithuania,LTU,2021-01-24,68647.0,59387.0,9260.0,23.0,2673512.0,2.221310396212921
14450,Lithuania,LTU,2021-01-25,68756.0,59493.0,9263.0,20.0,2673512.0,2.2252752185140743
14451,Lithuania,LTU,2021-01-26,71918.0,61994.0,9924.0,17.0,2673512.0,2.3188225824309
14452,Lithuania,LTU,2021-01-27,78842.0,65833.0,13009.0,29.0,2673512.0,2.462416476903788
14453,Lithuania,LTU,2021-01-28,85975.0,69218.0,16757.0,29.0,2673512.0,2.58902896265287
14454,Lithuania,LTU,2021-01-29,94081.0,72213.0,21868.0,17.0,2673512.0,2.701053894652427
14455,Lithuania,LTU,2021-01-30,94724.0,72407.0,22317.0,25.0,2673512.0,2.7083102675432165
14456,Lithuania,LTU,2021-01-31,94732.0,72415.0,22317.0,18.0,2673512.0,2.708609499415002
14457,Lithuania,LTU,2021-02-01,97642.0,73465.0,24177.0,23.0,2673512.0,2.7478836825868
14458,Lithuania,LTU,2021-02-02,101574.0,75120.0,26454.0,20.0,2673512.0,2.809787276062348
14459,Lithuania,LTU,2021-02-03,108426.0,76796.0,31630.0,19.0,2673512.0,2.8724763532013324
14460,Lithuania,LTU,2021-02-04,118337.0,78292.0,40045.0,15.0,2673512.0,2.928432713225151
14461,Lithuania,LTU,2021-02-05,125729.0,79239.0,46490.0,24.0,2673512.0,2.963854286047716
14462,Lithuania,LTU,2021-02-06,126464.0,79309.0,47155.0,17.0,2673512.0,2.9664725649258354
14463,Lithuania,LTU,2021-02-07,126561.0,79310.0,47251.0,16.0,2673512.0,2.9665099689098087
14464,Lithuania,LTU,2021-02-08,129250.0,79528.0,49722.0,17.0,2673512.0,2.974664037415953
14465,Lithuania,LTU,2021-02-09,132132.0,80607.0,51525.0,16.0,2673512.0,3.015022936122973
14466,Lithuania,LTU,2021-02-10,138324.0,85127.0,53197.0,15.0,2673512.0,3.1840889436815694
14467,Lithuania,LTU,2021-02-11,147434.0,92916.0,54518.0,23.0,2673512.0,3.4754285748483644
14468,Lithuania,LTU,2021-02-12,154777.0,99262.0,55515.0,21.0,2673512.0,3.712794257141917
14469,Lithuania,LTU,2021-02-13,155227.0,99712.0,55515.0,17.0,2673512.0,3.72962604992983
14470,Lithuania,LTU,2021-02-14,155228.0,99712.0,55516.0,16.0,2673512.0,3.72962604992983
14471,Lithuania,LTU,2021-02-15,159884.0,103671.0,56213.0,12.0,2673512.0,3.877708422479495
14472,Lithuania,LTU,2021-02-16,160424.0,103984.0,56440.0,13.0,2673512.0,3.8894158694630887
14473,Lithuania,LTU,2021-02-17,168732.0,108338.0,60394.0,20.0,2673512.0,4.052272815682144
14474,Lithuania,LTU,2021-02-18,180106.0,114853.0,65253.0,13.0,2673512.0,4.295959771267157
14475,Lithuania,LTU,2021-02-19,190631.0,122046.0,68585.0,15.0,2673512.0,4.5650066279859605
14476,Lithuania,LTU,2021-02-20,191643.0,122996.0,68647.0,16.0,2673512.0,4.600540412760444
14477,Lithuania,LTU,2021-02-21,191646.0,122999.0,68647.0,12.0,2673512.0,4.600652624712363
14478,Lithuania,LTU,2021-02-22,197125.0,126893.0,70231.0,8.0,2673512.0,4.746303738303774
14479,Lithuania,LTU,2021-02-23,205810.0,134464.0,71344.0,8.0,2673512.0,5.029489300964425
14480,Lithuania,LTU,2021-02-24,217583.0,145304.0,72277.0,13.0,2673512.0,5.434948487233273
14481,Lithuania,LTU,2021-02-25,229473.0,156243.0,73227.0,9.0,2673512.0,5.84411066791546
14482,Lithuania,LTU,2021-02-26,239542.0,165258.0,74280.0,16.0,2673512.0,6.181307583433327
14483,Lithuania,LTU,2021-02-27,240355.0,166040.0,74311.0,10.0,2673512.0,6.210557498900323
14484,Lithuania,LTU,2021-02-28,240809.0,166494.0,74311.0,13.0,2673512.0,6.227538907624129
14485,Lithuania,LTU,2021-03-01,248394.0,173927.0,74463.0,7.0,2673512.0,6.505562720496486
14486,Lithuania,LTU,2021-03-02,257770.0,182684.0,75082.0,11.0,2673512.0,6.833109408149281
14487,Lithuania,LTU,2021-03-03,269816.0,192452.0,77360.0,15.0,2673512.0,7.198471523598922
14488,Lithuania,LTU,2021-03-04,285344.0,202740.0,82600.0,12.0,2673512.0,7.583283710714596
14489,Lithuania,LTU,2021-03-05,299418.0,212098.0,87314.0,11.0,2673512.0,7.933310192735249
14490,Lithuania,LTU,2021-03-06,300046.0,212583.0,87457.0,11.0,2673512.0,7.951451124962222
14491,Lithuania,LTU,2021-03-07,300050.0,212586.0,87458.0,6.0,2673512.0,7.951563336914141
14492,Lithuania,LTU,2021-03-08,309007.0,220578.0,88423.0,9.0,2673512.0,8.250495976827484
14493,Lithuania,LTU,2021-03-09,320941.0,231130.0,89804.0,6.0,2673512.0,8.645182815712067
14494,Lithuania,LTU,2021-03-10,336640.0,244251.0,92382.0,11.0,2673512.0,9.13596048942365
14495,Lithuania,LTU,2021-03-11,337786.0,244711.0,93068.0,13.0,2673512.0,9.153166322051296
14496,Lithuania,LTU,2021-03-12,355780.0,255364.0,100409.0,9.0,2673512.0,9.551630963317164
14497,Lithuania,LTU,2021-03-13,357530.0,256400.0,101123.0,14.0,2673512.0,9.59038149071334
14498,Lithuania,LTU,2021-03-14,357561.0,256429.0,101125.0,9.0,2673512.0,9.59146620624856
14499,Lithuania,LTU,2021-03-15,365602.0,263335.0,102259.0,12.0,2673512.0,9.849778119567071
14500,Lithuania,LTU,2021-03-16,375837.0,268895.0,106934.0,9.0,2673512.0,10.057744270457734
14501,Lithuania,LTU,2021-03-17,386418.0,271519.0,114891.0,12.0,2673512.0,10.155892324403256
14502,Lithuania,LTU,2021-03-18,394854.0,274288.0,120557.0,11.0,2673512.0,10.259463956024884
14503,Lithuania,LTU,2021-03-19,404171.0,277435.0,126727.0,8.0,2673512.0,10.37717429358836
14504,Lithuania,LTU,2021-03-20,404912.0,277922.0,126981.0,13.0,2673512.0,10.395390033783276
14505,Lithuania,LTU,2021-03-21,404949.0,277938.0,127002.0,13.0,2673512.0,10.395988497526847
14506,Lithuania,LTU,2021-03-22,413229.0,284839.0,128380.0,10.0,2673512.0,10.654113390925495
14507,Lithuania,LTU,2021-03-23,426166.0,292081.0,134074.0,12.0,2673512.0,10.92499304285898
14508,Lithuania,LTU,2021-03-24,443841.0,304260.0,139570.0,15.0,2673512.0,11.380536163667864
14509,Lithuania,LTU,2021-03-25,460892.0,314390.0,146491.0,6.0,2673512.0,11.759438521315785
14510,Lithuania,LTU,2021-03-26,477397.0,324205.0,153178.0,6.0,2673512.0,12.12655862401216
14511,Lithuania,LTU,2021-03-27,480553.0,327248.0,153291.0,9.0,2673512.0,12.24037894724243
14512,Lithuania,LTU,2021-03-28,480742.0,327353.0,153375.0,14.0,2673512.0,12.244306365559607
14513,Lithuania,LTU,2021-03-29,488625.0,333180.0,155431.0,10.0,2673512.0,12.4622593801711
14514,Lithuania,LTU,2021-03-30,501577.0,339937.0,161625.0,6.0,2673512.0,12.714998099877612
14515,Lithuania,LTU,2021-03-31,522435.0,353396.0,169024.0,8.0,2673512.0,13.218418320172118
14516,Lithuania,LTU,2021-04-01,540810.0,369063.0,171732.0,9.0,2673512.0,13.804426537079316
14517,Lithuania,LTU,2021-04-02,560706.0,381936.0,178754.0,11.0,2673512.0,14.285928022765562
14518,Lithuania,LTU,2021-04-03,569375.0,389994.0,179364.0,8.0,2673512.0,14.587329325621132
14519,Lithuania,LTU,2021-04-04,571786.0,392403.0,179366.0,8.0,2673512.0,14.677435523012427
14520,Lithuania,LTU,2021-04-05,575511.0,396081.0,179413.0,6.0,2673512.0,14.81500737606564
14521,Lithuania,LTU,2021-04-06,590238.0,407819.0,182400.0,8.0,2673512.0,15.254055339942369
14522,Lithuania,LTU,2021-04-07,603013.0,419502.0,183491.0,13.0,2673512.0,15.691046084700574
