,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
14785,Luxembourg,LUX,2021-01-18,4573.0,4126.0,447.0,3.0,639407.0,0.6452853972508903
14786,Luxembourg,LUX,2021-01-19,5297.0,4503.0,794.0,0.0,639407.0,0.7042462781921375
14787,Luxembourg,LUX,2021-01-20,6197.0,4954.0,1243.0,5.0,639407.0,0.7747803824481121
14788,Luxembourg,LUX,2021-01-21,6902.0,5659.0,1243.0,3.0,639407.0,0.8850387937573407
14789,Luxembourg,LUX,2021-01-22,7584.0,6340.0,1244.0,2.0,639407.0,0.991543727234766
14790,Luxembourg,LUX,2021-01-23,7717.0,6472.0,1244.0,0.0,639407.0,1.0121878553096857
14791,Luxembourg,LUX,2021-01-25,8558.0,7312.0,1245.0,2.0,639407.0,1.1435595794228088
14792,Luxembourg,LUX,2021-01-26,9526.0,8280.0,1245.0,0.0,639407.0,1.294949851972218
14793,Luxembourg,LUX,2021-01-27,10450.0,9107.0,1342.0,2.0,639407.0,1.4242884422597812
14794,Luxembourg,LUX,2021-01-28,11373.0,9889.0,1483.0,4.0,639407.0,1.546589261612713
14795,Luxembourg,LUX,2021-01-29,12305.0,10623.0,1681.0,1.0,639407.0,1.661383125302038
14796,Luxembourg,LUX,2021-01-30,12432.0,10750.0,1681.0,3.0,639407.0,1.6812452788286647
14797,Luxembourg,LUX,2021-02-01,13242.0,11335.0,1906.0,2.0,639407.0,1.7727363009788757
14798,Luxembourg,LUX,2021-02-02,14255.0,11925.0,2329.0,1.0,639407.0,1.865009297677379
14799,Luxembourg,LUX,2021-02-03,15413.0,12600.0,2812.0,4.0,639407.0,1.9705758616968536
14800,Luxembourg,LUX,2021-02-04,16425.0,13259.0,3165.0,2.0,639407.0,2.073640107161792
14801,Luxembourg,LUX,2021-02-05,17441.0,13824.0,3616.0,1.0,639407.0,2.1620032311188337
14802,Luxembourg,LUX,2021-02-06,17636.0,13943.0,3692.0,1.0,639407.0,2.180614225368193
14803,Luxembourg,LUX,2021-02-08,18147.0,14092.0,4054.0,2.0,639407.0,2.2039170669073065
14804,Luxembourg,LUX,2021-02-09,18661.0,14230.0,4430.0,1.0,639407.0,2.225499564440177
14805,Luxembourg,LUX,2021-02-10,19932.0,15056.0,4875.0,4.0,639407.0,2.3546817598180816
14806,Luxembourg,LUX,2021-02-11,21400.0,16134.0,5265.0,3.0,639407.0,2.523275472429924
14807,Luxembourg,LUX,2021-02-12,22570.0,16925.0,5644.0,2.0,639407.0,2.646983845969781
14808,Luxembourg,LUX,2021-02-13,22905.0,17260.0,5644.0,2.0,639407.0,2.699376140705372
14809,Luxembourg,LUX,2021-02-15,24034.0,18058.0,5975.0,0.0,639407.0,2.8241792786128395
14810,Luxembourg,LUX,2021-02-16,25929.0,19628.0,6300.0,1.0,639407.0,3.069719286776654
14811,Luxembourg,LUX,2021-02-17,27130.0,20611.0,6518.0,4.0,639407.0,3.2234554829709405
14812,Luxembourg,LUX,2021-02-18,28944.0,21859.0,7084.0,1.0,639407.0,3.418636330224724
14813,Luxembourg,LUX,2021-02-19,30567.0,22974.0,7592.0,4.0,639407.0,3.5930166544939293
14814,Luxembourg,LUX,2021-02-20,30992.0,23266.0,7725.0,3.0,639407.0,3.6386839681142056
14815,Luxembourg,LUX,2021-02-22,31936.0,23692.0,8243.0,1.0,639407.0,3.7053081996287194
14816,Luxembourg,LUX,2021-02-23,33381.0,24515.0,8865.0,2.0,639407.0,3.834021210277648
14817,Luxembourg,LUX,2021-02-24,34772.0,25292.0,9479.0,3.0,639407.0,3.9555400550822872
14818,Luxembourg,LUX,2021-02-25,36083.0,26096.0,9986.0,1.0,639407.0,4.081281562447706
14819,Luxembourg,LUX,2021-02-26,37380.0,26798.0,10581.0,3.0,639407.0,4.191070789027958
14820,Luxembourg,LUX,2021-02-27,37804.0,27099.0,10704.0,2.0,639407.0,4.238145656835162
14821,Luxembourg,LUX,2021-03-01,39132.0,27661.0,11470.0,0.0,639407.0,4.326039596063228
14822,Luxembourg,LUX,2021-03-02,40477.0,28478.0,11998.0,1.0,639407.0,4.453814237254205
14823,Luxembourg,LUX,2021-03-03,42134.0,29402.0,12731.0,1.0,639407.0,4.598323133778641
14824,Luxembourg,LUX,2021-03-04,44186.0,30724.0,13460.0,2.0,639407.0,4.805077204347153
14825,Luxembourg,LUX,2021-03-05,45991.0,31975.0,14014.0,2.0,639407.0,5.000727236329912
14826,Luxembourg,LUX,2021-03-06,46725.0,32593.0,14130.0,4.0,639407.0,5.097379290498853
14827,Luxembourg,LUX,2021-03-08,47531.0,33240.0,14289.0,5.0,639407.0,5.1985667970478895
14828,Luxembourg,LUX,2021-03-09,48974.0,34532.0,14440.0,5.0,639407.0,5.400629020326647
14829,Luxembourg,LUX,2021-03-10,51469.0,36693.0,14774.0,1.0,639407.0,5.738598420098623
14830,Luxembourg,LUX,2021-03-11,54886.0,39563.0,15321.0,5.0,639407.0,6.1874518108184615
14831,Luxembourg,LUX,2021-03-12,57790.0,42233.0,15555.0,5.0,639407.0,6.605026219606604
14832,Luxembourg,LUX,2021-03-13,59064.0,43483.0,15579.0,2.0,639407.0,6.8005198566797045
14833,Luxembourg,LUX,2021-03-15,60786.0,44879.0,15905.0,7.0,639407.0,7.018847150562943
14834,Luxembourg,LUX,2021-03-16,64079.0,47596.0,16481.0,1.0,639407.0,7.443772120105034
14835,Luxembourg,LUX,2021-03-17,67165.0,50218.0,16945.0,4.0,639407.0,7.853839573229571
14836,Luxembourg,LUX,2021-03-18,70355.0,52870.0,17483.0,4.0,639407.0,8.26859887364386
14837,Luxembourg,LUX,2021-03-19,73208.0,55346.0,17860.0,7.0,639407.0,8.655832669958258
14838,Luxembourg,LUX,2021-03-20,74270.0,56381.0,17887.0,1.0,639407.0,8.817701401454785
14839,Luxembourg,LUX,2021-03-22,75553.0,57406.0,18145.0,1.0,639407.0,8.978006183854728
14840,Luxembourg,LUX,2021-03-23,78016.0,59307.0,18707.0,3.0,639407.0,9.2753129071155
14841,Luxembourg,LUX,2021-03-24,80353.0,61022.0,19329.0,1.0,639407.0,9.543530177179791
14842,Luxembourg,LUX,2021-03-25,82677.0,62806.0,19869.0,7.0,639407.0,9.822538696010524
14843,Luxembourg,LUX,2021-03-26,85200.0,64694.0,20504.0,2.0,639407.0,10.117812285445734
14844,Luxembourg,LUX,2021-03-27,86581.0,65845.0,20734.0,8.0,639407.0,10.297822826462644
14845,Luxembourg,LUX,2021-03-29,89712.0,68609.0,21100.0,0.0,639407.0,10.730098356758685
14846,Luxembourg,LUX,2021-03-30,92603.0,70907.0,21693.0,0.0,639407.0,11.089493859153873
14847,Luxembourg,LUX,2021-03-31,95688.0,73147.0,22538.0,3.0,639407.0,11.439818456788869
14848,Luxembourg,LUX,2021-04-01,99386.0,75857.0,23526.0,2.0,639407.0,11.863648661963351
14849,Luxembourg,LUX,2021-04-02,102816.0,78402.0,24411.0,3.0,639407.0,12.261673707044183
14850,Luxembourg,LUX,2021-04-03,105914.0,81078.0,24833.0,3.0,639407.0,12.680186485290276
14851,Luxembourg,LUX,2021-04-05,108969.0,83642.0,25324.0,0.0,639407.0,13.08118303365462
14852,Luxembourg,LUX,2021-04-06,112802.0,86347.0,26452.0,5.0,639407.0,13.504231264280811
14853,Luxembourg,LUX,2021-04-07,117186.0,88709.0,28474.0,5.0,639407.0,13.87363604089414
14854,Luxembourg,LUX,2021-04-08,122008.0,91066.0,30939.0,1.0,639407.0,14.24225884295918
14855,Luxembourg,LUX,2021-04-09,126963.0,93743.0,33217.0,1.0,639407.0,14.660928016114932
14856,Luxembourg,LUX,2021-04-10,130344.0,96046.0,34295.0,0.0,639407.0,15.021105493058412
14857,Luxembourg,LUX,2021-04-12,135165.0,99987.0,35175.0,5.0,639407.0,15.637457832022484
14858,Luxembourg,LUX,2021-04-13,141434.0,103564.0,37867.0,0.0,639407.0,16.196882423870868
