,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
14865,Malawi,MWI,2021-06-06,359008.0,358989.0,19.0,0.0,19908189.0,1.8032227843527104
14866,Malawi,MWI,2021-06-07,359184.0,359165.0,19.0,1.0,19908189.0,1.8041068426666036
14867,Malawi,MWI,2021-06-09,367356.0,365256.0,2100.0,1.0,19908189.0,1.8347022926093377
14868,Malawi,MWI,2021-06-10,369674.0,366198.0,3476.0,0.0,19908189.0,1.839434013812105
14869,Malawi,MWI,2021-06-11,374268.0,368465.0,5803.0,0.0,19908189.0,1.850821287662077
14870,Malawi,MWI,2021-06-12,377614.0,370003.0,7611.0,0.0,19908189.0,1.858546751791436
14871,Malawi,MWI,2021-06-14,381257.0,371791.0,9466.0,0.0,19908189.0,1.867527980571211
14872,Malawi,MWI,2021-06-15,387363.0,373577.0,13786.0,0.0,19908189.0,1.8764991632337829
14873,Malawi,MWI,2021-06-16,393313.0,375578.0,17735.0,3.0,19908189.0,1.8865503034957125
14874,Malawi,MWI,2021-06-17,406167.0,378694.0,27473.0,1.0,19908189.0,1.9022021540984968
14875,Malawi,MWI,2021-06-18,413961.0,380697.0,33264.0,1.0,19908189.0,1.9122633404776292
14876,Malawi,MWI,2021-06-19,420685.0,383273.0,37412.0,2.0,19908189.0,1.925202739435516
14877,Malawi,MWI,2021-06-21,422508.0,383726.0,38782.0,0.0,19908189.0,1.9274781849820692
14878,Malawi,MWI,2021-06-22,425051.0,384406.0,40645.0,3.0,19908189.0,1.9308938648312008
14879,Malawi,MWI,2021-06-23,426356.0,384671.0,41685.0,2.0,19908189.0,1.9322249753606415
14880,Malawi,MWI,2021-06-24,427440.0,385047.0,42393.0,4.0,19908189.0,1.9341136453948675
14881,Malawi,MWI,2021-06-25,427730.0,385114.0,42616.0,1.0,19908189.0,1.934450190321179
14882,Malawi,MWI,2021-06-26,428321.0,385219.0,43102.0,1.0,19908189.0,1.9349776114743535
14883,Malawi,MWI,2021-06-27,428391.0,385236.0,43155.0,2.0,19908189.0,1.9350630034705816
14884,Malawi,MWI,2021-06-28,428407.0,385242.0,43165.0,1.0,19908189.0,1.935093141822192
14885,Malawi,MWI,2021-07-27,448408.0,390738.0,57670.0,33.0,19908189.0,1.9626998718969368
14886,Malawi,MWI,2021-07-28,504195.0,410724.0,93471.0,27.0,19908189.0,2.063090721109791
14887,Malawi,MWI,2021-07-30,580557.0,447525.0,133032.0,27.0,19908189.0,2.2479443007096225
14888,Malawi,MWI,2021-07-31,591863.0,453729.0,138134.0,26.0,19908189.0,2.279107356274345
14889,Malawi,MWI,2021-08-01,594333.0,454752.0,139581.0,21.0,19908189.0,2.2842459452238475
14890,Malawi,MWI,2021-08-02,595535.0,455207.0,140328.0,26.0,19908189.0,2.2865314368876044
14891,Malawi,MWI,2021-08-03,597862.0,455763.0,142099.0,24.0,19908189.0,2.2893242574701294
14892,Malawi,MWI,2021-08-04,598408.0,456126.0,142282.0,15.0,19908189.0,2.2911476277425336
14893,Malawi,MWI,2021-08-05,622218.0,463236.0,158982.0,29.0,19908189.0,2.326861574400364
14894,Malawi,MWI,2021-08-08,624077.0,464848.0,159229.0,29.0,19908189.0,2.334958744866245
14895,Malawi,MWI,2021-08-10,655865.0,496636.0,192017.0,22.0,19908189.0,2.4946317316959368
14896,Malawi,MWI,2021-08-12,683097.0,523868.0,219249.0,21.0,19908189.0,2.6314196635364477
14897,Malawi,MWI,2021-08-14,725197.0,565968.0,261349.0,22.0,19908189.0,2.8428904306664964
14898,Malawi,MWI,2021-08-15,728748.0,569519.0,264900.0,14.0,19908189.0,2.8607273117610044
14899,Malawi,MWI,2021-08-16,729339.0,570110.0,265491.0,13.0,19908189.0,2.863695939394588
14900,Malawi,MWI,2021-08-17,750138.0,585592.0,285505.0,15.0,19908189.0,2.941462932665548
14901,Malawi,MWI,2021-08-18,768280.0,598158.0,303470.0,15.0,19908189.0,3.004582687054056
14902,Malawi,MWI,2021-08-19,788376.0,611442.0,323221.0,14.0,19908189.0,3.0713089975185586
14903,Malawi,MWI,2021-08-20,806316.0,621867.0,340565.0,16.0,19908189.0,3.1236743834409046
14904,Malawi,MWI,2021-08-22,827615.0,635098.0,360616.0,15.0,19908189.0,3.1901344717995195
14905,Malawi,MWI,2021-08-23,827885.0,635311.0,360886.0,15.0,19908189.0,3.191204383281674
14906,Malawi,MWI,2021-08-24,840736.0,643799.0,372544.0,8.0,19908189.0,3.2338401046925966
14907,Malawi,MWI,2021-08-25,851823.0,651096.0,382516.0,16.0,19908189.0,3.2704933633089377
14908,Malawi,MWI,2021-08-27,868988.0,662638.0,397700.0,18.0,19908189.0,3.3284695056893425
14909,Malawi,MWI,2021-08-29,877951.0,669053.0,405722.0,9.0,19908189.0,3.3606924266190155
14910,Malawi,MWI,2021-08-30,878138.0,681196.0,405896.0,4.0,19908189.0,3.42168742721902
14911,Malawi,MWI,2021-08-31,883432.0,683640.0,410484.0,7.0,19908189.0,3.433963782441487
14912,Malawi,MWI,2021-09-01,893062.0,688002.0,418255.0,9.0,19908189.0,3.4558743640619443
14913,Malawi,MWI,2021-09-03,898201.0,690515.0,422408.0,10.0,19908189.0,3.468497310327926
14914,Malawi,MWI,2021-09-04,909438.0,696977.0,430476.0,0.0,19908189.0,3.500956315011878
14915,Malawi,MWI,2021-09-05,910347.0,697559.0,431247.0,0.0,19908189.0,3.5038797351180464
14916,Malawi,MWI,2021-09-06,911292.0,697824.0,432188.0,0.0,19908189.0,3.505210845647487
14917,Malawi,MWI,2021-09-07,916777.0,701061.0,435997.0,22.0,19908189.0,3.521470486341073
14918,Malawi,MWI,2021-09-10,933541.0,707769.0,448000.0,0.0,19908189.0,3.555165163441034
14919,Malawi,MWI,2021-09-11,937856.0,710897.0,450250.0,3.0,19908189.0,3.570877290747039
14920,Malawi,MWI,2021-09-12,941059.0,713014.0,452402.0,4.0,19908189.0,3.581511105806761
14921,Malawi,MWI,2021-09-13,946765.0,718103.0,457324.0,2.0,19908189.0,3.607073451030628
14922,Malawi,MWI,2021-09-14,956031.0,725381.0,461402.0,4.0,19908189.0,3.643631271533538
14923,Malawi,MWI,2021-09-16,968300.0,737225.0,466208.0,2.0,19908189.0,3.703124377611645
14924,Malawi,MWI,2021-09-17,974830.0,742169.0,469604.0,5.0,19908189.0,3.727958379338271
14925,Malawi,MWI,2021-09-18,980682.0,747312.0,471299.0,1.0,19908189.0,3.753791969726629
14926,Malawi,MWI,2021-09-19,983126.0,748937.0,473443.0,4.0,19908189.0,3.7619544399543328
14927,Malawi,MWI,2021-09-20,984653.0,749879.0,474392.0,5.0,19908189.0,3.7666861611571
14928,Malawi,MWI,2021-09-21,992736.0,757086.0,477387.0,3.0,19908189.0,3.802887344499291
14929,Malawi,MWI,2021-09-22,1002398.0,765895.0,480238.0,0.0,19908189.0,3.847135467721348
14930,Malawi,MWI,2021-09-23,1010384.0,772276.0,483685.0,4.0,19908189.0,3.879187604658565
14931,Malawi,MWI,2021-09-24,1019673.0,780637.0,486133.0,1.0,19908189.0,3.921185397627077
14932,Malawi,MWI,2021-09-25,1028040.0,788138.0,488444.0,3.0,19908189.0,3.9588633601981575
14933,Malawi,MWI,2021-09-26,1030077.0,789812.0,489199.0,3.0,19908189.0,3.967271960297343
14934,Malawi,MWI,2021-09-27,1031041.0,790707.0,489593.0,1.0,19908189.0,3.971767597745832
14935,Malawi,MWI,2021-09-29,1047408.0,804725.0,496366.0,3.0,19908189.0,4.042180833223957
14936,Malawi,MWI,2021-10-01,1062929.0,818939.0,498701.0,1.0,19908189.0,4.113578588188006
14937,Malawi,MWI,2021-10-02,1066218.0,821946.0,499390.0,0.0,19908189.0,4.12868292540321
14938,Malawi,MWI,2021-10-03,1068095.0,823582.0,499844.0,1.0,19908189.0,4.136900649275532
