,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
15316,Maldives,MDV,2021-04-03,245470.0,243749.0,1721.0,0.0,545822.0,44.65723257765352
15317,Maldives,MDV,2021-04-04,250633.0,246896.0,3737.0,0.0,545822.0,45.23379416732928
15318,Maldives,MDV,2021-04-05,256892.0,251139.0,5753.0,0.0,545822.0,46.01115381937701
15319,Maldives,MDV,2021-04-06,263832.0,255881.0,7951.0,0.0,545822.0,46.8799352169755
15320,Maldives,MDV,2021-04-07,270854.0,260285.0,10569.0,0.0,545822.0,47.68679166468189
15321,Maldives,MDV,2021-04-08,280186.0,265235.0,14951.0,0.0,545822.0,48.59368072375243
15322,Maldives,MDV,2021-04-09,282926.0,267795.0,15131.0,0.0,545822.0,49.062698095716186
15323,Maldives,MDV,2021-04-10,283753.0,268459.0,15294.0,0.0,545822.0,49.18434947656928
15324,Maldives,MDV,2021-04-12,299029.0,273660.0,25369.0,0.0,545822.0,50.13722422328159
15325,Maldives,MDV,2021-04-14,303752.0,274782.0,28970.0,0.0,545822.0,50.34278574333757
15326,Maldives,MDV,2021-04-15,312053.0,277522.0,34531.0,0.0,545822.0,50.844780899267526
15327,Maldives,MDV,2021-04-16,313363.0,278069.0,35294.0,1.0,545822.0,50.94499672054259
15328,Maldives,MDV,2021-04-17,319532.0,279302.0,40230.0,1.0,545822.0,51.17089454071108
15329,Maldives,MDV,2021-04-18,327665.0,281848.0,45817.0,1.0,545822.0,51.63734697392191
15330,Maldives,MDV,2021-04-19,335323.0,283973.0,51350.0,0.0,545822.0,52.02666803463401
15331,Maldives,MDV,2021-04-20,342379.0,285562.0,56817.0,1.0,545822.0,52.31778858309119
15332,Maldives,MDV,2021-04-21,349757.0,287171.0,62586.0,0.0,545822.0,52.612573329766846
15333,Maldives,MDV,2021-04-22,358705.0,288903.0,69802.0,0.0,545822.0,52.92989289548608
15334,Maldives,MDV,2021-04-23,360997.0,290014.0,70983.0,0.0,545822.0,53.13343910652191
15335,Maldives,MDV,2021-04-24,368150.0,291227.0,76923.0,0.0,545822.0,53.35567272847192
15336,Maldives,MDV,2021-04-25,375240.0,292413.0,82827.0,0.0,545822.0,53.572959682827005
15337,Maldives,MDV,2021-04-26,382078.0,293429.0,88649.0,0.0,545822.0,53.75910095232511
15338,Maldives,MDV,2021-04-27,386881.0,294269.0,92612.0,0.0,545822.0,53.91299727750072
15339,Maldives,MDV,2021-04-28,392590.0,295251.0,97339.0,1.0,545822.0,54.092909410027445
15340,Maldives,MDV,2021-04-29,397875.0,296529.0,101346.0,1.0,545822.0,54.32705167618748
15341,Maldives,MDV,2021-05-01,399550.0,296961.0,102589.0,0.0,545822.0,54.40619835770636
15342,Maldives,MDV,2021-05-02,406133.0,297639.0,108494.0,1.0,545822.0,54.53041467731239
15343,Maldives,MDV,2021-05-03,412636.0,298396.0,114240.0,0.0,545822.0,54.66910457988136
15344,Maldives,MDV,2021-05-04,418925.0,299407.0,119518.0,0.0,545822.0,54.85432979982485
15345,Maldives,MDV,2021-05-05,423770.0,300189.0,123581.0,0.0,545822.0,54.99759995016691
15346,Maldives,MDV,2021-05-06,427228.0,300438.0,126790.0,3.0,545822.0,55.04321921798682
15347,Maldives,MDV,2021-05-07,428831.0,300664.0,128167.0,5.0,545822.0,55.0846246578555
15348,Maldives,MDV,2021-05-08,431792.0,300906.0,130886.0,1.0,545822.0,55.12896145629894
15349,Maldives,MDV,2021-05-09,435236.0,301239.0,133997.0,1.0,545822.0,55.18997035663641
15350,Maldives,MDV,2021-05-10,437912.0,301707.0,136205.0,3.0,545822.0,55.27571259494854
15351,Maldives,MDV,2021-05-11,440987.0,302097.0,138890.0,0.0,545822.0,55.347164460208646
15352,Maldives,MDV,2021-05-12,442560.0,302482.0,140078.0,0.0,545822.0,55.41770027591413
15353,Maldives,MDV,2021-05-13,443176.0,302506.0,140670.0,0.0,545822.0,55.42209731377629
15354,Maldives,MDV,2021-05-14,443936.0,302688.0,141248.0,4.0,545822.0,55.45544151756433
15355,Maldives,MDV,2021-05-15,445887.0,302974.0,142913.0,3.0,545822.0,55.50783955208841
15356,Maldives,MDV,2021-05-16,448708.0,303336.0,145372.0,3.0,545822.0,55.574161539842656
15357,Maldives,MDV,2021-05-17,451601.0,303919.0,147682.0,4.0,545822.0,55.68097291791096
15358,Maldives,MDV,2021-05-18,453829.0,304394.0,149435.0,4.0,545822.0,55.76799762559956
15359,Maldives,MDV,2021-05-19,455940.0,304861.0,151079.0,7.0,545822.0,55.85355665400076
15360,Maldives,MDV,2021-05-21,459347.0,305401.0,153946.0,6.0,545822.0,55.95249000589936
15361,Maldives,MDV,2021-05-22,461852.0,305850.0,156002.0,3.0,545822.0,56.034751255903934
15362,Maldives,MDV,2021-05-23,464505.0,306430.0,158075.0,6.0,545822.0,56.14101300423948
15363,Maldives,MDV,2021-05-24,466740.0,307210.0,159530.0,10.0,545822.0,56.283916734759686
15364,Maldives,MDV,2021-05-25,469381.0,307927.0,161454.0,5.0,545822.0,56.41527824089172
15365,Maldives,MDV,2021-05-26,470836.0,308423.0,162413.0,3.0,545822.0,56.506150356709696
15366,Maldives,MDV,2021-05-27,472694.0,308905.0,163789.0,3.0,545822.0,56.59445753377474
15367,Maldives,MDV,2021-05-28,473035.0,309022.0,164013.0,5.0,545822.0,56.61589309335277
15368,Maldives,MDV,2021-05-29,474625.0,309444.0,165181.0,2.0,545822.0,56.69320767576242
15369,Maldives,MDV,2021-05-30,476305.0,309815.0,166490.0,1.0,545822.0,56.76117855271499
15370,Maldives,MDV,2021-05-31,477916.0,310159.0,167757.0,3.0,545822.0,56.824202762072616
