,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
15538,Mali,MLI,2021-05-14,84280.0,71216.0,13064.0,1.0,21159779.0,0.3365630614573054
15539,Mali,MLI,2021-05-21,87525.0,72440.0,15085.0,0.0,21159779.0,0.3423476209274209
15540,Mali,MLI,2021-05-26,110140.0,83549.0,26591.0,0.0,21159779.0,0.3948481692554539
15541,Mali,MLI,2021-05-31,127042.0,93580.0,33462.0,0.0,21159779.0,0.4422541464161795
15542,Mali,MLI,2021-06-08,152430.0,111439.0,40991.0,0.0,21159779.0,0.5266548388808787
15543,Mali,MLI,2021-06-10,157129.0,115048.0,42081.0,1.0,21159779.0,0.5437107826126162
15544,Mali,MLI,2021-06-14,163218.0,121077.0,42141.0,0.0,21159779.0,0.5722035187607584
15545,Mali,MLI,2021-06-20,176038.0,130574.0,45464.0,0.0,21159779.0,0.6170858400742276
15546,Mali,MLI,2021-06-24,179634.0,133317.0,46317.0,1.0,21159779.0,0.6300491134619128
15547,Mali,MLI,2021-07-05,190301.0,141529.0,48772.0,1.0,21159779.0,0.6688585925212167
15548,Mali,MLI,2021-07-12,196862.0,145016.0,51846.0,0.0,21159779.0,0.6853379706848545
15549,Mali,MLI,2021-08-03,206562.0,150563.0,55999.0,1.0,21159779.0,0.7115528002442748
15550,Mali,MLI,2021-08-09,259719.0,173242.0,86477.0,0.0,21159779.0,0.8187325585961932
15551,Mali,MLI,2021-08-28,296490.0,210013.0,86477.0,1.0,21159779.0,0.9925103660109116
15552,Mali,MLI,2021-09-01,317060.0,230583.0,86477.0,0.0,21159779.0,1.0897231015503517
15553,Mali,MLI,2021-09-06,344151.0,257674.0,86477.0,0.0,21159779.0,1.217753739299451
15554,Mali,MLI,2021-09-13,370529.0,284052.0,86477.0,0.0,21159779.0,1.3424147766382626
15555,Mali,MLI,2021-09-20,396027.0,309550.0,86477.0,0.0,21159779.0,1.4629169803711088
15556,Mali,MLI,2021-09-22,397853.0,311376.0,86477.0,0.0,21159779.0,1.4715465601034867
15557,Mali,MLI,2021-09-27,405053.0,316293.0,231811.0,0.0,21159779.0,1.4947840428768182
15558,Mali,MLI,2021-10-01,413563.0,318655.0,240321.0,0.0,21159779.0,1.5059467303510117
15559,Mali,MLI,2021-10-27,585224.0,322703.0,262521.0,0.0,21159779.0,1.5250773649384524
15560,Mali,MLI,2021-11-02,596435.0,324713.0,271722.0,2.0,21159779.0,1.5345765189702596
15561,Mali,MLI,2021-11-21,627924.0,492512.0,281485.0,1.0,21159779.0,2.327585746524101
15562,Mali,MLI,2021-11-24,734759.0,598437.0,312488.0,7.0,21159779.0,2.8281817121057835
15563,Mali,MLI,2021-11-28,847067.0,708943.0,320681.0,1.0,21159779.0,3.350427242174882
15564,Mali,MLI,2021-12-16,989985.0,843144.0,343162.0,1.0,21159779.0,3.984654093031879
15565,Mali,MLI,2021-12-20,1006643.0,852496.0,353103.0,0.0,21159779.0,4.02885115198982
15566,Mali,MLI,2021-12-23,1035268.0,866523.0,374572.0,1.0,21159779.0,4.095142014479452
