,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
15567,Malta,MLT,2021-01-24,19981.0,18783.0,1198.0,3.0,443519.0,4.234993314829804
15568,Malta,MLT,2021-01-25,21172.0,19709.0,1463.0,1.0,443519.0,4.443778056858895
15569,Malta,MLT,2021-01-26,22371.0,20677.0,1694.0,1.0,443519.0,4.662032517208958
15570,Malta,MLT,2021-01-27,23512.0,21417.0,2095.0,3.0,443519.0,4.828879935245165
15571,Malta,MLT,2021-01-28,24680.0,22162.0,2518.0,1.0,443519.0,4.996854700700534
15572,Malta,MLT,2021-01-29,25822.0,22853.0,2969.0,6.0,443519.0,5.152654114028937
15573,Malta,MLT,2021-01-30,26847.0,23391.0,3456.0,2.0,443519.0,5.273956696330935
15574,Malta,MLT,2021-01-31,27759.0,23811.0,3948.0,1.0,443519.0,5.368653879540673
15575,Malta,MLT,2021-02-01,29002.0,24526.0,4476.0,0.0,443519.0,5.5298645604810615
15576,Malta,MLT,2021-02-02,30252.0,25361.0,4891.0,3.0,443519.0,5.718131579481375
15577,Malta,MLT,2021-02-03,31633.0,26223.0,5410.0,1.0,443519.0,5.912486274545172
15578,Malta,MLT,2021-02-04,33477.0,27020.0,6457.0,2.0,443519.0,6.092185453159842
15579,Malta,MLT,2021-02-05,35676.0,28082.0,7594.0,1.0,443519.0,6.331634044990181
15580,Malta,MLT,2021-02-06,37586.0,28837.0,8749.0,5.0,443519.0,6.501863505283878
15581,Malta,MLT,2021-02-07,39257.0,29339.0,9918.0,2.0,443519.0,6.615049186167898
15582,Malta,MLT,2021-02-08,41285.0,30235.0,11050.0,1.0,443519.0,6.817069843682007
15583,Malta,MLT,2021-02-09,43337.0,31202.0,12135.0,1.0,443519.0,7.035098834548238
15584,Malta,MLT,2021-02-10,44598.0,31670.0,12928.0,1.0,443519.0,7.140618552981946
15585,Malta,MLT,2021-02-11,46344.0,32524.0,13820.0,3.0,443519.0,7.333169492175082
15586,Malta,MLT,2021-02-12,48474.0,33735.0,14739.0,0.0,443519.0,7.606213037096494
15587,Malta,MLT,2021-02-13,50175.0,34574.0,15601.0,1.0,443519.0,7.795381934032139
15588,Malta,MLT,2021-02-14,51641.0,35376.0,16265.0,2.0,443519.0,7.976208460065973
15589,Malta,MLT,2021-02-15,53647.0,36545.0,17102.0,3.0,443519.0,8.239782286666411
15590,Malta,MLT,2021-02-16,55709.0,37866.0,17843.0,0.0,443519.0,8.53762747480942
15591,Malta,MLT,2021-02-17,57683.0,39147.0,18536.0,2.0,443519.0,8.826453883599124
15592,Malta,MLT,2021-02-18,59702.0,40503.0,19199.0,2.0,443519.0,9.13219050367628
15593,Malta,MLT,2021-02-19,62059.0,42231.0,19828.0,1.0,443519.0,9.521801771739204
15594,Malta,MLT,2021-02-20,63308.0,43119.0,20189.0,1.0,443519.0,9.722018673382651
15595,Malta,MLT,2021-02-21,64419.0,43888.0,20531.0,2.0,443519.0,9.895404706450003
15596,Malta,MLT,2021-02-22,66334.0,45174.0,21160.0,1.0,443519.0,10.18535846265887
15597,Malta,MLT,2021-02-23,68779.0,47012.0,21767.0,1.0,443519.0,10.599771373943394
15598,Malta,MLT,2021-02-24,71562.0,49061.0,22501.0,1.0,443519.0,11.061758346316616
15599,Malta,MLT,2021-02-25,73644.0,50249.0,23395.0,4.0,443519.0,11.329616093109877
15600,Malta,MLT,2021-02-26,76159.0,51041.0,25118.0,1.0,443519.0,11.508187924305386
15601,Malta,MLT,2021-02-27,77967.0,51186.0,26781.0,1.0,443519.0,11.540880999461129
15602,Malta,MLT,2021-02-28,79624.0,51576.0,28048.0,1.0,443519.0,11.628814098155884
15603,Malta,MLT,2021-03-01,81883.0,52862.0,29021.0,1.0,443519.0,11.91876785436475
15604,Malta,MLT,2021-03-02,84129.0,54381.0,29748.0,6.0,443519.0,12.26125600030664
15605,Malta,MLT,2021-03-03,86854.0,56525.0,30329.0,0.0,443519.0,12.74466257364397
15606,Malta,MLT,2021-03-04,89946.0,58912.0,31034.0,4.0,443519.0,13.28285823155265
15607,Malta,MLT,2021-03-05,92806.0,61096.0,31710.0,2.0,443519.0,13.775283584243292
15608,Malta,MLT,2021-03-06,95899.0,63479.0,32420.0,0.0,443519.0,14.312577364216638
15609,Malta,MLT,2021-03-07,97864.0,65002.0,32862.0,5.0,443519.0,14.655967388093858
15610,Malta,MLT,2021-03-08,101776.0,67595.0,34181.0,1.0,443519.0,15.240609759672076
15611,Malta,MLT,2021-03-09,105416.0,70323.0,35093.0,1.0,443519.0,15.855690511567714
15612,Malta,MLT,2021-03-10,108971.0,72725.0,36246.0,2.0,443519.0,16.397268211733884
15613,Malta,MLT,2021-03-11,113258.0,76076.0,37182.0,1.0,443519.0,17.152816452057294
15614,Malta,MLT,2021-03-12,117121.0,78788.0,38333.0,7.0,443519.0,17.76428969221161
15615,Malta,MLT,2021-03-13,120073.0,80974.0,39099.0,3.0,443519.0,18.257165983869918
15616,Malta,MLT,2021-03-14,122366.0,82671.0,39695.0,3.0,443519.0,18.639787697934025
15617,Malta,MLT,2021-03-15,126277.0,85596.0,40681.0,3.0,443519.0,19.299285938144703
15618,Malta,MLT,2021-03-16,130861.0,90002.0,40859.0,3.0,443519.0,20.292704483911624
15619,Malta,MLT,2021-03-17,133871.0,92250.0,41621.0,5.0,443519.0,20.79955988356756
15620,Malta,MLT,2021-03-18,138264.0,95707.0,42557.0,0.0,443519.0,21.57900788917724
15621,Malta,MLT,2021-03-19,140331.0,97064.0,43267.0,2.0,443519.0,21.884969978738223
15622,Malta,MLT,2021-03-20,143169.0,99250.0,43919.0,4.0,443519.0,22.37784627039653
15623,Malta,MLT,2021-03-21,145934.0,101451.0,44483.0,2.0,443519.0,22.87410460431233
15624,Malta,MLT,2021-03-22,150897.0,105611.0,45286.0,3.0,443519.0,23.812057657056407
15625,Malta,MLT,2021-03-23,155678.0,109538.0,46140.0,1.0,443519.0,24.69747632006746
15626,Malta,MLT,2021-03-24,160260.0,113179.0,47081.0,2.0,443519.0,25.51841071070236
15627,Malta,MLT,2021-03-25,166104.0,117171.0,48933.0,1.0,443519.0,26.418484890162546
15628,Malta,MLT,2021-03-26,171873.0,121823.0,50050.0,5.0,443519.0,27.46736892895231
15629,Malta,MLT,2021-03-27,176612.0,126055.0,50557.0,4.0,443519.0,28.421555784532345
15630,Malta,MLT,2021-03-28,180587.0,129350.0,51237.0,2.0,443519.0,29.164477733761125
15631,Malta,MLT,2021-03-29,186111.0,133771.0,52340.0,1.0,443519.0,30.161278321785534
15632,Malta,MLT,2021-03-30,191716.0,138176.0,53540.0,3.0,443519.0,31.15447139806863
15633,Malta,MLT,2021-03-31,197383.0,142805.0,54578.0,1.0,443519.0,32.19816963873024
15634,Malta,MLT,2021-04-01,203553.0,147956.0,55597.0,2.0,443519.0,33.35956294995254
15635,Malta,MLT,2021-04-02,209065.0,151942.0,57123.0,1.0,443519.0,34.25828431250972
15636,Malta,MLT,2021-04-03,212466.0,154462.0,58004.0,2.0,443519.0,34.82646741176815
15637,Malta,MLT,2021-04-04,215700.0,156668.0,59032.0,1.0,443519.0,35.32385309310311
15638,Malta,MLT,2021-04-05,219161.0,159065.0,60096.0,1.0,443519.0,35.86430344585012
15639,Malta,MLT,2021-04-06,223020.0,161909.0,61111.0,1.0,443519.0,36.50553865787035
15640,Malta,MLT,2021-04-07,227606.0,164492.0,63114.0,0.0,443519.0,37.087926334610245
15641,Malta,MLT,2021-04-08,232335.0,167130.0,65205.0,1.0,443519.0,37.68271483296093
15642,Malta,MLT,2021-04-09,237806.0,170315.0,67491.0,0.0,443519.0,38.40083513896811
15643,Malta,MLT,2021-04-10,240984.0,171678.0,69306.0,1.0,443519.0,38.7081500454321
15644,Malta,MLT,2021-04-11,244718.0,173237.0,71481.0,0.0,443519.0,39.059656970727296
15645,Malta,MLT,2021-04-12,249400.0,175347.0,74053.0,0.0,443519.0,39.53539758161432
15646,Malta,MLT,2021-04-13,254885.0,178292.0,76593.0,1.0,443519.0,40.19940521150165
15647,Malta,MLT,2021-04-14,259272.0,181133.0,78139.0,0.0,443519.0,40.83996401507038
15648,Malta,MLT,2021-04-15,264658.0,183987.0,80671.0,1.0,443519.0,41.48345392192893
15649,Malta,MLT,2021-04-16,269763.0,187277.0,82486.0,1.0,443519.0,42.22524852373856
15650,Malta,MLT,2021-04-17,274641.0,190489.0,84152.0,3.0,443519.0,42.949456505809216
15651,Malta,MLT,2021-04-18,276516.0,191583.0,84933.0,1.0,443519.0,43.196120121122206
15652,Malta,MLT,2021-04-19,282841.0,195071.0,87770.0,1.0,443519.0,43.9825576807307
15653,Malta,MLT,2021-04-20,288797.0,198624.0,90173.0,0.0,443519.0,44.783650756788326
15654,Malta,MLT,2021-04-21,295587.0,201860.0,93727.0,1.0,443519.0,45.513270006470975
15655,Malta,MLT,2021-04-22,301594.0,204963.0,96631.0,0.0,443519.0,46.21290181480388
15656,Malta,MLT,2021-04-23,307636.0,208959.0,98677.0,0.0,443519.0,47.11387787219939
15657,Malta,MLT,2021-04-24,311559.0,211985.0,99574.0,1.0,443519.0,47.79614853027717
15658,Malta,MLT,2021-04-25,313279.0,212593.0,100686.0,1.0,443519.0,47.93323397644746
15659,Malta,MLT,2021-04-26,318706.0,216171.0,102535.0,0.0,443519.0,48.7399637896009
15660,Malta,MLT,2021-04-27,323324.0,219442.0,103882.0,0.0,443519.0,49.47747447121769
15661,Malta,MLT,2021-04-28,326934.0,222470.0,104464.0,0.0,443519.0,50.16019606826314
15662,Malta,MLT,2021-04-29,331438.0,225810.0,105628.0,0.0,443519.0,50.91326414426439
15663,Malta,MLT,2021-04-30,335848.0,228810.0,107038.0,1.0,443519.0,51.58967259576252
15664,Malta,MLT,2021-05-01,339727.0,231511.0,108216.0,1.0,443519.0,52.19866567159468
15665,Malta,MLT,2021-05-02,341909.0,233193.0,108716.0,2.0,443519.0,52.5779053434013
15666,Malta,MLT,2021-05-03,346951.0,237018.0,109933.0,0.0,443519.0,53.440326119061424
15667,Malta,MLT,2021-05-04,352421.0,241103.0,111318.0,0.0,443519.0,54.36136896051804
15668,Malta,MLT,2021-05-05,359429.0,246698.0,112731.0,0.0,443519.0,55.622870722562055
15669,Malta,MLT,2021-05-06,365902.0,251787.0,115333.0,0.0,443519.0,56.77028492578672
15670,Malta,MLT,2021-05-07,372620.0,255633.0,118209.0,0.0,443519.0,57.63744056060733
15671,Malta,MLT,2021-05-08,375986.0,257781.0,119427.0,0.0,443519.0,58.121749011879984
15672,Malta,MLT,2021-05-09,379951.0,258766.0,121185.0,0.0,443519.0,58.34383645345521
15673,Malta,MLT,2021-05-10,386760.0,265361.0,123843.0,0.0,443519.0,59.830807699331935
15674,Malta,MLT,2021-05-11,392929.0,268118.0,127255.0,0.0,443519.0,60.45242706625872
15675,Malta,MLT,2021-05-12,400118.0,272025.0,130537.0,0.0,443519.0,61.33333633959312
15676,Malta,MLT,2021-05-13,406921.0,276041.0,133332.0,0.0,443519.0,62.23882178666529
15677,Malta,MLT,2021-05-14,414632.0,280134.0,136975.0,0.0,443519.0,63.16166838399256
15678,Malta,MLT,2021-05-15,420815.0,283229.0,141143.0,0.0,443519.0,63.85949643645481
15679,Malta,MLT,2021-05-16,424325.0,284395.0,143487.0,0.0,443519.0,64.12239385460376
15680,Malta,MLT,2021-05-17,430508.0,286709.0,147667.0,0.0,443519.0,64.64413024019264
15681,Malta,MLT,2021-05-18,437654.0,289855.0,152581.0,0.0,443519.0,65.35345723633034
15682,Malta,MLT,2021-05-19,445830.0,293178.0,158489.0,0.0,443519.0,66.10269233110645
15683,Malta,MLT,2021-05-20,453711.0,296548.0,164113.0,0.0,443519.0,66.86252449162268
15684,Malta,MLT,2021-05-21,461215.0,299549.0,169177.0,0.0,443519.0,67.53915841260465
15685,Malta,MLT,2021-05-22,468829.0,301274.0,175246.0,0.0,443519.0,67.92809327221607
15686,Malta,MLT,2021-05-23,474475.0,302933.0,180243.0,0.0,443519.0,68.30214714589454
15687,Malta,MLT,2021-05-24,482577.0,308002.0,183556.0,0.0,443519.0,69.44505195944255
15688,Malta,MLT,2021-05-25,490524.0,310403.0,189055.0,1.0,443519.0,69.98640419012489
15689,Malta,MLT,2021-05-26,498726.0,311903.0,195856.0,1.0,443519.0,70.32460841587395
15690,Malta,MLT,2021-05-27,505100.0,314030.0,200199.0,0.0,443519.0,70.80418200798613
15691,Malta,MLT,2021-05-28,509312.0,315748.0,202795.0,0.0,443519.0,71.19153858121072
15692,Malta,MLT,2021-05-29,512214.0,316224.0,205221.0,0.0,443519.0,71.2988620555151
15693,Malta,MLT,2021-05-30,515662.0,316747.0,208118.0,0.0,443519.0,71.4167825955596
15694,Malta,MLT,2021-05-31,519994.0,318743.0,210486.0,0.0,443519.0,71.8668196852897
15695,Malta,MLT,2021-06-01,528592.0,319574.0,218321.0,0.0,443519.0,72.05418482635467
15696,Malta,MLT,2021-06-02,534639.0,322359.0,221595.0,0.0,443519.0,72.68211733882877
15697,Malta,MLT,2021-06-03,541178.0,324295.0,226341.0,0.0,443519.0,73.11862625952891
15698,Malta,MLT,2021-06-04,546637.0,325511.0,230594.0,0.0,443519.0,73.39279715186949
15699,Malta,MLT,2021-06-05,551494.0,327155.0,233826.0,0.0,443519.0,73.76346898329047
15700,Malta,MLT,2021-06-06,553814.0,328168.0,235133.0,0.0,443519.0,73.99186957041299
15701,Malta,MLT,2021-06-07,558320.0,329000.0,238807.0,0.0,443519.0,74.17946018096181
15702,Malta,MLT,2021-06-08,564718.0,330970.0,243252.0,0.0,443519.0,74.62363506411225
15703,Malta,MLT,2021-06-09,570513.0,333197.0,246964.0,0.0,443519.0,75.12575560460769
15704,Malta,MLT,2021-06-10,576256.0,334367.0,251553.0,0.0,443519.0,75.38955490069196
15705,Malta,MLT,2021-06-11,582206.0,335791.0,256079.0,0.0,443519.0,75.71062344566974
15706,Malta,MLT,2021-06-12,587160.0,339176.0,258929.0,0.0,443519.0,76.47383764844348
15707,Malta,MLT,2021-06-13,589507.0,340028.0,260424.0,0.0,443519.0,76.66593764866893
15708,Malta,MLT,2021-06-14,596074.0,341941.0,265090.0,0.0,443519.0,77.09726077124091
15709,Malta,MLT,2021-06-15,604033.0,344272.0,270754.0,0.0,443519.0,77.62283013805497
15710,Malta,MLT,2021-06-16,609867.0,346576.0,274321.0,0.0,443519.0,78.14231182880553
15711,Malta,MLT,2021-06-17,616102.0,348633.0,278588.0,1.0,443519.0,78.60610255704941
15712,Malta,MLT,2021-06-18,621674.0,350092.0,282709.0,0.0,443519.0,78.93506253396134
15713,Malta,MLT,2021-06-19,625844.0,351962.0,285817.0,0.0,443519.0,79.3566904687285
15714,Malta,MLT,2021-06-20,628735.0,352478.0,288195.0,0.0,443519.0,79.47303272238618
15715,Malta,MLT,2021-06-21,631446.0,353164.0,290280.0,0.0,443519.0,79.62770478829543
15716,Malta,MLT,2021-06-22,636059.0,353584.0,294650.0,0.0,443519.0,79.72240197150516
15717,Malta,MLT,2021-06-23,640729.0,353895.0,299151.0,0.0,443519.0,79.79252298097714
15718,Malta,MLT,2021-06-24,646651.0,355100.0,303939.0,0.0,443519.0,80.06421370899555
15719,Malta,MLT,2021-06-25,650411.0,355277.0,307591.0,0.0,443519.0,80.10412180763394
15720,Malta,MLT,2021-06-26,653005.0,356128.0,309871.0,0.0,443519.0,80.29599633837559
15721,Malta,MLT,2021-06-27,654649.0,356209.0,311453.0,0.0,443519.0,80.31425936656603
15722,Malta,MLT,2021-06-28,659488.0,357171.0,315768.0,0.0,443519.0,80.5311610100131
15723,Malta,MLT,2021-06-29,664859.0,358168.0,320604.0,0.0,443519.0,80.75595408539431
15724,Malta,MLT,2021-06-30,670759.0,359169.0,325891.0,0.0,443519.0,80.98164903871086
15725,Malta,MLT,2021-07-01,675014.0,360364.0,328960.0,0.0,443519.0,81.25108507189096
15726,Malta,MLT,2021-07-02,679538.0,361287.0,332650.0,0.0,443519.0,81.45919340546854
15727,Malta,MLT,2021-07-03,682731.0,362262.0,335153.0,0.0,443519.0,81.67902615220542
15728,Malta,MLT,2021-07-04,685024.0,362986.0,336800.0,0.0,443519.0,81.84226605850031
15729,Malta,MLT,2021-07-05,689924.0,364277.0,340423.0,0.0,443519.0,82.13334716212835
15730,Malta,MLT,2021-07-06,692581.0,365611.0,341765.0,0.0,443519.0,82.43412345356118
15731,Malta,MLT,2021-07-07,696858.0,367086.0,344666.0,0.0,443519.0,82.76669094221442
15732,Malta,MLT,2021-07-08,700180.0,368449.0,346739.0,0.0,443519.0,83.07400584867841
15733,Malta,MLT,2021-07-09,703928.0,369854.0,349133.0,0.0,443519.0,83.39079047346337
15734,Malta,MLT,2021-07-10,705852.0,371421.0,349961.0,0.0,443519.0,83.74410115462922
15735,Malta,MLT,2021-07-11,706857.0,372052.0,350338.0,0.0,443519.0,83.88637239892766
15736,Malta,MLT,2021-07-12,709131.0,373349.0,351395.0,0.0,443519.0,84.17880631945869
15737,Malta,MLT,2021-07-13,711973.0,375090.0,352523.0,0.0,443519.0,84.57134869081145
15738,Malta,MLT,2021-07-14,715447.0,377373.0,353929.0,0.0,443519.0,85.08609552240152
15739,Malta,MLT,2021-07-15,718418.0,379380.0,354985.0,0.0,443519.0,85.53861277645377
15740,Malta,MLT,2021-07-16,721415.0,381764.0,355883.0,0.0,443519.0,86.07613202591095
15741,Malta,MLT,2021-07-17,723299.0,383158.0,357236.0,0.0,443519.0,86.39043648637376
15742,Malta,MLT,2021-07-18,724343.0,383867.0,357558.0,0.0,443519.0,86.55029435041114
15743,Malta,MLT,2021-07-19,728106.0,386328.0,359042.0,0.0,443519.0,87.10517475012345
15744,Malta,MLT,2021-07-20,730483.0,387329.0,360880.0,0.0,443519.0,87.33086970343999
15745,Malta,MLT,2021-07-21,733736.0,389025.0,362923.0,0.0,443519.0,87.71326594802026
15746,Malta,MLT,2021-07-22,736727.0,389263.0,364899.0,0.0,443519.0,87.76692768517245
15747,Malta,MLT,2021-07-23,742361.0,392444.0,368587.0,0.0,443519.0,88.4841461132443
15748,Malta,MLT,2021-07-24,743712.0,392994.0,369441.0,1.0,443519.0,88.60815432935229
15749,Malta,MLT,2021-07-25,744521.0,393062.0,370187.0,0.0,443519.0,88.62348625425291
15750,Malta,MLT,2021-07-26,746883.0,393967.0,371802.0,0.0,443519.0,88.82753613712153
15751,Malta,MLT,2021-07-27,750641.0,396087.0,373771.0,0.0,443519.0,89.30553144284687
15752,Malta,MLT,2021-07-28,751546.0,396686.0,375373.0,0.0,443519.0,89.44058766366267
15753,Malta,MLT,2021-07-29,755655.0,398444.0,379016.0,2.0,443519.0,89.83696301624057
15754,Malta,MLT,2021-07-30,758252.0,399261.0,380927.0,0.0,443519.0,90.02117158453188
15755,Malta,MLT,2021-07-31,759818.0,399690.0,382255.0,0.0,443519.0,90.11789799309614
15756,Malta,MLT,2021-08-01,760417.0,399724.0,382825.0,0.0,443519.0,90.12556395554644
15757,Malta,MLT,2021-08-02,762832.0,400760.0,385049.0,0.0,443519.0,90.35915034079711
15758,Malta,MLT,2021-08-03,765417.0,401644.0,387400.0,0.0,443519.0,90.55846536450524
