,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
15935,Mauritius,MUS,2021-05-12,220646.0,212182.0,8464.0,0.0,1274168.0,16.65259212285978
15936,Mauritius,MUS,2021-05-31,400801.0,232673.0,168128.0,1.0,1274168.0,18.260778798400214
15937,Mauritius,MUS,2021-06-08,455242.0,247673.0,207569.0,0.0,1274168.0,19.438017592656543
15938,Mauritius,MUS,2021-06-20,598863.0,380362.0,218501.0,0.0,1274168.0,29.851793484061755
15939,Mauritius,MUS,2021-06-24,706948.0,486034.0,220914.0,0.0,1274168.0,38.145205341838754
15940,Mauritius,MUS,2021-07-12,901530.0,596255.0,305275.0,0.0,1274168.0,46.79563448462055
15941,Mauritius,MUS,2021-07-19,1040903.0,608103.0,432800.0,0.0,1274168.0,47.72549616691049
15942,Mauritius,MUS,2021-07-24,1095494.0,613134.0,482360.0,0.0,1274168.0,48.12034205850406
15943,Mauritius,MUS,2021-07-26,1156482.0,634013.0,522469.0,0.0,1274168.0,49.758979977522586
15944,Mauritius,MUS,2021-08-03,1237673.0,683642.0,554031.0,0.0,1274168.0,53.65399225219908
15945,Mauritius,MUS,2021-08-09,1297090.0,720910.0,576180.0,1.0,1274168.0,56.57888127782208
15946,Mauritius,MUS,2021-08-19,1426429.0,768234.0,658195.0,0.0,1274168.0,60.29299119111452
15947,Mauritius,MUS,2021-08-25,1496498.0,791795.0,704703.0,1.0,1274168.0,62.14211940654607
15948,Mauritius,MUS,2021-09-01,1564974.0,816020.0,748954.0,0.0,1274168.0,64.04336005927004
15949,Mauritius,MUS,2021-09-09,1591414.0,828108.0,763306.0,0.0,1274168.0,64.99205756226807
15950,Mauritius,MUS,2021-09-15,1625865.0,842642.0,783223.0,0.0,1274168.0,66.13272347131618
15951,Mauritius,MUS,2021-09-22,1633952.0,846158.0,787794.0,7.0,1274168.0,66.40866824468988
15952,Mauritius,MUS,2021-09-30,1655555.0,855866.0,799689.0,2.0,1274168.0,67.17057719233257
15953,Mauritius,MUS,2021-10-07,1686047.0,870130.0,815917.0,6.0,1274168.0,68.29005280308405
15954,Mauritius,MUS,2021-10-14,1713794.0,881907.0,831887.0,0.0,1274168.0,69.21434222174784
15955,Mauritius,MUS,2021-10-21,1725697.0,891593.0,834104.0,4.0,1274168.0,69.97452455249228
15956,Mauritius,MUS,2021-10-28,1749997.0,901578.0,848419.0,4.0,1274168.0,70.75817317653559
15957,Mauritius,MUS,2021-11-04,1760061.0,905034.0,855027.0,3.0,1274168.0,71.02940899473225
15958,Mauritius,MUS,2021-11-10,1764345.0,906214.0,858131.0,7.0,1274168.0,71.12201844654707
15959,Mauritius,MUS,2021-11-18,1792254.0,913744.0,878510.0,15.0,1274168.0,71.71299232126376
15960,Mauritius,MUS,2021-11-19,1827407.0,913774.0,878513.0,14.0,1274168.0,71.71534679885228
15961,Mauritius,MUS,2021-12-23,2016830.0,937052.0,908694.0,0.0,1274168.0,73.54226444236552
