,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
16368,Mongolia,MNG,2021-04-22,670842.0,649236.0,21606.0,5.0,3354825.0,19.35230600701974
16369,Mongolia,MNG,2021-04-27,1007030.0,744564.0,262466.0,2.0,3354825.0,22.19382531130536
16370,Mongolia,MNG,2021-04-28,1080571.0,782314.0,298257.0,8.0,3354825.0,23.319070294277644
16371,Mongolia,MNG,2021-04-29,1138662.0,811452.0,327210.0,9.0,3354825.0,24.18761038206166
16372,Mongolia,MNG,2021-04-30,1208619.0,845693.0,362926.0,5.0,3354825.0,25.208259745292228
16373,Mongolia,MNG,2021-05-01,1296538.0,887248.0,409290.0,8.0,3354825.0,26.4469234609853
16374,Mongolia,MNG,2021-05-02,1398592.0,947529.0,451063.0,5.0,3354825.0,28.24376830386085
16375,Mongolia,MNG,2021-05-03,1532522.0,1037675.0,494847.0,2.0,3354825.0,30.93082351538456
16376,Mongolia,MNG,2021-05-04,1661497.0,1128680.0,532817.0,2.0,3354825.0,33.643483639236024
16377,Mongolia,MNG,2021-05-05,1756434.0,1208913.0,547521.0,7.0,3354825.0,36.03505398940332
16378,Mongolia,MNG,2021-05-06,1946350.0,1356678.0,589672.0,4.0,3354825.0,40.43960564261921
16379,Mongolia,MNG,2021-05-07,2086853.0,1476779.0,610074.0,12.0,3354825.0,44.01955392606172
16380,Mongolia,MNG,2021-05-08,2154623.0,1536715.0,617908.0,11.0,3354825.0,45.80611507306641
16381,Mongolia,MNG,2021-05-09,2213376.0,1590636.0,622740.0,7.0,3354825.0,47.413382218148485
16382,Mongolia,MNG,2021-05-10,2271109.0,1643030.0,628079.0,2.0,3354825.0,48.97513283107167
16383,Mongolia,MNG,2021-05-11,2309864.0,1678198.0,631666.0,8.0,3354825.0,50.02341403799006
16384,Mongolia,MNG,2021-05-12,2347229.0,1712577.0,634652.0,9.0,3354825.0,51.04817687956897
16385,Mongolia,MNG,2021-05-13,2372848.0,1735389.0,637459.0,5.0,3354825.0,51.72815273523954
16386,Mongolia,MNG,2021-05-14,2398067.0,1758608.0,639459.0,9.0,3354825.0,52.42026037125632
16387,Mongolia,MNG,2021-05-15,2411556.0,1770527.0,641029.0,7.0,3354825.0,52.77553970773439
16388,Mongolia,MNG,2021-05-16,2422303.0,1778612.0,643691.0,5.0,3354825.0,53.016535884882224
16389,Mongolia,MNG,2021-05-17,2444245.0,1792657.0,651588.0,2.0,3354825.0,53.43518663417615
16390,Mongolia,MNG,2021-05-18,2468557.0,1802270.0,666287.0,7.0,3354825.0,53.72172915129701
16391,Mongolia,MNG,2021-05-19,2495668.0,1810479.0,685189.0,7.0,3354825.0,53.96642149739554
16392,Mongolia,MNG,2021-05-20,2522900.0,1818876.0,704024.0,6.0,3354825.0,54.216717712548345
16393,Mongolia,MNG,2021-05-21,2556277.0,1824984.0,731293.0,8.0,3354825.0,54.39878384118396
16394,Mongolia,MNG,2021-05-22,2580962.0,1827826.0,753136.0,5.0,3354825.0,54.48349764890866
16395,Mongolia,MNG,2021-05-23,2604563.0,1830623.0,773940.0,4.0,3354825.0,54.56687010499802
16396,Mongolia,MNG,2021-05-24,2664014.0,1836501.0,827513.0,4.0,3354825.0,54.7420804363864
16397,Mongolia,MNG,2021-05-25,2729983.0,1841111.0,888872.0,5.0,3354825.0,54.87949445947256
16398,Mongolia,MNG,2021-05-26,2787884.0,1843635.0,944249.0,2.0,3354825.0,54.954729382307576
16399,Mongolia,MNG,2021-05-27,2872572.0,1847246.0,1025326.0,2.0,3354825.0,55.06236539908937
16400,Mongolia,MNG,2021-05-28,3027240.0,1852565.0,1174675.0,2.0,3354825.0,55.22091316238552
16401,Mongolia,MNG,2021-05-30,3083871.0,1854643.0,1229228.0,5.0,3354825.0,55.282853800123696
16402,Mongolia,MNG,2021-05-31,3165008.0,1858546.0,1306462.0,4.0,3354825.0,55.39919369862809
16403,Mongolia,MNG,2021-06-01,3182775.0,1859509.0,1323266.0,4.0,3354825.0,55.42789862362418
16404,Mongolia,MNG,2021-06-02,3234111.0,1860915.0,1373196.0,7.0,3354825.0,55.46980841027476
16405,Mongolia,MNG,2021-06-03,3305569.0,1865857.0,1439712.0,3.0,3354825.0,55.617118627648246
16406,Mongolia,MNG,2021-06-04,3358051.0,1869199.0,1488852.0,2.0,3354825.0,55.71673634243217
16407,Mongolia,MNG,2021-06-05,3380812.0,1870788.0,1510024.0,13.0,3354825.0,55.76410095906642
16408,Mongolia,MNG,2021-06-06,3397608.0,1872056.0,1525552.0,6.0,3354825.0,55.80189726736864
16409,Mongolia,MNG,2021-06-07,3436701.0,1875003.0,1561698.0,4.0,3354825.0,55.88974089557578
16410,Mongolia,MNG,2021-06-08,3481129.0,1884272.0,1596857.0,2.0,3354825.0,56.16602952463988
16411,Mongolia,MNG,2021-06-10,3508471.0,1887425.0,1621046.0,6.0,3354825.0,56.26001356255542
16412,Mongolia,MNG,2021-06-11,3528572.0,1890678.0,1637894.0,10.0,3354825.0,56.3569783818828
16413,Mongolia,MNG,2021-06-12,3534495.0,1891804.0,1642691.0,8.0,3354825.0,56.39054198058021
16414,Mongolia,MNG,2021-06-13,3538289.0,1892396.0,1645893.0,9.0,3354825.0,56.40818820653835
16415,Mongolia,MNG,2021-06-14,3552788.0,1894995.0,1657793.0,14.0,3354825.0,56.48565871543225
16416,Mongolia,MNG,2021-06-15,3565805.0,1897956.0,1667849.0,4.0,3354825.0,56.57391965303704
16417,Mongolia,MNG,2021-06-17,3588146.0,1903859.0,1684287.0,9.0,3354825.0,56.74987517977838
16418,Mongolia,MNG,2021-06-18,3599557.0,1907878.0,1691679.0,11.0,3354825.0,56.869672784720514
16419,Mongolia,MNG,2021-06-20,3608480.0,1912235.0,1696245.0,14.0,3354825.0,56.9995454308347
16420,Mongolia,MNG,2021-06-22,3633222.0,1924675.0,1708547.0,11.0,3354825.0,57.37035463846848
16421,Mongolia,MNG,2021-06-23,3645291.0,1931642.0,1713649.0,12.0,3354825.0,57.57802567943187
16422,Mongolia,MNG,2021-06-25,3672281.0,1948459.0,1723822.0,13.0,3354825.0,58.07930368946219
16423,Mongolia,MNG,2021-06-27,3682742.0,1956403.0,1726339.0,12.0,3354825.0,58.31609696481933
16424,Mongolia,MNG,2021-06-28,3720002.0,1981613.0,1738389.0,13.0,3354825.0,59.06755195874599
16425,Mongolia,MNG,2021-06-30,3767598.0,2021411.0,1746187.0,15.0,3354825.0,60.2538433450329
16426,Mongolia,MNG,2021-07-01,3788394.0,2038128.0,1750266.0,15.0,3354825.0,60.75214057365138
16427,Mongolia,MNG,2021-07-02,3810163.0,2053714.0,1756449.0,15.0,3354825.0,61.216725164501874
16428,Mongolia,MNG,2021-07-04,3827417.0,2066119.0,1761298.0,17.0,3354825.0,61.5864910986415
16429,Mongolia,MNG,2021-07-06,3865840.0,2088595.0,1777245.0,12.0,3354825.0,62.25645152876827
16430,Mongolia,MNG,2021-07-07,3879567.0,2097303.0,1782264.0,10.0,3354825.0,62.51601797411192
16431,Mongolia,MNG,2021-07-08,3888172.0,2100918.0,1787254.0,7.0,3354825.0,62.62377322215019
16432,Mongolia,MNG,2021-07-10,3899770.0,2103485.0,1796285.0,5.0,3354825.0,62.7002898809923
16433,Mongolia,MNG,2021-07-14,3902647.0,2103983.0,1798664.0,10.0,3354825.0,62.715134172423305
16434,Mongolia,MNG,2021-07-15,3912996.0,2104832.0,1808164.0,4.0,3354825.0,62.740441006609885
16435,Mongolia,MNG,2021-07-17,3926213.0,2105725.0,1820488.0,9.0,3354825.0,62.76705938461768
16436,Mongolia,MNG,2021-07-18,3930877.0,2107044.0,1823833.0,10.0,3354825.0,62.806375891439934
16437,Mongolia,MNG,2021-07-19,3950708.0,2108868.0,1841840.0,8.0,3354825.0,62.86074534439203
16438,Mongolia,MNG,2021-07-20,3972424.0,2111927.0,1860497.0,6.0,3354825.0,62.951927447780434
16439,Mongolia,MNG,2021-07-21,3998762.0,2117494.0,1881268.0,9.0,3354825.0,63.11786754897797
16440,Mongolia,MNG,2021-07-22,4024669.0,2124499.0,1900170.0,6.0,3354825.0,63.326671286877854
16441,Mongolia,MNG,2021-07-23,4047468.0,2131221.0,1916247.0,0.0,3354825.0,63.52703941338221
16442,Mongolia,MNG,2021-07-25,4068492.0,2138538.0,1929954.0,6.0,3354825.0,63.74514318928707
16443,Mongolia,MNG,2021-07-26,4091002.0,2146874.0,1944128.0,7.0,3354825.0,63.993621127778646
16444,Mongolia,MNG,2021-07-27,4111223.0,2155040.0,1956183.0,8.0,3354825.0,64.23703173787008
16445,Mongolia,MNG,2021-07-28,4127311.0,2161612.0,1965699.0,7.0,3354825.0,64.43292869225668
16446,Mongolia,MNG,2021-07-30,4154534.0,2174672.0,1979862.0,13.0,3354825.0,64.8222187446439
16447,Mongolia,MNG,2021-08-01,4161918.0,2178913.0,1983005.0,5.0,3354825.0,64.94863368432034
16448,Mongolia,MNG,2021-08-02,4171546.0,2184602.0,1986944.0,3.0,3354825.0,65.11821033884033
16449,Mongolia,MNG,2021-08-03,4173071.0,2185468.0,1987603.0,4.0,3354825.0,65.14402390586692
16450,Mongolia,MNG,2021-08-04,4185547.0,2192905.0,1992642.0,6.0,3354825.0,65.36570461946599
16451,Mongolia,MNG,2021-08-05,4192146.0,2197111.0,1995035.0,3.0,3354825.0,65.49107628564829
16452,Mongolia,MNG,2021-08-06,4198321.0,2200824.0,1997497.0,0.0,3354825.0,65.60175269947017
16453,Mongolia,MNG,2021-08-07,4199691.0,2201703.0,1997988.0,10.0,3354825.0,65.6279537680803
16454,Mongolia,MNG,2021-08-08,4200827.0,2202412.0,1998415.0,6.0,3354825.0,65.6490875082903
16455,Mongolia,MNG,2021-08-09,4206816.0,2206071.0,2000745.0,5.0,3354825.0,65.75815430014978
16456,Mongolia,MNG,2021-08-10,4211450.0,2208400.0,2003050.0,3.0,3354825.0,65.8275766992317
16457,Mongolia,MNG,2021-08-11,4217855.0,2210968.0,2006887.0,3.0,3354825.0,65.90412316588794
16458,Mongolia,MNG,2021-08-12,4224580.0,2213422.0,2011158.0,6.0,3354825.0,65.97727154173467
16459,Mongolia,MNG,2021-08-13,4232784.0,2216191.0,2016593.0,0.0,3354825.0,66.0598093790287
16460,Mongolia,MNG,2021-08-14,4235613.0,2217044.0,2018569.0,2.0,3354825.0,66.08523544447176
16461,Mongolia,MNG,2021-08-15,4236033.0,2217139.0,2018894.0,1.0,3354825.0,66.08806718681302
16462,Mongolia,MNG,2021-08-16,4240587.0,2218058.0,2022529.0,4.0,3354825.0,66.1154605679879
16463,Mongolia,MNG,2021-08-18,4254734.0,2221121.0,2033613.0,4.0,3354825.0,66.20676190263278
16464,Mongolia,MNG,2021-08-19,4261009.0,2222451.0,2038558.0,5.0,3354825.0,66.24640629541034
16465,Mongolia,MNG,2021-08-20,4278004.0,2226436.0,2051568.0,2.0,3354825.0,66.36519043467246
16466,Mongolia,MNG,2021-08-21,4280748.0,2227072.0,2053676.0,1.0,3354825.0,66.3841482044518
16467,Mongolia,MNG,2021-08-22,4282702.0,2227434.0,2055268.0,4.0,3354825.0,66.39493863316268
16468,Mongolia,MNG,2021-08-23,4291705.0,2229595.0,2062110.0,2.0,3354825.0,66.4593533194727
16469,Mongolia,MNG,2021-08-24,4298705.0,2231314.0,2067391.0,4.0,3354825.0,66.51059295194234
16470,Mongolia,MNG,2021-08-25,4305958.0,2232964.0,2072994.0,5.0,3354825.0,66.55977584523784
16471,Mongolia,MNG,2021-08-26,4311222.0,2234061.0,2077161.0,6.0,3354825.0,66.5924750173258
16472,Mongolia,MNG,2021-08-28,4320299.0,2236137.0,2084162.0,4.0,3354825.0,66.65435603943574
16473,Mongolia,MNG,2021-08-29,4321363.0,2236363.0,2085000.0,1.0,3354825.0,66.6610926054265
16474,Mongolia,MNG,2021-08-30,4327878.0,2238037.0,2089841.0,3.0,3354825.0,66.71099088626083
16475,Mongolia,MNG,2021-08-31,4333638.0,2239399.0,2094239.0,4.0,3354825.0,66.75158912909019
16476,Mongolia,MNG,2021-09-01,4337491.0,2240435.0,2097056.0,-92.0,3354825.0,66.78247002451693
16477,Mongolia,MNG,2021-09-02,4340885.0,2241087.0,2099798.0,10.0,3354825.0,66.80190471932217
16478,Mongolia,MNG,2021-09-03,4344079.0,2242107.0,2101972.0,7.0,3354825.0,66.832308689723
16479,Mongolia,MNG,2021-09-04,4345842.0,2242568.0,2103274.0,7.0,3354825.0,66.84605009203163
16480,Mongolia,MNG,2021-09-05,4346550.0,2242768.0,2103782.0,13.0,3354825.0,66.85201165485533
16481,Mongolia,MNG,2021-09-06,4349057.0,2243338.0,2105719.0,9.0,3354825.0,66.86900210890285
16482,Mongolia,MNG,2021-09-07,4352131.0,2244222.0,2107909.0,9.0,3354825.0,66.89535221658358
16483,Mongolia,MNG,2021-09-08,4355047.0,2245049.0,2109998.0,14.0,3354825.0,66.92000327885955
16484,Mongolia,MNG,2021-09-09,4356196.0,2245323.0,2110873.0,11.0,3354825.0,66.92817061992801
