,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
16559,Montenegro,MNE,2021-03-19,6849.0,6517.0,332.0,18.0,628053.0,1.0376512810224614
16560,Montenegro,MNE,2021-03-20,7298.0,6837.0,461.0,9.0,628053.0,1.0886023950208024
16561,Montenegro,MNE,2021-03-23,8669.0,8074.0,595.0,5.0,628053.0,1.2855602950706388
16562,Montenegro,MNE,2021-03-24,10809.0,9961.0,848.0,9.0,628053.0,1.5860126454296055
16563,Montenegro,MNE,2021-03-25,12929.0,11857.0,1072.0,12.0,628053.0,1.8878979958697757
16564,Montenegro,MNE,2021-03-26,14739.0,13410.0,1329.0,4.0,628053.0,2.135170120992973
16565,Montenegro,MNE,2021-03-27,16451.0,14850.0,1601.0,6.0,628053.0,2.364450133985508
16566,Montenegro,MNE,2021-03-28,18661.0,16570.0,2091.0,4.0,628053.0,2.63831237172659
16567,Montenegro,MNE,2021-03-29,20140.0,17746.0,2394.0,7.0,628053.0,2.8255577156704925
16568,Montenegro,MNE,2021-03-30,20373.0,17906.0,2467.0,4.0,628053.0,2.8510332726696634
16569,Montenegro,MNE,2021-03-31,22391.0,19118.0,3273.0,11.0,628053.0,3.044010616938379
16570,Montenegro,MNE,2021-04-01,23046.0,19636.0,3410.0,10.0,628053.0,3.126487732723194
16571,Montenegro,MNE,2021-04-02,25003.0,21195.0,3808.0,8.0,628053.0,3.374715191233861
16572,Montenegro,MNE,2021-04-03,26972.0,22947.0,4025.0,12.0,628053.0,3.653672540374777
16573,Montenegro,MNE,2021-04-04,29710.0,25516.0,4194.0,10.0,628053.0,4.062714452442708
16574,Montenegro,MNE,2021-04-05,31631.0,27149.0,4482.0,7.0,628053.0,4.322724356065491
16575,Montenegro,MNE,2021-04-06,34335.0,29601.0,4734.0,2.0,628053.0,4.713137267077778
16576,Montenegro,MNE,2021-04-07,36857.0,31710.0,5147.0,12.0,628053.0,5.048936952773095
16577,Montenegro,MNE,2021-04-08,38541.0,33163.0,5378.0,9.0,628053.0,5.280286854771811
16578,Montenegro,MNE,2021-04-09,39812.0,34172.0,5640.0,8.0,628053.0,5.44094208609783
16579,Montenegro,MNE,2021-04-10,41372.0,35290.0,6082.0,11.0,628053.0,5.618952540629532
16580,Montenegro,MNE,2021-04-11,42450.0,35697.0,6753.0,9.0,628053.0,5.683755988746173
16581,Montenegro,MNE,2021-04-12,42866.0,36113.0,6753.0,11.0,628053.0,5.749992436944016
16582,Montenegro,MNE,2021-04-13,44979.0,36432.0,8547.0,8.0,628053.0,5.800784328711113
16583,Montenegro,MNE,2021-04-14,46917.0,36690.0,10227.0,8.0,628053.0,5.841863664372275
16584,Montenegro,MNE,2021-04-15,49293.0,37199.0,12094.0,10.0,628053.0,5.922907780075885
16585,Montenegro,MNE,2021-04-16,50809.0,37519.0,13290.0,14.0,628053.0,5.973858894074226
16586,Montenegro,MNE,2021-04-17,52390.0,37909.0,14481.0,7.0,628053.0,6.035955564259704
16587,Montenegro,MNE,2021-04-18,54626.0,38335.0,16291.0,9.0,628053.0,6.103784234769996
16588,Montenegro,MNE,2021-04-19,55497.0,38429.0,17068.0,6.0,628053.0,6.118751124507008
16589,Montenegro,MNE,2021-04-20,56423.0,38667.0,17756.0,2.0,628053.0,6.156646015543274
16590,Montenegro,MNE,2021-04-21,57462.0,38927.0,18535.0,9.0,628053.0,6.198043795666926
16591,Montenegro,MNE,2021-04-22,58150.0,39123.0,19027.0,3.0,628053.0,6.22925135299091
16592,Montenegro,MNE,2021-04-23,58731.0,39281.0,19450.0,3.0,628053.0,6.25440846552759
16593,Montenegro,MNE,2021-04-24,59307.0,39426.0,19881.0,7.0,628053.0,6.27749568905809
16594,Montenegro,MNE,2021-04-25,59911.0,39636.0,20275.0,6.0,628053.0,6.3109323576195
16595,Montenegro,MNE,2021-04-26,60044.0,39715.0,20329.0,6.0,628053.0,6.323510913887841
16596,Montenegro,MNE,2021-04-27,60185.0,39775.0,20410.0,2.0,628053.0,6.333064247762529
16597,Montenegro,MNE,2021-04-28,60431.0,39965.0,20466.0,8.0,628053.0,6.3633164716990445
16598,Montenegro,MNE,2021-04-29,60816.0,40092.0,20724.0,5.0,628053.0,6.383537695067136
16599,Montenegro,MNE,2021-04-30,61745.0,40156.0,21589.0,7.0,628053.0,6.393727917866804
16600,Montenegro,MNE,2021-05-01,63064.0,40215.0,22849.0,7.0,628053.0,6.403122029510248
16601,Montenegro,MNE,2021-05-03,63820.0,40282.0,23538.0,7.0,628053.0,6.413789919003651
16602,Montenegro,MNE,2021-05-04,65517.0,40843.0,24674.0,3.0,628053.0,6.503113590731992
16603,Montenegro,MNE,2021-05-05,85316.0,57571.0,27745.0,5.0,628053.0,9.166583074995264
16604,Montenegro,MNE,2021-05-06,94291.0,65390.0,28901.0,6.0,628053.0,10.411541701098477
16605,Montenegro,MNE,2021-05-08,102853.0,72824.0,30029.0,5.0,628053.0,11.595199768172431
16606,Montenegro,MNE,2021-05-09,109507.0,78760.0,30747.0,7.0,628053.0,12.540342932841655
16607,Montenegro,MNE,2021-05-10,114570.0,83498.0,31072.0,3.0,628053.0,13.29473786447959
16608,Montenegro,MNE,2021-05-11,120795.0,88965.0,31830.0,4.0,628053.0,14.165205802694995
16609,Montenegro,MNE,2021-05-12,125646.0,93341.0,32305.0,4.0,628053.0,14.861962286622306
16610,Montenegro,MNE,2021-05-13,130545.0,97783.0,32762.0,1.0,628053.0,15.569227437811778
16611,Montenegro,MNE,2021-05-14,133626.0,100544.0,33082.0,3.0,628053.0,16.00884001827871
16612,Montenegro,MNE,2021-05-15,137259.0,103700.0,33559.0,3.0,628053.0,16.51134538008735
16613,Montenegro,MNE,2021-05-16,140148.0,106368.0,33780.0,5.0,628053.0,16.936150293048517
16614,Montenegro,MNE,2021-05-17,141808.0,107881.0,33927.0,4.0,628053.0,17.177053528921924
16615,Montenegro,MNE,2021-05-18,145316.0,110949.0,34367.0,1.0,628053.0,17.665547334381017
16616,Montenegro,MNE,2021-05-19,148255.0,113497.0,34758.0,1.0,628053.0,18.071245579592805
16617,Montenegro,MNE,2021-05-20,151522.0,116481.0,35041.0,2.0,628053.0,18.54636471762733
16618,Montenegro,MNE,2021-05-21,154048.0,118725.0,35323.0,2.0,628053.0,18.903659404540697
16619,Montenegro,MNE,2021-05-23,156779.0,121050.0,35729.0,3.0,628053.0,19.27385109218489
16620,Montenegro,MNE,2021-05-24,157592.0,121783.0,35809.0,0.0,628053.0,19.390560987687344
16621,Montenegro,MNE,2021-05-25,160077.0,123845.0,36232.0,2.0,628053.0,19.718877228514152
16622,Montenegro,MNE,2021-05-26,180839.0,127177.0,53662.0,0.0,628053.0,20.24940570302188
16623,Montenegro,MNE,2021-05-28,191178.0,129071.0,62107.0,1.0,628053.0,20.55097260899956
16624,Montenegro,MNE,2021-05-29,200228.0,130696.0,69532.0,0.0,628053.0,20.809708734772386
16625,Montenegro,MNE,2021-05-30,206544.0,131761.0,74783.0,2.0,628053.0,20.979280411048112
16626,Montenegro,MNE,2021-05-31,210720.0,132480.0,78240.0,3.0,628053.0,21.09376119531313
16627,Montenegro,MNE,2021-06-01,218306.0,133828.0,84478.0,0.0,628053.0,21.308392763031144
16628,Montenegro,MNE,2021-06-02,223627.0,135025.0,88602.0,1.0,628053.0,21.49898177383119
16629,Montenegro,MNE,2021-06-03,229803.0,136588.0,93215.0,1.0,628053.0,21.74784612126684
16630,Montenegro,MNE,2021-06-04,234278.0,138052.0,96226.0,2.0,628053.0,21.980947467809244
16631,Montenegro,MNE,2021-06-05,238874.0,139333.0,99541.0,0.0,628053.0,22.18491114603385
16632,Montenegro,MNE,2021-06-06,242070.0,140068.0,102002.0,4.0,628053.0,22.301939485998798
16633,Montenegro,MNE,2021-06-07,244138.0,140543.0,103595.0,0.0,628053.0,22.37757004584008
16634,Montenegro,MNE,2021-06-08,248522.0,141574.0,106948.0,1.0,628053.0,22.541728166253485
16635,Montenegro,MNE,2021-06-09,252253.0,142558.0,109695.0,2.0,628053.0,22.698402841798384
16636,Montenegro,MNE,2021-06-10,256046.0,143375.0,112671.0,2.0,628053.0,22.8284874047254
16637,Montenegro,MNE,2021-06-11,259428.0,144223.0,115205.0,0.0,628053.0,22.963507856821
16638,Montenegro,MNE,2021-06-12,261294.0,144685.0,116609.0,0.0,628053.0,23.037068527656103
16639,Montenegro,MNE,2021-06-14,263433.0,145130.0,118303.0,1.0,628053.0,23.107922420560048
16640,Montenegro,MNE,2021-06-15,265964.0,145636.0,120328.0,3.0,628053.0,23.188488869569927
16641,Montenegro,MNE,2021-06-17,270237.0,146964.0,123273.0,0.0,628053.0,23.39993599266304
16642,Montenegro,MNE,2021-06-18,272636.0,147499.0,125137.0,1.0,628053.0,23.485119886379017
16643,Montenegro,MNE,2021-06-19,274514.0,147875.0,126639.0,1.0,628053.0,23.544987445327067
16644,Montenegro,MNE,2021-06-20,275658.0,147995.0,127663.0,1.0,628053.0,23.564094113076443
16645,Montenegro,MNE,2021-06-21,276374.0,148079.0,128295.0,0.0,628053.0,23.57746878050101
16646,Montenegro,MNE,2021-06-22,278146.0,148346.0,129800.0,0.0,628053.0,23.619981116243373
16647,Montenegro,MNE,2021-06-23,279639.0,148571.0,131068.0,0.0,628053.0,23.65580611827346
16648,Montenegro,MNE,2021-06-24,281741.0,149220.0,132521.0,1.0,628053.0,23.759141346351345
16649,Montenegro,MNE,2021-06-26,285056.0,149912.0,135144.0,1.0,628053.0,23.86932313037276
16650,Montenegro,MNE,2021-06-27,285858.0,149994.0,135864.0,0.0,628053.0,23.88237935333483
16651,Montenegro,MNE,2021-06-28,286327.0,150031.0,136296.0,0.0,628053.0,23.88827057589089
16652,Montenegro,MNE,2021-06-29,287653.0,150319.0,137334.0,0.0,628053.0,23.934126578489398
16653,Montenegro,MNE,2021-06-30,288860.0,150545.0,138315.0,0.0,628053.0,23.970110802750725
16654,Montenegro,MNE,2021-07-01,290246.0,151082.0,139164.0,1.0,628053.0,24.05561314092919
16655,Montenegro,MNE,2021-07-02,291621.0,151655.0,139966.0,3.0,628053.0,24.146847479432463
16656,Montenegro,MNE,2021-07-03,292815.0,152306.0,140509.0,0.0,628053.0,24.25050115197284
16657,Montenegro,MNE,2021-07-04,293834.0,152975.0,140859.0,0.0,628053.0,24.357020824675622
16658,Montenegro,MNE,2021-07-05,294306.0,153343.0,140963.0,1.0,628053.0,24.415614605773715
16659,Montenegro,MNE,2021-07-06,296156.0,154530.0,141626.0,1.0,628053.0,24.604611394261315
16660,Montenegro,MNE,2021-07-07,297632.0,155477.0,142155.0,4.0,628053.0,24.75539484725015
16661,Montenegro,MNE,2021-07-08,299372.0,156459.0,142913.0,0.0,628053.0,24.91175107833256
16662,Montenegro,MNE,2021-07-09,300611.0,157177.0,143434.0,0.0,628053.0,25.026072640366337
16663,Montenegro,MNE,2021-07-10,301828.0,157971.0,143857.0,0.0,628053.0,25.15249509197472
16664,Montenegro,MNE,2021-07-11,302321.0,158357.0,143964.0,1.0,628053.0,25.213954873235224
16665,Montenegro,MNE,2021-07-12,302534.0,158511.0,144023.0,0.0,628053.0,25.238475096846923
16666,Montenegro,MNE,2021-07-13,303615.0,159297.0,144318.0,0.0,628053.0,25.363623770605347
16667,Montenegro,MNE,2021-07-14,303963.0,159478.0,144485.0,1.0,628053.0,25.39244299446065
16668,Montenegro,MNE,2021-07-15,304655.0,159701.0,144954.0,0.0,628053.0,25.42794955202825
16669,Montenegro,MNE,2021-07-16,305775.0,160299.0,145476.0,0.0,628053.0,25.52316444631265
16670,Montenegro,MNE,2021-07-17,307140.0,161258.0,145882.0,0.0,628053.0,25.675858566076432
16671,Montenegro,MNE,2021-07-18,307700.0,161728.0,145972.0,0.0,628053.0,25.75069301476149
16672,Montenegro,MNE,2021-07-19,307939.0,161910.0,146029.0,2.0,628053.0,25.779671460848046
16673,Montenegro,MNE,2021-07-20,310395.0,163791.0,146604.0,0.0,628053.0,26.079168477819547
16674,Montenegro,MNE,2021-07-22,312206.0,165022.0,147184.0,0.0,628053.0,26.275171044481915
16675,Montenegro,MNE,2021-07-23,313854.0,166048.0,147806.0,1.0,628053.0,26.438533053739093
16676,Montenegro,MNE,2021-07-24,315653.0,167235.0,148418.0,0.0,628053.0,26.627529842226693
16677,Montenegro,MNE,2021-07-25,317045.0,168043.0,149002.0,0.0,628053.0,26.756181405072503
16678,Montenegro,MNE,2021-07-26,317710.0,168455.0,149255.0,0.0,628053.0,26.821780964345365
16679,Montenegro,MNE,2021-07-27,320335.0,169919.0,150416.0,0.0,628053.0,27.054882310887773
16680,Montenegro,MNE,2021-07-28,322759.0,171423.0,151336.0,3.0,628053.0,27.294352546679978
16681,Montenegro,MNE,2021-07-29,325394.0,173101.0,152293.0,0.0,628053.0,27.561527450708777
16682,Montenegro,MNE,2021-07-30,327600.0,174571.0,153029.0,0.0,628053.0,27.79558413063865
