,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
16844,Morocco,MAR,2021-02-19,2362150.0,2357283.0,4867.0,7.0,37561943.0,6.275721679253919
16845,Morocco,MAR,2021-02-20,2461192.0,2447716.0,13476.0,16.0,37561943.0,6.516478660329153
16846,Morocco,MAR,2021-02-22,2575684.0,2552017.0,23667.0,6.0,37561943.0,6.794155989214936
16847,Morocco,MAR,2021-02-23,2667091.0,2635859.0,31232.0,5.0,37561943.0,7.0173659546845055
16848,Morocco,MAR,2021-02-24,2948945.0,2911635.0,37310.0,15.0,37561943.0,7.751555876648873
16849,Morocco,MAR,2021-02-25,3204105.0,3160479.0,43626.0,18.0,37561943.0,8.414045567344585
16850,Morocco,MAR,2021-02-26,3424295.0,3327858.0,96437.0,6.0,37561943.0,8.859653506209728
16851,Morocco,MAR,2021-02-27,3597903.0,3435997.0,161906.0,10.0,37561943.0,9.147548623882424
16852,Morocco,MAR,2021-03-01,3801650.0,3568670.0,232980.0,8.0,37561943.0,9.500759851533772
16853,Morocco,MAR,2021-03-02,3951325.0,3657468.0,293857.0,14.0,37561943.0,9.737164022638552
16854,Morocco,MAR,2021-03-03,4105862.0,3745173.0,360689.0,8.0,37561943.0,9.970658333622412
16855,Morocco,MAR,2021-03-04,4233129.0,3820097.0,413032.0,8.0,37561943.0,10.170126183302072
16856,Morocco,MAR,2021-03-05,4377629.0,3877687.0,499942.0,16.0,37561943.0,10.323446260487644
16857,Morocco,MAR,2021-03-06,4492557.0,3913615.0,578942.0,4.0,37561943.0,10.419096264535623
16858,Morocco,MAR,2021-03-08,4613292.0,3961941.0,651351.0,6.0,37561943.0,10.547753080824386
16859,Morocco,MAR,2021-03-09,4734200.0,4017087.0,717113.0,1.0,37561943.0,10.694566572341586
16860,Morocco,MAR,2021-03-10,4934283.0,4080009.0,854274.0,12.0,37561943.0,10.862081868342116
16861,Morocco,MAR,2021-03-11,5102685.0,4130606.0,972079.0,10.0,37561943.0,10.9967846977458
16862,Morocco,MAR,2021-03-12,5394092.0,4169133.0,1224959.0,7.0,37561943.0,11.09935393917189
16863,Morocco,MAR,2021-03-13,5682508.0,4210770.0,1471738.0,4.0,37561943.0,11.210202837483674
16864,Morocco,MAR,2021-03-15,5992783.0,4225311.0,1767472.0,5.0,37561943.0,11.24891489239521
16865,Morocco,MAR,2021-03-16,6197382.0,4236386.0,1960996.0,10.0,37561943.0,11.278399522623204
16866,Morocco,MAR,2021-03-17,6360732.0,4244651.0,2116081.0,4.0,37561943.0,11.300403176694028
