,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
17065,Myanmar,MMR,2021-03-31,1040000.0,1000000.0,40000.0,0.0,55003503.0,1.8180660239039683
17066,Myanmar,MMR,2021-04-23,1800000.0,1500000.0,300000.0,0.0,55003503.0,2.727099035855953
17067,Myanmar,MMR,2021-05-04,2543762.0,1689551.0,854211.0,0.0,55003503.0,3.071715268752974
17068,Myanmar,MMR,2021-05-13,2994900.0,1772177.0,1222723.0,1.0,55003503.0,3.221934792044063
17069,Myanmar,MMR,2021-06-05,3368042.0,1840758.0,1527284.0,2.0,55003503.0,3.346619578029421
17070,Myanmar,MMR,2021-08-21,6253687.0,4456857.0,1796830.0,140.0,55003503.0,8.102860285098568
17071,Myanmar,MMR,2021-09-11,8184418.0,4944654.0,3239764.0,98.0,55003503.0,8.989707437360853
17072,Myanmar,MMR,2021-09-20,9001616.0,5530365.0,3471251.0,56.0,55003503.0,10.05456870628767
17073,Myanmar,MMR,2021-09-25,10935671.0,7205913.0,3729758.0,52.0,55003503.0,13.100825596507915
17074,Myanmar,MMR,2021-10-02,12263702.0,8390746.0,3872956.0,46.0,55003503.0,15.254930217808129
17075,Myanmar,MMR,2021-10-17,15797703.0,11223285.0,4574418.0,30.0,55003503.0,20.40467313509105
17076,Myanmar,MMR,2021-10-23,18089109.0,12387573.0,5701536.0,20.0,55003503.0,22.521425589930157
17077,Myanmar,MMR,2021-10-31,20299011.0,13244996.0,7054015.0,33.0,55003503.0,24.08027721434397
17078,Myanmar,MMR,2021-11-06,22152983.0,13905795.0,8247188.0,21.0,55003503.0,25.281653424873685
17079,Myanmar,MMR,2021-11-13,24253764.0,14692607.0,9561157.0,14.0,55003503.0,26.712129589273616
17080,Myanmar,MMR,2021-11-20,25869175.0,15390873.0,10478302.0,11.0,55003503.0,27.981623279520942
17081,Myanmar,MMR,2021-11-27,28100411.0,16485315.0,11615096.0,12.0,55003503.0,29.97139109485445
17082,Myanmar,MMR,2021-11-30,28707770.0,16849172.0,11858598.0,7.0,55003503.0,30.632907144114075
17083,Myanmar,MMR,2021-12-11,31859036.0,18829259.0,13029777.0,7.0,55003503.0,34.232836043188016
