,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
17432,New Zealand,NZL,2021-02-21,165.0,164.0,1.0,0.0,4880300.0,0.003360449152716
17433,New Zealand,NZL,2021-02-22,613.0,612.0,1.0,0.0,4880300.0,0.0125402126918427
17434,New Zealand,NZL,2021-02-23,971.0,970.0,1.0,0.0,4880300.0,0.0198758273056984
17435,New Zealand,NZL,2021-02-24,1784.0,1783.0,1.0,0.0,4880300.0,0.0365346392639796
17436,New Zealand,NZL,2021-02-25,2886.0,2885.0,1.0,0.0,4880300.0,0.0591152183267422
17437,New Zealand,NZL,2021-02-26,4490.0,4489.0,1.0,0.0,4880300.0,0.091982050283794
17438,New Zealand,NZL,2021-02-27,5828.0,5827.0,1.0,0.0,4880300.0,0.1193983976394893
17439,New Zealand,NZL,2021-02-28,6711.0,6710.0,1.0,0.0,4880300.0,0.1374915476507592
17440,New Zealand,NZL,2021-03-01,8122.0,8121.0,1.0,0.0,4880300.0,0.1664037046902854
17441,New Zealand,NZL,2021-03-02,9609.0,9608.0,1.0,0.0,4880300.0,0.1968731430444849
17442,New Zealand,NZL,2021-03-03,11589.0,11588.0,1.0,0.0,4880300.0,0.2374444194004467
17443,New Zealand,NZL,2021-03-04,13222.0,13221.0,1.0,0.0,4880300.0,0.270905477122308
17444,New Zealand,NZL,2021-03-05,14503.0,14500.0,3.0,0.0,4880300.0,0.2971128824047702
17445,New Zealand,NZL,2021-03-06,15106.0,15102.0,4.0,0.0,4880300.0,0.3094481896604716
17446,New Zealand,NZL,2021-03-07,15617.0,15613.0,4.0,0.0,4880300.0,0.319918857447288
17447,New Zealand,NZL,2021-03-08,16690.0,16686.0,4.0,0.0,4880300.0,0.3419052107452411
17448,New Zealand,NZL,2021-03-09,18114.0,18110.0,4.0,0.0,4880300.0,0.3710837448517509
17449,New Zealand,NZL,2021-03-10,19430.0,19426.0,4.0,0.0,4880300.0,0.3980493002479356
17450,New Zealand,NZL,2021-03-11,20764.0,20760.0,4.0,0.0,4880300.0,0.4253836854291744
17451,New Zealand,NZL,2021-03-12,21813.0,21803.0,10.0,0.0,4880300.0,0.4467553224187038
17452,New Zealand,NZL,2021-03-13,22570.0,22554.0,16.0,0.0,4880300.0,0.4621437206729095
17453,New Zealand,NZL,2021-03-14,23160.0,23130.0,30.0,0.0,4880300.0,0.4739462737946437
17454,New Zealand,NZL,2021-03-15,25041.0,24744.0,297.0,0.0,4880300.0,0.5070180111878368
17455,New Zealand,NZL,2021-03-16,27202.0,26672.0,530.0,0.0,4880300.0,0.5465237792758643
17456,New Zealand,NZL,2021-03-17,29210.0,28315.0,895.0,0.0,4880300.0,0.5801897424338668
17457,New Zealand,NZL,2021-03-18,31279.0,29909.0,1370.0,0.0,4880300.0,0.6128516689547774
17458,New Zealand,NZL,2021-03-19,33744.0,31601.0,2143.0,0.0,4880300.0,0.6475216687498719
17459,New Zealand,NZL,2021-03-20,35016.0,32157.0,2859.0,0.0,4880300.0,0.6589144109993238
