,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
17737,Nicaragua,NIC,2021-07-16,415640.0,252766.0,162874.0,0.0,6741700.0,3.749291721672575
17738,Nicaragua,NIC,2021-08-17,580127.0,382519.0,197608.0,0.0,6741700.0,5.673924974412982
17739,Nicaragua,NIC,2021-08-20,612799.0,412029.0,200770.0,0.0,6741700.0,6.111648397288517
17740,Nicaragua,NIC,2021-08-27,645733.0,443053.0,202680.0,0.0,6741700.0,6.571829063885963
17741,Nicaragua,NIC,2021-09-03,669904.0,463656.0,206248.0,0.0,6741700.0,6.877434474984054
17742,Nicaragua,NIC,2021-09-10,735252.0,476308.0,258944.0,0.0,6741700.0,7.065102273907174
17743,Nicaragua,NIC,2021-09-17,769105.0,490472.0,278633.0,0.0,6741700.0,7.27519765044425
17744,Nicaragua,NIC,2021-09-25,788502.0,502324.0,286178.0,0.0,6741700.0,7.450999006185384
17745,Nicaragua,NIC,2021-10-01,861807.0,556589.0,305218.0,0.0,6741700.0,8.255914680273522
17746,Nicaragua,NIC,2021-10-08,999990.0,671784.0,328206.0,0.0,6741700.0,9.964608333209725
17747,Nicaragua,NIC,2021-10-22,1306694.0,944476.0,362357.0,0.0,6741700.0,14.009463488437635
17748,Nicaragua,NIC,2021-11-05,1674896.0,1249238.0,563164.0,0.0,6741700.0,18.53001468472344
17749,Nicaragua,NIC,2021-11-19,6033123.0,3842428.0,2190695.0,0.0,6741700.0,56.99494192859368
17750,Nicaragua,NIC,2021-12-01,6376188.0,4053890.0,2322298.0,1.0,6741700.0,60.13156918878028
17751,Nicaragua,NIC,2021-12-08,6835238.0,4338241.0,2496997.0,1.0,6741700.0,64.34936292033167
17752,Nicaragua,NIC,2021-12-10,6942756.0,4402422.0,2540334.0,0.0,6741700.0,65.30136315766053
17753,Nicaragua,NIC,2021-12-15,7308467.0,4628897.0,2679570.0,1.0,6741700.0,68.6606790572111
