,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
17935,Norway,NOR,2021-01-06,15095.0,15085.0,10.0,0.0,5488594.0,0.2748427010633324
17936,Norway,NOR,2021-01-07,21709.0,21698.0,11.0,13.0,5488594.0,0.3953289312344837
17937,Norway,NOR,2021-01-08,23374.0,23353.0,21.0,3.0,5488594.0,0.4254823730813392
17938,Norway,NOR,2021-01-09,23546.0,23523.0,23.0,14.0,5488594.0,0.4285797054764845
17939,Norway,NOR,2021-01-10,23688.0,23659.0,29.0,1.0,5488594.0,0.4310575713926007
17940,Norway,NOR,2021-01-11,24111.0,24073.0,38.0,4.0,5488594.0,0.4386004867548957
17941,Norway,NOR,2021-01-12,28470.0,28423.0,47.0,0.0,5488594.0,0.5178557568659661
17942,Norway,NOR,2021-01-13,38429.0,38372.0,57.0,7.0,5488594.0,0.6991225803912623
17943,Norway,NOR,2021-01-14,47024.0,46957.0,67.0,4.0,5488594.0,0.8555378663460989
17944,Norway,NOR,2021-01-15,51641.0,51571.0,70.0,27.0,5488594.0,0.9396031114708066
17945,Norway,NOR,2021-01-16,52486.0,52412.0,74.0,2.0,5488594.0,0.9549257970256134
17946,Norway,NOR,2021-01-17,52878.0,52796.0,82.0,6.0,5488594.0,0.9619221243181768
17947,Norway,NOR,2021-01-18,54508.0,54117.0,391.0,0.0,5488594.0,0.9859902189886882
17948,Norway,NOR,2021-01-19,59994.0,58768.0,1226.0,0.0,5488594.0,1.0707295893993982
17949,Norway,NOR,2021-01-20,70855.0,68919.0,1936.0,0.0,5488594.0,1.25567677259422
17950,Norway,NOR,2021-01-21,79624.0,77509.0,2115.0,4.0,5488594.0,1.4121831565606784
17951,Norway,NOR,2021-01-22,83081.0,80947.0,2134.0,4.0,5488594.0,1.4748221493519105
17952,Norway,NOR,2021-01-23,83503.0,81360.0,2143.0,18.0,5488594.0,1.482346845111881
17953,Norway,NOR,2021-01-24,83604.0,81452.0,2152.0,1.0,5488594.0,1.4840230485257244
17954,Norway,NOR,2021-01-25,84226.0,82055.0,2171.0,0.0,5488594.0,1.495009468727328
17955,Norway,NOR,2021-01-26,88995.0,84416.0,4579.0,0.0,5488594.0,1.5380259498151985
17956,Norway,NOR,2021-01-27,108525.0,96097.0,12428.0,0.0,5488594.0,1.7508491245663278
17957,Norway,NOR,2021-01-28,126252.0,107128.0,19124.0,4.0,5488594.0,1.951829557806608
17958,Norway,NOR,2021-01-29,132315.0,111051.0,21264.0,2.0,5488594.0,2.023305057725166
17959,Norway,NOR,2021-01-30,132743.0,111254.0,21489.0,6.0,5488594.0,2.027003636997016
17960,Norway,NOR,2021-01-31,132992.0,111435.0,21557.0,1.0,5488594.0,2.0303013850177294
17961,Norway,NOR,2021-02-01,133601.0,111685.0,21916.0,6.0,5488594.0,2.034856285598825
17962,Norway,NOR,2021-02-02,143386.0,118114.0,25272.0,0.0,5488594.0,2.15199010894229
17963,Norway,NOR,2021-02-03,177618.0,143500.0,34118.0,0.0,5488594.0,2.614512933549102
17964,Norway,NOR,2021-02-04,212813.0,169755.0,43058.0,4.0,5488594.0,3.092868592575804
17965,Norway,NOR,2021-02-05,228716.0,180595.0,48121.0,1.0,5488594.0,3.2903690817721256
17966,Norway,NOR,2021-02-06,230365.0,181459.0,48906.0,6.0,5488594.0,3.306110818180394
17967,Norway,NOR,2021-02-07,231058.0,181809.0,49249.0,8.0,5488594.0,3.312487678993928
17968,Norway,NOR,2021-02-08,232164.0,181945.0,50219.0,0.0,5488594.0,3.3149655449100446
17969,Norway,NOR,2021-02-09,241288.0,187627.0,53661.0,0.0,5488594.0,3.418489325317194
17970,Norway,NOR,2021-02-10,273631.0,210854.0,62777.0,0.0,5488594.0,3.841676028505661
17971,Norway,NOR,2021-02-11,303759.0,232054.0,71705.0,0.0,5488594.0,4.227931597782601
17972,Norway,NOR,2021-02-12,315735.0,240272.0,75463.0,1.0,5488594.0,4.377660289684389
17973,Norway,NOR,2021-02-13,317037.0,241227.0,75810.0,9.0,5488594.0,4.395060009904176
17974,Norway,NOR,2021-02-14,317198.0,241371.0,75827.0,0.0,5488594.0,4.397683632638887
17975,Norway,NOR,2021-02-15,318859.0,242245.0,76614.0,0.0,5488594.0,4.413607565070398
17976,Norway,NOR,2021-02-16,327403.0,248470.0,78933.0,0.0,5488594.0,4.527024589539689
17977,Norway,NOR,2021-02-17,360132.0,270419.0,89713.0,0.0,5488594.0,4.926926640957594
17978,Norway,NOR,2021-02-18,390447.0,289537.0,100910.0,1.0,5488594.0,5.275248998195166
17979,Norway,NOR,2021-02-19,406273.0,300398.0,105875.0,0.0,5488594.0,5.473132099040301
17980,Norway,NOR,2021-02-20,407066.0,300965.0,106101.0,14.0,5488594.0,5.483462613558227
17981,Norway,NOR,2021-02-21,407332.0,301058.0,106274.0,0.0,5488594.0,5.485157036574394
17982,Norway,NOR,2021-02-22,410153.0,303687.0,106466.0,0.0,5488594.0,5.533056371085199
17983,Norway,NOR,2021-02-23,421678.0,309767.0,111911.0,0.0,5488594.0,5.643831553217455
17984,Norway,NOR,2021-02-24,456182.0,320997.0,135185.0,0.0,5488594.0,5.848437687320287
17985,Norway,NOR,2021-02-25,494287.0,332250.0,162037.0,1.0,5488594.0,6.05346287227658
17986,Norway,NOR,2021-02-26,513053.0,340718.0,172335.0,0.0,5488594.0,6.207746464759463
17987,Norway,NOR,2021-02-27,513856.0,341224.0,172632.0,12.0,5488594.0,6.216965583535601
17988,Norway,NOR,2021-02-28,514597.0,341781.0,172816.0,0.0,5488594.0,6.227113902030284
17989,Norway,NOR,2021-03-01,520811.0,347888.0,172923.0,2.0,5488594.0,6.3383810134252965
17990,Norway,NOR,2021-03-02,535612.0,358678.0,176934.0,0.0,5488594.0,6.534970522505399
17991,Norway,NOR,2021-03-03,572556.0,376778.0,195778.0,0.0,5488594.0,6.864745324576751
17992,Norway,NOR,2021-03-04,608094.0,393232.0,214862.0,1.0,5488594.0,7.164530661222164
17993,Norway,NOR,2021-03-05,627044.0,405341.0,221703.0,0.0,5488594.0,7.38515182576813
17994,Norway,NOR,2021-03-06,628081.0,405845.0,222236.0,9.0,5488594.0,7.394334505339619
17995,Norway,NOR,2021-03-07,628295.0,406037.0,222258.0,0.0,5488594.0,7.3978326689859
17996,Norway,NOR,2021-03-08,633552.0,411218.0,222334.0,0.0,5488594.0,7.492228428628533
17997,Norway,NOR,2021-03-09,650851.0,424098.0,226753.0,0.0,5488594.0,7.726896906566599
17998,Norway,NOR,2021-03-10,690271.0,445584.0,244687.0,0.0,5488594.0,8.118363282108314
17999,Norway,NOR,2021-03-11,719810.0,457708.0,262102.0,0.0,5488594.0,8.339257740689145
18000,Norway,NOR,2021-03-12,730907.0,460165.0,270742.0,0.0,5488594.0,8.384023303600156
18001,Norway,NOR,2021-03-13,731416.0,460326.0,271090.0,6.0,5488594.0,8.386956659574382
18002,Norway,NOR,2021-03-14,731626.0,460394.0,271232.0,1.0,5488594.0,8.38819559253244
18003,Norway,NOR,2021-03-15,732299.0,460589.0,271710.0,0.0,5488594.0,8.391748414985695
18004,Norway,NOR,2021-03-16,739077.0,466573.0,272504.0,0.0,5488594.0,8.50077451529481
18005,Norway,NOR,2021-03-17,764656.0,490187.0,274469.0,0.0,5488594.0,8.931012204582812
18006,Norway,NOR,2021-03-18,787746.0,511643.0,276103.0,1.0,5488594.0,9.321931992054797
18007,Norway,NOR,2021-03-19,795898.0,518714.0,277184.0,1.0,5488594.0,9.450762800090514
