,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
18287,Oman,OMN,2021-01-17,25446.0,24773.0,673.0,0.0,5285286.0,0.4687163570713108
18288,Oman,OMN,2021-01-18,26758.0,24773.0,1985.0,3.0,5285286.0,0.4687163570713108
18289,Oman,OMN,2021-01-19,28049.0,24773.0,3276.0,2.0,5285286.0,0.4687163570713108
18290,Oman,OMN,2021-01-20,29548.0,24773.0,4775.0,2.0,5285286.0,0.4687163570713108
18291,Oman,OMN,2021-01-23,30675.0,24773.0,5902.0,0.0,5285286.0,0.4687163570713108
18292,Oman,OMN,2021-01-24,32765.0,24773.0,7992.0,0.0,5285286.0,0.4687163570713108
18293,Oman,OMN,2021-01-25,34606.0,24773.0,9833.0,4.0,5285286.0,0.4687163570713108
18294,Oman,OMN,2021-01-26,36206.0,24773.0,11433.0,1.0,5285286.0,0.4687163570713108
18295,Oman,OMN,2021-01-27,37045.0,24773.0,12272.0,2.0,5285286.0,0.4687163570713108
18296,Oman,OMN,2021-02-08,39146.0,26874.0,12272.0,2.0,5285286.0,0.5084682266957739
18297,Oman,OMN,2021-02-09,41192.0,28920.0,12272.0,1.0,5285286.0,0.5471794714609578
18298,Oman,OMN,2021-02-10,43233.0,30961.0,12272.0,1.0,5285286.0,0.5857961139662072
18299,Oman,OMN,2021-02-11,45065.0,32793.0,12272.0,1.0,5285286.0,0.6204583820061961
18300,Oman,OMN,2021-02-12,46829.0,34557.0,12272.0,2.0,5285286.0,0.6538340593110761
18301,Oman,OMN,2021-02-13,47198.0,34926.0,12272.0,0.0,5285286.0,0.6608157060942398
18302,Oman,OMN,2021-02-14,48819.0,36547.0,12272.0,0.0,5285286.0,0.691485758764994
18303,Oman,OMN,2021-02-15,50100.0,37828.0,12272.0,3.0,5285286.0,0.7157228577602045
18304,Oman,OMN,2021-02-16,56847.0,37828.0,19019.0,1.0,5285286.0,0.7157228577602045
18305,Oman,OMN,2021-02-17,58255.0,39236.0,19019.0,1.0,5285286.0,0.7423628541577504
18306,Oman,OMN,2021-02-18,59878.0,40859.0,19019.0,5.0,5285286.0,0.7730707477324784
18307,Oman,OMN,2021-02-19,61971.0,42952.0,19019.0,0.0,5285286.0,0.8126712537410463
18308,Oman,OMN,2021-02-20,62487.0,43468.0,19019.0,0.0,5285286.0,0.8224342069662833
18309,Oman,OMN,2021-02-21,64538.0,45519.0,19019.0,0.0,5285286.0,0.8612400539914017
18310,Oman,OMN,2021-02-22,66103.0,47084.0,19019.0,3.0,5285286.0,0.89085056135089
18311,Oman,OMN,2021-02-23,67660.0,48641.0,19019.0,3.0,5285286.0,0.9203097050944832
18312,Oman,OMN,2021-03-09,94518.0,75499.0,19019.0,3.0,5285286.0,1.4284752045584663
18313,Oman,OMN,2021-03-10,98168.0,79149.0,19019.0,3.0,5285286.0,1.4975348543106275
18314,Oman,OMN,2021-03-15,105003.0,85984.0,19019.0,8.0,5285286.0,1.6268561436410445
18315,Oman,OMN,2021-03-17,109844.0,90825.0,19019.0,5.0,5285286.0,1.718450051709595
18316,Oman,OMN,2021-03-22,120837.0,101818.0,19019.0,2.0,5285286.0,1.9264425804015148
18317,Oman,OMN,2021-03-24,129198.0,110179.0,19019.0,4.0,5285286.0,2.0846364794639305
18318,Oman,OMN,2021-03-29,139897.0,120878.0,19019.0,11.0,5285286.0,2.287066395271703
18319,Oman,OMN,2021-03-31,151512.0,132493.0,19019.0,7.0,5285286.0,2.5068274450994705
18320,Oman,OMN,2021-04-05,171055.0,152036.0,19019.0,31.0,5285286.0,2.8765898382793287
18321,Oman,OMN,2021-04-12,188029.0,169010.0,19019.0,29.0,5285286.0,3.1977455903048577
18322,Oman,OMN,2021-04-14,192808.0,173789.0,19019.0,9.0,5285286.0,3.2881664303502216
18323,Oman,OMN,2021-04-19,217582.0,198563.0,19019.0,57.0,5285286.0,3.756901707873519
18324,Oman,OMN,2021-04-21,244821.0,198563.0,46258.0,19.0,5285286.0,3.756901707873519
18325,Oman,OMN,2021-05-17,296894.0,216549.0,80345.0,9.0,5285286.0,4.097204957309784
18326,Oman,OMN,2021-06-13,605845.0,435090.0,170755.0,7.0,5285286.0,8.23209945497746
18327,Oman,OMN,2021-06-15,720199.0,535578.0,184621.0,19.0,5285286.0,10.133377834236407
18328,Oman,OMN,2021-06-20,859000.0,666000.0,193000.0,27.0,5285286.0,12.60102102327102
18329,Oman,OMN,2021-07-05,1338142.0,1096838.0,241304.0,45.0,5285286.0,20.75267071640021
18330,Oman,OMN,2021-07-07,1480949.0,1229331.0,251618.0,23.0,5285286.0,23.25949816149968
18331,Oman,OMN,2021-07-12,1631205.0,1359065.0,272141.0,18.0,5285286.0,25.714124079567316
18332,Oman,OMN,2021-07-14,1728618.0,1436973.0,291645.0,37.0,5285286.0,27.188178652962204
18333,Oman,OMN,2021-07-25,1887421.0,1550910.0,336511.0,17.0,5285286.0,29.34391819099288
18334,Oman,OMN,2021-08-09,2656658.0,2008140.0,648518.0,7.0,5285286.0,37.99491645296016
18335,Oman,OMN,2021-08-16,2951658.0,2155932.0,795726.0,5.0,5285286.0,40.79120789300711
18336,Oman,OMN,2021-08-23,3379862.0,2336980.0,1042882.0,1.0,5285286.0,44.2167178843302
18337,Oman,OMN,2021-08-30,3752420.0,2504214.0,1048206.0,8.0,5285286.0,47.380860751906326
18338,Oman,OMN,2021-09-05,4036350.0,2592464.0,1443886.0,4.0,5285286.0,49.05059063974967
18339,Oman,OMN,2021-09-13,4336872.0,2710021.0,1626851.0,2.0,5285286.0,51.2748222139729
18340,Oman,OMN,2021-09-20,4636486.0,2810262.0,1826224.0,1.0,5285286.0,53.17142724159108
18341,Oman,OMN,2021-09-28,4946987.0,2896271.0,2050716.0,0.0,5285286.0,54.7987563965318
18342,Oman,OMN,2021-10-11,5254466.0,2959586.0,2294880.0,1.0,5285286.0,55.996704814081966
18343,Oman,OMN,2021-10-23,5679984.0,3065137.0,2614847.0,1.0,5285286.0,57.99377744175055
18344,Oman,OMN,2021-11-09,5822656.0,3089635.0,2733021.0,1.0,5285286.0,58.45729067452547
18345,Oman,OMN,2021-12-16,5934585.0,3120714.0,2889245.0,0.0,5285286.0,59.04531940182613
18346,Oman,OMN,2021-12-19,6046310.0,3121257.0,2890827.0,0.0,5285286.0,59.05559320725501
